Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Abu Dhabi, UAE",Copthorne Downtown by Millennium,4.0,8.4,Very good,"['Pool', 'Parking available', 'Spa', 'Breakfast available', 'Gym', 'Room service']","{'Room Name': 'Premium Suite', 'Room Charges': '$213'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': None}, {'Room Name': 'Premium Room', 'Room Charges': None}, {'Room Name': 'Business Suite', 'Room Charges': None}"
"Abu Dhabi, UAE",The Abu Dhabi Edition,5.0,9.8,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Room service', 'Housekeeping']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$368'}, {'Room Name': 'Premier Room, 1 King Bed, Non Smoking, Marina View (Balcony)', 'Room Charges': '$395'}, {'Room Name': 'Premier Room, 2 Queen Beds, Non Smoking, Marina View (Balcony)', 'Room Charges': '$395'}, {'Room Name': 'Apartment, 1 Bedroom, Non Smoking', 'Room Charges': '$449'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking, Marina View', 'Room Charges': '$476'}, {'Room Name': 'Premier Suite, 1 King Bed, Non Smoking, Marina View', 'Room Charges': '$517'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$542'}"
"Abu Dhabi, UAE",Southern Sun Abu Dhabi,4.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Gym', 'Room service', 'Laundry']","{'Room Name': 'Deluxe Double Room, Non Smoking - 15% Discount on F&B', 'Room Charges': '$109'}, {'Room Name': 'Deluxe Double Room, 1 King Bed - 15% Discount on F&B', 'Room Charges': '$109'}, {'Room Name': 'Deluxe Double Room, Smoking - 15% Discount on F&B', 'Room Charges': '$109'}, {'Room Name': 'Deluxe Room, Accessible, Smoking - 15% Discount on F&B', 'Room Charges': '$116'}, {'Room Name': 'Deluxe Room, Accessible, Non Smoking - 15% Discount on F&B', 'Room Charges': '$116'}, {'Room Name': 'Executive Room, 1 King Bed, Smoking - 15% Discount on F&B', 'Room Charges': '$123'}, {'Room Name': 'Executive Double Room, 1 King Bed, Non Smoking - 15% Discount on F&B', 'Room Charges': '$123'}, {'Room Name': 'Comfort Suite, 1 Bedroom, Non Smoking - 15% Discount on F&B', 'Room Charges': '$178'}, {'Room Name': 'Comfort Suite, 1 Bedroom, Smoking - 15% Discount on F&B', 'Room Charges': '$178'}, {'Room Name': 'Deluxe Twin Room, Non Smoking - 15% Discount on F&B', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room, Smoking - 15% Discount on F&B', 'Room Charges': None}"
"Abu Dhabi, UAE",Khalidiya Palace Rayhaan by Rotana,5.0,9.2,Wonderful,"['Pool', 'On private beach', 'Breakfast available', 'Bar', 'Spa', 'Air conditioning']","{'Room Name': 'Room, 1 King Bed (Guest)', 'Room Charges': '$166'}, {'Room Name': 'Room, Kitchenette (Guest, Balcony)', 'Room Charges': '$178'}, {'Room Name': 'Room, Balcony, Sea View', 'Room Charges': '$194'}, {'Room Name': 'Room, Kitchenette, Sea View', 'Room Charges': '$229'}, {'Room Name': 'Studio, Kitchenette', 'Room Charges': '$260'}, {'Room Name': 'Studio, Balcony, Sea View', 'Room Charges': '$318'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$353'}, {'Room Name': 'Apartment, 2 Bedrooms, Balcony', 'Room Charges': '$760'}, {'Room Name': 'Family Room, Kitchenette', 'Room Charges': None}, {'Room Name': 'Room, Balcony (Guest)', 'Room Charges': None}"
"Abu Dhabi, UAE",Beach Rotana,5.0,9.0,Wonderful,"['On private beach', 'Pool', 'Breakfast available', 'Bar', 'Spa', 'Room service']","{'Room Name': 'Room, 1 King Bed, Balcony, Sea View', 'Room Charges': '$185'}, {'Room Name': 'Room, 2 Twin Beds, Balcony, Sea View', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony (Spacious)', 'Room Charges': '$193'}, {'Room Name': 'Deluxe Twin Room, Balcony (Spacious)', 'Room Charges': '$193'}, {'Room Name': 'Room, 1 King Bed, Balcony, Sea View (Spacious)', 'Room Charges': '$220'}, {'Room Name': 'Room, 2 Twin Beds, Balcony, Sea View (Spacious)', 'Room Charges': '$220'}, {'Room Name': 'Deluxe Room, Balcony, Sea View (Spacious, Sofa Bed)', 'Room Charges': '$272'}, {'Room Name': 'Family Room, 1 King Bed, Balcony, Sea View', 'Room Charges': '$299'}, {'Room Name': 'Suite, Balcony, City View', 'Room Charges': '$302'}, {'Room Name': 'Room, 1 King Bed, Business Lounge Access, Sea View (Spacious, Balcony)', 'Room Charges': '$376'}, {'Room Name': 'Room, 2 Twin Beds, Business Lounge Access, Sea View (Spacious, Balcony)', 'Room Charges': '$376'}, {'Room Name': 'Suite, Balcony, Sea View', 'Room Charges': '$388'}, {'Room Name': 'Suite, 1 Bedroom, Business Lounge Access, Sea View (Balcony)', 'Room Charges': '$527'}, {'Room Name': 'Suite, 1 Bedroom, Sea View', 'Room Charges': '$1,486'}, {'Room Name': 'Basic Twin Room, Balcony (Guest)', 'Room Charges': None}, {'Room Name': 'Basic Room, 1 King Bed, Balcony (Guest)', 'Room Charges': None}"
"Abu Dhabi, UAE",Al Raha Beach Resort and Spa,5.0,9.0,Wonderful,"['Breakfast available', 'On private beach', 'Pool', 'Bar', 'Hot Tub', 'Spa']","{'Room Name': 'Superior Room King - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$190'}, {'Room Name': 'Superior Room Twin - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$190'}, {'Room Name': 'Gulf View Room Twin - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$196'}, {'Room Name': 'Deluxe Gulf View Room King - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$209'}, {'Room Name': 'Deluxe Gulf View Room Twin - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$209'}, {'Room Name': 'Gulf Junior Suite - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$248'}, {'Room Name': 'Grand Gulf View Room King - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$263'}, {'Room Name': 'Grand Gulf View Room Twin - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$263'}, {'Room Name': 'Family Gulf View Room King - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$270'}, {'Room Name': 'Executive Suite - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$377'}, {'Room Name': 'Diplomatic Suite - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$419'}, {'Room Name': 'Al Raha Suite - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$743'}, {'Room Name': 'Two Bedroom Villa - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$743'}, {'Room Name': 'Royal Suite - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$829'}, {'Room Name': 'Three Bedroom Villa - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$859'}, {'Room Name': 'Four Bedroom Villa - Free daily shuttle bus to Yas attractions, Yas Mall and Grand Mosque', 'Room Charges': '$945'}"
"Abu Dhabi, UAE",Dusit Thani Abu Dhabi,5.0,9.2,Wonderful,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Room service', 'Housekeeping']","{'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$176'}, {'Room Name': 'Junior Suite, 1 Bedroom', 'Room Charges': '$213'}, {'Room Name': 'Deluxe Room (Club)', 'Room Charges': '$271'}, {'Room Name': 'Deluxe Room, 2 Twin Beds (Club)', 'Room Charges': '$271'}, {'Room Name': 'Club Suite, 1 Bedroom (Junior)', 'Room Charges': '$302'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$1,809'}, {'Room Name': 'Royal Suite', 'Room Charges': '$2,800'}, {'Room Name': 'Apartment, 1 Bedroom', 'Room Charges': None}"
"Abu Dhabi, UAE",Park Hyatt Abu Dhabi Hotel & Villas,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Spa', 'Room service', 'Breakfast available', '24/7 front desk']","{'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$478'}, {'Room Name': 'Villa, 1 Bedroom, Beach View (Plunge Pool)', 'Room Charges': '$1,584'}"
"Abu Dhabi, UAE",Grand Villaggio Hotel,3.0,8.0,Very good,"['Pool', 'Spa', 'Gym', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Deluxe Twin Room, Multiple Beds, Smoking', 'Room Charges': '$69'}, {'Room Name': 'Deluxe Suite, 1 King Bed, Smoking, 2 Bathrooms', 'Room Charges': '$79'}, {'Room Name': 'Deluxe Suite, 1 King Bed, Non Smoking, 2 Bathrooms', 'Room Charges': None}"
"Abu Dhabi, UAE",Beach Rotana Residences,5.0,9.2,Wonderful,"['On private beach', 'Pool', 'Bar', 'Spa', 'Room service', 'Housekeeping']","{'Room Name': 'Studio, Balcony, Sea View', 'Room Charges': '$190'}, {'Room Name': 'Apartment, 1 Bedroom, Sea View', 'Room Charges': '$323'}, {'Room Name': 'Apartment, 1 Bedroom, Balcony, Sea View', 'Room Charges': '$384'}, {'Room Name': 'Apartment, 3 Bedrooms, Balcony, Sea View', 'Room Charges': None}, {'Room Name': 'Apartment, 2 Bedrooms, Sea View', 'Room Charges': None}, {'Room Name': 'Studio, Sea View', 'Room Charges': None}, {'Room Name': 'Apartment, 2 Bedrooms, Balcony, Sea View', 'Room Charges': None}"
