Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Alps, Switzerland",Grand Hotel Zermatterhof,5.0,9.6,Exceptional,"['Breakfast included', 'Spa', 'Hot Tub', 'Pool', 'Bar', 'Pet friendly']","{'Room Name': 'Superior Suite, 1 Bedroom', 'Room Charges': '$1,219'}, {'Room Name': 'Suite, 1 Bedroom, Corner (Matterhorn View)', 'Room Charges': '$1,489'}, {'Room Name': 'Grand Suite (Matterhorn View)', 'Room Charges': '$4,036'}, {'Room Name': 'Classic Double Room', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room (Matterhorn View)', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room', 'Room Charges': None}, {'Room Name': 'Classic Double Room (Matterhorn View)', 'Room Charges': None}, {'Room Name': 'Suite (Chalet - Matterhorn View)', 'Room Charges': None}, {'Room Name': 'Superior Suite, 1 Bedroom (Classic)', 'Room Charges': None}, {'Room Name': 'Superior Suite, 1 Bedroom (Matterhorn View)', 'Room Charges': None}, {'Room Name': 'Suite (Chalet)', 'Room Charges': None}, {'Room Name': 'Superior Double Room (Classic)', 'Room Charges': None}"
"Alps, Switzerland",Mont Cervin Palace,5.0,9.6,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Pet friendly', 'Spa', 'Breakfast included']","{'Room Name': 'Chalet Classic Double Room, Mountain View (Le Petit Cervin)', 'Room Charges': '$793'}, {'Room Name': 'Alpine Superior Double Room, Mountain View', 'Room Charges': '$876'}, {'Room Name': 'Chalet Classic Double Room, Matterhorn View (Le Petit Cervin)', 'Room Charges': '$950'}, {'Room Name': 'Alpine Classic Double Room, Mountain View', 'Room Charges': '$803'}, {'Room Name': 'Chalet Open Suite Classic, Mountain View (Le Petit Cervin)', 'Room Charges': '$1,259'}, {'Room Name': 'Alpine Classic Suite, Mountain view', 'Room Charges': '$1,478'}, {'Room Name': 'Chalet Open Suite, Matterhorn view (Le Petit Cervin)', 'Room Charges': '$1,478'}, {'Room Name': 'Alpine Only Me', 'Room Charges': None}, {'Room Name': 'Alpine Junior Suite, Montain View', 'Room Charges': None}, {'Room Name': 'Alpine Junior Suite, Matterhorn View', 'Room Charges': None}, {'Room Name': 'Alpine Suite, Matterhorn View', 'Room Charges': None}"
"Alps, Switzerland",Victoria Jungfrau Grand Hotel & Spa,5.0,9.4,Exceptional,"['Breakfast available', '24/7 front desk', 'Parking available', 'Room service', 'Bar', 'Gym']","{'Room Name': 'Superior Double Room', 'Room Charges': '$896'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$1,093'}, {'Room Name': 'Superior Junior Suite', 'Room Charges': '$1,177'}, {'Room Name': 'Nescens Junior Suite', 'Room Charges': '$1,229'}, {'Room Name': 'Deluxe Junior Suite', 'Room Charges': '$1,239'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$1,536'}, {'Room Name': 'Superior Suite', 'Room Charges': '$1,637'}, {'Room Name': 'Superior Duplex Suite', 'Room Charges': '$1,682'}, {'Room Name': 'Deluxe Duplex Suite', 'Room Charges': '$1,891'}, {'Room Name': 'Premium Suite', 'Room Charges': '$2,234'}, {'Room Name': 'Tower Suite', 'Room Charges': '$3,758'}"
"Alps, Switzerland",Le Mirador Resort & Spa,5.0,9.4,Exceptional,"['Spa', 'Bar', 'Hot Tub', 'Parking available', 'Room service', 'Pet friendly']","{'Room Name': 'Junior Suite (Prestige)', 'Room Charges': '$541'}, {'Room Name': 'Junior Suite', 'Room Charges': '$613'}"
"Alps, Switzerland",Victoria Jungfrau Grand Hotel & Spa,5.0,9.4,Exceptional,"['Spa', 'Pool', 'Breakfast available', '24/7 front desk', 'Parking available', 'Room service']","{'Room Name': 'Superior Double Room', 'Room Charges': '$896'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$1,093'}, {'Room Name': 'Superior Junior Suite', 'Room Charges': '$1,177'}, {'Room Name': 'Nescens Junior Suite', 'Room Charges': '$1,229'}, {'Room Name': 'Deluxe Junior Suite', 'Room Charges': '$1,239'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$1,536'}, {'Room Name': 'Superior Suite', 'Room Charges': '$1,637'}, {'Room Name': 'Superior Duplex Suite', 'Room Charges': '$1,682'}, {'Room Name': 'Deluxe Duplex Suite', 'Room Charges': '$1,891'}, {'Room Name': 'Premium Suite', 'Room Charges': '$2,234'}, {'Room Name': 'Tower Suite', 'Room Charges': '$3,758'}"
"Alps, Switzerland",Grand Hotel du Lac - Relais & Châteaux,5.0,9.6,Exceptional,"['Breakfast available', 'Bar', 'Parking available', 'Room service', 'Spa', 'Pet friendly']","{'Room Name': 'Superior Room, City View', 'Room Charges': '$287'}, {'Room Name': 'Superior Room, Lake View', 'Room Charges': '$319'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$351'}, {'Room Name': 'Junior Suite, City View', 'Room Charges': '$465'}, {'Room Name': 'Junior Suite, Lake View', 'Room Charges': '$500'}, {'Room Name': 'Suite Léman Seeblick', 'Room Charges': '$1,052'}"
"Alps, Switzerland",Grand Hotel du Lac - Relais & Châteaux,5.0,9.6,Exceptional,"['Breakfast available', 'Bar', 'Parking available', 'Room service', 'Spa', 'Pet friendly']","{'Room Name': 'Superior Room, City View', 'Room Charges': '$287'}, {'Room Name': 'Superior Room, Lake View', 'Room Charges': '$319'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$351'}, {'Room Name': 'Junior Suite, City View', 'Room Charges': '$465'}, {'Room Name': 'Junior Suite, Lake View', 'Room Charges': '$500'}, {'Room Name': 'Suite Léman Seeblick', 'Room Charges': '$1,052'}"
"Alps, Switzerland",W Verbier,5.0,9.2,Wonderful,"['Hot Tub', 'Bar', 'Breakfast included', '24/7 front desk', 'Parking available', 'Room service']","{'Room Name': 'Wonderful Room, one king bed, limited view', 'Room Charges': '$854'}, {'Room Name': 'Fabulous room, 1 king bed, mountain view', 'Room Charges': '$1,000'}, {'Room Name': 'Spectacular room, 1 king bed, Best valley view', 'Room Charges': '$1,167'}, {'Room Name': 'Fantastic Suite, one king bed, separate living room', 'Room Charges': '$2,537'}"
"Alps, Switzerland",Grand Resort Bad Ragaz,5.0,9.4,Exceptional,"['Hot Tub', 'Parking available', 'Spa', 'Bar', 'Breakfast included', 'Gym']","{'Room Name': 'Comfort Room', 'Room Charges': '$719'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$827'}, {'Room Name': 'Junior Suite (Deluxe)', 'Room Charges': '$1,034'}, {'Room Name': 'Junior Suite, Corner', 'Room Charges': '$1,196'}, {'Room Name': 'Suite (Grand Deluxe)', 'Room Charges': '$1,228'}, {'Room Name': 'Superior Loft', 'Room Charges': '$1,286'}, {'Room Name': 'Deluxe Loft', 'Room Charges': '$1,414'}, {'Room Name': 'Suite (Quellenhof)', 'Room Charges': '$1,781'}, {'Room Name': 'Suite', 'Room Charges': '$1,889'}, {'Room Name': 'Suite, Multiple Beds (Hof Ragaz)', 'Room Charges': '$1,975'}, {'Room Name': 'Grand Suite', 'Room Charges': '$2,033'}"
"Alps, Switzerland",Hotel GRACE LA MARGNA ST MORITZ,5.0,10,Exceptional,"['Bar', 'Parking available', 'Pool', 'Breakfast included', 'Pet friendly', 'Spa']","{'Room Name': 'La Margna Superior Room', 'Room Charges': '$963'}, {'Room Name': 'Grace Superior Room', 'Room Charges': '$1,106'}, {'Room Name': 'La Margna Deluxe Room', 'Room Charges': None}, {'Room Name': 'Grace Junior Suite', 'Room Charges': None}, {'Room Name': 'La Margna Junior Suite', 'Room Charges': None}, {'Room Name': 'Grace Deluxe Room', 'Room Charges': None}"
