Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Amsterdam, Netherlands",Sonder Park House,3.0,8.2,Very good,"['Outdoor Space', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Twin Room, 2 Twin Beds', 'Room Charges': '$113'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$123'}, {'Room Name': 'Deluxe Room, 1 Double Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 Double Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Single Room, 1 Twin Bed', 'Room Charges': None}"
"Amsterdam, Netherlands","Kimpton De Witt Amsterdam, an IHG Hotel",4.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Parking available', 'Bar', 'Gym', 'Pet friendly']","{'Room Name': 'Room, 1 King Bed (Essential)', 'Room Charges': '$185'}, {'Room Name': 'Room, 1 Queen Bed (Essential)', 'Room Charges': '$185'}, {'Room Name': 'Room (Essential)', 'Room Charges': '$185'}, {'Room Name': 'Premium Room, 2 Twin Beds', 'Room Charges': '$212'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$212'}, {'Room Name': 'Premium Room, 2 Twin Beds, Accessible', 'Room Charges': '$212'}, {'Room Name': 'Premium Room', 'Room Charges': '$212'}, {'Room Name': 'Suite, 1 King Bed, City View', 'Room Charges': '$465'}, {'Room Name': 'Penthouse (De Witt)', 'Room Charges': '$812'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Room, 1 Queen Bed, Balcony (Essential)', 'Room Charges': None}, {'Room Name': 'Premium Room, 2 Double Beds', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed with Sofa bed', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed (Street View)', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed, Balcony', 'Room Charges': None}, {'Room Name': 'House (Little)', 'Room Charges': None}, {'Room Name': 'Room, 1 Double Bed (City Single)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Balcony (Essential)', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed with Sofa bed', 'Room Charges': None}"
"Amsterdam, Netherlands",Ruby Emma Hotel Amsterdam,4.0,9.0,Wonderful,"['Air conditioning', 'Housekeeping', '24/7 front desk', 'Breakfast available', 'Free WiFi']","{'Room Name': 'Cosy Room', 'Room Charges': '$97'}, {'Room Name': 'Mate Room', 'Room Charges': '$97'}, {'Room Name': 'Lovely Room', 'Room Charges': '$105'}, {'Room Name': 'Wow Room', 'Room Charges': '$115'}, {'Room Name': 'Loft Room', 'Room Charges': '$131'}, {'Room Name': 'Resident Room', 'Room Charges': '$165'}"
"Amsterdam, Netherlands",Xo Hotels Park West,4.0,8.8,Excellent,"['Breakfast available', '24/7 front desk', 'Housekeeping', 'Parking available', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$53'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$53'}, {'Room Name': 'Comfort Room, 2 Twin Beds', 'Room Charges': '$62'}, {'Room Name': 'Comfort Room, 1 King Bed', 'Room Charges': '$62'}, {'Room Name': 'Triple Room', 'Room Charges': '$75'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$91'}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Amsterdam, Netherlands",citizenM Amsterdam South,4.0,9.2,Wonderful,"['Bar', 'Breakfast available', 'Air conditioning', '24/7 front desk', 'Free WiFi', 'Restaurant']","{'Room Name': 'King Room', 'Room Charges': '$77'}"
"Amsterdam, Netherlands","Corendon Amsterdam Schiphol Airport, a Tribute Portfolio Hotel",4.0,8.8,Excellent,"['Free airport shuttle', 'Breakfast available', 'Spa', 'Gym', 'Restaurant', 'Bar']","{'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$73'}, {'Room Name': 'Twin Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$73'}, {'Room Name': 'Twin Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$81'}, {'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$81'}, {'Room Name': 'Twin Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$85'}, {'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$85'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$106'}, {'Room Name': 'Triple Room, 1 King Bed, Non Smoking', 'Room Charges': '$110'}, {'Room Name': 'Superior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$122'}"
"Amsterdam, Netherlands",BUNK Hotel Amsterdam,3.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Parking available', '24/7 front desk', 'Housekeeping', 'Free WiFi']","{'Room Name': 'BUNK POD FOR 2 IN A SHARED DORM', 'Room Charges': '$46'}, {'Room Name': 'COMPACT ROOM', 'Room Charges': '$75'}, {'Room Name': 'BASIC ROOM', 'Room Charges': '$84'}, {'Room Name': 'EPIC ROOM', 'Room Charges': '$101'}, {'Room Name': 'EPIC ROOM +', 'Room Charges': '$119'}, {'Room Name': 'BUNK ROOM FOR 3', 'Room Charges': '$127'}, {'Room Name': 'MOST EPIC ROOM', 'Room Charges': '$136'}, {'Room Name': 'BUNK ROOM FOR 4 FOR FRIENDS', 'Room Charges': '$163'}, {'Room Name': 'BUNK ROOM FOR 5', 'Room Charges': '$198'}, {'Room Name': 'BUNK POD FOR 1 IN A SHARED DORM', 'Room Charges': None}, {'Room Name': 'BUNK ROOM ++', 'Room Charges': None}, {'Room Name': 'BUNK ROOM FOR 4 FOR FAMILY', 'Room Charges': None}"
"Amsterdam, Netherlands",citizenM Amsterdam South,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Free WiFi', 'Bar', 'Air conditioning', '24/7 front desk']","{'Room Name': 'King Room', 'Room Charges': '$77'}"
"Amsterdam, Netherlands",Boetiek Hotel de Kade Zaandam-Amsterdam,2.0,8.8,Good,"['Housekeeping', 'Free WiFi']","{'Room Name': 'Deluxe Double Room, City View', 'Room Charges': '$80'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$80'}, {'Room Name': 'Deluxe Double Room, City View', 'Room Charges': '$80'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$80'}"
"Amsterdam, Netherlands",Krisotel,3.0,8.8,Excellent,"['Breakfast available', '24/7 front desk', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Souterrain Twin Room', 'Room Charges': '$75'}, {'Room Name': 'Small Twin with Bunk Bed', 'Room Charges': '$75'}, {'Room Name': 'Souterrain Small Double Room', 'Room Charges': '$78'}, {'Room Name': 'Small Double Room', 'Room Charges': '$82'}, {'Room Name': 'Triple Room', 'Room Charges': '$119'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Comfort Double Room', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': None}, {'Room Name': 'Quadruple Room', 'Room Charges': None}, {'Room Name': 'Economy Quadruple Room', 'Room Charges': None}"
"Amsterdam, Netherlands",ibis budget Amsterdam Airport,3.0,8.0,Very good,"['Free airport shuttle', 'Breakfast available', 'Pet friendly', '24/7 front desk', 'Parking available', 'Housekeeping']","{'Room Name': 'Standard Double Room, 1 Double Bed', 'Room Charges': '$57'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$57'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$66'}, {'Room Name': 'Standard Room', 'Room Charges': '$66'}"
"Amsterdam, Netherlands","Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel",3.0,8.4,Very good,"['Breakfast included', 'Bar', 'Parking available', 'Housekeeping', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$74'}, {'Room Name': 'Standard Room', 'Room Charges': '$74'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$74'}, {'Room Name': 'Standard Room, 2 Twin Beds, City View', 'Room Charges': '$78'}, {'Room Name': 'Standard Room, 1 Double Bed (High Floor)', 'Room Charges': '$82'}, {'Room Name': 'Standard Room, 1 Double Bed, City View (High Floor)', 'Room Charges': '$86'}, {'Room Name': 'Standard Room, 1 Double Bed, City View', 'Room Charges': None}"
"Amsterdam, Netherlands","The College Hotel Amsterdam, Autograph Collection",5.0,8.6,Excellent,"['Breakfast available', 'Bar', 'Room service', 'Housekeeping', '24/7 front desk', 'Laundry']","{'Room Name': 'Superior Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$164'}, {'Room Name': 'Deluxe Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$198'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$233'}"
"Amsterdam, Netherlands",citizenM Amstel Amsterdam,4.0,9.6,Exceptional,"['Bar', 'Breakfast available', '24/7 front desk', 'Air conditioning', 'Free WiFi', 'Restaurant']","{'Room Name': 'King Room', 'Room Charges': '$115'}"
"Amsterdam, Netherlands",Amadi Park Hotel,4.0,8.4,Very good,"['Bar', 'Breakfast available', 'Housekeeping', 'Laundry', 'Free WiFi']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$66'}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': '$75'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$89'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$101'}, {'Room Name': 'Single Room, 1 Twin Bed', 'Room Charges': None}"
"Amsterdam, Netherlands",Rho Hotel,3.0,8.2,Very good,"['Parking available', 'Breakfast available', '24/7 front desk', 'Laundry', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Comfort Double Room, 1 Double or 2 Twin Beds', 'Room Charges': '$92'}, {'Room Name': 'Superior Double Room, 1 Double or 2 Twin Beds', 'Room Charges': '$146'}, {'Room Name': 'Standard Triple Room', 'Room Charges': '$204'}, {'Room Name': 'Single Room, 1 Twin Bed', 'Room Charges': None}"
"Amsterdam, Netherlands","Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel",3.0,8.6,Excellent,"['Pet friendly', 'Breakfast included', 'Bar', 'Parking available', '24/7 front desk', 'Laundry']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$96'}, {'Room Name': 'Standard Room', 'Room Charges': '$96'}, {'Room Name': 'Standard Room, 1 Queen Bed with Sofa bed', 'Room Charges': '$105'}, {'Room Name': 'Standard Room, 1 Queen Bed, City View', 'Room Charges': '$105'}, {'Room Name': 'Standard Room, 2 Twin Beds, City View', 'Room Charges': '$105'}, {'Room Name': 'Premium Room', 'Room Charges': '$105'}, {'Room Name': 'Standard Room, 1 Queen Bed, City View (Top Floor)', 'Room Charges': '$110'}, {'Room Name': 'Standard Room, 2 Twin Beds, City View (Top Floor)', 'Room Charges': '$110'}, {'Room Name': 'Standard Room, 1 Twin Bed, Accessible Bathtub', 'Room Charges': None}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}"
"Amsterdam, Netherlands",Eden Hotel Amsterdam,4.0,8.6,Excellent,"['Breakfast available', '24/7 front desk', 'Housekeeping', 'Air conditioning', 'Laundry', 'Free WiFi']","{'Room Name': 'Standard Room', 'Room Charges': '$156'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds', 'Room Charges': '$156'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$167'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$169'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$176'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds, Canal View', 'Room Charges': '$177'}, {'Room Name': 'Triple Room', 'Room Charges': '$267'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$326'}, {'Room Name': 'Small Double Room', 'Room Charges': None}, {'Room Name': 'Standard Single Room, 1 Twin Bed', 'Room Charges': None}"
