Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Auckland, New Zealand",,,,,"['Restaurant', 'Breakfast available', 'Bar', 'Spa', 'Air conditioning', 'Room service']","{'Room Name': 'Classic Room', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 2 Queen Beds', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': '$172'}, {'Room Name': 'Classic Room, 1 King Bed, Harbor View', 'Room Charges': '$192'}, {'Room Name': 'Classic Room, 2 Queen Beds, Harbor View', 'Room Charges': '$197'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access, Harbor View', 'Room Charges': '$222'}, {'Room Name': 'Classic Room, 1 King Bed, Accessible', 'Room Charges': '$225'}, {'Room Name': 'Classic Room, 2 Queen Beds, Business Lounge Access, Harbor View', 'Room Charges': '$235'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$272'}, {'Room Name': 'Premium Room, 2 Queen Beds, Accessible', 'Room Charges': '$290'}, {'Room Name': 'Club Suite, 1 King Bed, Business Lounge Access, Harbor View', 'Room Charges': '$348'}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access, City View', 'Room Charges': None}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access', 'Room Charges': None}, {'Room Name': 'Presidential Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access, Harbor View', 'Room Charges': None}"
"Auckland, New Zealand",Horizon by SkyCity,5.0,9.6,Exceptional,"['Bar', 'Air conditioning', 'Breakfast available', 'Parking available', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Superior King Room', 'Room Charges': '$143'}, {'Room Name': 'Urban King Room', 'Room Charges': '$143'}, {'Room Name': 'Urban King Room', 'Room Charges': '$146'}, {'Room Name': 'Superior King Room', 'Room Charges': '$146'}, {'Room Name': 'Accessible Superior King Room', 'Room Charges': '$146'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$153'}, {'Room Name': 'Vantage King Room', 'Room Charges': '$164'}, {'Room Name': 'Elite King Room', 'Room Charges': '$177'}, {'Room Name': 'Elite Harbour View King Room', 'Room Charges': '$220'}, {'Room Name': 'Horizon Suite', 'Room Charges': '$313'}"
"Auckland, New Zealand",The Grand by SkyCity,5.0,9.2,Wonderful,"['Pool', 'Gym', 'Spa', 'Breakfast available', 'Bar', 'Air conditioning']","{'Room Name': 'Grand King Room', 'Room Charges': '$138'}, {'Room Name': 'Grand Accessible King Room', 'Room Charges': '$138'}, {'Room Name': 'Grand Twin Room', 'Room Charges': '$148'}, {'Room Name': 'Grand Deluxe King Room', 'Room Charges': '$155'}, {'Room Name': 'Grand Deluxe Twin Room', 'Room Charges': '$165'}, {'Room Name': 'Grand Harbour View King Room', 'Room Charges': '$181'}, {'Room Name': 'Grand Deluxe Harbour View King Room', 'Room Charges': '$198'}, {'Room Name': 'Grand Deluxe Suite', 'Room Charges': '$330'}, {'Room Name': 'Grand Deluxe Harbour View Suite', 'Room Charges': '$394'}"
"Auckland, New Zealand","InterContinental Auckland, an IHG Hotel",5.0,9.8,Exceptional,"['Bar', 'Spa', 'Air conditioning', 'Room service', 'Breakfast available', 'Parking available']","{'Room Name': 'Classic Room', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 2 Queen Beds', 'Room Charges': '$147'}, {'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': '$172'}, {'Room Name': 'Classic Room, 1 King Bed, Harbor View', 'Room Charges': '$192'}, {'Room Name': 'Classic Room, 2 Queen Beds, Harbor View', 'Room Charges': '$197'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access, Harbor View', 'Room Charges': '$222'}, {'Room Name': 'Classic Room, 1 King Bed, Accessible', 'Room Charges': '$225'}, {'Room Name': 'Classic Room, 2 Queen Beds, Business Lounge Access, Harbor View', 'Room Charges': '$235'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$272'}, {'Room Name': 'Premium Room, 2 Queen Beds, Accessible', 'Room Charges': '$290'}, {'Room Name': 'Club Suite, 1 King Bed, Business Lounge Access, Harbor View', 'Room Charges': '$348'}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access, City View', 'Room Charges': None}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access', 'Room Charges': None}, {'Room Name': 'Presidential Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Club Suite, 1 Bedroom, Business Lounge Access, Harbor View', 'Room Charges': None}"
"Auckland, New Zealand",The Grand by SkyCity,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Room service', 'Breakfast available']","{'Room Name': 'Grand King Room', 'Room Charges': '$138'}, {'Room Name': 'Grand Accessible King Room', 'Room Charges': '$138'}, {'Room Name': 'Grand Twin Room', 'Room Charges': '$148'}, {'Room Name': 'Grand Deluxe King Room', 'Room Charges': '$155'}, {'Room Name': 'Grand Deluxe Twin Room', 'Room Charges': '$165'}, {'Room Name': 'Grand Harbour View King Room', 'Room Charges': '$181'}, {'Room Name': 'Grand Deluxe Harbour View King Room', 'Room Charges': '$198'}, {'Room Name': 'Grand Deluxe Suite', 'Room Charges': '$330'}, {'Room Name': 'Grand Deluxe Harbour View Suite', 'Room Charges': '$394'}"
"Auckland, New Zealand",Pullman Auckland Airport,5.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Air conditioning', 'Room service', 'Free WiFi']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$189'}, {'Room Name': 'Superior Room, 2 Queen Beds', 'Room Charges': '$189'}, {'Room Name': 'Superior Room, 1 King Bed, Accessible', 'Room Charges': '$189'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$315'}"
"Auckland, New Zealand",Park Hyatt Auckland,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Room service', 'Breakfast available']","{'Room Name': 'Room, 1 King Bed, Balcony', 'Room Charges': '$196'}, {'Room Name': 'Room, 1 King Bed, Marina View', 'Room Charges': '$236'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$204'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$273'}, {'Room Name': 'Room, 1 King Bed, Balcony (Rooftop)', 'Room Charges': '$281'}, {'Room Name': 'Room, 1 King Bed, Balcony, Harbor View', 'Room Charges': '$302'}, {'Room Name': 'Room, 2 Twin Beds, Harbor View', 'Room Charges': '$311'}, {'Room Name': 'Room, 1 King Bed, Balcony (Rooftop, View)', 'Room Charges': '$409'}, {'Room Name': 'Park, Suite', 'Room Charges': '$537'}, {'Room Name': 'Suite (Harbour)', 'Room Charges': '$835'}, {'Room Name': 'Executive Suite', 'Room Charges': '$1,687'}"
"Auckland, New Zealand","Cordis, Auckland by Langham Hospitality Group",5.0,8.8,Excellent,"['Pool', 'Hot Tub', 'Bar', 'Spa', 'Air conditioning', 'Room service']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$109'}, {'Room Name': 'Superior Twin Room, 2 Twin Beds', 'Room Charges': '$109'}, {'Room Name': 'Superior Room, 1 King Bed, Accessible', 'Room Charges': '$109'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$113'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$113'}, {'Room Name': 'Premier Twin Room, 2 Twin Beds (Pinnacle Tower)', 'Room Charges': '$128'}, {'Room Name': 'Premier Room, 1 King Bed, Kitchenette (Pinnacle Tower)', 'Room Charges': '$128'}, {'Room Name': 'Premier Room, 1 King Bed (Pinnacle Tower)', 'Room Charges': '$128'}, {'Room Name': 'Premier Room, 1 King Bed (Pinnacle Tower)', 'Room Charges': '$128'}, {'Room Name': 'Superior Twin Room, 2 Double Beds', 'Room Charges': '$129'}, {'Room Name': 'Deluxe Twin Room, 2 Double Beds', 'Room Charges': '$133'}, {'Room Name': 'Premier Twin Room (Skyline, Pinnacle Tower)', 'Room Charges': '$139'}, {'Room Name': 'Premier Room, 1 King Bed, Kitchenette (Skyline, Pinnacle Tower)', 'Room Charges': '$139'}, {'Room Name': 'Premier Twin Room, 2 Double Beds (Pinnacle Tower)', 'Room Charges': '$148'}, {'Room Name': 'Premier Twin Room, 2 Double Beds (Skyline, Pinnacle Tower)', 'Room Charges': '$159'}, {'Room Name': 'Executive Room, 1 King Bed (Pinnacle Tower)', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite, Kitchenette', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite, Kitchenette (Pinnacle Tower)', 'Room Charges': '$223'}, {'Room Name': 'Executive Room, 1 King Bed, Kitchenette (Pinnacle Tower)', 'Room Charges': '$226'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$229'}, {'Room Name': 'Executive Twin Room, 2 Double Beds (Pinnacle Tower)', 'Room Charges': '$246'}, {'Room Name': 'Executive Suite (Pinnacle Tower)', 'Room Charges': '$297'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$331'}, {'Room Name': 'Suite (Chairman, Pinnacle Tower)', 'Room Charges': '$1,034'}"
"Auckland, New Zealand",Hilton Auckland,5.0,9.0,Wonderful,"['Restaurant', 'Breakfast available', 'Pool', 'Bar', 'Air conditioning', 'Room service']","{'Room Name': 'King, Room', 'Room Charges': '$159'}, {'Room Name': 'King, Deluxe Room, Harbor View', 'Room Charges': '$180'}, {'Room Name': 'Twin Room', 'Room Charges': '$159'}, {'Room Name': 'Deluxe Twin Room, Harbor View', 'Room Charges': '$180'}, {'Room Name': 'Deluxe Room, 1 King Bed (Plus)', 'Room Charges': '$242'}, {'Room Name': 'Deluxe Room, 1 King Bed, Harbor View (Plus)', 'Room Charges': '$264'}, {'Room Name': 'Suite, 1 King Bed (Port Suite)', 'Room Charges': '$342'}, {'Room Name': 'Suite, 1 King Bed (Bow Suite)', 'Room Charges': '$438'}, {'Room Name': 'Suite, 1 King Bed (Relaxation Suite)', 'Room Charges': '$617'}"
"Auckland, New Zealand",Hotel DeBrett,5.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', 'Bar', 'Air conditioning', 'Room service', 'Housekeeping']","{'Room Name': 'Classic Room', 'Room Charges': '$139'}, {'Room Name': 'Superior Room', 'Room Charges': '$166'}, {'Room Name': 'Courtyard Suite', 'Room Charges': '$187'}, {'Room Name': 'Boutique Suite', 'Room Charges': '$197'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$217'}, {'Room Name': 'Loft Suite', 'Room Charges': '$217'}"
