Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Baku, Azerbaijan",Courtyard by Marriott Baku,5.0,9.2,Wonderful,"['Bar', 'Gym', 'Breakfast available', 'Parking included', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$110'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$115'}, {'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$130'}, {'Room Name': 'Superior Room, 2 Twin Beds, City View', 'Room Charges': '$135'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$139'}, {'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$145'}, {'Room Name': 'Superior Room, 1 King Bed, Garden View', 'Room Charges': '$162'}, {'Room Name': 'Superior Room, 2 Twin Beds, Garden View', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Room, 1 Queen Bed, Balcony, Garden View', 'Room Charges': '$189'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$218'}"
"Baku, Azerbaijan","The Ritz-Carlton, Baku",5.0,10,Exceptional,"['Pool', 'Bar', 'Pet friendly', 'Breakfast available', 'Parking included', 'Spa']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$329'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$382'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking', 'Room Charges': '$329'}, {'Room Name': 'Grand Room, 2 Double Beds, Non Smoking', 'Room Charges': '$382'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$415'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking', 'Room Charges': '$461'}, {'Room Name': 'Club Room, 2 Double Beds, Non Smoking', 'Room Charges': '$461'}, {'Room Name': 'Apartment, 1 Bedroom, Non Smoking', 'Room Charges': '$527'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$646'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking', 'Room Charges': '$684'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$823'}, {'Room Name': 'Club Suite, 2 Bedrooms, Non Smoking', 'Room Charges': '$926'}"
"Baku, Azerbaijan",Baku Marriott Hotel Boulevard,5.0,8.6,Excellent,"['Pool', 'Bar', 'Pet friendly', 'Breakfast available', 'Parking included', 'Spa']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$105'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$110'}, {'Room Name': 'Room, 1 King Bed, Sea View', 'Room Charges': '$120'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$170'}, {'Room Name': 'Deluxe Room, 1 King Bed, Sea View', 'Room Charges': '$220'}, {'Room Name': 'Family Room, 1 Double Bed', 'Room Charges': '$255'}, {'Room Name': 'Club Suite, 1 Bedroom, Terrace', 'Room Charges': '$392'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$420'}"
"Baku, Azerbaijan",Hilton Baku,5.0,9.0,Wonderful,"['Pool', 'Hot Tub', 'Bar', 'Breakfast available', 'Parking included', 'Spa']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$203'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$234'}, {'Room Name': 'Twin Room', 'Room Charges': '$203'}, {'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': '$203'}, {'Room Name': 'Family Room, 1 Bedroom', 'Room Charges': '$229'}, {'Room Name': 'Deluxe Room, 1 King Bed, Sea View', 'Room Charges': '$241'}, {'Room Name': 'Executive Twin Room', 'Room Charges': '$273'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$277'}, {'Room Name': 'Junior Suite, 1 King Bed (Executive Lounge Access)', 'Room Charges': '$301'}, {'Room Name': 'Suite, 1 Bedroom, Business Lounge Access', 'Room Charges': '$337'}, {'Room Name': 'Suite, 1 King Bed, Business Lounge Access (Caspian Suite)', 'Room Charges': '$385'}, {'Room Name': 'Family Room, 2 Bedrooms, Connecting Rooms', 'Room Charges': '$427'}, {'Room Name': 'Family Suite, Multiple Beds, Connecting Rooms', 'Room Charges': '$481'}, {'Room Name': 'Presidential Suite, 1 King Bed', 'Room Charges': '$1,936'}"
"Baku, Azerbaijan",Ibis Baku City,3.0,8.6,Excellent,"['Bar', 'Gym', 'Parking available', 'Pet friendly', 'Breakfast available', 'Laundry']","{'Room Name': 'Room, 1 Double Bed (Budget)', 'Room Charges': '$54'}, {'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$61'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$61'}, {'Room Name': 'Premium Room, 1 Double Bed', 'Room Charges': '$70'}"
"Baku, Azerbaijan",Radisson Hotel Baku,5.0,8.4,Very good,"['Breakfast available', 'Bar', 'Gym', 'Room service', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Standard Room', 'Room Charges': '$97'}, {'Room Name': 'Superior Room', 'Room Charges': '$110'}, {'Room Name': 'Superior Room, Sea View (Caspian)', 'Room Charges': '$125'}, {'Room Name': 'Junior Suite', 'Room Charges': '$132'}, {'Room Name': 'Junior Room, Sea View (High Floor)', 'Room Charges': '$145'}, {'Room Name': 'Studio, Sea View (Caspian)', 'Room Charges': '$182'}, {'Room Name': 'Studio, Terrace, Sea View (Caspian)', 'Room Charges': '$207'}, {'Room Name': 'Apartment, 1 Bedroom, Sea View (Caspian)', 'Room Charges': '$237'}, {'Room Name': 'Apartment, 1 Bedroom, Terrace, Sea View (Caspian)', 'Room Charges': '$262'}"
"Baku, Azerbaijan",Courtyard by Marriott Baku,5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Gym', 'Parking included', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$110'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$115'}, {'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$130'}, {'Room Name': 'Superior Room, 2 Twin Beds, City View', 'Room Charges': '$135'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$139'}, {'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$145'}, {'Room Name': 'Superior Room, 1 King Bed, Garden View', 'Room Charges': '$162'}, {'Room Name': 'Superior Room, 2 Twin Beds, Garden View', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Room, 1 Queen Bed, Balcony, Garden View', 'Room Charges': '$189'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$218'}"
"Baku, Azerbaijan",Sheraton Baku Intourist,5.0,8.8,Excellent,"['Bar', 'Breakfast available', 'Parking included', 'Spa', 'Gym', 'Room service']","{'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$125'}, {'Room Name': 'Room, 1 King Bed, Balcony, Sea View', 'Room Charges': '$140'}, {'Room Name': 'Room, 2 Double Beds, Garden View', 'Room Charges': '$130'}, {'Room Name': 'Room, 2 Double Beds, Balcony, Sea View', 'Room Charges': '$145'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Sea View', 'Room Charges': '$190'}, {'Room Name': 'Double or Twin Room, 1 Bedroom, Sea View', 'Room Charges': '$265'}, {'Room Name': 'Double or Twin Room, 1 Bedroom, Terrace, Sea View', 'Room Charges': '$290'}"
"Baku, Azerbaijan","Holiday Inn Baku, an IHG Hotel",4.0,9.0,Wonderful,"['Bar', 'Pool', 'Gym', 'Spa', 'Pet friendly', 'Breakfast available']","{'Room Name': 'Standard Room, 1 King Bed, Smoking, City View', 'Room Charges': '$92'}, {'Room Name': 'Standard Room, 1 King Bed, Sea View', 'Room Charges': '$102'}, {'Room Name': 'Standard Room', 'Room Charges': '$92'}, {'Room Name': 'Standard Room, 1 King Bed, City View', 'Room Charges': '$92'}, {'Room Name': 'Standard Room, 2 Twin Beds, Smoking, City View', 'Room Charges': '$92'}, {'Room Name': 'Standard Room (Upgraded)', 'Room Charges': '$102'}, {'Room Name': 'Standard Room, 1 King Bed, Smoking, Sea View', 'Room Charges': '$102'}, {'Room Name': 'Standard Room, 2 Twin Beds, Sea View', 'Room Charges': '$102'}, {'Room Name': 'Standard Room, 2 Twin Beds, Smoking, Sea View', 'Room Charges': '$102'}, {'Room Name': 'Suite, 1 King Bed, City View', 'Room Charges': '$141'}, {'Room Name': 'Suite, 1 King Bed, Smoking, City View', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible, Smoking', 'Room Charges': None}, {'Room Name': 'Standard Room, 2 Twin Beds, Smoking, City View', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': None}"
"Baku, Azerbaijan",Four Seasons Hotel Baku,5.0,9.6,Exceptional,"['Pool', 'Hot Tub', 'Bar', 'Pet friendly', 'Breakfast available', 'Parking included']","{'Room Name': 'Superior Room, 1 King Bed (Residential View)', 'Room Charges': '$457'}, {'Room Name': 'Suite, Non Smoking (Promenade)', 'Room Charges': '$1,230'}, {'Room Name': 'Superior Twin Room (Residential View)', 'Room Charges': '$457'}, {'Room Name': 'Deluxe Room, 1 King Bed (Old City View)', 'Room Charges': '$504'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, Park View', 'Room Charges': '$523'}, {'Room Name': 'Deluxe Room, Non Smoking, Sea View (Caspian)', 'Room Charges': '$652'}, {'Room Name': 'Premier Room, 1 King Bed, Park View', 'Room Charges': '$842'}, {'Room Name': 'Executive Suite, 1 King Bed (Residential View)', 'Room Charges': '$1,066'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking, Park View', 'Room Charges': '$1,137'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking, City View', 'Room Charges': '$1,137'}, {'Room Name': 'Suite, 2 Bedrooms, Non Smoking (Panoramic)', 'Room Charges': '$1,825'}"
