Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Bali, Indonesia",Jumeirah Bali,5,9.8,Exceptional,"['Bar', 'Pool', 'Breakfast available', 'Spa', 'Gym', 'Room service']","{'Room Name': 'Villa (Garden Villa)', 'Room Charges': '$611'}, {'Room Name': 'Villa (Sunset Villa)', 'Room Charges': '$752'}, {'Room Name': 'Premier Villa (Garden)', 'Room Charges': '$893'}, {'Room Name': 'Villa (Ocean Villa)', 'Room Charges': '$1,287'}, {'Room Name': 'Panoramic Villa, Private Pool (Ocean)', 'Room Charges': '$1,898'}, {'Room Name': 'Villa, 2 Bedrooms (Garden)', 'Room Charges': '$2,822'}, {'Room Name': 'Villa, 2 Bedrooms, Private Pool (Ocean Villa)', 'Room Charges': '$4,418'}"
"Bali, Indonesia",Rumah Luwih Bali,5,9.2,Wonderful,"['Pool', 'Bar', 'Breakfast available', 'Gym', 'Room service', 'Spa']","{'Room Name': 'Deluxe Room, 2 Twin Beds, Garden View', 'Room Charges': '$107'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View', 'Room Charges': '$107'}, {'Room Name': 'Deluxe Room, 1 King Bed, Accessible', 'Room Charges': '$107'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$110'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$110'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$110'}, {'Room Name': 'Suite, 2 Twin Beds, Ocean View', 'Room Charges': '$136'}, {'Room Name': 'Suite, 1 King Bed, Ocean View', 'Room Charges': '$136'}, {'Room Name': 'Suite, 1 Bedroom, Ocean View', 'Room Charges': '$236'}"
"Bali, Indonesia",Hyatt Regency Bali,5,9.2,Wonderful,"['Bar', 'On private beach', 'Pool', 'Breakfast available', 'Gym', 'Parking included']","{'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$170'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$190'}, {'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$190'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Garden View', 'Room Charges': '$205'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View', 'Room Charges': '$205'}, {'Room Name': 'Club Room, 2 Twin Beds', 'Room Charges': '$272'}, {'Room Name': 'Club Room, 1 King Bed', 'Room Charges': '$272'}, {'Room Name': 'Premium Room, 2 Twin Beds', 'Room Charges': '$285'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$285'}, {'Room Name': 'Club Room, 2 Twin Beds (Deluxe)', 'Room Charges': '$297'}, {'Room Name': 'Club Room, 1 King Bed (Deluxe)', 'Room Charges': '$297'}, {'Room Name': 'Room, 2 Twin Beds, Garden View (Club Access)', 'Room Charges': '$302'}, {'Room Name': 'Room, 1 King Bed, Garden View (Club Access)', 'Room Charges': '$302'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Garden View (Club Access)', 'Room Charges': '$332'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View (Club Access)', 'Room Charges': '$332'}, {'Room Name': 'Club Room, 1 King Bed (Premium)', 'Room Charges': '$386'}, {'Room Name': 'Club Room, 2 Twin Beds (Premium)', 'Room Charges': '$386'}, {'Room Name': 'Family Suite, 1 King Bed', 'Room Charges': '$437'}, {'Room Name': 'Suite, 1 King Bed (Regency)', 'Room Charges': '$510'}"
"Bali, Indonesia",Conrad Bali,5,9.0,Wonderful,"['Bar', 'Gym', 'Pool', 'Spa', 'Air conditioning', 'Room service']","{'Room Name': 'Deluxe Garden King', 'Room Charges': '$186'}, {'Room Name': 'Accessible Deluxe Lagoon View King', 'Room Charges': '$186'}, {'Room Name': 'Deluxe Room, 1 King Bed, Pool View', 'Room Charges': '$191'}, {'Room Name': 'Deluxe Garden Twin', 'Room Charges': '$186'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Pool View', 'Room Charges': '$191'}, {'Room Name': 'Deluxe Ocean Front King', 'Room Charges': '$227'}, {'Room Name': 'Deluxe Ocean Front Twin', 'Room Charges': '$227'}, {'Room Name': 'Deluxe Lagoon Access King', 'Room Charges': '$254'}, {'Room Name': 'Deluxe Lagoon Access Twin', 'Room Charges': '$254'}, {'Room Name': 'Conrad Suite, Suite, 1 King Bed', 'Room Charges': '$259'}, {'Room Name': 'Conrad Suite, 2 Twin Beds', 'Room Charges': '$259'}, {'Room Name': 'Ocean Front Suite King', 'Room Charges': '$349'}, {'Room Name': 'Deluxe Room, 1 King Bed, Connecting Rooms (Family)', 'Room Charges': '$368'}, {'Room Name': 'Conrad Suite, 2 Twin Beds, Ocean View', 'Room Charges': '$435'}, {'Room Name': 'Conrad Suite, 1 King Bed, Ocean View', 'Room Charges': '$435'}, {'Room Name': 'Villa, 1 King Bed, Private Pool', 'Room Charges': '$435'}, {'Room Name': 'Lagoon Access Suite King', 'Room Charges': '$483'}, {'Room Name': 'Conrad Suite, 1 King Bed, Private Pool', 'Room Charges': '$483'}, {'Room Name': 'Conrad Suite, Penthouse, 1 King Bed', 'Room Charges': '$1,078'}"
"Bali, Indonesia","The Ritz-Carlton, Bali",5,9.0,Wonderful,"['Pool', 'Bar', 'Breakfast available', 'Gym', 'Parking included', 'Room service']","{'Room Name': 'Junior Suite, Non Smoking, Balcony', 'Room Charges': '$306'}, {'Room Name': 'Junior Suite, Non Smoking', 'Room Charges': '$399'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$461'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$554'}, {'Room Name': 'Signature Suite, Non Smoking', 'Room Charges': '$616'}, {'Room Name': 'Villa, 1 Bedroom, Non Smoking, Garden View', 'Room Charges': '$988'}, {'Room Name': 'Villa, 1 Bedroom, Non Smoking, Resort View', 'Room Charges': '$1,050'}, {'Room Name': 'Villa, 1 Bedroom, Non Smoking, Ocean View (Balcony)', 'Room Charges': '$1,236'}, {'Room Name': 'Villa, 2 Bedrooms, Non Smoking, Ocean View (Balcony)', 'Room Charges': '$1,856'}, {'Room Name': 'Villa, 3 Bedrooms, Non Smoking, Ocean View (Balcony, Private Pool)', 'Room Charges': '$4,336'}, {'Room Name': 'Villa, 3 Bedrooms, Non Smoking, Oceanfront', 'Room Charges': '$5,576'}"
"Bali, Indonesia",The Apurva Kempinski Bali,5,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Gym', 'Parking included']","{'Room Name': 'Deluxe Room, 1 Bedroom, Balcony, Garden View', 'Room Charges': '$322'}, {'Room Name': 'Deluxe Room, 1 Bedroom, Balcony, Garden View (Ocean Court)', 'Room Charges': '$343'}, {'Room Name': 'Deluxe Room, 1 Bedroom, Balcony, Garden View', 'Room Charges': '$322'}, {'Room Name': 'Deluxe Room, 1 Bedroom, Balcony, Garden View (Ocean Court)', 'Room Charges': '$343'}, {'Room Name': 'Deluxe Room, 1 Bedroom, Pool Access, Garden View (Lagoon)', 'Room Charges': '$370'}, {'Room Name': 'Deluxe Room, 1 Bedroom, Pool Access, Garden View (Lagoon)', 'Room Charges': '$370'}, {'Room Name': 'Villa, 1 Bedroom, Private Pool, Garden View', 'Room Charges': '$570'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Garden View (Junior Suite)', 'Room Charges': '$570'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Ocean View (Junior Suite)', 'Room Charges': '$649'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Garden View (Ocean Front Junior Suite)', 'Room Charges': '$676'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Garden View (Apurva Prestige Suite)', 'Room Charges': '$834'}, {'Room Name': 'Villa, 2 Bedrooms, Private Pool, Garden View', 'Room Charges': '$898'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Ocean View (Apurva Prestige Ocean Suite)', 'Room Charges': '$939'}, {'Room Name': 'Suite, 1 Bedroom, Private Pool, Ocean View (Ocean Front Prestige Suite)', 'Room Charges': '$1,045'}"
"Bali, Indonesia",The Anvaya Beach Resort Bali,5,9.2,Wonderful,"['Breakfast included', 'Pool', 'Restaurant', 'Bar', 'Gym', 'Air conditioning']","{'Room Name': 'Deluxe Room', 'Room Charges': '$141'}, {'Room Name': 'Premier Room', 'Room Charges': '$160'}, {'Room Name': 'Deluxe Room, Pool Access', 'Room Charges': '$152'}, {'Room Name': 'Premier Room (Lagoon Access)', 'Room Charges': '$200'}, {'Room Name': 'Family Room (Premier)', 'Room Charges': '$241'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$305'}, {'Room Name': 'Premier Suite', 'Room Charges': '$324'}, {'Room Name': 'The Anvaya Residence, 2 Bedrooms', 'Room Charges': '$465'}, {'Room Name': 'The Anvaya Suite', 'Room Charges': '$588'}, {'Room Name': 'The Anvaya Villa, 2 Bedrooms', 'Room Charges': '$1,708'}, {'Room Name': 'Suite, Beachfront', 'Room Charges': None}"
"Bali, Indonesia",Hilton Bali Resort,5,8.8,Excellent,"['Pool', 'Hot Tub', 'Bar', 'Breakfast available', 'Gym', 'Parking included']","{'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Room, 1 King Bed, Ocean View', 'Room Charges': '$212'}, {'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$185'}, {'Room Name': 'Room, 1 King Bed, Pool View, Tower (Cliff Tower)', 'Room Charges': '$197'}, {'Room Name': 'Room, 2 Twin Beds, Accessible, Tower (Cliff Tower)', 'Room Charges': '$197'}, {'Room Name': 'Room, 2 Twin Beds, Pool View, Tower (Cliff Tower)', 'Room Charges': '$197'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Ocean View', 'Room Charges': '$212'}, {'Room Name': 'Room, 2 Twin Beds, Accessible, Ocean View', 'Room Charges': '$212'}, {'Room Name': 'Room, 1 King Bed, Ocean View, Tower (Cliff Tower)', 'Room Charges': '$224'}, {'Room Name': 'Room, 2 Twin Beds, Ocean View, Tower (Cliff Tower)', 'Room Charges': '$224'}, {'Room Name': 'Family Room, 1 King Bed', 'Room Charges': '$232'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$247'}, {'Room Name': 'Executive Room, 2 Twin Beds', 'Room Charges': '$247'}, {'Room Name': 'Executive Room, 1 King Bed, Ocean View', 'Room Charges': '$247'}, {'Room Name': 'Executive Room, 2 Twin Beds, Ocean View', 'Room Charges': '$247'}, {'Room Name': 'Suite, 1 King Bed, Terrace, Ocean View', 'Room Charges': '$277'}, {'Room Name': 'Suite, 1 Bedroom, Ocean View', 'Room Charges': '$400'}, {'Room Name': 'Suite, 1 Bedroom, Ocean View', 'Room Charges': '$400'}, {'Room Name': 'Royal Room, 2 Bedrooms, Ocean View', 'Room Charges': '$459'}, {'Room Name': 'Villa, 1 Bedroom', 'Room Charges': '$459'}, {'Room Name': 'Presidential Suite, 2 Bedrooms, Ocean View', 'Room Charges': None}, {'Room Name': 'Presidential Villa, 3 Bedrooms', 'Room Charges': None}, {'Room Name': 'Villa, 2 Bedrooms', 'Room Charges': None}"
"Bali, Indonesia","ANDAZ BALI, BY HYATT",5,9.4,Exceptional,"['Breakfast available', 'Pool', 'Gym', 'Parking included', '24/7 front desk', 'Room service']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$389'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$399'}, {'Room Name': 'Room, 1 King Bed, Pool View', 'Room Charges': '$409'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$389'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$399'}, {'Room Name': 'Room, 2 Twin Beds, Pool View', 'Room Charges': '$409'}, {'Room Name': 'Room, 1 King Bed (Lagoon Access)', 'Room Charges': '$499'}, {'Room Name': 'Room, 2 Twin Beds (Lagoon Access)', 'Room Charges': '$499'}, {'Room Name': 'Suite (Andaz)', 'Room Charges': '$524'}, {'Room Name': 'Deluxe Suite, 1 King Bed (Andaz)', 'Room Charges': '$564'}, {'Room Name': 'Deluxe Suite, 1 King Bed (Andaz, Lagoon Access)', 'Room Charges': '$594'}, {'Room Name': 'Villa, 1 Bedroom, Garden Area (1 King Bed)', 'Room Charges': '$654'}, {'Room Name': 'Villa, 1 Bedroom, Garden Area (2 Twin Beds)', 'Room Charges': '$654'}, {'Room Name': 'Villa, 2 Bedrooms, Beach View', 'Room Charges': '$1,869'}"
"Bali, Indonesia",Grand Hyatt Bali,5,8.8,Excellent,"['Pool', 'On private beach', 'Restaurant', 'Breakfast available', 'Hot Tub', 'Bar']","{'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$203'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$213'}, {'Room Name': 'Room, 1 King Bed, Ocean View', 'Room Charges': '$228'}, {'Room Name': 'Room, 2 Twin Beds, Ocean View', 'Room Charges': '$228'}, {'Room Name': 'Club Room, 2 Twin Beds (Club Access)', 'Room Charges': '$293'}, {'Room Name': 'Club Room, 1 King Bed (Club Access)', 'Room Charges': '$293'}, {'Room Name': 'Deluxe Room, 1 King Bed (Club Access)', 'Room Charges': '$308'}, {'Room Name': 'Deluxe Room, 2 Twin Beds (Club Access)', 'Room Charges': '$308'}, {'Room Name': 'Club Room, 2 Twin Beds, Ocean View', 'Room Charges': '$333'}, {'Room Name': 'Grand Suite, 1 King Bed', 'Room Charges': '$488'}, {'Room Name': 'Executive Suite, 1 King Bed (Executive)', 'Room Charges': '$508'}, {'Room Name': 'Grand Suite, 1 King Bed (Deluxe)', 'Room Charges': '$548'}, {'Room Name': 'Ambassador Suite', 'Room Charges': '$598'}, {'Room Name': 'Grand, Executive Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Club Room, 1 King Bed, Ocean View', 'Room Charges': None}"
