Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Bangkok, Thailand","Divalux Resort & Spa Bangkok, Suvarnabhumi Airport",5.0,8.2,Very good,"['Pool', 'Free airport shuttle', 'Spa', 'Gym', 'Laundry', 'Breakfast available']",
"Bangkok, Thailand",The Landmark Bangkok,5.0,9.2,Wonderful,"['Pool', 'Breakfast available', 'Restaurant', 'Gym', 'Spa', 'Bar']",
"Bangkok, Thailand",lebua at State Tower,5.0,9.0,Wonderful,"['Breakfast included', 'Restaurant', 'Pool', 'Bar', 'Room service', 'Gym']",
"Bangkok, Thailand",The Peninsula Bangkok,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', '24/7 front desk', 'Parking included', 'Free WiFi']",
"Bangkok, Thailand",The Sukhothai Bangkok,5.0,9.2,Wonderful,"['Pool', 'Breakfast available', 'Spa', 'Gym', 'Hot Tub', 'Bar']",
"Bangkok, Thailand",Siam Kempinski Hotel Bangkok,5.0,9.6,Exceptional,"['Pool', 'Breakfast available', 'Restaurant', 'Pet friendly', 'Bar', 'Room service']",
"Bangkok, Thailand",Amari Don Muang Airport Bangkok,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Restaurant', 'Bar', 'Gym', 'Laundry']",
"Bangkok, Thailand",Grand Mercure Bangkok Atrium,5.0,8.4,Very good,"['Breakfast available', 'Bar', 'Pool', 'Spa', 'Gym', 'Room service']",
"Bangkok, Thailand",Avani+ Riverside Bangkok Hotel,5.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Pool', 'Gym', 'Bar', '24/7 front desk']",
"Bangkok, Thailand",Grande Centre Point Ratchadamri,5.0,9.2,Wonderful,"['Breakfast available', 'Spa', 'Room service', '24/7 front desk', 'Air conditioning', 'Kitchen']",
"Bangkok, Thailand",Shangri-La Bangkok,5.0,9.0,Wonderful,"['Pool', 'Bar', 'Breakfast available', 'Parking available', '24/7 front desk', 'Parking included']",
"Bangkok, Thailand",Somerset Rama 9 Bangkok,5.0,9.0,Wonderful,"['Gym', 'Breakfast available', 'Pool', 'Bar', '24/7 front desk', 'Air conditioning']",
"Bangkok, Thailand",SKYVIEW Hotel Bangkok,5.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Gym', 'Bar', 'Spa', 'Room service']",
"Bangkok, Thailand",Grande Centre Point Hotel Terminal 21,5.0,9.2,Wonderful,"['Breakfast available', 'Spa', 'Restaurant', 'Gym', 'Hot Tub', 'Pool']",
"Bangkok, Thailand",Anantara Riverside Bangkok Resort,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Restaurant', 'Spa', 'Hot Tub', 'Bar']",
"Bangkok, Thailand",The Grand Fourwings Convention Hotel,5.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', '24/7 front desk', 'Gym', 'Housekeeping']",
"Bangkok, Thailand",Grande Centre Point Ploenchit,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Spa', 'Air conditioning', 'Gym', 'Laundry']",
"Bangkok, Thailand",Banyan Tree Bangkok,5.0,9.2,Wonderful,"['Bar', 'Pool', 'Spa', 'Room service', 'Gym', 'Breakfast available']",
"Bangkok, Thailand",Dusit Princess Srinakarin,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Gym', 'Laundry']",
"Bangkok, Thailand",The Berkeley Hotel Pratunam,5.0,8.4,Very good,"['Restaurant', 'Breakfast available', 'Pool', 'Bar', 'Spa', 'Laundry']",
"Bangkok, Thailand",Cassia Rama 9 Bangkok by Banyan Group,5.0,,Good,"['Bar', 'Pool', 'Gym', 'Breakfast available', 'Laundry', 'Free WiFi']",
"Bangkok, Thailand",Valia Hotel Bangkok Sukhumvit,5.0,9.0,Wonderful,"['Breakfast available', 'Gym', 'Pool', 'Restaurant', 'Bar', 'Parking available']",
"Bangkok, Thailand",Centara Grand at CentralWorld,5.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Room service', 'Gym']",
"Bangkok, Thailand",Evergreen Laurel Hotel Bangkok,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Room service', 'Gym', 'Laundry']",
"Bangkok, Thailand",SO/ Bangkok,5.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Hot Tub', 'Bar', 'Pool', 'Spa']",
"Bangkok, Thailand",Maison Hotel Bangkok,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Gym', 'Laundry', 'Breakfast available']",
"Bangkok, Thailand",Oriental Residence Bangkok,5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Gym', 'Laundry', 'Air conditioning']",
"Bangkok, Thailand",Shama Lakeview Asoke Bangkok,5.0,8.8,Excellent,"['Pool', 'Gym', 'Restaurant', 'Bar', 'Spa', 'Room service']",
"Bangkok, Thailand",Amari Bangkok,5.0,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Pool', 'Gym', 'Bar', 'Spa']",
"Bangkok, Thailand",SILQ Hotel And Residence Managed By Ascott Limited,5.0,9.4,Exceptional,"['Gym', 'Bar', 'Pool', 'Spa', 'Room service', 'Breakfast available']",
"Bangkok, Thailand",Anantara Siam Bangkok Hotel,5.0,9.2,Wonderful,"['Breakfast available', 'Gym', 'Spa', 'Restaurant', 'Pool', 'Hot Tub']",
"Bangkok, Thailand",Ascott Embassy Sathorn,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Room service', 'Gym', 'Breakfast available', 'Laundry']",
"Bangkok, Thailand",Montien Hotel Surawong Bangkok,5.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Pool', 'Spa', 'Room service', 'Gym']",
"Bangkok, Thailand",AETAS lumpini,5.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Pool', 'Room service', 'Gym', 'Laundry']",
"Bangkok, Thailand",Montien Riverside Hotel Bangkok,5.0,8.2,Very good,"['Pool', 'Breakfast available', 'Bar', '24/7 front desk', 'Parking included', 'Room service']",
"Bangkok, Thailand",Sofitel Bangkok Sukhumvit,5.0,9.0,Wonderful,"['Restaurant', 'Breakfast available', 'Pool', 'Hot Tub', 'Bar', 'Spa']",
"Bangkok, Thailand",The Sukosol,5.0,8.6,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Room service', 'Gym', '24/7 front desk']",
"Bangkok, Thailand",NH Bangkok Sukhumvit Boulevard,5.0,8.0,Very good,"['Pool', 'Bar', 'Gym', 'Laundry', 'Air conditioning', 'Parking included']",
"Bangkok, Thailand",The Salil Sukhumvit 57 - Thonglor,5.0,8.6,Excellent,"['Pool', 'Breakfast available', 'Bar', 'Gym', 'Room service', 'Laundry']",
"Bangkok, Thailand",137 Pillars Residences Bangkok,5.0,9.2,Wonderful,"['Pool', 'Breakfast available', 'Bar', 'Spa', 'Gym', 'Laundry']",
"Bangkok, Thailand",Emporium Suites by Chatrium,5.0,8.6,Excellent,"['Gym', 'Bar', 'Spa', 'Room service', 'Breakfast available', 'Laundry']",
"Bangkok, Thailand",Ascott Thonglor Bangkok,5.0,9.2,Wonderful,"['Pool', 'Bar', '24/7 front desk', 'Air conditioning', 'Laundry', 'Gym']",
"Bangkok, Thailand",Tower Club at lebua,5.0,9.0,Wonderful,"['Bar', 'Pool', 'Breakfast included', 'Room service', 'Gym', 'Laundry']",
"Bangkok, Thailand",Swissotel Bangkok Ratchada,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Spa', '24/7 front desk', 'Air conditioning']",
"Bangkok, Thailand",INNSiDE by Meliá Bangkok Sukhumvit,5.0,9.0,Wonderful,"['Pool', 'Breakfast available', 'Pet friendly', 'Bar', '24/7 front desk', 'Air conditioning']",
"Bangkok, Thailand",Dusit Thani Bangkok,5.0,10,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Room service', 'Laundry']",
"Bangkok, Thailand",The Peninsula Bangkok,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', '24/7 front desk', 'Parking included', 'Free WiFi']",
"Bangkok, Thailand",Pullman Bangkok Hotel G,5.0,8.4,Very good,"['Bar', 'Pool', 'Spa', 'Room service', 'Gym', 'Breakfast available']",
"Bangkok, Thailand",The Sukhothai Bangkok,5.0,9.2,Wonderful,"['Pool', 'Breakfast available', 'Spa', 'Gym', 'Hot Tub', 'Bar']",
"Bangkok, Thailand","Ten Six Hundred, Chao Phraya, Bangkok by Preference, managed by The Ascott Limited",5.0,8.4,Very good,"['Pool', 'Bar', 'Breakfast available', '24/7 front desk', 'Parking included', 'Free WiFi']",
"Bangkok, Thailand","Fraser Suites Sukhumvit, Bangkok",5.0,9.0,Wonderful,"['Pool', 'Pet friendly', 'Bar', 'Gym', 'Laundry', 'Breakfast available']",
"Bangkok, Thailand",Pathumwan Princess Hotel,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Gym', 'Restaurant', 'Hot Tub', 'Bar']",
"Bangkok, Thailand",Rama Gardens Hotel Bangkok,5.0,8.2,Very good,"['Pool', 'Bar', 'Hot Tub', 'Spa', 'Gym', 'Breakfast available']",
"Bangkok, Thailand",Jasmine Grande Residence,5.0,8.2,Very good,"['Pool', '24/7 front desk', 'Air conditioning', 'Laundry', 'Gym', 'Free WiFi']",
"Bangkok, Thailand",Lumen Bangkok Srinakarin,5.0,8.4,Very good,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Gym', 'Laundry']",
"Bangkok, Thailand",VIE Hotel Bangkok - MGallery,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Hot Tub', 'Bar', 'Room service', 'Gym']",
"Bangkok, Thailand",Mövenpick BDMS Wellness Resort Bangkok,5.0,8.8,Excellent,"['Pool', 'Bar', 'Spa', 'Gym', 'Laundry', 'Breakfast available']",
"Bangkok, Thailand",137 Pillars Suites Bangkok,5.0,9.6,Exceptional,"['Pool', 'Bar', 'Spa', 'Gym', 'Room service', 'Breakfast available']",
"Bangkok, Thailand",Sivatel Bangkok,5.0,9.2,Wonderful,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Breakfast included', 'Gym']",
"Bangkok, Thailand",King Park Avenue Hotel,5.0,,Good,"['Pool', 'Hot Tub', 'Bar', 'Spa', 'Gym', '24/7 front desk']",
"Bangkok, Thailand",Emerald Hotel Bangkok,5.0,8.0,Very good,"['Pool', 'Spa', 'Parking available', '24/7 front desk', 'Air conditioning', 'Laundry']",
