Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Barcelona, Spain",Barceló Raval,5,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Gym', 'Bar', 'Pool', 'Laundry']","{'Room Name': 'Superior Room', 'Room Charges': '$131'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$158'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$184'}, {'Room Name': 'Room (2x2 interconnecting rooms)', 'Room Charges': '$263'}"
"Barcelona, Spain",Sonder Casa Luz,4,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Air conditioning', '24/7 front desk', 'Outdoor Space', 'Housekeeping']","{'Room Name': 'Double or Twin Room, 2 Twin Beds, Balcony', 'Room Charges': '$120'}, {'Room Name': 'Room, 1 Queen Bed, Balcony, City View', 'Room Charges': '$129'}, {'Room Name': 'Double or Twin Room, 2 Twin Beds, Terrace', 'Room Charges': '$153'}, {'Room Name': 'Single Room, 1 Twin Bed, Balcony', 'Room Charges': None}, {'Room Name': 'Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Superior Room, 1 King Bed, Terrace', 'Room Charges': None}, {'Room Name': 'Quadruple Room, Multiple Beds, Balcony', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Balcony', 'Room Charges': None}"
"Barcelona, Spain",Hotel Barcelona Universal,4,8.8,Excellent,"['Breakfast available', 'Pool', 'Restaurant', 'Bar', 'Gym', 'Room service']","{'Room Name': 'Standard Room', 'Room Charges': '$86'}, {'Room Name': 'Superior', 'Room Charges': '$94'}, {'Room Name': 'Privilege', 'Room Charges': '$124'}, {'Room Name': 'Triple Room', 'Room Charges': '$144'}"
"Barcelona, Spain",INNSiDE by Melia Barcelona Apolo,4,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Gym', 'Pet friendly', 'Room service', 'Parking available']","{'Room Name': 'Innside, Room', 'Room Charges': '$105'}, {'Room Name': 'The Innside Room Extra Space', 'Room Charges': '$108'}, {'Room Name': 'Studio (Extra Space)', 'Room Charges': '$113'}, {'Room Name': 'Studio, City View', 'Room Charges': '$117'}, {'Room Name': 'The Innside Room', 'Room Charges': '$124'}, {'Room Name': 'Innside Room Extra Space', 'Room Charges': '$128'}, {'Room Name': 'Studio, Balcony', 'Room Charges': '$130'}, {'Room Name': 'The Studio Extra Space', 'Room Charges': '$134'}, {'Room Name': 'Loft', 'Room Charges': '$136'}, {'Room Name': 'Room (The Townhouse)', 'Room Charges': '$140'}, {'Room Name': 'Loft (2+1)', 'Room Charges': '$159'}, {'Room Name': 'Room (The Townhouse 2+1)', 'Room Charges': '$163'}"
"Barcelona, Spain",B&B Hotel Barcelona Viladecans,3,8.4,Very good,"['Breakfast available', '24/7 front desk', 'Pet friendly', 'Parking included', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$78'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$84'}, {'Room Name': 'Double Room', 'Room Charges': None}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}"
"Barcelona, Spain",Rialto,3,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Room service', 'Laundry', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Triple 2', 'Room Charges': '$91'}, {'Room Name': 'Double Room', 'Room Charges': '$91'}, {'Room Name': 'Double/Twin Standard', 'Room Charges': '$93'}, {'Room Name': 'Triple 2 People', 'Room Charges': '$93'}, {'Room Name': 'Triple Room', 'Room Charges': '$127'}, {'Room Name': 'Double/Twin + Extra Bed', 'Room Charges': '$130'}, {'Room Name': 'Suite Miró', 'Room Charges': '$281'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Quadruple Room', 'Room Charges': None}, {'Room Name': 'Suite Miro DUI', 'Room Charges': None}, {'Room Name': 'Triple 1 adulto', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Barcelona, Spain",Hotel ILUNION Les Corts Spa,4,8.4,Very good,"['Breakfast available', 'Bar', 'Pool', 'Spa', 'Pet friendly', 'Gym']","{'Room Name': 'Double Room', 'Room Charges': '$62'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$69'}, {'Room Name': 'Executive Room', 'Room Charges': '$72'}, {'Room Name': 'Triple Room', 'Room Charges': '$72'}, {'Room Name': 'Double Room Pet Friendly', 'Room Charges': '$82'}, {'Room Name': 'Triple Room 2 Adults + One Child', 'Room Charges': '$96'}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Barcelona, Spain",Vincci Bit,4,8.8,Excellent,"['Breakfast available', 'Bar', 'Room service', 'Housekeeping', 'Gym', '24/7 front desk']","{'Room Name': 'Economy Room', 'Room Charges': '$58'}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$65'}, {'Room Name': 'Premium Double Room', 'Room Charges': '$84'}, {'Room Name': 'Premium Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Double or Twin Room (With an Extra Bed)', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Economy Single Room', 'Room Charges': None}"
"Barcelona, Spain",45 Times Barcelona,5,9.2,Wonderful,"['Pet friendly', 'Bar', 'Pool', 'Parking available', 'Gym', 'Breakfast available']","{'Room Name': 'Classic Double Room', 'Room Charges': '$202'}, {'Room Name': 'Deluxe Double Room, City View', 'Room Charges': None}, {'Room Name': 'Superior Double Room, City View', 'Room Charges': None}, {'Room Name': 'Deluxe Room, Terrace', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room Single Use, City View', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use, City View', 'Room Charges': None}, {'Room Name': 'Classic Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room Single Use, Terrace, Corner', 'Room Charges': None}, {'Room Name': 'Suite (Barcelona)', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Suite (Barcelona, Single Use)', 'Room Charges': None}, {'Room Name': 'Deluxe Room, Terrace, Corner', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room Single Use, Terrace', 'Room Charges': None}, {'Room Name': 'Suite (Tower, Single Use)', 'Room Charges': None}, {'Room Name': 'Suite (Tower)', 'Room Charges': None}"
"Barcelona, Spain",Uma Suites Sagrada Familia,3,8.6,Excellent,"['Washer', 'Kitchen', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Superior Apartment, City View', 'Room Charges': '$88'}, {'Room Name': 'Deluxe Apartment, City View', 'Room Charges': None}, {'Room Name': 'Studio, City View', 'Room Charges': None}"
