Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Basel, Switzerland",Essential by Dorint Basel City,4.0,8.8,Excellent,"['Bar', 'Parking available', 'Gym', 'Breakfast available', '24/7 front desk', 'Room service']","{'Room Name': 'Essential Double Room', 'Room Charges': '$202'}, {'Room Name': 'Essential Single Room', 'Room Charges': None}, {'Room Name': 'Essential Triple Room', 'Room Charges': None}, {'Room Name': 'Apartment', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}"
"Basel, Switzerland",Hotel Victoria,4.0,9.6,Exceptional,"['Bar', 'Parking available', 'Gym', 'Breakfast available', '24/7 front desk', 'Room service']","{'Room Name': 'Classic Queen Room', 'Room Charges': '$182'}"
"Basel, Switzerland",Essential by Dorint Basel City,4.0,8.8,Excellent,"['Breakfast available', 'Parking available', 'Bar', 'Gym', '24/7 front desk', 'Room service']","{'Room Name': 'Essential Double Room', 'Room Charges': '$202'}, {'Room Name': 'Essential Single Room', 'Room Charges': None}, {'Room Name': 'Essential Triple Room', 'Room Charges': None}, {'Room Name': 'Apartment', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}"
"Basel, Switzerland","Holiday Inn Express & Suites Basel Allschwil, an IHG Hotel",3.0,9.4,Exceptional,"['Gym', 'Bar', '24/7 front desk', 'Breakfast included', 'Laundry', 'Air conditioning']","{'Room Name': 'Standard Room', 'Room Charges': '$174'}, {'Room Name': 'Suite', 'Room Charges': '$196'}, {'Room Name': 'Standard Room, 1 Queen Bed, Accessible', 'Room Charges': '$174'}, {'Room Name': 'Suite, 1 Queen Bed', 'Room Charges': '$289'}, {'Room Name': 'Suite, 1 Queen Bed, Accessible', 'Room Charges': '$289'}, {'Room Name': 'Suite, 1 Queen Bed with Sofa bed', 'Room Charges': '$289'}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}"
"Basel, Switzerland",GAIA Hotel Basel - the sustainable hotel,4.0,9.6,Exceptional,"['Bar', 'Spa', 'Parking available', 'Breakfast included', '24/7 front desk', 'Room service']","{'Room Name': 'Comfort Double or Twin Room, 1 Bedroom', 'Room Charges': '$291'}, {'Room Name': 'Economy Single Room, 1 Twin Bed', 'Room Charges': None}"
"Basel, Switzerland",Dasbreitehotel,3.0,9.0,Wonderful,"['Parking available', 'Breakfast available', 'Housekeeping', 'Laundry', 'Pet friendly', 'Free WiFi']","{'Room Name': 'Design Twin Room', 'Room Charges': '$158'}"
"Basel, Switzerland",Airport Hotel Basel,3.0,8.8,Excellent,"['Free airport shuttle', 'Gym', 'Bar', 'Spa', '24/7 front desk', 'Room service']","{'Room Name': 'Business Double Room', 'Room Charges': '$208'}, {'Room Name': 'Triple Room', 'Room Charges': '$275'}, {'Room Name': 'Family Room', 'Room Charges': '$297'}, {'Room Name': 'Business Single Room', 'Room Charges': None}"
"Basel, Switzerland",Mercure Bale Mulhouse Aeroport,4.0,9.0,Wonderful,"['Free airport shuttle', 'Pool', 'Spa', 'Breakfast available', 'Bar', 'Parking included']","{'Room Name': 'Classic Room, 1 Double Bed', 'Room Charges': '$127'}, {'Room Name': 'Privilege, Room, 1 Double Bed', 'Room Charges': '$149'}"
"Basel, Switzerland",Alfa Hotel,3.0,8.0,Very good,"['Breakfast available', 'Housekeeping', 'Laundry', 'Pet friendly', 'Parking included', 'Free WiFi']","{'Room Name': 'Modern Comfort Room', 'Room Charges': '$145'}, {'Room Name': 'Modern Queen Room', 'Room Charges': None}, {'Room Name': 'Modern Single Room with balcony', 'Room Charges': None}, {'Room Name': 'Modern Triple Room', 'Room Charges': None}, {'Room Name': 'Family Suite with balcony', 'Room Charges': None}, {'Room Name': 'Modern Single Room', 'Room Charges': None}"
"Basel, Switzerland",B&B Hotel Mulhouse Bâle Aéroport,3.0,8.0,Good,"['Breakfast available', 'Air conditioning', 'Pet friendly', 'Parking included', 'Free WiFi']","{'Room Name': 'Double Room, Non Smoking', 'Room Charges': '$90'}, {'Room Name': 'Comfort Double Room, Non Smoking', 'Room Charges': '$100'}, {'Room Name': 'Quadruple Room, Non Smoking', 'Room Charges': '$165'}"
"Basel, Switzerland",Arrow Hotel,,9.2,Wonderful,"['Breakfast available', 'Housekeeping', 'Pet friendly', 'Air conditioning', 'Parking included', 'Free WiFi']","{'Room Name': 'Premium Room', 'Room Charges': '$123'}"
"Basel, Switzerland",Courtyard by Marriott Basel,4.0,8.4,Very good,"['Bar', 'Hot Tub', 'Pool', 'Gym', 'Parking available', 'Spa']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$164'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$164'}"
"Basel, Switzerland",Hotel - Restaurant Adler,,9.0,Wonderful,"['Spa', 'Breakfast available', 'Housekeeping', 'Parking included', 'Free WiFi', 'Restaurant']","{'Room Name': 'Superior Double Room', 'Room Charges': '$151'}, {'Room Name': 'Standard Double Room', 'Room Charges': None}, {'Room Name': 'Comfort Double Room', 'Room Charges': None}, {'Room Name': 'Deluxe Single Room', 'Room Charges': None}, {'Room Name': 'Comfort Single Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room', 'Room Charges': None}"
"Basel, Switzerland",Hotel Stadt Lörrach,,9.2,Wonderful,"['Breakfast available', 'Bar', '24/7 front desk', 'Gym', 'Room service', 'Parking available']","{'Room Name': 'Classic Double Room', 'Room Charges': '$196'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$207'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$219'}, {'Room Name': 'Executive Suite', 'Room Charges': '$252'}, {'Room Name': 'Premier Suite, City View', 'Room Charges': '$320'}, {'Room Name': 'Studio', 'Room Charges': None}, {'Room Name': 'Apartment, 1 Bedroom', 'Room Charges': None}"
"Basel, Switzerland",Landgasthof Ruhrberger Hof,3.0,9.4,Exceptional,"['Breakfast included', 'Housekeeping', 'Laundry', 'Air conditioning', 'Pet friendly', 'Parking included']","{'Room Name': 'Double Room', 'Room Charges': '$145'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$167'}"
"Basel, Switzerland",Hotel Eremitage,3.0,8.8,Excellent,"['Pool', 'Bar', 'Spa', 'Room service', 'Breakfast included', 'Parking available']","{'Room Name': 'Economy Double Room', 'Room Charges': '$181'}, {'Room Name': 'Comfort Double Room', 'Room Charges': '$198'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$209'}, {'Room Name': 'Economy Triple Room', 'Room Charges': '$250'}, {'Room Name': 'Comfort Single Room', 'Room Charges': None}"
"Basel, Switzerland",2Places Side,,,Good,"['Breakfast available', 'Parking available', 'Laundry', 'Pet friendly', 'Free WiFi']","{'Room Name': 'Comfort Double Room', 'Room Charges': '$83'}, {'Room Name': 'Comfort Single Room', 'Room Charges': None}"
"Basel, Switzerland",Hotel Gasthof zum Ochsen,4.0,9.2,Wonderful,"['Parking available', 'Breakfast included', 'Room service', 'Pet friendly', 'Laundry', 'Housekeeping']","{'Room Name': 'Economy Double Room, 1 Queen Bed', 'Room Charges': '$215'}, {'Room Name': 'Business Double Room, 1 Queen Bed', 'Room Charges': '$236'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': None}, {'Room Name': 'Classic Double Room', 'Room Charges': None}, {'Room Name': 'Suite', 'Room Charges': None}"
"Basel, Switzerland",ibis budget Basel Pratteln,1.0,8.8,Good,"['Parking available', 'Breakfast available', '24/7 front desk', 'Pet friendly', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Double Room, Multiple Beds', 'Room Charges': '$94'}, {'Room Name': 'Twin Room, 2 Twin Beds', 'Room Charges': '$94'}"
"Basel, Switzerland",Kloster Dornach,2.0,8.4,Very good,"['Breakfast available', 'Pet friendly', 'Laundry', 'Housekeeping', 'Parking included', 'Free WiFi']","{'Room Name': 'Basic Double Room, Shared Bathroom', 'Room Charges': '$163'}, {'Room Name': 'Superior Room', 'Room Charges': '$190'}, {'Room Name': 'Basic Single Room, Shared Bathroom', 'Room Charges': None}"
"Basel, Switzerland",Pension Lefebvre,,,Good,"['Housekeeping', 'Kitchen', 'Laundry', 'Parking included', 'Free WiFi']","{'Room Name': 'Double Room, Shared Bathroom', 'Room Charges': '$132'}, {'Room Name': 'Twin Room, Private Bathroom', 'Room Charges': '$187'}, {'Room Name': 'Quadruple Room, Private Bathroom', 'Room Charges': '$249'}, {'Room Name': 'Basic Single Room, Shared Bathroom', 'Room Charges': None}"
"Basel, Switzerland",Hotel Rheinbrücke,3.0,8.6,Excellent,"['Bar', 'Gym', 'Breakfast included', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Double Room, 1 King Bed, Non Smoking', 'Room Charges': '$136'}, {'Room Name': 'Triple Room, 3 Twin Beds, Non Smoking', 'Room Charges': '$162'}, {'Room Name': 'Single Room, 1 Double Bed, Non Smoking', 'Room Charges': None}"
"Basel, Switzerland",ibis Styles Bâle-Mulhouse Aéroport,,8.0,Very good,"['Bar', 'Breakfast available', 'Parking available', '24/7 front desk', 'Gym', 'Housekeeping']",
"Basel, Switzerland",Hotel Bienenberg,3.0,8.2,Very good,"['Breakfast included', 'Laundry', 'Housekeeping', 'Parking included', 'Free WiFi', 'Restaurant']",
"Basel, Switzerland",Business Hotel Riverside,3.0,,,"['Breakfast included', 'Housekeeping', 'Parking included', 'Pet friendly', 'Free WiFi']","{'Room Name': 'Double or Twin Room, Balcony, River View', 'Room Charges': '$221'}, {'Room Name': 'Classic Double Room Single Use, Balcony, River View', 'Room Charges': '$221'}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Basel, Switzerland",Klosterhotel Kreuz,3.0,9.4,Exceptional,"['Breakfast included', 'Housekeeping', 'Pet friendly', 'Parking included', 'Free WiFi', 'Restaurant']","{'Room Name': 'Basic Double Room', 'Room Charges': '$207'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$230'}, {'Room Name': 'Standard Single Room', 'Room Charges': None}"
"Basel, Switzerland",Landgasthaus Hotel Maien,3.0,9.0,Wonderful,"['Room service', 'Breakfast included', 'Housekeeping', 'Laundry', 'Pet friendly', 'Parking included']","{'Room Name': 'Comfort Double or Twin Room', 'Room Charges': '$132'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$154'}, {'Room Name': 'Basic Single Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room Single Use, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Comfort Double Room Single Use, 1 Queen Bed', 'Room Charges': None}"
