Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Beijing, China",Sunworld Hotel Beijing Wangfujing,4.0,8.0,Very good,"['Restaurant', 'Breakfast available', 'Bar', 'Air conditioning', 'Gym', '24/7 front desk']",
"Beijing, China",Sunworld Dynasty Hotel Beijing Wangfujing,5.0,8.4,Very good,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Gym', '24/7 front desk']",
"Beijing, China",Novotel Beijing Peace,4.0,8.0,Very good,"['Breakfast available', 'Hot Tub', 'Pool', 'Bar', 'Air conditioning', 'Gym']",
"Beijing, China",Four Seasons Hotel Beijing,5.0,9.6,Exceptional,"['Spa', 'Pool', 'Hot Tub', 'Bar', 'Room service', 'Gym']",
"Beijing, China",Fairmont Beijing,5.0,9.0,Wonderful,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Parking available', 'Housekeeping']",
"Beijing, China",Mercure Beijing Downtown,4.0,,Good,"['Bar', 'Pool', 'Parking available', 'Gym', 'Breakfast available', '24/7 front desk']",
"Beijing, China",King Parkview Hotel,4.0,,Good,"['Housekeeping', '24/7 front desk', 'Air conditioning', 'Free WiFi']",
"Beijing, China",Inner Mongolia Grand Hotel Wangfujing,4.0,8.6,Excellent,"['Breakfast available', 'Bar', 'Laundry', 'Gym', '24/7 front desk', 'Parking available']",
"Beijing, China",Empark Prime Hotel Beijing,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Gym', '24/7 front desk', 'Housekeeping']",
"Beijing, China",Grand Mercure Beijing Central,4.0,,Good,"['Pool', 'Bar', 'Gym', 'Parking included', 'Air conditioning', 'Breakfast available']",
"Beijing, China",LiveFortuna Hotel,3.0,9.0,Wonderful,"['Breakfast available', 'Housekeeping', 'Gym', 'Bar', 'Pool', 'Free WiFi']",
"Beijing, China",Shangri-La Beijing,5.0,8.8,Excellent,"['Bar', 'Air conditioning', 'Parking included', 'Spa', 'Pool', 'Breakfast available']",
"Beijing, China",Howard Johnson Paragon Hotel Beijing,4.0,,Good,"['Bar', 'Room service', 'Breakfast available', 'Air conditioning', 'Gym', 'Housekeeping']",
"Beijing, China",Guanganmen Grand Metropark Hotel Beijing,4.0,8.4,Very good,"['Pool', 'Air conditioning', 'Breakfast available', 'Room service', 'Housekeeping', 'Laundry']",
"Beijing, China",Swissôtel Beijing Hong Kong Macau Center,4.0,8.2,Very good,"['Pool', 'Bar', 'Gym', 'Air conditioning', 'Housekeeping', 'Laundry']",
"Beijing, China",Artyzen Habitat Dongzhimen Beijing,5.0,9.2,Wonderful,"['Bar', 'Parking included', 'Air conditioning', 'Pet friendly', 'Housekeeping', 'Free WiFi']",
"Beijing, China",Kempinski Hotel Beijing Yansha Center,5.0,8.6,Excellent,"['Pool', 'Bar', 'Parking available', 'Room service', 'Gym', '24/7 front desk']",
"Beijing, China","Kerry Hotel, Beijing",5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Parking available', 'Housekeeping']",
"Beijing, China","China World Hotel, Beijing",5.0,9.0,Wonderful,"['Pool', 'Bar', 'Air conditioning', 'Housekeeping', 'Gym', 'Breakfast available']",
"Beijing, China",JEN Beijing by Shangri-La,5.0,9.4,Exceptional,"['Gym', 'Pool', 'Spa', 'Bar', 'Housekeeping', 'Room service']",
"Beijing, China",The Peninsula Beijing,5.0,9.6,Exceptional,"['Pool', 'Bar', 'Spa', 'Gym', '24/7 front desk', 'Room service']",
"Beijing, China",The Kunlun Beijing,5.0,8.4,Very good,"['Pool', 'Bar', 'Spa', 'Gym', 'Room service', 'Breakfast available']",
"Beijing, China",Ascott Riverside Garden Beijing,4.0,8.2,Very good,"['Washer', '24/7 front desk', 'Breakfast available', 'Kitchen', 'Air conditioning', 'Dryer']",
"Beijing, China",Guipu Courtyard Hotel,3.0,,Good,"['Room service', 'Laundry', '24/7 front desk', 'Housekeeping', 'Free WiFi', 'Air conditioning']",
"Beijing, China",AC Embassy Hotel,4.0,,Good,"['Parking available', 'Air conditioning', 'Housekeeping', 'Laundry', '24/7 front desk', 'Breakfast available']",
"Beijing, China",Sofitel Beijing Central,5.0,8.8,Excellent,"['Pool', 'Hot Tub', 'Spa', 'Parking available', 'Gym', 'Room service']",
"Beijing, China","China World Summit Wing, Beijing",5.0,9.2,Wonderful,"['Pool', 'Hot Tub', 'Bar', 'Spa', 'Air conditioning', 'Parking available']",
"Beijing, China",Kuntai Hotel Beijing,5.0,,Good,"['Bar', 'Pool', 'Parking included', 'Spa', 'Free WiFi', 'Breakfast available']",
"Beijing, China",Ascott Raffles City Beijing,5.0,9.0,Wonderful,"['Washer', 'Pool', '24/7 front desk', 'Housekeeping', 'Free WiFi', 'Kitchen']",
"Beijing, China",Pullman Beijing South,5.0,8.0,Very good,"['Pool', 'Bar', 'Parking included', 'Housekeeping', 'Air conditioning', 'Gym']",
"Beijing, China",The PuXuan Hotel and Spa,5.0,9.6,Exceptional,"['Bar', 'Spa', 'Parking available', 'Gym', '24/7 front desk', 'Room service']",
"Beijing, China",Mercure Wanshang Beijing,4.0,8.2,Very good,"['Pool', 'Bar', 'Gym', 'Room service', 'Air conditioning', 'Laundry']",
"Beijing, China",EAST Beijing,5.0,9.2,Wonderful,"['Bar', 'Pool', 'Parking available', 'Gym', '24/7 front desk', 'Breakfast available']",
"Beijing, China",Super House International,4.0,,Good,"['Parking included', 'Gym', 'Air conditioning', '24/7 front desk', 'Housekeeping', 'Breakfast available']",
"Beijing, China",Somerset Daxing Beijing,4.0,10,Exceptional,"['Pool', 'Spa', 'Parking included', 'Breakfast available', 'Air conditioning', '24/7 front desk']",
"Beijing, China",CHAO Sanlitun Beijing,5.0,9.6,Exceptional,"['Bar', 'Parking included', 'Air conditioning', 'Housekeeping', 'Free WiFi', 'Gym']",
"Beijing, China",CITIC Hotel Beijing Airport,4.0,,Good,"['Breakfast available', 'Free airport shuttle', 'Bar', 'Pool', 'Pet friendly', 'Gym']",
"Beijing, China",Pan Pacific Beijing,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Room service', 'Breakfast available']",
"Beijing, China","Shangri-La Shougang Park, Beijing",5.0,9.4,Exceptional,"['Bar', 'Pool', 'Free WiFi', 'Parking included', 'Gym', 'Laundry']",
"Beijing, China","Cordis, Beijing Capital Airport by Langham Hospitality Group",5.0,9.0,Wonderful,"['Free airport shuttle', 'Breakfast available', 'Bar', 'Pool', 'Parking included', 'Gym']",
"Beijing, China",Hotel Eclat Beijing,5.0,9.6,Exceptional,"['Bar', 'Air conditioning', 'Parking available', 'Housekeeping', 'Gym', 'Breakfast available']",
"Beijing, China",The Mumian at Beijing Daxing International Airport,4.0,10,Exceptional,"['Breakfast available', 'Housekeeping', 'Gym', 'Bar', 'Air conditioning', 'Pool']",
"Beijing, China","Mandarin Oriental Qianmen, Beijing",5.0,,,"['Pet friendly', 'Laundry', 'Housekeeping', '24/7 front desk', 'Air conditioning', 'Breakfast included']",
"Beijing, China",Beijing Yilejia Apartment,3.0,8.0,Very good,"['Air conditioning', 'Free WiFi', 'Parking available']",
"Beijing, China",Beijing Huatongxin Hotel,3.0,,,"['Breakfast available', 'Parking available', 'Housekeeping', 'Parking included', 'Air conditioning', '24/7 front desk']",
"Beijing, China",Grand Hyatt Beijing,5.0,9.2,Wonderful,"['Pool', 'Spa', 'Gym', '24/7 front desk', 'Housekeeping', 'Laundry']",
"Beijing, China",New World Beijing Hotel,5.0,9.4,Exceptional,"['Laundry', 'Housekeeping', '24/7 front desk', 'Air conditioning', 'Breakfast available', 'Bar']",
"Beijing, China",The St. Regis Beijing,5.0,9.2,Wonderful,"['Pool', 'Bar', 'Spa', 'Parking available', 'Gym', 'Room service']",
"Beijing, China",JW Marriott Hotel Beijing Central,5.0,9.2,Wonderful,"['Pool', 'Hot Tub', 'Bar', 'Air conditioning', 'Room service', 'Breakfast available']",
"Beijing, China",Park Plaza Beijing Wangfujing,4.0,9.2,Wonderful,"['Bar', 'Air conditioning', 'Gym', 'Breakfast available', '24/7 front desk', 'Housekeeping']",
"Beijing, China",Waldorf Astoria Beijing,5.0,9.6,Exceptional,"['Pool', 'Hot Tub', 'Bar', 'Spa', 'Parking available', 'Gym']",
"Beijing, China",base-Wangfujing Serviced Apartment,4.0,9.2,Wonderful,"['Housekeeping', '24/7 front desk', 'Kitchen', 'Air conditioning', 'Laundry', 'Free WiFi']",
"Beijing, China",Beijing Pudi Hotel,4.0,8.6,Excellent,"['Breakfast available', 'Restaurant', 'Pool', 'Hot Tub', 'Bar', 'Spa']",
"Beijing, China",,,,,[],
"Beijing, China",Renaissance Beijing Wangfujing Hotel,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Hot Tub', 'Bar', 'Parking available', 'Gym']",
"Beijing, China","Mandarin Oriental Wangfujing, Beijing",5.0,9.4,Exceptional,"['Pool', 'Parking included', 'Bar', 'Spa', 'Gym', '24/7 front desk']",
"Beijing, China",Grand Millennium Beijing,5.0,8.8,Excellent,"['Pool', 'Hot Tub', 'Bar', 'Air conditioning', 'Housekeeping', 'Gym']",
"Beijing, China","Crowne Plaza Beijing Chaoyang U-Town, an IHG Hotel",5.0,8.8,Excellent,"['Pool', 'Parking included', 'Spa', 'Bar', 'Gym', 'Housekeeping']",
"Beijing, China",Grand Hotel Beijing,5.0,8.4,Very good,"['Pool', 'Bar', 'Parking available', 'Gym', '24/7 front desk', 'Housekeeping']",
"Beijing, China",Conrad Beijing,5.0,9.2,Wonderful,"['Pool', 'Spa', 'Air conditioning', 'Parking available', 'Housekeeping', 'Free WiFi']",
"Beijing, China",The Ritz-Carlton Beijing Financial Street,5.0,8.8,Excellent,"['Pool', 'Hot Tub', 'Parking included', 'Bar', 'Spa', 'Air conditioning']",
"Beijing, China",The Westin Beijing Chaoyang,5.0,8.8,Excellent,"['Pool', 'Bar', 'Spa', 'Parking available', 'Room service', 'Gym']",
"Beijing, China","The Ritz-Carlton, Beijing",5.0,8.8,Excellent,"['Pool', 'Hot Tub', 'Bar', 'Spa', 'Air conditioning', 'Parking available']",
"Beijing, China",The Westin Beijing Financial Street,5.0,8.6,Excellent,"['Pool', 'Bar', 'Air conditioning', 'Parking available', 'Room service', 'Breakfast available']",
"Beijing, China",Yunju Hotel Beijing Yonghe Palace Guijie Siheyuan,3.0,9.0,Wonderful,"['Breakfast available', 'Housekeeping', 'Laundry', 'Air conditioning', '24/7 front desk', 'Free WiFi']",
"Beijing, China","The Imperial Mansion, Beijing Marriott Executive Apartments",5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Parking included', 'Gym', '24/7 front desk', 'Housekeeping']",
"Beijing, China",Hilton Beijing,5.0,8.2,Very good,"['Hot Tub', 'Pool', 'Bar', 'Parking included', 'Spa', 'Room service']",
"Beijing, China",DoubleTree by Hilton Beijing,5.0,8.0,Very good,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Room service', 'Breakfast available']",
"Beijing, China",Beijing Marriott Hotel Northeast,5.0,9.0,Wonderful,"['Breakfast available', 'Hot Tub', 'Pool', 'Bar', 'Parking available', 'Room service']",
"Beijing, China",NUO Hotel Beijing,5.0,9.6,Exceptional,"['Bar', 'Pool', 'Spa', 'Parking available', 'Free WiFi', 'Breakfast available']",
"Beijing, China","Holiday Inn Beijing Deshengmen, an IHG Hotel",4.0,8.4,Very good,"['Bar', 'Parking available', '24/7 front desk', 'Gym', 'Breakfast available', 'Housekeeping']",
"Beijing, China",Sheraton Beijing Lize Hotel,5.0,9.8,Exceptional,"['Bar', 'Air conditioning', 'Spa', 'Pool', 'Breakfast available', 'Parking available']",
"Beijing, China","Holiday Inn Express Beijing Temple of Heaven, an IHG Hotel",4.0,8.0,Very good,"['Gym', 'Housekeeping', 'Laundry', '24/7 front desk', 'Breakfast included', 'Air conditioning']",
"Beijing, China","The Sandalwood, Beijing - Marriott Executive Apartments",5.0,9.4,Exceptional,"['Pool', 'Parking included', 'Gym', 'Housekeeping', 'Room service', '24/7 front desk']",
