Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Berlin, Germany",NH Berlin Kurfürstendamm,4,9.2,Wonderful,"['Bar', 'Parking available', 'Gym', 'Room service', 'Pet friendly', 'Housekeeping']","{'Room Name': 'Standard Room (2 Ad + 1 Ch)', 'Room Charges': '$179'}, {'Room Name': 'Standard Room', 'Room Charges': '$190'}, {'Room Name': 'Standard Room', 'Room Charges': '$179'}, {'Room Name': 'Standard Room (Extra Bed 2 Adults + 1 Child)', 'Room Charges': '$190'}, {'Room Name': 'Standard Room (3 Ad)', 'Room Charges': '$233'}, {'Room Name': 'Standard Room (Extra Bed 3 Adults)', 'Room Charges': '$247'}, {'Room Name': 'Superior Room (Extra Large ExtraBed 2Adults+1Child)', 'Room Charges': None}, {'Room Name': 'Superior Room (Extra Large Extra Bed 3 Adults)', 'Room Charges': None}, {'Room Name': 'Superior Room (Extra Large)', 'Room Charges': None}, {'Room Name': 'Superior Room', 'Room Charges': None}, {'Room Name': 'Family Room (2 Adults + 2 Children)', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Standard Triple Room', 'Room Charges': None}, {'Room Name': 'Junior Suite (Extra Bed 2 Adults + 2 Children)', 'Room Charges': None}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Standard Single Room', 'Room Charges': None}, {'Room Name': 'Junior Suite (Extra Bed 3 Adults + 1 Child)', 'Room Charges': None}"
"Berlin, Germany","Hotel Berlin, Berlin, a member of Radisson Individuals",,8.2,Very good,"['Breakfast available', 'Gym', 'Bar', 'Spa', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Standard Room', 'Room Charges': '$129'}, {'Room Name': 'Superior Room', 'Room Charges': '$132'}, {'Room Name': 'Standard Room (Cosy Small )', 'Room Charges': '$205'}, {'Room Name': 'Room (Individual)', 'Room Charges': None}"
"Berlin, Germany",TITANIC Comfort Berlin Mitte,,8.4,Very good,"['Breakfast available', '24/7 front desk', 'Bar', 'Parking available', 'Pet friendly', 'Housekeeping']","{'Room Name': 'Standard Double Room', 'Room Charges': '$103'}, {'Room Name': 'Business Double Room', 'Room Charges': '$109'}, {'Room Name': 'Business Twin Room', 'Room Charges': '$109'}"
"Berlin, Germany",Hotel Riu Plaza Berlin,,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Parking available', 'Housekeeping', '24/7 front desk', 'Bar']",
"Berlin, Germany",Maritim proArte Hotel Berlin,,8.8,Excellent,"['Pool', 'Restaurant', 'Bar', 'Spa', 'Gym', 'Room service']","{'Room Name': 'Classic Double Room', 'Room Charges': '$153'}, {'Room Name': 'Classic Room', 'Room Charges': '$157'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$197'}, {'Room Name': 'Superior Room', 'Room Charges': '$202'}"
"Berlin, Germany",IntercityHotel Berlin Airport BER Terminal 1+2,,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Spa', 'Gym', '24/7 front desk']","{'Room Name': 'Business Double Room', 'Room Charges': '$122'}, {'Room Name': 'Business Double Room', 'Room Charges': '$126'}, {'Room Name': 'Business Twin Room', 'Room Charges': '$122'}, {'Room Name': 'Business Twin Room', 'Room Charges': '$126'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$137'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$142'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$144'}, {'Room Name': 'Superior Double Room (Special)', 'Room Charges': '$160'}"
"Berlin, Germany","Holiday Inn - the niu, Dwarf Berlin Schöneberg",,8.8,Excellent,"['Breakfast available', '24/7 front desk', 'Bar', 'Parking available', 'Pet friendly', 'Air conditioning']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$148'}, {'Room Name': 'Standard Room', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 1 Queen Bed, Accessible Bathtub', 'Room Charges': None}"
"Berlin, Germany",Hilton Berlin,,8.4,Very good,"['Breakfast available', 'Pool', 'Gym', 'Restaurant', 'Spa', 'Bar']","{'Room Name': 'King Guest Room, 1 King Bed', 'Room Charges': '$216'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$226'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$226'}, {'Room Name': 'King Guest Room with Dome View, 1 King Bed', 'Room Charges': '$255'}, {'Room Name': 'King Executive Room, 1 King Bed (Lounge Access)', 'Room Charges': '$315'}, {'Room Name': 'Twin Executive Room, 2 Single Beds (Lounge Access)', 'Room Charges': '$315'}, {'Room Name': 'Corner Suite, 1 King Bed (Dome View, Lounge Access)', 'Room Charges': None}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': None}, {'Room Name': 'Deluxe Studio, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Duplex Suite, 1 King Bed (Dome View, Lounge Access)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed (Dome View, Lounge Access)', 'Room Charges': None}, {'Room Name': 'King Executive Room with Dome View, 1 King Bed (Lounge Access)', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Executive Studio, 1 King Bed (Lounge Access)', 'Room Charges': None}, {'Room Name': 'Twin Guest Room, 2 Single Beds', 'Room Charges': None}, {'Room Name': 'Twin Executive Room with Dome View, 2 Single Beds (Lounge Access)', 'Room Charges': None}, {'Room Name': 'Presidential Suite, 1 King Bed (Dome View, Lounge Access)', 'Room Charges': None}, {'Room Name': 'Twin Guest Room with Dome View, 2 Single Beds', 'Room Charges': None}, {'Room Name': 'King Deluxe Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Twin Deluxe Room, 2 Single Beds', 'Room Charges': None}, {'Room Name': 'Dome Suite, 1 King Bed (Dome View, Lounge Access)', 'Room Charges': None}, {'Room Name': 'Studio (Residence)', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom (Residence)', 'Room Charges': None}, {'Room Name': 'Family Studio', 'Room Charges': None}, {'Room Name': 'Studio, Accessible (Residence)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Grand Room, 1 King Bed (Residence)', 'Room Charges': None}"
"Berlin, Germany",Steigenberger Hotel Am Kanzleramt,,9.2,Wonderful,"['Parking available', 'Spa', 'Room service', 'Bar', 'Gym', 'Free WiFi']","{'Room Name': 'Superior Room', 'Room Charges': '$156'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$180'}, {'Room Name': 'Deluxe Room (Grand)', 'Room Charges': '$219'}"
"Berlin, Germany",,,9,Wonderful,"['Pool', 'Bar', '24/7 front desk', 'Room service', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Classic Room', 'Room Charges': '$142'}, {'Room Name': 'Superior Room', 'Room Charges': '$157'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$171'}, {'Room Name': 'Deluxe Room (Twin)', 'Room Charges': '$171'}, {'Room Name': 'Classic Suite', 'Room Charges': '$215'}, {'Room Name': 'Family Suite, 1 Bedroom, 2 Bathrooms', 'Room Charges': '$324'}, {'Room Name': 'Superior Suite, City View (Kudamm Suite)', 'Room Charges': '$724'}, {'Room Name': 'City Suite, 2 Bedrooms, Kitchenette, City View (Berlin Suite)', 'Room Charges': '$869'}, {'Room Name': 'Superior Suite, City View', 'Room Charges': '$1,451'}"
