Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Buenos Aires, Argentina",Alvear Icon Hotel,5.0,9.4,Exceptional,"['Bar', 'Pool', 'Spa', 'Air conditioning', 'Parking available', 'Pet friendly']","{'Room Name': 'Deluxe Room', 'Room Charges': '$295'}, {'Room Name': 'Deluxe Room Grand View', 'Room Charges': '$414'}, {'Room Name': 'Junior Suite', 'Room Charges': '$449'}, {'Room Name': 'Junior Suite Grand View', 'Room Charges': '$518'}, {'Room Name': 'Executive Suite', 'Room Charges': '$1,350'}, {'Room Name': 'Suite Icon', 'Room Charges': '$3,800'}"
"Buenos Aires, Argentina",Alvear Palace Hotel,5.0,9.6,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Air conditioning', 'Parking available']","{'Room Name': 'Room (Palace Premier)', 'Room Charges': '$400'}, {'Room Name': 'Junior Suite', 'Room Charges': '$500'}, {'Room Name': 'Junior Suite (Premier)', 'Room Charges': '$600'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$650'}, {'Room Name': 'Deluxe Suite (Premier)', 'Room Charges': '$700'}, {'Room Name': 'Junior Suite (Prestige)', 'Room Charges': '$750'}, {'Room Name': 'Studio (Lounge)', 'Room Charges': '$770'}, {'Room Name': 'Deluxe Suite (Prestige)', 'Room Charges': '$850'}, {'Room Name': 'Junior Suite (Le Mirador)', 'Room Charges': '$1,250'}, {'Room Name': 'Deluxe Suite (Le Mirador)', 'Room Charges': '$1,350'}, {'Room Name': 'Suite (Diplomatic)', 'Room Charges': '$1,400'}, {'Room Name': 'Deluxe Suite (Lounge)', 'Room Charges': '$1,589'}, {'Room Name': 'Suite (Governor)', 'Room Charges': '$2,000'}, {'Room Name': 'Executive Suite (Governor)', 'Room Charges': '$2,000'}, {'Room Name': 'Suite (Alvear)', 'Room Charges': '$3,200'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$4,200'}, {'Room Name': 'Suite (Roof Garden)', 'Room Charges': '$4,600'}, {'Room Name': 'Presidential Suite (Executive)', 'Room Charges': '$5,200'}, {'Room Name': 'Royal Suite', 'Room Charges': '$7,000'}"
"Buenos Aires, Argentina",Palladio Hotel Buenos Aires - MGallery,5.0,9.8,Exceptional,"['Breakfast available', 'Hot Tub', 'Pool', 'Bar', 'Spa', 'Air conditioning']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$261'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony', 'Room Charges': '$297'}, {'Room Name': 'Executive Room, 1 King Bed with Sofa bed, Balcony', 'Room Charges': '$351'}, {'Room Name': 'Executive Room, 2 Double Beds', 'Room Charges': '$351'}, {'Room Name': 'Deluxe Suite, 1 King Bed, Balcony, View', 'Room Charges': '$387'}, {'Room Name': 'Deluxe Suite, 2 Double Beds, Balcony, View', 'Room Charges': '$387'}"
"Buenos Aires, Argentina",Palacio Duhau - Park Hyatt Buenos Aires,5.0,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Pet friendly', 'Spa', 'Air conditioning']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$585'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony', 'Room Charges': '$641'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$585'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View', 'Room Charges': '$625'}, {'Room Name': 'Park, Suite, 1 King Bed', 'Room Charges': '$752'}, {'Room Name': 'Room, 1 King Bed (Palace)', 'Room Charges': '$752'}, {'Room Name': 'Room, 2 Twin Beds (Palace)', 'Room Charges': '$752'}, {'Room Name': 'Park Deluxe Suite 1 King Bed', 'Room Charges': '$832'}, {'Room Name': 'Park, Suite, 1 Bedroom', 'Room Charges': '$880'}, {'Room Name': 'Park, Executive Suite', 'Room Charges': '$912'}, {'Room Name': 'Suite, 1 Bedroom (Palace)', 'Room Charges': '$912'}, {'Room Name': 'Suite, 1 King Bed (Palace)', 'Room Charges': '$992'}, {'Room Name': 'Executive Suite (Palace)', 'Room Charges': '$1,392'}"
"Buenos Aires, Argentina","Park Tower, a Luxury Collection Hotel, Buenos Aires",5.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Spa', 'Parking available']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$360'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$360'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$470'}, {'Room Name': 'Grand Room, 2 Twin Beds', 'Room Charges': '$470'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking, River View', 'Room Charges': '$470'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking, Corner', 'Room Charges': '$560'}, {'Room Name': 'Presidential Suite, 1 Bedroom, Terrace (Governor)', 'Room Charges': '$2,860'}, {'Room Name': 'Presidential Suite, 3 Bedrooms, City View (St Regis)', 'Room Charges': '$3,500'}"
"Buenos Aires, Argentina",Four Seasons Hotel Buenos Aires,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Spa', 'Air conditioning', 'Parking available', 'Room service']","{'Room Name': 'Room, 1 King Bed (Mansion View)', 'Room Charges': '$1,095'}, {'Room Name': 'Room, 1 King Bed (E-Lounge)', 'Room Charges': '$1,127'}, {'Room Name': 'Suite, 1 King Bed, City View', 'Room Charges': '$1,302'}, {'Room Name': 'Suite, 1 King Bed (E-Lounge)', 'Room Charges': '$1,369'}"
"Buenos Aires, Argentina",NH City Buenos Aires,5.0,8.4,Very good,"['Bar', 'Pool', 'Air conditioning', 'Pet friendly', '24/7 front desk', 'Gym']","{'Room Name': 'Standard Double Room', 'Room Charges': '$94'}, {'Room Name': 'Junior Suite', 'Room Charges': '$107'}, {'Room Name': 'Suite', 'Room Charges': '$108'}, {'Room Name': 'Superior Room', 'Room Charges': '$103'}, {'Room Name': 'Standard Triple Room', 'Room Charges': '$107'}, {'Room Name': 'Family Quadruple Room', 'Room Charges': '$120'}, {'Room Name': 'Standard Single Room', 'Room Charges': None}"
"Buenos Aires, Argentina",Emperador Hotel Buenos Aires,5.0,8.8,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Parking available', 'Gym']","{'Room Name': 'Executive Room, 1 Queen Bed, City View', 'Room Charges': '$238'}, {'Room Name': 'Junior Suite, River View', 'Room Charges': '$438'}, {'Room Name': 'Club Suite', 'Room Charges': '$500'}, {'Room Name': 'Executive Room, 2 Twin Beds, City View', 'Room Charges': '$238'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$250'}, {'Room Name': 'Deluxe Room, 1 Queen Bed, City View', 'Room Charges': '$250'}, {'Room Name': 'Deluxe Room, 2 Double Beds, City View', 'Room Charges': '$288'}, {'Room Name': 'Executive Suite, Corner', 'Room Charges': '$300'}, {'Room Name': 'Suite, Corner', 'Room Charges': '$325'}"
"Buenos Aires, Argentina",Palacio Duhau - Park Hyatt Buenos Aires,5.0,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Pet friendly', 'Spa', 'Air conditioning']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$585'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony', 'Room Charges': '$641'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$585'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View', 'Room Charges': '$625'}, {'Room Name': 'Park, Suite, 1 King Bed', 'Room Charges': '$752'}, {'Room Name': 'Room, 1 King Bed (Palace)', 'Room Charges': '$752'}, {'Room Name': 'Room, 2 Twin Beds (Palace)', 'Room Charges': '$752'}, {'Room Name': 'Park Deluxe Suite 1 King Bed', 'Room Charges': '$832'}, {'Room Name': 'Park, Suite, 1 Bedroom', 'Room Charges': '$880'}, {'Room Name': 'Park, Executive Suite', 'Room Charges': '$912'}, {'Room Name': 'Suite, 1 Bedroom (Palace)', 'Room Charges': '$912'}, {'Room Name': 'Suite, 1 King Bed (Palace)', 'Room Charges': '$992'}, {'Room Name': 'Executive Suite (Palace)', 'Room Charges': '$1,392'}"
"Buenos Aires, Argentina","Park Tower, a Luxury Collection Hotel, Buenos Aires",5.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Spa', 'Parking available']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$360'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$360'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$470'}, {'Room Name': 'Grand Room, 2 Twin Beds', 'Room Charges': '$470'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking, River View', 'Room Charges': '$470'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking, Corner', 'Room Charges': '$560'}, {'Room Name': 'Presidential Suite, 1 Bedroom, Terrace (Governor)', 'Room Charges': '$2,860'}, {'Room Name': 'Presidential Suite, 3 Bedrooms, City View (St Regis)', 'Room Charges': '$3,500'}"
