Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Cairo, Egypt","The Westin Cairo Golf Resort & Spa, Katameya Dunes",5.0,8.8,Excellent,"['Bar', 'Parking available', 'Pool', 'Gym', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking, Garden View', 'Room Charges': '$191'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, Pool View (Poolside)', 'Room Charges': '$204'}, {'Room Name': 'Superior Room, 2 Twin Beds, Non Smoking, Pool View', 'Room Charges': '$204'}, {'Room Name': 'Classic Room, 2 Twin Beds, Non Smoking, Garden View', 'Room Charges': '$242'}, {'Room Name': 'Superior Room, 1 King Bed, Pool Access, Ground Floor', 'Room Charges': '$270'}, {'Room Name': 'Suite, 1 King Bed, Pool Access, Poolside', 'Room Charges': '$435'}"
"Cairo, Egypt","Staybridge Suites Cairo Citystars, an IHG Hotel",4.0,9.2,Wonderful,"['Breakfast included', 'Parking available', 'Room service', 'Gym', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Studio Suite, 1 Queen Bed, Kitchen', 'Room Charges': '$170'}, {'Room Name': 'Studio Suite, Kitchen', 'Room Charges': '$170'}, {'Room Name': 'Suite, 1 Bedroom, Kitchen', 'Room Charges': '$240'}, {'Room Name': 'Suite, 1 Bedroom, Kitchen', 'Room Charges': '$275'}, {'Room Name': 'Suite, 2 Bedrooms, Kitchen', 'Room Charges': '$330'}, {'Room Name': 'Suite, 2 Bedrooms, Kitchen', 'Room Charges': '$385'}, {'Room Name': 'Suite, 3 Bedrooms, Kitchen', 'Room Charges': '$475'}, {'Room Name': 'Suite, 2 Bedrooms, Balcony', 'Room Charges': '$480'}, {'Room Name': 'Suite, 2 Bedrooms, Balcony', 'Room Charges': '$605'}"
"Cairo, Egypt",The St. Regis Cairo,5.0,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Parking available', 'Spa', 'Gym']","{'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$401'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking', 'Room Charges': '$419'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$446'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$464'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$491'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking, Balcony', 'Room Charges': '$545'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$745'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,045'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,195'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,245'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,345'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,345'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,395'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,545'}, {'Room Name': 'Royal Suite, 2 Bedrooms, Balcony', 'Room Charges': '$15,010'}"
"Cairo, Egypt",The St. Regis Cairo,5.0,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Parking available', 'Spa', 'Gym']","{'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$401'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking', 'Room Charges': '$419'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$446'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$464'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$491'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking, Balcony', 'Room Charges': '$545'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$745'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,045'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,195'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,245'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,345'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking', 'Room Charges': '$1,345'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,395'}, {'Room Name': 'Apartment, 3 Bedrooms, Non Smoking', 'Room Charges': '$1,545'}, {'Room Name': 'Royal Suite, 2 Bedrooms, Balcony', 'Room Charges': '$15,010'}"
"Cairo, Egypt","Intercontinental Cairo Semiramis, an IHG Hotel",5.0,8.2,Very good,"['Restaurant', 'Spa', 'Breakfast available', 'Pool', 'Bar', 'Parking available']","{'Room Name': 'Classic Room', 'Room Charges': '$183'}, {'Room Name': 'Classic Room, 1 King Bed, City View (High Floor)', 'Room Charges': '$203'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access (Nile View)', 'Room Charges': '$278'}, {'Room Name': 'Junior Suite, 1 King Bed (Nile View)', 'Room Charges': '$403'}, {'Room Name': 'Suite, 1 Bedroom (Nile View)', 'Room Charges': '$453'}, {'Room Name': 'Junior Suite, 2 Twin Beds, Smoking (Nile View)', 'Room Charges': '$583'}, {'Room Name': 'Presidential Suite (Nile View)', 'Room Charges': '$833'}, {'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Balcony (Nile View)', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Queen Beds (Nile View)', 'Room Charges': None}"
"Cairo, Egypt",Four Seasons Hotel Cairo at First Residence,5.0,9.4,Exceptional,"['Pool', 'Breakfast available', 'Bar', 'Pet friendly', 'Parking available', 'Spa']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$330'}, {'Room Name': 'Deluxe, Two Twin Beds', 'Room Charges': '$330'}, {'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$338'}, {'Room Name': 'Premier Room king bed', 'Room Charges': '$385'}, {'Room Name': 'Premier Room, 2 Twin Beds', 'Room Charges': '$385'}, {'Room Name': 'Premier Room, 1 King Bed (Nile)', 'Room Charges': '$390'}, {'Room Name': 'City Suite', 'Room Charges': '$455'}, {'Room Name': 'Suite (Diplomatic)', 'Room Charges': '$528'}, {'Room Name': 'Deluxe Suite (Deluxe)', 'Room Charges': '$535'}, {'Room Name': 'Premium Suite', 'Room Charges': '$535'}, {'Room Name': 'Executive Suite', 'Room Charges': '$608'}, {'Room Name': 'Suite (Ambassador)', 'Room Charges': '$7,000'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$10,000'}, {'Room Name': 'Royal Suite', 'Room Charges': '$15,000'}"
"Cairo, Egypt",Sofitel Cairo Nile El Gezirah,5.0,8.4,Very good,"['Spa', 'Breakfast available', 'Pool', 'Restaurant', 'Hot Tub', 'Parking available']","{'Room Name': 'Premium Room, 1 King Bed, River View (High Floor, Partial Nile View)', 'Room Charges': '$193'}, {'Room Name': 'Premium Room, 2 Twin Beds, View (Partial Nile View)', 'Room Charges': '$193'}, {'Room Name': 'Luxury Room, 2 Twin Beds, View (Nile View)', 'Room Charges': '$201'}, {'Room Name': 'Luxury Room, 1 King Bed, View (Nile View)', 'Room Charges': '$201'}, {'Room Name': 'Room, 1 King Bed, View (Magnifique - Nile View)', 'Room Charges': '$210'}, {'Room Name': 'Room, 2 Twin Beds, View (Magnifique - Nile View)', 'Room Charges': '$210'}, {'Room Name': 'Luxury Twin Room, 2 Twin Beds, Business Lounge Access, View (Nile View)', 'Room Charges': '$326'}, {'Room Name': 'Luxury Room, 1 King Bed, Business Lounge Access, View (Nile View)', 'Room Charges': '$326'}, {'Room Name': 'Junior Suite, 1 King Bed, View (Partial Nile View)', 'Room Charges': '$347'}, {'Room Name': 'Club Suite, 1 King Bed, Business Lounge Access, View (Prestige)', 'Room Charges': '$389'}, {'Room Name': 'Club Suite, 1 King Bed, Business Lounge Access, View (Prestige)', 'Room Charges': '$415'}, {'Room Name': 'Suite, 1 King Bed, Balcony, View (Opera - Nile View)', 'Room Charges': '$497'}"
"Cairo, Egypt","The Nile Ritz-Carlton, Cairo",5.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Pet friendly', 'Parking available', 'Spa']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$640'}, {'Room Name': 'Deluxe Room, 1 King Bed, View', 'Room Charges': '$710'}, {'Room Name': 'Deluxe Room, 2 Double Beds, View', 'Room Charges': '$710'}, {'Room Name': 'Deluxe Room, 1 King Bed, Terrace, View', 'Room Charges': '$730'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Terrace, View', 'Room Charges': '$730'}, {'Room Name': 'Club Room, 1 King Bed, View', 'Room Charges': '$775'}, {'Room Name': 'Club Room, 2 Double Beds, View', 'Room Charges': '$775'}, {'Room Name': 'Executive Suite, 1 King Bed, View', 'Room Charges': '$930'}, {'Room Name': 'Suite, 1 Bedroom, View', 'Room Charges': '$1,000'}, {'Room Name': 'Presidential Suite, 1 Double Bed (Nile View)', 'Room Charges': '$12,135'}"
"Cairo, Egypt","The Nile Ritz-Carlton, Cairo",5.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Pet friendly', 'Parking available', 'Spa']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$640'}, {'Room Name': 'Deluxe Room, 1 King Bed, View', 'Room Charges': '$710'}, {'Room Name': 'Deluxe Room, 2 Double Beds, View', 'Room Charges': '$710'}, {'Room Name': 'Deluxe Room, 1 King Bed, Terrace, View', 'Room Charges': '$730'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Terrace, View', 'Room Charges': '$730'}, {'Room Name': 'Club Room, 1 King Bed, View', 'Room Charges': '$775'}, {'Room Name': 'Club Room, 2 Double Beds, View', 'Room Charges': '$775'}, {'Room Name': 'Executive Suite, 1 King Bed, View', 'Room Charges': '$930'}, {'Room Name': 'Suite, 1 Bedroom, View', 'Room Charges': '$1,000'}, {'Room Name': 'Presidential Suite, 1 Double Bed (Nile View)', 'Room Charges': '$12,135'}"
"Cairo, Egypt",Cairo Marriott Hotel & Omar Khayyam Casino,5.0,8.4,Very good,"['Restaurant', 'Breakfast available', 'Parking available', 'Bar', 'Pool', 'Room service']","{'Room Name': 'Deluxe Room, 1 King Bed, Balcony', 'Room Charges': '$210'}, {'Room Name': 'Standard Room, 1 King Bed, View', 'Room Charges': '$210'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Balcony', 'Room Charges': '$210'}, {'Room Name': 'Standard Room, 2 Double Beds, Balcony, View', 'Room Charges': '$210'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Balcony', 'Room Charges': '$230'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Balcony, View', 'Room Charges': '$245'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony, View', 'Room Charges': '$245'}, {'Room Name': 'Executive Room, 1 King Bed, Balcony, Executive Level', 'Room Charges': '$280'}, {'Room Name': 'Executive Room, 2 Double Beds, Balcony, Executive Level', 'Room Charges': '$280'}, {'Room Name': 'Suite, 1 King Bed, Balcony', 'Room Charges': '$380'}, {'Room Name': 'Executive Suite, 1 King Bed, Balcony', 'Room Charges': '$610'}, {'Room Name': 'Suite, 1 King Bed, Balcony', 'Room Charges': '$650'}, {'Room Name': 'Presidential Suite, 1 King Bed, Balcony', 'Room Charges': '$2,521'}, {'Room Name': 'Royal Suite, 1 King Bed, Balcony', 'Room Charges': '$7,021'}"
