Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Cancun, Mexico",Nizuc Resort and Spa,5.0,9.2,Wonderful,"['Restaurant', 'Spa', 'On private beach', 'Pool', 'Bar', 'Pet friendly']","{'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$417'}, {'Room Name': 'Garden View Double', 'Room Charges': '$455'}, {'Room Name': 'Deluxe Room, 1 King Bed, Ocean View', 'Room Charges': '$528'}, {'Room Name': 'Ocean View Deluxe Double', 'Room Charges': '$601'}, {'Room Name': 'Junior Suite (Garden)', 'Room Charges': '$674'}, {'Room Name': 'Ocean Suite', 'Room Charges': '$747'}, {'Room Name': 'Junior Suite, Ocean View', 'Room Charges': '$894'}, {'Room Name': 'Private Pool Villa', 'Room Charges': '$967'}, {'Room Name': 'Private Pool Pavillion Villa', 'Room Charges': '$1,040'}, {'Room Name': 'Penthouse', 'Room Charges': '$1,113'}, {'Room Name': 'Suite (Master)', 'Room Charges': '$1,187'}"
"Cancun, Mexico",Excellence Riviera Cancun - Adults Only All Inclusive,5.0,9.4,Exceptional,"['Pool', 'Bar', 'On private beach', 'All inclusive', 'Hot Tub', 'Parking included']","{'Room Name': 'Junior Suite Spa or Pool View', 'Room Charges': '$622'}, {'Room Name': 'Junior Swim-Up Suite Spa or Pool View', 'Room Charges': '$705'}, {'Room Name': 'Excellence Club Junior Suite Pool View', 'Room Charges': '$753'}, {'Room Name': 'Junior Suite Ocean View', 'Room Charges': '$767'}, {'Room Name': 'Two-Story Rooftop Terrace Suite Spa or Pool View', 'Room Charges': '$771'}, {'Room Name': 'Excellence Club Junior Suite Ocean Front', 'Room Charges': '$820'}, {'Room Name': 'Excellence Club Two-Story Rooftop Terrace Suite Ocean Front', 'Room Charges': None}, {'Room Name': 'Excellence Club Junior Swim Up Suite Pool View', 'Room Charges': None}, {'Room Name': 'Excellence Club Junior Swim-Up Ocean View', 'Room Charges': None}"
"Cancun, Mexico",Hyatt Vivid Grand Island Cancun Adults Only All-Inclusive,5.0,8.6,Excellent,"['Pool', 'Breakfast included', 'Bar', 'Pet friendly', 'All inclusive', 'Spa']","{'Room Name': 'Run of House', 'Room Charges': '$399'}, {'Room Name': 'Junior Suite Bay View King Bed', 'Room Charges': '$440'}, {'Room Name': 'Junior Deluxe Suite Bay View King Bed', 'Room Charges': '$495'}, {'Room Name': 'Junior Deluxe Suite Golf View King Bed', 'Room Charges': '$459'}, {'Room Name': 'Junior Deluxe Suite Golf View Double Bed', 'Room Charges': '$475'}, {'Room Name': 'Junior Deluxe Suite Bay View Double Bed', 'Room Charges': '$518'}, {'Room Name': 'Premium Jr. Suite Golf View King Bed', 'Room Charges': '$549'}, {'Room Name': 'Vantage Club Jr Suite Golf & Ocean View King Bed', 'Room Charges': '$588'}, {'Room Name': 'Vantage Club Jr Suite Golf & Ocean View Double Bed', 'Room Charges': '$614'}, {'Room Name': 'Vantage Club Junior Suite Bay View King Bed', 'Room Charges': '$639'}, {'Room Name': 'Vantage Club Junior Suite Bay View Double Bed', 'Room Charges': '$665'}, {'Room Name': 'Vantage Club Premium Suite Golf & Ocean View King Bed', 'Room Charges': '$725'}, {'Room Name': 'Vantage Club Corner Suite Golf & Ocean View king bed', 'Room Charges': '$790'}, {'Room Name': 'Vantage Club Corner Suite Bay View King Bed', 'Room Charges': '$835'}, {'Room Name': 'Vantage Club Master Suite Bay View King Bed', 'Room Charges': '$1,015'}, {'Room Name': 'Vantage Club Master Suite Golf & Ocean View King Bed', 'Room Charges': '$1,015'}, {'Room Name': 'Vivid Suite', 'Room Charges': '$2,618'}, {'Room Name': 'Junior Suite Golf View Double Bed', 'Room Charges': None}"
"Cancun, Mexico",Breathless Cancun Soul Resort & Spa - Adults Only - All Inclusive,5.0,8.6,Excellent,"['Pool', 'All inclusive', 'Spa', 'Restaurant', 'Bar', 'Pet friendly']","{'Room Name': 'Junior Suite, 1 King Bed, Partial Ocean View (Allure)', 'Room Charges': '$528'}, {'Room Name': 'Junior Suite, 1 King Bed, Ocean View (Allure)', 'Room Charges': '$604'}, {'Room Name': 'Junior Suite, 2 Double Beds, Lagoon View (Allure - Live Big)', 'Room Charges': '$561'}, {'Room Name': 'Junior Suite, 1 King Bed, Ocean View (Xcelerate)', 'Room Charges': '$571'}, {'Room Name': 'Xcelerate Junior Suite Live Big Ocean Front Double', 'Room Charges': '$580'}, {'Room Name': 'Junior Suite, 2 Double Beds, Ocean View (Xcelerate)', 'Room Charges': '$621'}, {'Room Name': 'Junior Suite, 2 Double Beds, Ocean View (Allure)', 'Room Charges': '$621'}, {'Room Name': 'Xcelerate Junior Suite Ocean Front King', 'Room Charges': '$644'}, {'Room Name': 'Xcelerate Junior Suite Live Big Ocean Front King', 'Room Charges': '$659'}, {'Room Name': 'Xcelerate Junior Suite Ocean Front Double', 'Room Charges': '$661'}, {'Room Name': 'Xhale club Junior Suite Ocean Front King', 'Room Charges': '$693'}, {'Room Name': 'Xhale club Junior Suite Ocean Front Double', 'Room Charges': '$711'}, {'Room Name': 'Xhale club Junior Suite upper Ocean Front King', 'Room Charges': '$729'}, {'Room Name': 'Xhale club Junior Suite upper Ocean Front Double', 'Room Charges': '$747'}, {'Room Name': 'Xhale club Master Suite Ocean Front King', 'Room Charges': '$779'}, {'Room Name': 'Junior Suite, 1 King Bed, Lagoon View (Allure)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed, Lagoon View (Allure - Live Big)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 2 Double Beds, Partial Ocean View (Allure)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 2 Double Beds, Lagoon View (Allure)', 'Room Charges': None}"
"Cancun, Mexico",SLS Playa Mujeres – ALL Inclusive Collection,5.0,9.2,Wonderful,"['Bar', 'On private beach', 'Pool', 'All inclusive', 'Pet friendly', 'Room service']","{'Room Name': 'Room, 1 King Bed (Delight)', 'Room Charges': '$329'}, {'Room Name': 'Room, 1 King Bed, Ocean View (Delight)', 'Room Charges': '$466'}, {'Room Name': 'Room, 2 Queen Beds, Ocean View (Delight)', 'Room Charges': '$466'}, {'Room Name': 'Elite Room, 1 King Bed', 'Room Charges': '$466'}, {'Room Name': 'Elite Room, 2 Queen Beds', 'Room Charges': '$466'}, {'Room Name': 'Room, 1 King Bed (Captivate Swim out)', 'Room Charges': '$535'}, {'Room Name': 'Room, 2 Queen Beds (Captivate Swim out)', 'Room Charges': '$535'}, {'Room Name': 'Suite, 1 Double Bed (Euphoria)', 'Room Charges': '$604'}, {'Room Name': 'Elite Room, 1 King Bed, Ocean View', 'Room Charges': '$638'}, {'Room Name': 'Elite Room, 2 Queen Beds, Ocean View', 'Room Charges': '$638'}, {'Room Name': 'Suite, 1 King Bed, Ocean View (Euphoria)', 'Room Charges': '$845'}, {'Room Name': 'Elite Suite, 1 Queen Bed with Sofa bed', 'Room Charges': '$914'}"
"Cancun, Mexico",Sunset Marina Resort & Yacht Club,4.0,8.8,Good,"['All inclusive', 'Hot Tub', 'Bar', 'Housekeeping', 'Room service', 'Breakfast included']","{'Room Name': 'Studio', 'Room Charges': '$186'}"
"Cancun, Mexico",GR Solaris Cancun & Spa - All Inclusive,4.0,8.0,Very good,"['Pool', 'Spa', 'Gym', 'Bar', 'All inclusive', 'Room service']","{'Room Name': 'Deluxe Room Balcony', 'Room Charges': '$295'}, {'Room Name': 'Deluxe Room, Balcony Ocean View', 'Room Charges': '$354'}, {'Room Name': 'Deluxe Room, Balcony Lagoon View', 'Room Charges': '$325'}, {'Room Name': 'Deluxe Room, Balcony Ocean Front', 'Room Charges': '$383'}, {'Room Name': 'Panoramic room, Balcony Double Ocean View', 'Room Charges': '$413'}, {'Room Name': 'Romantic Room, Balcony Ocean View', 'Room Charges': '$442'}, {'Room Name': 'Deluxe Room, Balcony 1 King Bed, Jetted Tub, Oceanfront', 'Room Charges': '$442'}"
"Cancun, Mexico",Hyatt Vivid Grand Island Cancun Adults Only All-Inclusive,5.0,8.6,Excellent,"['Pool', 'Breakfast included', 'Bar', 'Pet friendly', 'All inclusive', 'Spa']","{'Room Name': 'Run of House', 'Room Charges': '$399'}, {'Room Name': 'Junior Suite Bay View King Bed', 'Room Charges': '$440'}, {'Room Name': 'Junior Deluxe Suite Bay View King Bed', 'Room Charges': '$495'}, {'Room Name': 'Junior Deluxe Suite Golf View King Bed', 'Room Charges': '$459'}, {'Room Name': 'Junior Deluxe Suite Golf View Double Bed', 'Room Charges': '$475'}, {'Room Name': 'Junior Deluxe Suite Bay View Double Bed', 'Room Charges': '$518'}, {'Room Name': 'Premium Jr. Suite Golf View King Bed', 'Room Charges': '$549'}, {'Room Name': 'Vantage Club Jr Suite Golf & Ocean View King Bed', 'Room Charges': '$588'}, {'Room Name': 'Vantage Club Jr Suite Golf & Ocean View Double Bed', 'Room Charges': '$614'}, {'Room Name': 'Vantage Club Junior Suite Bay View King Bed', 'Room Charges': '$639'}, {'Room Name': 'Vantage Club Junior Suite Bay View Double Bed', 'Room Charges': '$665'}, {'Room Name': 'Vantage Club Premium Suite Golf & Ocean View King Bed', 'Room Charges': '$725'}, {'Room Name': 'Vantage Club Corner Suite Golf & Ocean View king bed', 'Room Charges': '$790'}, {'Room Name': 'Vantage Club Corner Suite Bay View King Bed', 'Room Charges': '$835'}, {'Room Name': 'Vantage Club Master Suite Bay View King Bed', 'Room Charges': '$1,015'}, {'Room Name': 'Vantage Club Master Suite Golf & Ocean View King Bed', 'Room Charges': '$1,015'}, {'Room Name': 'Vivid Suite', 'Room Charges': '$2,618'}, {'Room Name': 'Junior Suite Golf View Double Bed', 'Room Charges': None}"
"Cancun, Mexico",Hotel Colonial San Carlos Cancún Centro,3.0,8.6,Excellent,"['Breakfast included', 'Housekeeping', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Economy Room', 'Room Charges': '$14'}, {'Room Name': 'Basic Single Room, Non Smoking, Private Bathroom', 'Room Charges': '$14'}, {'Room Name': 'Classic Room', 'Room Charges': '$14'}, {'Room Name': 'Family Suite', 'Room Charges': '$21'}, {'Room Name': 'Triple Room', 'Room Charges': '$22'}, {'Room Name': 'Comfort Double Room', 'Room Charges': '$28'}"
"Cancun, Mexico",Hotel Riu Palace Kukulkan - Adults Only,5.0,9.0,Wonderful,"['Pool', 'Breakfast included', 'All inclusive', 'Bar', 'Spa', 'Room service']","{'Room Name': 'Junior Suite (U)', 'Room Charges': '$408'}, {'Room Name': 'Junior Suite, Partial Ocean View (U)', 'Room Charges': '$428'}, {'Room Name': 'Junior Suite, Ocean View (U)', 'Room Charges': '$438'}, {'Room Name': 'Junior Suite Ocean View Elite Club (U)', 'Room Charges': '$520'}"
