Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Cape Town, South Africa",Hotel Sky Cape Town,4.0,8.6,Excellent,"['Bar', '24/7 front desk', 'Breakfast available', 'Gym', 'Housekeeping', 'Laundry']","{'Room Name': 'Basic Room', 'Room Charges': '$99'}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$108'}, {'Room Name': 'Family Double or Twin Room', 'Room Charges': '$108'}, {'Room Name': 'Standard Quadruple Room', 'Room Charges': '$125'}"
"Cape Town, South Africa",President Hotel,4.0,8.6,Excellent,"['Breakfast available', 'Pool', 'Bar', '24/7 front desk', 'Gym', 'Room service']","{'Room Name': 'Classic Room', 'Room Charges': '$145'}, {'Room Name': 'Classic Ocean Room King', 'Room Charges': '$191'}, {'Room Name': 'Ocean Suite', 'Room Charges': '$266'}"
"Cape Town, South Africa",Southern Sun the Cullinan,4.0,9.2,Wonderful,"['Spa', 'Bar', 'Room service', 'Parking available', 'Gym', '24/7 front desk']","{'Room Name': 'Standard Queen Room', 'Room Charges': '$141'}, {'Room Name': 'Double Room with Two Double Beds', 'Room Charges': '$152'}, {'Room Name': 'Suite', 'Room Charges': '$317'}, {'Room Name': 'Executive Suite', 'Room Charges': '$405'}, {'Room Name': 'Executive Room', 'Room Charges': None}"
"Cape Town, South Africa",Southern Sun Cape Sun,4.0,8.8,Excellent,"['Bar', 'Room service', 'Parking available', 'Gym', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Standard Room', 'Room Charges': '$90'}, {'Room Name': 'Double Room with Two Double Beds', 'Room Charges': '$101'}, {'Room Name': 'Executive Room', 'Room Charges': '$173'}, {'Room Name': 'Suite', 'Room Charges': '$215'}, {'Room Name': 'Presidential Suite', 'Room Charges': None}, {'Room Name': 'Penthouse', 'Room Charges': None}"
"Cape Town, South Africa",The Onyx Apartment Hotel by NEWMARK,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Parking included', 'Bar', 'Gym', 'Spa']","{'Room Name': 'Studio, 1 King Bed, City View', 'Room Charges': '$126'}, {'Room Name': 'Deluxe Studio, 1 King Bed, Mountain View', 'Room Charges': '$147'}, {'Room Name': 'Apartment, 1 Bedroom, City View', 'Room Charges': '$147'}, {'Room Name': 'Deluxe Apartment, 1 Bedroom, Mountain View', 'Room Charges': '$171'}, {'Room Name': 'Deluxe Apartment, 2 Bedrooms, Balcony, Mountain View', 'Room Charges': None}, {'Room Name': 'Apartment, 2 Bedrooms, City View', 'Room Charges': None}"
"Cape Town, South Africa",Mowetu Guest House,2.0,8.8,,"['Laundry', 'Housekeeping', 'Parking included', 'Free WiFi']","{'Room Name': 'Deluxe Room, City View', 'Room Charges': '$48'}, {'Room Name': 'Superior Room, Balcony, City View', 'Room Charges': '$53'}"
"Cape Town, South Africa",The Commodore Hotel,4.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Gym', '24/7 front desk', 'Parking available', 'Room service']","{'Room Name': 'Standard Room With Twin Beds', 'Room Charges': '$169'}, {'Room Name': 'Standard Twin Room (LUXT)', 'Room Charges': '$175'}, {'Room Name': 'Deluxe Room With Queen Beds', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Room With Twin Beds', 'Room Charges': '$185'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$191'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$191'}, {'Room Name': 'Executive Twin Room', 'Room Charges': '$191'}, {'Room Name': 'Family Double Room', 'Room Charges': '$200'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$200'}, {'Room Name': 'Family Twin Room (FAMT)', 'Room Charges': '$200'}, {'Room Name': 'Junior Studio Suite (JSUK)', 'Room Charges': '$216'}, {'Room Name': 'Standard Double Room', 'Room Charges': None}, {'Room Name': 'Double Room, Accessible', 'Room Charges': None}, {'Room Name': 'Twin Room (Accessible ACCT)', 'Room Charges': None}, {'Room Name': 'Suite', 'Room Charges': None}"
"Cape Town, South Africa",Cape Town Lodge Hotel,4.0,8.2,Very good,"['Breakfast available', 'Bar', 'Room service', 'Parking available', 'Gym', '24/7 front desk']","{'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$53'}, {'Room Name': 'Superior Double', 'Room Charges': '$57'}, {'Room Name': 'Superior Twin', 'Room Charges': '$57'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}"
"Cape Town, South Africa",Southern Sun Waterfront Cape Town,4.0,8.6,Excellent,"['Bar', 'Room service', 'Parking available', 'Gym', '24/7 front desk', 'Spa']","{'Room Name': 'Standard Queen Room', 'Room Charges': '$122'}, {'Room Name': 'Double Room with Two Double Beds', 'Room Charges': '$133'}, {'Room Name': 'Executive Room', 'Room Charges': '$205'}, {'Room Name': 'Suite', 'Room Charges': '$247'}"
"Cape Town, South Africa",StayEasy Cape Town City Bowl,3.0,8.6,Excellent,"['24/7 front desk', 'Parking available', 'Breakfast included', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Standard Double Room', 'Room Charges': '$79'}, {'Room Name': 'Standard Twin Room', 'Room Charges': None}"
"Cape Town, South Africa",SunSquare Cape Town City Bowl,4.0,9.0,Wonderful,"['Bar', '24/7 front desk', 'Parking available', 'Gym', 'Room service', 'Housekeeping']","{'Room Name': 'Standard Queen Room', 'Room Charges': '$107'}, {'Room Name': 'Double Room with Two Double Beds', 'Room Charges': '$119'}, {'Room Name': 'Executive Room', 'Room Charges': '$156'}, {'Room Name': 'Suite', 'Room Charges': '$229'}"
"Cape Town, South Africa",Hyatt Regency Cape Town,5.0,8.8,Excellent,"['Bar', 'Pool', 'Gym', 'Parking available', 'Room service', '24/7 front desk']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$136'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$136'}, {'Room Name': 'Room, 1 King Bed, Mountain View', 'Room Charges': '$157'}, {'Room Name': 'Club Room, 1 King Bed', 'Room Charges': '$170'}, {'Room Name': 'Club Room, 2 Twin Beds', 'Room Charges': '$204'}, {'Room Name': 'Room, 2 Twin Beds, Mountain View', 'Room Charges': None}"
"Cape Town, South Africa",The Capital Mirage Hotel,5.0,9.2,Wonderful,"['Bar', 'Breakfast available', 'Gym', 'Room service', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Luxury Suite, 1 King Bed, Ensuite', 'Room Charges': '$135'}, {'Room Name': 'Superior Suite, 1 King Bed, Ensuite', 'Room Charges': '$198'}, {'Room Name': 'Luxury Apartment, 1 Bedroom, Kitchen', 'Room Charges': '$306'}"
