Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Casablanca, Morocco",Suite Hotel Casa Diamond,5.0,9.2,Wonderful,"['Breakfast included', 'Restaurant', 'Parking included', 'Room service', 'Gym', 'Air conditioning']","{'Room Name': 'Standard Junior Suite King Bed', 'Room Charges': '$86'}, {'Room Name': 'Classic Junior Suite King Bed', 'Room Charges': '$93'}, {'Room Name': 'Standard Junior Suite Twin', 'Room Charges': '$93'}, {'Room Name': 'Standard Privilege Suite Balcony', 'Room Charges': '$101'}, {'Room Name': 'Superior Executive Suite Balcony', 'Room Charges': '$105'}, {'Room Name': 'Superior Privilege Suite Balcony', 'Room Charges': '$109'}, {'Room Name': 'Standard Junior Suite King Bed', 'Room Charges': '$1,909'}"
"Casablanca, Morocco",Hyatt Regency Casablanca,5.0,8.6,Excellent,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Parking included', 'Room service']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$191'}, {'Room Name': 'Room, 1 King Bed (High Floor)', 'Room Charges': '$209'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$191'}, {'Room Name': 'Room, 2 Twin Beds (High Floor)', 'Room Charges': '$209'}, {'Room Name': 'Club Room, 1 King Bed (Club Access)', 'Room Charges': '$232'}, {'Room Name': 'Junior Suite', 'Room Charges': '$323'}, {'Room Name': 'Executive Suite (Regency)', 'Room Charges': '$373'}, {'Room Name': 'Suite (Ambassador Suite)', 'Room Charges': '$1,193'}"
"Casablanca, Morocco","Radisson Blu Hotel, Casablanca City Center",5.0,8.0,Very good,"['Bar', 'Pool', 'Spa', 'Parking included', 'Breakfast available', 'Room service']","{'Room Name': 'Superior Room (Skyline)', 'Room Charges': '$143'}, {'Room Name': 'Premium Room', 'Room Charges': '$143'}, {'Room Name': 'Junior Suite', 'Room Charges': '$211'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$316'}"
"Casablanca, Morocco",Casablanca Marriott Hotel,5.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Parking included', 'Air conditioning', 'Laundry', 'Housekeeping']","{'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking, City View', 'Room Charges': '$147'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$158'}, {'Room Name': 'Superior Room, 2 Twin Beds, Non Smoking, City View', 'Room Charges': '$158'}, {'Room Name': 'Club Room, 1 King Bed, City View', 'Room Charges': '$186'}, {'Room Name': 'Club Room, 2 Twin Beds, City View', 'Room Charges': '$186'}, {'Room Name': 'Junior Suite, 1 Bedroom', 'Room Charges': '$255'}"
"Casablanca, Morocco",Barcelo Anfa Casablanca,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Room service', 'Gym']","{'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$163'}, {'Room Name': 'Deluxe Room, Pool View', 'Room Charges': '$194'}, {'Room Name': 'Premium Room', 'Room Charges': '$208'}, {'Room Name': 'Premium Double or Twin Room, Sea View', 'Room Charges': '$217'}, {'Room Name': 'Premium Suite', 'Room Charges': '$526'}"
"Casablanca, Morocco",Le Casablanca Hotel,5.0,9.0,Wonderful,"['Bar', 'Pool', 'Parking available', 'Spa', 'Breakfast available', 'Room service']","{'Room Name': 'Superior Double room with pool & garden view', 'Room Charges': '$224'}, {'Room Name': 'Superior room Casablanca View', 'Room Charges': '$259'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$267'}, {'Room Name': 'Suite (Collection)', 'Room Charges': '$525'}, {'Room Name': 'Royal Suite', 'Room Charges': '$1,317'}"
"Casablanca, Morocco",Hotel Kenzi Tower,5.0,8.2,Very good,"['Spa', 'Restaurant', 'Hot Tub', 'Bar', 'Pool', 'Pet friendly']","{'Room Name': 'Deluxe Room ,King Size Bed, City View', 'Room Charges': '$125'}, {'Room Name': 'Premium Room ,2 Queen Size Beds, City and Ocean View', 'Room Charges': '$145'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, City View', 'Room Charges': '$125'}, {'Room Name': 'Deluxe Room, Queen Size Bed, City View', 'Room Charges': '$125'}, {'Room Name': 'Premium Room ,King Size Bed, City and Ocean View', 'Room Charges': '$145'}, {'Room Name': 'Privilege Room ,2 Queen Size Beds,City View', 'Room Charges': '$158'}, {'Room Name': 'Executive Suite ,King Size Bed ,City View ( coin salon)', 'Room Charges': '$178'}, {'Room Name': 'Prestige Suite,King Size Bed, City View', 'Room Charges': '$205'}, {'Room Name': 'One Bedroom Suite, King Size Bed, City and Ocean View', 'Room Charges': '$259'}"
"Casablanca, Morocco",Royal Mansour Casablanca,5.0,10,Exceptional,"['Bar', 'Pet friendly', 'Breakfast included', 'Spa', 'Parking included', 'Room service']","{'Room Name': 'Deluxe Room', 'Room Charges': '$492'}, {'Room Name': 'Premier Room', 'Room Charges': '$533'}, {'Room Name': 'Corner Room', 'Room Charges': '$574'}, {'Room Name': 'Deluxe Junior Suite', 'Room Charges': '$779'}, {'Room Name': 'Premier Junior Suite', 'Room Charges': '$861'}, {'Room Name': 'Executive Suite', 'Room Charges': '$1,066'}, {'Room Name': 'One-bedroom Apartment', 'Room Charges': '$1,394'}, {'Room Name': 'Two-bedroom Apartment', 'Room Charges': '$2,049'}, {'Room Name': 'Prestige Duplex', 'Room Charges': '$6,376'}, {'Room Name': 'Grand Duplex', 'Room Charges': '$8,198'}"
"Casablanca, Morocco","Hôtel particulier Le DOGE, Relais & Châteaux",5.0,9.0,Wonderful,"['Restaurant', 'Breakfast available', 'Bar', 'Pet friendly', 'Spa', 'Parking included']","{'Room Name': 'Double Room (Standard )', 'Room Charges': '$192'}, {'Room Name': 'Junior Suite', 'Room Charges': '$228'}, {'Room Name': 'Executive Room', 'Room Charges': '$208'}, {'Room Name': 'Suite', 'Room Charges': '$267'}"
"Casablanca, Morocco",Sofitel Casablanca Tour blanche,5.0,8.4,Very good,"['Bar', 'Pool', 'Spa', 'Parking included', 'Breakfast available', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': '$182'}, {'Room Name': 'Luxury Room, 1 King Bed, View (Medina, Mosque and Ocean view)', 'Room Charges': '$219'}, {'Room Name': 'Classic Room, 2 Twin Beds, City View', 'Room Charges': '$182'}, {'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$200'}, {'Room Name': 'Superior Room, 2 Twin Beds, City View', 'Room Charges': '$200'}, {'Room Name': 'Junior Suite, Multiple Beds', 'Room Charges': '$201'}, {'Room Name': 'Room, 1 King Bed, Sea View', 'Room Charges': '$237'}, {'Room Name': 'Suite, 1 King Bed, View', 'Room Charges': '$364'}, {'Room Name': 'Suite, 1 King Bed (Imperial)', 'Room Charges': '$1,822'}"
