Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Copenhagen, Denmark",Villa Copenhagen,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Pet friendly', 'Gym', 'Room service']","{'Room Name': 'Standard Queen Room', 'Room Charges': '$238'}, {'Room Name': 'Standard King Room', 'Room Charges': '$250'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$274'}, {'Room Name': 'Deluxe King Room', 'Room Charges': '$455'}, {'Room Name': 'Junior Suite', 'Room Charges': '$527'}"
"Copenhagen, Denmark",NH Collection Copenhagen,5.0,9.4,Exceptional,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', '24/7 front desk', 'Laundry']","{'Room Name': 'Superior Room', 'Room Charges': '$192'}, {'Room Name': 'Basic Room (Atrium Room w/Extra Bed 2 Ad + 1 Ch)', 'Room Charges': '$208'}, {'Room Name': 'Basic Room (Atrium Room)', 'Room Charges': '$208'}, {'Room Name': 'Superior Room, City View', 'Room Charges': '$213'}, {'Room Name': 'Superior Room (Waterfront with View)', 'Room Charges': '$237'}, {'Room Name': 'Basic Room (Atrium Room with Extra Bed 3 Adults)', 'Room Charges': '$242'}, {'Room Name': 'Superior Room, Corner', 'Room Charges': '$248'}, {'Room Name': 'Premium Room (View)', 'Room Charges': '$391'}, {'Room Name': 'Premium Room, View (Extra Bed 2 adults + 1 child)', 'Room Charges': '$391'}, {'Room Name': 'Premium Room (View, Extra Bed 3 Adults)', 'Room Charges': '$425'}, {'Room Name': 'Suite (Waterfront Corner)', 'Room Charges': '$908'}, {'Room Name': 'Presidential Suite (View)', 'Room Charges': '$2,842'}, {'Room Name': 'Suite', 'Room Charges': None}, {'Room Name': 'Family Room (Combined (2 Adults + 2 Children))', 'Room Charges': None}, {'Room Name': 'Family Room (Connected (2 Adults + 2 Children))', 'Room Charges': None}, {'Room Name': 'Family Room (Connected (3 Adults + 1 Child))', 'Room Charges': None}, {'Room Name': 'Family Room (Combined (3 Adults + 1 Child))', 'Room Charges': None}"
"Copenhagen, Denmark",71 Nyhavn Hotel,5.0,9.4,Exceptional,"['Breakfast included', 'Restaurant', 'Bar', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Junior Suite', 'Room Charges': '$326'}, {'Room Name': 'Junior Suite Deluxe View', 'Room Charges': '$430'}, {'Room Name': 'Junior Suite', 'Room Charges': '$363'}, {'Room Name': 'Junior Suite Deluxe View', 'Room Charges': '$491'}, {'Room Name': 'Suite Deluxe View', 'Room Charges': '$796'}, {'Room Name': 'Executive Single', 'Room Charges': None}, {'Room Name': 'Executive Double', 'Room Charges': None}"
"Copenhagen, Denmark",Hotel Sanders,5.0,9.4,Exceptional,"['Restaurant', 'Bar', 'Pet friendly', '24/7 front desk', 'Laundry', 'Air conditioning']","{'Room Name': 'Double Room', 'Room Charges': '$466'}, {'Room Name': 'Sanders Bedroom', 'Room Charges': '$726'}, {'Room Name': 'Sanders Bedroom Plus', 'Room Charges': '$900'}, {'Room Name': 'One Bedroom Suite', 'Room Charges': '$1,645'}, {'Room Name': 'Sanders Suite', 'Room Charges': '$2,520'}, {'Room Name': 'Signature Apartment, 3 Bedrooms, Kitchen, Park View', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Copenhagen, Denmark","Radisson Collection Royal Hotel, Copenhagen",5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', 'Room service', '24/7 front desk']","{'Room Name': 'Superior Room (Copenhagen Sky)', 'Room Charges': '$220'}, {'Room Name': 'Superior Room (Tivoli View)', 'Room Charges': '$239'}, {'Room Name': 'Premium Room', 'Room Charges': '$313'}, {'Room Name': 'Family Room', 'Room Charges': '$435'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$560'}, {'Room Name': 'Junior Suite', 'Room Charges': '$795'}, {'Room Name': 'Suite (Feature)', 'Room Charges': '$1,339'}, {'Room Name': 'Room (Individual)', 'Room Charges': None}"
"Copenhagen, Denmark",Boutique Hotel Herman K,5.0,9.6,Exceptional,"['Breakfast available', 'Bar', 'Spa', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Superior Room', 'Room Charges': '$235'}, {'Room Name': 'Premium Suite (Private Roof-top Terrace)', 'Room Charges': '$1,002'}, {'Room Name': 'Deluxe Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Deluxe Suite', 'Room Charges': None}, {'Room Name': 'Suite', 'Room Charges': None}"
"Copenhagen, Denmark","Nobis Hotel Copenhagen, a Member of Design Hotels",5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Gym', '24/7 front desk', 'Laundry', 'Air conditioning']","{'Room Name': 'Superior Loft', 'Room Charges': '$372'}, {'Room Name': 'Superior Room', 'Room Charges': '$372'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$434'}, {'Room Name': 'Junior Suite', 'Room Charges': '$845'}, {'Room Name': 'Penthouse', 'Room Charges': '$1,915'}"
"Copenhagen, Denmark",Copenhagen Marriott Hotel,5.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', 'Room service', '24/7 front desk']","{'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$208'}, {'Room Name': 'Deluxe Room, 2 Double Beds, City View', 'Room Charges': '$208'}, {'Room Name': 'Deluxe Room, 1 King Bed, Canal View', 'Room Charges': '$247'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Canal View', 'Room Charges': '$247'}, {'Room Name': 'Executive Room, 2 Double Bed', 'Room Charges': '$292'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$292'}"
"Copenhagen, Denmark",Nimb Hotel,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Pet friendly', 'Gym']","{'Room Name': 'Deluxe Room, 1 Double Bed', 'Room Charges': '$956'}, {'Room Name': 'Junior Studio Suite', 'Room Charges': '$1,214'}, {'Room Name': 'Junior Studio Suite, Terrace', 'Room Charges': '$1,422'}, {'Room Name': 'Premium Studio Suite, Terrace', 'Room Charges': '$1,797'}"
"Copenhagen, Denmark",Danhostel Copenhagen City - Hostel,5.0,8.0,Very good,"['Bar', 'Breakfast available', 'Parking available', 'Laundry', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$63'}, {'Room Name': 'City view Standard+ twin room', 'Room Charges': '$74'}, {'Room Name': 'Standard Triple Room', 'Room Charges': '$79'}, {'Room Name': 'City view Standard+ Triple room', 'Room Charges': '$89'}, {'Room Name': 'Standard 4-bedded room', 'Room Charges': '$92'}, {'Room Name': 'City view Standard+ 4-bedded room', 'Room Charges': '$102'}, {'Room Name': '5 Bedded room', 'Room Charges': '$108'}, {'Room Name': 'Standard 6-bedded room', 'Room Charges': '$113'}, {'Room Name': 'City view Standard+ 6-bedded room', 'Room Charges': '$123'}, {'Room Name': 'Standard Room (Standard 7-Bed room)', 'Room Charges': '$139'}, {'Room Name': 'Standard 8-bedded room', 'Room Charges': '$144'}, {'Room Name': 'Standard+ 8-bedded room', 'Room Charges': '$154'}, {'Room Name': 'Standard Room (Standard+ 7-Bed room)', 'Room Charges': '$162'}, {'Room Name': 'Superior Apartment', 'Room Charges': '$294'}, {'Room Name': 'Shared Dormitory, Mixed Dorm (Bunk Bed)', 'Room Charges': None}"
