Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Doha, Qatar",Raffles Doha,5.0,9.6,Exceptional,"['Bar', 'Pool', 'Breakfast available', 'Spa', 'Gym', 'Laundry']","{'Room Name': 'Suite (Urban)', 'Room Charges': '$620'}, {'Room Name': 'Suite (Crescent)', 'Room Charges': '$757'}, {'Room Name': 'Suite (Gulf)', 'Room Charges': '$812'}, {'Room Name': 'Signature Suite (Crescent)', 'Room Charges': '$1,034'}, {'Room Name': 'Signature Suite (Gulf)', 'Room Charges': '$1,075'}"
"Doha, Qatar",,,,Exceptional,"['On private beach', 'Pool', 'Breakfast available', 'Restaurant', 'Spa', 'Gym']","{'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': '$202'}, {'Room Name': 'Classic Room, City View', 'Room Charges': '$202'}, {'Room Name': 'Classic Room, 2 Twin Beds, City View', 'Room Charges': '$202'}, {'Room Name': 'Classic Room, 1 King Bed, Smoking, City View', 'Room Charges': '$215'}, {'Room Name': 'Classic Room, 1 King Bed, Sea View', 'Room Charges': '$248'}, {'Room Name': 'Classic Room, 2 Twin Beds, Sea View', 'Room Charges': '$248'}, {'Room Name': 'Club Room', 'Room Charges': '$317'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access, City View', 'Room Charges': '$317'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access, Sea View', 'Room Charges': '$344'}, {'Room Name': 'Suite (Diplomatic)', 'Room Charges': '$553'}, {'Room Name': 'Suite, Smoking (Diplomatic)', 'Room Charges': None}, {'Room Name': 'Presidential Suite, Smoking', 'Room Charges': None}, {'Room Name': 'Royal Suite', 'Room Charges': None}, {'Room Name': 'Presidential Suite', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Sea View (Club)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Accessible, Smoking', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Business Lounge Access, City View', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Smoking, City View', 'Room Charges': None}, {'Room Name': 'Royal Suite, Smoking', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Smoking, Sea View', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Smoking, Sea View', 'Room Charges': None}, {'Room Name': 'Room, 2 Twin Beds, Smoking, City View (Business Lounge Access)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Smoking, Sea View (Business Lounge Access)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Smoking, City View (Business Lounge Access)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, Accessible, City View', 'Room Charges': None}"
"Doha, Qatar",Mondrian Doha,5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'Spa', 'Bar', 'Pet friendly', 'Laundry']","{'Room Name': 'Standard Room', 'Room Charges': '$185'}, {'Room Name': 'Superior Room', 'Room Charges': '$196'}, {'Room Name': 'Standard Room, 2 Double Beds', 'Room Charges': '$206'}, {'Room Name': 'Deluxe Suite (Loft)', 'Room Charges': '$359'}"
"Doha, Qatar",Radisson Blu Hotel Doha,5.0,8.8,Excellent,"['Free airport shuttle', 'Restaurant', 'Breakfast available', 'Pool', 'Pet friendly', 'Bar']","{'Room Name': 'Standard Room', 'Room Charges': '$137'}, {'Room Name': 'Superior Room', 'Room Charges': '$171'}, {'Room Name': 'Premium Room', 'Room Charges': '$226'}, {'Room Name': 'Executive Room', 'Room Charges': '$253'}, {'Room Name': 'Junior Suite', 'Room Charges': '$308'}, {'Room Name': 'Suite (Theme)', 'Room Charges': '$623'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$1,227'}"
"Doha, Qatar",Premier Inn Doha Education City,3.0,9.0,Wonderful,"['Breakfast available', None, 'Room service', 'Gym', 'Parking included', 'Housekeeping']","{'Room Name': 'Double Room, Non Smoking', 'Room Charges': '$78'}, {'Room Name': 'Twin Room, Non Smoking', 'Room Charges': '$78'}, {'Room Name': 'Family Room, Non Smoking', 'Room Charges': '$89'}"
"Doha, Qatar",Best Plaza West Bay,5.0,8.6,Excellent,"['Bar', 'Pool', 'Parking available', 'Breakfast available', 'Room service', 'Spa']","{'Room Name': 'Deluxe Room', 'Room Charges': '$123'}"
"Doha, Qatar",Le Royal Méridien Doha,5.0,9.2,Wonderful,"['Bar', 'Pool', 'Breakfast available', 'Room service', 'Gym', 'Parking included']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$163'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$175'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$175'}, {'Room Name': 'Deluxe Apartment, 1 Bedroom, Balcony', 'Room Charges': '$315'}, {'Room Name': 'Superior Apartment, 1 Bedroom, City View', 'Room Charges': '$329'}, {'Room Name': 'Suite, 2 Bedrooms, Balcony', 'Room Charges': '$573'}"
"Doha, Qatar",Premier Inn Doha Airport,3.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Room service', 'Gym', 'Parking included', 'Housekeeping']","{'Room Name': 'Family Room, Non Smoking (Family Three - FREE Airport Shuttle )', 'Room Charges': '$103'}"
"Doha, Qatar",Hyatt Regency Oryx Doha,5.0,9.2,Wonderful,"['Restaurant', 'Breakfast available', 'Bar', 'Pool', 'Room service', 'Spa']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$145'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$145'}, {'Room Name': 'Room, 1 King Bed, City View', 'Room Charges': '$212'}, {'Room Name': 'Room, 1 King Bed, Pool View', 'Room Charges': '$212'}, {'Room Name': 'Room, 2 Twin Beds, City View', 'Room Charges': '$212'}, {'Room Name': 'Room, 2 Twin Beds (High Floor)', 'Room Charges': '$236'}, {'Room Name': 'Room, 1 King Bed (High Floor)', 'Room Charges': '$236'}, {'Room Name': 'Room, 2 Twin Beds (Club Access)', 'Room Charges': '$360'}, {'Room Name': 'Room, 1 King Bed (Club Access)', 'Room Charges': '$360'}, {'Room Name': 'Regency, Suite', 'Room Charges': '$429'}"
"Doha, Qatar",Steigenberger Hotel Doha,5.0,9.2,Wonderful,"['Pool', 'Gym', 'Breakfast available', 'Bar', 'Spa', 'Parking included']",
