Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Dubai, UAE",Swissotel Al Ghurair,5.0,8.8,Excellent,"['Restaurant', 'Breakfast available', 'Pool', 'Bar', 'Spa', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$100'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$100'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$105'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, City View', 'Room Charges': '$105'}, {'Room Name': 'Swiss, Executive Room, 1 King Bed', 'Room Charges': '$145'}, {'Room Name': 'Classic Suite, 1 Double Bed', 'Room Charges': '$171'}, {'Room Name': 'Suite, 1 Double Bed, Corner', 'Room Charges': '$212'}, {'Room Name': 'Family Suite, 1 Double Bed', 'Room Charges': None}"
"Dubai, UAE","voco Bonnington Dubai, an IHG Hotel",5.0,8.8,Excellent,"['Hot Tub', 'Pool', 'Bar', 'Room service', 'Breakfast available', 'Housekeeping']","{'Room Name': 'Standard Room', 'Room Charges': '$117'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$144'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$144'}, {'Room Name': 'Premium Room, 1 King Bed (High Floor)', 'Room Charges': '$171'}, {'Room Name': 'Premium Room, 2 Twin Beds (High Floor)', 'Room Charges': '$171'}, {'Room Name': 'Premium Room, 1 King Bed (High Floor Almas Tower View)', 'Room Charges': '$198'}, {'Room Name': 'Premium Room, 2 Twin Beds (High Floor Almas Tower View)', 'Room Charges': '$198'}, {'Room Name': 'Deluxe Room, 1 King Bed with Sofa bed, Corner', 'Room Charges': '$239'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': '$307'}, {'Room Name': 'Suite, 1 King Bed (High Floor)', 'Room Charges': '$375'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed (High Floor Almas Tower View)', 'Room Charges': None}"
"Dubai, UAE",Jumeirah Al Naseem Dubai,5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'On private beach', 'Bar', 'Room service', 'Spa']","{'Room Name': 'Deluxe Room (Resort)', 'Room Charges': '$764'}, {'Room Name': 'Superior Room (Family)', 'Room Charges': '$784'}, {'Room Name': 'Room (Pool Terrace)', 'Room Charges': '$904'}, {'Room Name': 'Suite, Ocean View', 'Room Charges': '$2,396'}, {'Room Name': 'Suite (Gulf Ocean)', 'Room Charges': '$2,619'}, {'Room Name': 'Suite (Burj View)', 'Room Charges': '$2,799'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$9,529'}"
"Dubai, UAE",JW Marriott Marquis Hotel Dubai,5.0,9.4,Exceptional,"['Restaurant', 'Breakfast available', 'Pool', 'Gym', 'Spa', 'Bar']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$230'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$233'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$257'}, {'Room Name': 'Executive Room, 2 Twin Beds', 'Room Charges': '$380'}"
"Dubai, UAE",FIVE Jumeirah Village Dubai,5.0,8.2,Very good,"['Pool', 'Spa', 'Restaurant', 'Bar', 'Breakfast available', 'Room service']","{'Room Name': 'Superior', 'Room Charges': '$137'}, {'Room Name': 'Superior Sky | Double Queen', 'Room Charges': '$149'}, {'Room Name': 'Junior Suite w/Jacuzzi', 'Room Charges': '$206'}, {'Room Name': '1 BED | Sky Villa w/Pool', 'Room Charges': '$313'}, {'Room Name': '2 BED | Sky Villa w/Pool', 'Room Charges': '$368'}, {'Room Name': '4 BED | Sky Villa w/Pool', 'Room Charges': '$617'}"
"Dubai, UAE",FIVE Palm Jumeirah Dubai,5.0,8.2,Very good,"['On private beach', 'Bar', 'Room service', 'Pool', 'Hot Tub', 'Spa']","{'Room Name': 'Superior Room', 'Room Charges': '$274'}, {'Room Name': 'Junior Suite', 'Room Charges': '$348'}, {'Room Name': 'Luxe Sea View', 'Room Charges': '$391'}, {'Room Name': 'Luxe Sea View | Double Queen', 'Room Charges': '$409'}, {'Room Name': 'Luxe 1 Bedroom Suite', 'Room Charges': '$527'}, {'Room Name': '1 BED | Serviced Apartment', 'Room Charges': '$537'}, {'Room Name': '2 BED | Serviced Apartment', 'Room Charges': '$709'}, {'Room Name': '4 BED | XL Terrace Pool Suite', 'Room Charges': '$2,025'}, {'Room Name': '4 BED | XL Terrace Pool Suite, Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': 'Luxe 1 Bedroom Suite, Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': 'Superior Room Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': 'Luxe Sea View, Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': '3 BED | Serviced Apartment, Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': '2 BED | Serviced Apartment, Including New Year Gala Dinner & Party', 'Room Charges': None}, {'Room Name': '3 BED | Serviced Apartment', 'Room Charges': None}, {'Room Name': 'Junior Suite Including New Year Gala Dinner & Party', 'Room Charges': None}"
"Dubai, UAE",Hotel Avalon at Jumeirah Village Circle,,10,Exceptional,"['Pool', 'Spa', 'Room service', 'Breakfast available', 'Housekeeping', 'Laundry']","{'Room Name': 'Double Room', 'Room Charges': '$69'}, {'Room Name': 'Twin Room', 'Room Charges': '$69'}"
"Dubai, UAE","The First Collection at Jumeirah Village Circle, a Tribute Portfolio Hotel",4.0,9.2,Wonderful,"['Bar', 'Pool', 'Spa', 'Room service', 'Pet friendly', 'Breakfast available']","{'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': '$109'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$232'}"
"Dubai, UAE",Jumeirah Mina Al Salam Dubai,5.0,9.4,Exceptional,"['On private beach', 'Pool', 'Restaurant', 'Hot Tub', 'Bar', 'Room service']","{'Room Name': 'Arabian Deluxe', 'Room Charges': '$453'}, {'Room Name': 'Deluxe Room (Lagoon)', 'Room Charges': '$474'}, {'Room Name': 'Ocean Deluxe', 'Room Charges': '$515'}, {'Room Name': 'Club Arabian Room', 'Room Charges': '$564'}, {'Room Name': 'Suite (Ocean)', 'Room Charges': '$1,258'}"
"Dubai, UAE",SEVEN HOTEL APARTMENTS THE PALM JUMEIRAH,,9.6,,"['Bar', 'Spa', '24/7 front desk', 'Washer', 'Pool', 'Gym']","{'Room Name': 'Classic Studio, Resort View', 'Room Charges': '$254'}, {'Room Name': 'Design Studio, Partial Sea View', 'Room Charges': '$273'}, {'Room Name': 'Traditional Studio, Resort View', 'Room Charges': None}, {'Room Name': 'Comfort Studio, Partial Sea View', 'Room Charges': None}"
