Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Dublin, Ireland","The College Green Hotel Dublin, Autograph Collection",5.0,9.2,Wonderful,"['Bar', 'Room service', 'Parking available', 'Breakfast available', 'Gym', 'Housekeeping']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$298'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$349'}"
"Dublin, Ireland",Anantara The Marker Dublin - A Leading Hotel of the World,5.0,9.6,Exceptional,"['Breakfast available', 'Spa', 'Pool', 'Restaurant', 'Bar', 'Pet friendly']","{'Room Name': 'Deluxe Room', 'Room Charges': '$301'}, {'Room Name': 'Premium Room, Canal View (Grand)', 'Room Charges': '$447'}, {'Room Name': 'Premium Room, Canal View (Grand, Extra Bed 2 Ad + 1 Ch)', 'Room Charges': '$447'}, {'Room Name': 'Junior Corner Suite', 'Room Charges': '$489'}, {'Room Name': 'Family Room', 'Room Charges': '$489'}, {'Room Name': 'Family Room (2 Adults + 2 Children)', 'Room Charges': '$489'}, {'Room Name': 'Junior Suite, Corner (View, ExtraBed 2 Adults + 2 Children)', 'Room Charges': '$489'}, {'Room Name': 'Family Room (3 Adults + 1 Child)', 'Room Charges': '$530'}, {'Room Name': 'Junior Suite, Corner (View, Extra Bed 3 adults + 1 child)', 'Room Charges': '$530'}, {'Room Name': 'Family Room (View, 2 Adults + 2 Children)', 'Room Charges': None}, {'Room Name': 'Premium Room', 'Room Charges': None}, {'Room Name': 'Junior Suite (View, Extra Bed 3 adults + 1 child)', 'Room Charges': None}, {'Room Name': 'Family Room (View)', 'Room Charges': None}, {'Room Name': 'Family Room (View, 3 Adults + 1 Child)', 'Room Charges': None}, {'Room Name': 'Premium Room (View)', 'Room Charges': None}, {'Room Name': 'Premium Room (View, Extra Bed 2 Adults + 1 Child)', 'Room Charges': None}, {'Room Name': 'Junior Suite (View, Extra Bed 2 adults + 2 children)', 'Room Charges': None}, {'Room Name': 'Junior Suite (View)', 'Room Charges': None}"
"Dublin, Ireland",The Westbury Hotel,5.0,9.2,Wonderful,"['Restaurant', 'Bar', 'Room service', 'Parking available', 'Breakfast available', 'Gym']","{'Room Name': 'Suite, Terrace', 'Room Charges': '$2,012'}"
"Dublin, Ireland","InterContinental Dublin, an IHG Hotel",5.0,9.4,Exceptional,"['Breakfast available', 'Spa', 'Gym', 'Restaurant', 'Hot Tub', 'Pool']","{'Room Name': 'Classic Room', 'Room Charges': '$320'}, {'Room Name': 'Classic Room, 1 King Bed, Courtyard View', 'Room Charges': '$362'}, {'Room Name': 'Classic Room, 1 King Bed, Balcony', 'Room Charges': '$371'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$320'}, {'Room Name': 'Classic Room, 2 Twin Beds, Courtyard View', 'Room Charges': '$362'}, {'Room Name': 'Classic Room, Courtyard View', 'Room Charges': '$362'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$552'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$598'}, {'Room Name': 'Suite, 1 Bedroom, Balcony (Dining Area)', 'Room Charges': '$644'}, {'Room Name': 'Suite, 1 Bedroom, Terrace (Dining Area)', 'Room Charges': '$922'}, {'Room Name': 'Premium Room, 2 Queen Beds (Premium)', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Queen Beds', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': None}"
"Dublin, Ireland",The Fitzwilliam Hotel,5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Room service', 'Parking available', 'Gym', 'Housekeeping']","{'Room Name': 'Signature Room, 1 Queen Bed', 'Room Charges': '$312'}, {'Room Name': 'Superior Room', 'Room Charges': '$346'}, {'Room Name': 'Room, Garden View', 'Room Charges': '$319'}"
"Dublin, Ireland","The Shelbourne, Autograph Collection",5.0,9.0,Wonderful,"['Restaurant', 'Pool', 'Bar', 'Spa', 'Room service', 'Parking available']","{'Room Name': 'Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$468'}, {'Room Name': 'Presidential Suite, 2 Bedrooms, Non Smoking', 'Room Charges': '$4,070'}"
"Dublin, Ireland",The Merrion,5.0,9.8,Exceptional,"['Pool', 'Restaurant', 'Spa', 'Bar', 'Room service', 'Parking available']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$403'}, {'Room Name': 'Superior Twin Room (Garden Wing)', 'Room Charges': '$463'}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Superior King Room in the Garden Wing with a Garden View', 'Room Charges': None}, {'Room Name': 'Deluxe King Room in the Main House', 'Room Charges': None}"
"Dublin, Ireland",Conrad Dublin,5.0,9.4,Exceptional,"['Bar', 'Pet friendly', 'Room service', 'Parking available', 'Breakfast available', 'Gym']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$325'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$341'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$408'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$325'}, {'Room Name': 'Earlsfort Suite', 'Room Charges': '$976'}, {'Room Name': 'Lir Suite', 'Room Charges': '$976'}, {'Room Name': 'Presidential Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Family Room, Connecting Rooms (Conrad)', 'Room Charges': None}, {'Room Name': 'Niven Suite', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom (Conrad)', 'Room Charges': None}, {'Room Name': 'Premier Room, 1 King Bed, Balcony', 'Room Charges': None}, {'Room Name': 'Boru Suite', 'Room Charges': None}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': None}"
"Dublin, Ireland","The Shelbourne, Autograph Collection",5.0,9.0,Wonderful,"['Restaurant', 'Pool', 'Bar', 'Spa', 'Room service', 'Parking available']","{'Room Name': 'Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$468'}, {'Room Name': 'Presidential Suite, 2 Bedrooms, Non Smoking', 'Room Charges': '$4,070'}"
"Dublin, Ireland",The Fitzwilliam Hotel,5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Room service', 'Parking available', 'Gym', 'Housekeeping']","{'Room Name': 'Signature Room, 1 Queen Bed', 'Room Charges': '$312'}, {'Room Name': 'Superior Room', 'Room Charges': '$346'}, {'Room Name': 'Room, Garden View', 'Room Charges': '$319'}"
