Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Frankfurt, Germany",Hotel Frankfurt Messe affiliated by Meliá,4.0,9.0,Good,"['Bar', 'Gym', 'Pet friendly', 'Room service', 'Laundry', '24/7 front desk']","{'Room Name': 'Twin Standard', 'Room Charges': '$75'}, {'Room Name': 'Standard Room', 'Room Charges': '$84'}, {'Room Name': 'Premium Room', 'Room Charges': '$99'}, {'Room Name': 'Room Standard', 'Room Charges': '$80'}, {'Room Name': 'Standard Room (Twin)', 'Room Charges': '$81'}, {'Room Name': 'Double Premium', 'Room Charges': '$95'}, {'Room Name': 'Double Room', 'Room Charges': '$137'}"
"Frankfurt, Germany","Radisson Blu Hotel, Frankfurt",4.0,8.2,Very good,"['Bar', 'Pool', 'Gym', 'Laundry', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Standard Room', 'Room Charges': '$136'}, {'Room Name': 'Superior Room, View', 'Room Charges': '$155'}, {'Room Name': 'Premium Room (High Floor)', 'Room Charges': '$198'}, {'Room Name': 'Family Room', 'Room Charges': '$246'}"
"Frankfurt, Germany",Scandic Frankfurt Museumsufer,,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', 'Parking available', 'Laundry']","{'Room Name': 'Superior Double Room, City View', 'Room Charges': '$102'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$109'}, {'Room Name': 'Standard Twin Room', 'Room Charges': '$109'}, {'Room Name': 'Suite (Master)', 'Room Charges': None}"
"Frankfurt, Germany",Adina Apartment Hotel Frankfurt Westend,,9.2,Wonderful,"['Breakfast available', 'Washer', 'Bar', 'Parking available', 'Gym', 'Pet friendly']","{'Room Name': 'Studio', 'Room Charges': '$87'}, {'Room Name': 'Studio Premier', 'Room Charges': '$101'}, {'Room Name': 'Apartment, 1 Bedroom', 'Room Charges': '$122'}, {'Room Name': 'Apartment Premier with Balcony', 'Room Charges': '$158'}, {'Room Name': 'Two bed - Apartment', 'Room Charges': '$293'}, {'Room Name': 'Apartment Premier', 'Room Charges': None}"
"Frankfurt, Germany",Hyatt Place Frankfurt Airport,,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Parking available', 'Gym', 'Pet friendly']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$78'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$92'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$92'}, {'Room Name': 'Room, 2 Twin Beds with Sofa Bed', 'Room Charges': '$101'}, {'Room Name': 'Room, 1 King Bed with Sofa bed', 'Room Charges': '$106'}, {'Room Name': 'Premium Room, 2 Twin Beds with Sofa Bed', 'Room Charges': '$111'}"
"Frankfurt, Germany",Maritim Hotel Frankfurt,,8.2,Very good,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Room service', 'Pet friendly']","{'Room Name': 'Classic Twin Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Double Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Family Room', 'Room Charges': '$113'}, {'Room Name': 'Classic Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Twin Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Family Room', 'Room Charges': '$113'}, {'Room Name': 'Superior Skyline Twin Room', 'Room Charges': '$121'}, {'Room Name': 'Superior Skyline Double Room', 'Room Charges': '$124'}, {'Room Name': 'Junior Suite (Double Use)', 'Room Charges': '$165'}, {'Room Name': 'Suite, 1 Bedroom (Master, Double Use)', 'Room Charges': '$198'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$315'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}"
"Frankfurt, Germany",Flemings Hotel Frankfurt-Central,,8.6,Excellent,"['Breakfast available', 'Bar', 'Pet friendly', 'Laundry', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Comfort Double Room', 'Room Charges': '$66'}, {'Room Name': 'Comfort Plus Double Room', 'Room Charges': '$75'}, {'Room Name': 'Comfort Twin Room', 'Room Charges': '$66'}, {'Room Name': 'Double Comfort', 'Room Charges': '$66'}, {'Room Name': 'Comfort Twin Room', 'Room Charges': '$66'}, {'Room Name': 'Comfort Plus Twin Room', 'Room Charges': '$75'}, {'Room Name': 'Comfort Plus Twin Room', 'Room Charges': '$75'}, {'Room Name': 'Signature Double Room', 'Room Charges': '$92'}"
"Frankfurt, Germany",Maritim Hotel Frankfurt,,8.2,Very good,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Room service', 'Pet friendly']","{'Room Name': 'Classic Twin Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Double Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Family Room', 'Room Charges': '$113'}, {'Room Name': 'Classic Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Twin Room', 'Room Charges': '$100'}, {'Room Name': 'Classic Family Room', 'Room Charges': '$113'}, {'Room Name': 'Superior Skyline Twin Room', 'Room Charges': '$121'}, {'Room Name': 'Superior Skyline Double Room', 'Room Charges': '$124'}, {'Room Name': 'Junior Suite (Double Use)', 'Room Charges': '$165'}, {'Room Name': 'Suite, 1 Bedroom (Master, Double Use)', 'Room Charges': '$198'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$315'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}"
"Frankfurt, Germany",Hamburger Hof Hotel,3.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', '24/7 front desk', 'Laundry', 'Air conditioning']","{'Room Name': 'Double Room Standard', 'Room Charges': '$80'}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$86'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$110'}, {'Room Name': 'Comfort Double or Twin Room', 'Room Charges': '$118'}, {'Room Name': 'Comfort Single Room, 1 Twin Bed', 'Room Charges': None}"
"Frankfurt, Germany",IntercityHotel Frankfurt Hauptbahnhof Süd,,8.8,Excellent,"['Breakfast available', 'Bar', 'Parking available', 'Pet friendly', 'Laundry', '24/7 front desk']","{'Room Name': 'Business Twin Room With Separate Beds', 'Room Charges': '$94'}, {'Room Name': 'Business Twin Room', 'Room Charges': '$98'}, {'Room Name': 'Superior Room', 'Room Charges': '$113'}, {'Room Name': 'Business Room', 'Room Charges': '$94'}, {'Room Name': 'Business Room', 'Room Charges': '$98'}, {'Room Name': 'Superior Room', 'Room Charges': '$109'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$115'}"
"Frankfurt, Germany",Adina Apartment Hotel Frankfurt Neue Oper,4.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Spa', 'Pet friendly', 'Gym']","{'Room Name': 'Studio', 'Room Charges': '$133'}, {'Room Name': 'Premier Studio', 'Room Charges': '$156'}, {'Room Name': 'Standard Apartment, 1 Bedroom', 'Room Charges': '$172'}, {'Room Name': 'Premier Room, 1 Bedroom', 'Room Charges': '$195'}"
"Frankfurt, Germany",NH Collection Frankfurt Spin Tower,4.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Spa', 'Pet friendly', 'Gym', 'Parking available']","{'Room Name': 'Superior Room', 'Room Charges': '$127'}, {'Room Name': 'Superior Room', 'Room Charges': '$156'}, {'Room Name': 'Suite', 'Room Charges': '$450'}, {'Room Name': 'Superior Room, Skyline View', 'Room Charges': None}, {'Room Name': 'Superior Room, Extra Large', 'Room Charges': None}, {'Room Name': 'Superior Room, Extra Large, Skyline View', 'Room Charges': None}, {'Room Name': 'Premium Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Junior Suite (Extra Bed 2 adults + 1 child)', 'Room Charges': None}, {'Room Name': 'Family Room (Adjoining Room, 2AD+2CH)', 'Room Charges': None}, {'Room Name': 'Family Room (Adjoining Room, 3AD+1CH)', 'Room Charges': None}"
"Frankfurt, Germany","Holiday Inn - the niu, Charly Frankfurt City, an IHG Hotel",,8.4,Very good,"['Breakfast available', 'Bar', 'Parking available', 'Pet friendly', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$88'}, {'Room Name': 'Premium Room, 1 Queen Bed', 'Room Charges': '$98'}, {'Room Name': 'Standard Room', 'Room Charges': '$88'}, {'Room Name': 'Standard Room, 1 Queen Bed, Accessible Bathtub', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Twin Bed', 'Room Charges': None}"
"Frankfurt, Germany",Hotel Monopol,,8.0,Very good,"['Breakfast available', 'Bar', 'Room service', 'Parking available', 'Laundry', '24/7 front desk']","{'Room Name': 'Standard Double Room/ Twin Room', 'Room Charges': '$76'}"
"Frankfurt, Germany",Platzhirsch Living Hotel,,9.0,Wonderful,"['Free airport shuttle', 'Breakfast available', '24/7 front desk', 'Parking available', 'Pet friendly', 'Air conditioning']","{'Room Name': 'Standard Double Room', 'Room Charges': '$73'}, {'Room Name': 'Standard Suite', 'Room Charges': '$88'}"
"Frankfurt, Germany",Residence Inn by Marriott Frankfurt City Center,,8.8,Excellent,"['Breakfast included', 'Gym', 'Laundry', 'Parking available', 'Air conditioning', 'Kitchen']","{'Room Name': 'Superior Studio, 1 King Bed with Sofa bed, City View', 'Room Charges': '$152'}, {'Room Name': 'Studio, 1 Queen Bed, Terrace, City View', 'Room Charges': '$182'}"
"Frankfurt, Germany",Moxy Frankfurt City Center,,8.8,Excellent,"['Breakfast available', 'Bar', 'Pet friendly', 'Parking available', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$116'}, {'Room Name': 'Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$135'}"
"Frankfurt, Germany",H4 Hotel Frankfurt Messe,,8.4,Very good,"['Bar', 'Spa', 'Room service', 'Pet friendly', 'Parking available', '24/7 front desk']","{'Room Name': 'Comfort Room', 'Room Charges': '$75'}, {'Room Name': 'Family Room', 'Room Charges': '$98'}, {'Room Name': 'Comfort Single Room', 'Room Charges': None}"
"Frankfurt, Germany","Staycity Aparthotels, Frankfurt Airport",,9.2,Wonderful,"['Gym', 'Parking available', '24/7 front desk', 'Breakfast available', 'Laundry', 'Free WiFi']","{'Room Name': 'Studio.', 'Room Charges': '$80'}, {'Room Name': 'Studio', 'Room Charges': '$80'}, {'Room Name': 'One Bedroom', 'Room Charges': '$110'}, {'Room Name': 'One Bed Accessible.', 'Room Charges': '$110'}, {'Room Name': 'One Bed Accessible', 'Room Charges': None}, {'Room Name': 'Studio Accessible', 'Room Charges': None}"
"Frankfurt, Germany",Steigenberger Airport Hotel Frankfurt,,9.0,Wonderful,"['Free airport shuttle', 'Breakfast available', 'Gym', 'Spa', 'Pool', 'Bar']","{'Room Name': 'Business Room', 'Room Charges': '$128'}, {'Room Name': 'Executive Room, 1 Double Bed', 'Room Charges': '$147'}, {'Room Name': 'Family Room', 'Room Charges': '$188'}, {'Room Name': 'Junior Suite', 'Room Charges': '$205'}, {'Room Name': 'Executive Suite', 'Room Charges': '$290'}"
"Frankfurt, Germany",Melia Frankfurt City,4.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Spa', 'Gym', 'Pet friendly', 'Room service']","{'Room Name': 'Melia Premium Room with Skyline View', 'Room Charges': '$158'}, {'Room Name': 'Melia Premium Room With Skyline View', 'Room Charges': '$159'}, {'Room Name': 'Junior Suite', 'Room Charges': '$207'}, {'Room Name': 'Junior Suite (2 + 1)', 'Room Charges': '$207'}, {'Room Name': 'The Level Room with Executive Lounge Access', 'Room Charges': '$212'}, {'Room Name': 'The Level Room', 'Room Charges': '$214'}, {'Room Name': 'Junior Suite', 'Room Charges': '$221'}, {'Room Name': 'The Level Junior Suite with Executive Lounge Access', 'Room Charges': '$433'}, {'Room Name': 'The Level Junior Suite (2+1)', 'Room Charges': '$433'}, {'Room Name': 'The Level Grand Suite', 'Room Charges': '$744'}, {'Room Name': 'The Level Grand Suite (2+1)', 'Room Charges': '$744'}, {'Room Name': 'The Level Master Suite with Executive Lounge Access', 'Room Charges': '$1,920'}"
"Frankfurt, Germany",Rioca Frankfurt Posto 7,,9.8,Exceptional,"['Breakfast available', 'Pet friendly', 'Air conditioning', 'Kitchen', 'Laundry', 'Free WiFi']","{'Room Name': 'Standard Double Room', 'Room Charges': '$92'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$99'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$106'}"
"Frankfurt, Germany",Bold Hotel Frankfurt Messe,,8.2,Very good,"['Laundry', 'Kitchen', 'Outdoor Space', 'Pet friendly', 'Free WiFi']","{'Room Name': 'Bold Twin Studio', 'Room Charges': '$67'}, {'Room Name': 'Bold Twin Studio', 'Room Charges': '$84'}, {'Room Name': 'Bold Single Studio', 'Room Charges': None}"
"Frankfurt, Germany",Grand Hotel Downtown,4.0,8.4,,"['Breakfast available', 'Bar', 'Spa', 'Gym', 'Room service', 'Laundry']","{'Room Name': 'Business Double or Twin Room', 'Room Charges': '$59'}, {'Room Name': 'Triple Room', 'Room Charges': '$62'}, {'Room Name': 'Twin Business', 'Room Charges': '$61'}, {'Room Name': 'Triple Standard', 'Room Charges': '$71'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Double Room', 'Room Charges': None}"
"Frankfurt, Germany",Hotel Attaché,,8.2,Very good,"['Bar', 'Room service', 'Breakfast available', 'Laundry', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Comfort Double Room', 'Room Charges': '$52'}"
"Frankfurt, Germany",Loginn Hotel Offenbach,,9.2,Wonderful,"['Bar', '24/7 front desk', 'Gym', 'Pet friendly', 'Air conditioning', 'Breakfast available']","{'Room Name': 'Superior Double Room', 'Room Charges': '$67'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$67'}, {'Room Name': 'Deluxe Apartment', 'Room Charges': '$98'}"
"Frankfurt, Germany",SleepBEEONE AIRPORTHOTEL FRANKFURT-MÖRFELDEN,,8.0,Very good,"['Breakfast included', 'Bar', 'Pet friendly', '24/7 front desk', 'Free WiFi', 'Restaurant']","{'Room Name': 'Club Twin Room', 'Room Charges': '$53'}, {'Room Name': 'Business Twin Room', 'Room Charges': '$56'}, {'Room Name': 'Exclusive Double or Twin Room', 'Room Charges': '$60'}, {'Room Name': 'Business Double Room', 'Room Charges': '$60'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$87'}, {'Room Name': 'Superior Quadruple Room', 'Room Charges': '$87'}, {'Room Name': 'Comfort Quadruple Room', 'Room Charges': '$87'}"
