Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Honolulu, USA",Waikiki Beach Marriott Resort & Spa,4,8.8,Excellent,"['Pool', 'Spa', 'Gym', 'Hot Tub', 'Room service', 'Breakfast available']","{'Room Name': 'Room, City View', 'Room Charges': '$254'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony, Ocean View (Balcony)', 'Room Charges': '$297'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, City View (Hearing Accessible)', 'Room Charges': '$263'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, City View (Balcony)', 'Room Charges': '$263'}, {'Room Name': 'Room, 2 Double Beds, Ocean View (Hearing Accessible)', 'Room Charges': '$297'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony (Hearing Accessible)', 'Room Charges': '$297'}, {'Room Name': 'Room, 2 Double Beds, City View', 'Room Charges': '$309'}, {'Room Name': 'Room, 2 Double Beds, Ocean View', 'Room Charges': '$349'}, {'Room Name': 'Room, 1 King Bed with Sofa bed', 'Room Charges': '$369'}, {'Room Name': 'Room, 2 Double Beds, Ocean View', 'Room Charges': '$369'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Ocean View', 'Room Charges': '$389'}, {'Room Name': 'Room, 2 Double Beds, Balcony, Ocean View', 'Room Charges': '$389'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, Ocean View', 'Room Charges': '$398'}, {'Room Name': 'Room, 2 Double Beds, Oceanfront', 'Room Charges': '$419'}, {'Room Name': 'Family Suite', 'Room Charges': '$419'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, Balcony, City View', 'Room Charges': '$419'}, {'Room Name': 'Room, 2 Double Beds, Oceanfront (Hearing Accessible)', 'Room Charges': '$419'}, {'Room Name': 'Family Suite (Mobility Accessible, Roll-In Shower)', 'Room Charges': '$419'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony', 'Room Charges': '$419'}, {'Room Name': 'Junior Double Room, 2 Double Beds, Oceanfront', 'Room Charges': '$519'}"
"Honolulu, USA",Hyatt Regency Waikiki Beach Resort & Spa,4,8.8,Excellent,"['Hot Tub', 'Spa', 'Pool', 'Pet friendly', 'Breakfast available', 'Air conditioning']","{'Room Name': 'Room, 1 King Bed, City View (Waikiki)', 'Room Charges': '$284'}, {'Room Name': 'Room, 1 King Bed, Ocean View (High Floor)', 'Room Charges': '$341'}, {'Room Name': 'Room, 1 King Bed, Accessible, Bathtub', 'Room Charges': '$284'}, {'Room Name': 'Room, 1 King Bed, Accessible (with Roll-in Shower)', 'Room Charges': '$284'}, {'Room Name': 'Room, 2 Queen Beds, Accessible, Bathtub', 'Room Charges': '$289'}, {'Room Name': 'Room, 2 Queen Beds (Waikiki View)', 'Room Charges': '$289'}, {'Room Name': 'Room, 1 King Bed, City View (High Floor, Waikiki View)', 'Room Charges': '$294'}, {'Room Name': 'Room, 2 Queen Beds, City View (High Floor, Waikiki View)', 'Room Charges': '$298'}, {'Room Name': 'Room, 1 King Bed, Ocean View', 'Room Charges': '$332'}, {'Room Name': 'Room, 2 Queen Beds, Ocean View', 'Room Charges': '$336'}, {'Room Name': 'Room, 2 Queen Beds, Ocean View (High Floor)', 'Room Charges': '$346'}, {'Room Name': 'Room, 2 Queen Beds, Accessible (with Roll-in Shower)', 'Room Charges': '$354'}, {'Room Name': 'Room, 1 King Bed, Oceanfront', 'Room Charges': '$370'}, {'Room Name': 'Room, 2 Queen Beds, Oceanfront', 'Room Charges': '$374'}, {'Room Name': 'Room, 1 King Bed, Oceanfront (Diamond Head)', 'Room Charges': '$379'}, {'Room Name': 'Suite, 1 Bedroom (Waikiki View)', 'Room Charges': '$848'}, {'Room Name': 'Suite, 1 Bedroom, Oceanfront', 'Room Charges': '$1,263'}, {'Room Name': 'Penthouse (Suite)', 'Room Charges': '$1,430'}"
"Honolulu, USA",Ala Moana Hotel by Mantra,4,8.6,Excellent,"['Restaurant', 'Breakfast available', 'Gym', 'Housekeeping', '24/7 front desk', 'Spa']","{'Room Name': 'Kona Tower Partial Ocean View – Resort Fee Included', 'Room Charges': '$257'}, {'Room Name': 'Waikiki Tower Ocean View – Resort Fee Included', 'Room Charges': '$321'}, {'Room Name': 'Waikiki Tower 1 Bedroom Mountain View Suite - Resort Fee Included', 'Room Charges': '$407'}, {'Room Name': 'Waikiki Tower 1 Bedroom Ocean View Suite - Resort Fee Included', 'Room Charges': '$457'}, {'Room Name': 'Junior Suite - Resort Fee Included', 'Room Charges': '$487'}, {'Room Name': 'Waikiki Tower Partial Ocean View – Resort Fee Included', 'Room Charges': None}, {'Room Name': 'Kona Tower City View - Resort Fee Included', 'Room Charges': None}, {'Room Name': 'Waikiki Tower City / Mountain View – Resort Fee Included', 'Room Charges': None}"
"Honolulu, USA",Ramada Plaza by Wyndham Waikiki,3,8.8,Excellent,"['Restaurant', 'Pool', 'Housekeeping', '24/7 front desk', 'Laundry', 'Gym']","{'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$151'}, {'Room Name': 'Standard Room, 2 Double Beds, Non Smoking', 'Room Charges': '$151'}, {'Room Name': 'Standard Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$151'}, {'Room Name': '1 King Bed Non-Smoking', 'Room Charges': '$159'}, {'Room Name': '2 Double Beds Non-Smoking', 'Room Charges': '$159'}, {'Room Name': '1 Queen Bed Non-Smoking', 'Room Charges': '$159'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, Balcony', 'Room Charges': '$167'}, {'Room Name': 'Room, 2 Double Beds, Non Smoking, Balcony', 'Room Charges': '$175'}, {'Room Name': 'Studio Suite, 1 King Bed, Non Smoking', 'Room Charges': '$323'}, {'Room Name': 'Studio Suite, 2 Queen Beds, Non Smoking', 'Room Charges': '$323'}"
"Honolulu, USA",Waikiki Beach Marriott Resort & Spa,4,8.8,Excellent,"['Pool', 'Spa', 'Gym', 'Hot Tub', 'Room service', 'Breakfast available']","{'Room Name': 'Room, City View', 'Room Charges': '$254'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony, Ocean View (Balcony)', 'Room Charges': '$297'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, City View (Hearing Accessible)', 'Room Charges': '$263'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, City View (Balcony)', 'Room Charges': '$263'}, {'Room Name': 'Room, 2 Double Beds, Ocean View (Hearing Accessible)', 'Room Charges': '$297'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony (Hearing Accessible)', 'Room Charges': '$297'}, {'Room Name': 'Room, 2 Double Beds, City View', 'Room Charges': '$309'}, {'Room Name': 'Room, 2 Double Beds, Ocean View', 'Room Charges': '$349'}, {'Room Name': 'Room, 1 King Bed with Sofa bed', 'Room Charges': '$369'}, {'Room Name': 'Room, 2 Double Beds, Ocean View', 'Room Charges': '$369'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Ocean View', 'Room Charges': '$389'}, {'Room Name': 'Room, 2 Double Beds, Balcony, Ocean View', 'Room Charges': '$389'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, Ocean View', 'Room Charges': '$398'}, {'Room Name': 'Room, 2 Double Beds, Oceanfront', 'Room Charges': '$419'}, {'Room Name': 'Family Suite', 'Room Charges': '$419'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, Balcony, City View', 'Room Charges': '$419'}, {'Room Name': 'Room, 2 Double Beds, Oceanfront (Hearing Accessible)', 'Room Charges': '$419'}, {'Room Name': 'Family Suite (Mobility Accessible, Roll-In Shower)', 'Room Charges': '$419'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Balcony', 'Room Charges': '$419'}, {'Room Name': 'Junior Double Room, 2 Double Beds, Oceanfront', 'Room Charges': '$519'}"
"Honolulu, USA",Hyatt Regency Waikiki Beach Resort & Spa,4,8.8,Excellent,"['Restaurant', 'Spa', 'Gym', 'Hot Tub', 'Pool', 'Pet friendly']","{'Room Name': 'Room, 1 King Bed, City View (Waikiki)', 'Room Charges': '$284'}, {'Room Name': 'Room, 1 King Bed, Ocean View (High Floor)', 'Room Charges': '$341'}, {'Room Name': 'Room, 1 King Bed, Accessible, Bathtub', 'Room Charges': '$284'}, {'Room Name': 'Room, 1 King Bed, Accessible (with Roll-in Shower)', 'Room Charges': '$284'}, {'Room Name': 'Room, 2 Queen Beds, Accessible, Bathtub', 'Room Charges': '$289'}, {'Room Name': 'Room, 2 Queen Beds (Waikiki View)', 'Room Charges': '$289'}, {'Room Name': 'Room, 1 King Bed, City View (High Floor, Waikiki View)', 'Room Charges': '$294'}, {'Room Name': 'Room, 2 Queen Beds, City View (High Floor, Waikiki View)', 'Room Charges': '$298'}, {'Room Name': 'Room, 1 King Bed, Ocean View', 'Room Charges': '$332'}, {'Room Name': 'Room, 2 Queen Beds, Ocean View', 'Room Charges': '$336'}, {'Room Name': 'Room, 2 Queen Beds, Ocean View (High Floor)', 'Room Charges': '$346'}, {'Room Name': 'Room, 2 Queen Beds, Accessible (with Roll-in Shower)', 'Room Charges': '$354'}, {'Room Name': 'Room, 1 King Bed, Oceanfront', 'Room Charges': '$370'}, {'Room Name': 'Room, 2 Queen Beds, Oceanfront', 'Room Charges': '$374'}, {'Room Name': 'Room, 1 King Bed, Oceanfront (Diamond Head)', 'Room Charges': '$379'}, {'Room Name': 'Suite, 1 Bedroom (Waikiki View)', 'Room Charges': '$848'}, {'Room Name': 'Suite, 1 Bedroom, Oceanfront', 'Room Charges': '$1,263'}, {'Room Name': 'Penthouse (Suite)', 'Room Charges': '$1,430'}"
"Honolulu, USA",Prince Waikiki,5,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Room service', 'Pet friendly', 'Breakfast available']","{'Room Name': 'Ocean Front Harbor 2 Queen Beds', 'Room Charges': '$289'}, {'Room Name': 'Ocean Front 1 King Bed', 'Room Charges': '$315'}, {'Room Name': 'Ocean Front 2 Queen Beds', 'Room Charges': '$306'}, {'Room Name': 'Ocean Front Premier 2 Queen Beds', 'Room Charges': '$324'}, {'Room Name': 'Ocean Front Premier 1 King Bed', 'Room Charges': '$342'}, {'Room Name': 'Club Premier Oceanfront 1 King Bed', 'Room Charges': '$499'}, {'Room Name': 'Club Premier Oceanfront 2 Queen Beds', 'Room Charges': '$499'}, {'Room Name': 'Ocean View Suite 1 Bedroom 1 King Bed', 'Room Charges': '$509'}, {'Room Name': 'Ocean Front 1 Bedroom Suite 1 King Bed', 'Room Charges': '$557'}, {'Room Name': 'Ocean Front 1 Bedroom Suite 2 Queen Beds', 'Room Charges': '$557'}"
"Honolulu, USA","Ka Laʻi Waikiki Beach, LXR Hotels & Resorts",5,9.6,Exceptional,"['Pool', 'Hot Tub', 'Breakfast available', 'Pet friendly', 'Bar', 'Room service']","{'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$356'}, {'Room Name': 'Superior Room, 1 King Bed, Partial Ocean View', 'Room Charges': '$374'}, {'Room Name': 'Deluxe Room, 1 King Bed with Sofa bed, City View', 'Room Charges': '$391'}, {'Room Name': 'Deluxe Room, 1 King Bed with Sofa bed, Partial Ocean View', 'Room Charges': '$426'}, {'Room Name': 'Deluxe Room, 2 Double Beds with sofa bed, Ocean View', 'Room Charges': '$515'}, {'Room Name': 'Deluxe Room, 1 King Bed with Sofa bed, Ocean View', 'Room Charges': '$515'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, City View', 'Room Charges': '$575'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Partial Ocean View', 'Room Charges': '$600'}, {'Room Name': 'Premium Suite, 1 Bedroom with Den, Ocean View (High Floor)', 'Room Charges': '$650'}, {'Room Name': 'Premium Suite, 1 Bedroom with Den, Ocean View (Accessible, Roll-In Shower)', 'Room Charges': '$650'}, {'Room Name': 'Premium Suite, 1 Bedroom with Den, Ocean View', 'Room Charges': '$650'}, {'Room Name': ""Ka La'i Suite, 1 Bedroom with Den, Ocean View"", 'Room Charges': '$700'}, {'Room Name': 'Deluxe Suite, 2 Bedrooms, Ocean View (High Floor)', 'Room Charges': '$738'}, {'Room Name': ""Ka La'i Suite, 2 Bedrooms, Ocean View"", 'Room Charges': '$788'}, {'Room Name': 'Grand Suite, 2 Bedrooms, Ocean View', 'Room Charges': '$888'}, {'Room Name': 'Premium Suite, 2 Bedrooms with Den, Ocean View', 'Room Charges': '$963'}, {'Room Name': 'Premium Suite, 2 Bedrooms with Den, Ocean View (Mobility & Hearing)', 'Room Charges': '$963'}, {'Room Name': ""Ka La'i Suite, 2 Bedrooms with Den, Ocean View"", 'Room Charges': '$1,063'}, {'Room Name': 'Premium Suite, 3 Bedrooms, Oceanfront', 'Room Charges': '$1,467'}, {'Room Name': 'Diamondhead Penthouse, 2 Bedroom Suite', 'Room Charges': '$3,407'}, {'Room Name': 'Ocean View Penthouse, 2 Bedroom Suite', 'Room Charges': '$4,352'}, {'Room Name': 'Deluxe Suite, 2 Bedrooms, Ocean View', 'Room Charges': None}, {'Room Name': 'Superior Room, 1 King Bed, Accessible, City View (Mobility & Hearing, Roll-in Shower)', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 2 Double Beds, City View', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 2 Double Beds, Partial Ocean View', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 King Bed with Sofa bed, Accessible, City View (Mobility & Hearing, Roll-in Shower)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Accessible, Partial Ocean View (Mobility & Hearing, Roll-in Shower)', 'Room Charges': None}, {'Room Name': 'Deluxe Suite, 2 Bedrooms, City View', 'Room Charges': None}"
"Honolulu, USA",Waikiki Beach Tower by Tropical Escapes,2,8.8,,"['Parking included', 'Hot Tub', 'Pool', 'Laundry', 'Free WiFi']","{'Room Name': 'Deluxe Condo, Lanai, Ocean View', 'Room Charges': '$1,298'}"
"Honolulu, USA",Hyatt Place Waikiki Beach,4,8.8,Excellent,"['Breakfast included', 'Restaurant', 'Housekeeping', 'Bar', 'Pet friendly', '24/7 front desk']","{'Room Name': 'Room, 1 King Bed, City View with Single Sofa Bed(Standard)', 'Room Charges': '$223'}, {'Room Name': 'Room, 1 King Bed, Mountain View', 'Room Charges': '$232'}, {'Room Name': 'Room, 1 King Bed, Ocean View with Single Sofa Bed (Standard)', 'Room Charges': '$259'}, {'Room Name': 'Room, 1 King Bed, City View (Specialty)', 'Room Charges': '$264'}, {'Room Name': 'Room, 2 Queen Beds, City View (Specialty)', 'Room Charges': '$268'}, {'Room Name': 'Room, 1 King Bed, Mountain View (Specialty)', 'Room Charges': '$273'}, {'Room Name': 'Room, 2 Queen Beds Mountain with Full Sofa Bed(Specialty)', 'Room Charges': '$277'}, {'Room Name': 'Room, 1 King Bed with Full Sofa Bed Ocean View (Specialty)', 'Room Charges': '$282'}, {'Room Name': 'Room, 2 Queen Beds Ocean View with Full Sofa Bed (Specialty)', 'Room Charges': '$286'}"
