Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Instanbul, Türkiye","The Ritz-Carlton, Istanbul",5.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Spa', 'Hot Tub', 'Bar', 'Pool']","{'Room Name': 'Room, 1 King Bed, Non Smoking, Park View', 'Room Charges': '$294'}, {'Room Name': 'Room, 1 King Bed, View', 'Room Charges': '$320'}, {'Room Name': 'Twin Room, 2 Twin Beds, Park View', 'Room Charges': '$294'}, {'Room Name': 'Room, 2 Twin Beds, View', 'Room Charges': '$320'}, {'Room Name': 'Premium Room, 1 King Bed, View', 'Room Charges': '$374'}, {'Room Name': 'Club Room, 1 Double Bed, Non Smoking, Park View', 'Room Charges': '$383'}, {'Room Name': 'Club Room, 1 Double Bed', 'Room Charges': '$410'}, {'Room Name': 'Club Room, 1 Double Bed, View', 'Room Charges': '$410'}, {'Room Name': 'Club Twin Room, 1 Double Bed, Non Smoking, Park View', 'Room Charges': '$450'}, {'Room Name': 'Club Suite, 1 Bedroom, Park View', 'Room Charges': '$472'}"
"Instanbul, Türkiye",Avantgarde Urban Levent,5.0,8.6,Excellent,"['Bar', 'Pool', 'Spa', 'Gym', 'Parking included', 'Room service']","{'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$99'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$115'}, {'Room Name': 'Grand Deluxe Room', 'Room Charges': '$131'}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': '$131'}, {'Room Name': 'Residential Suite', 'Room Charges': '$230'}"
"Instanbul, Türkiye",Avantgarde Urban Taksim,4.0,8.0,Very good,"['Breakfast available', 'Bar', None, None, 'Parking available', 'Room service']","{'Room Name': 'Deluxe Double or Twin Room, 1 Bedroom', 'Room Charges': '$69'}"
"Instanbul, Türkiye",Four Doors Hotel,,8.8,Excellent,"['Breakfast included', 'Room service', 'Laundry', 'Housekeeping', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$30'}, {'Room Name': 'Superior Room Sea View', 'Room Charges': '$33'}, {'Room Name': 'Deluxe Single Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room, 1 Double Bed, Sea View', 'Room Charges': None}, {'Room Name': 'Deluxe Family Triple Room, 2 Bedrooms Sea View', 'Room Charges': None}"
"Instanbul, Türkiye",Seven Hills Hotel - Special Class,4.0,9.4,Exceptional,"['Restaurant', 'Parking included', 'Bar', 'Room service', '24/7 front desk', 'Laundry']","{'Room Name': 'Economy Double Room', 'Room Charges': '$75'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$94'}, {'Room Name': 'Economy Triple Room', 'Room Charges': '$112'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$131'}, {'Room Name': 'Suite with Hagia Sophia View', 'Room Charges': '$150'}, {'Room Name': 'Premium Suite St.Sophia & Blue Mosque View', 'Room Charges': '$168'}, {'Room Name': 'Presidential Süit', 'Room Charges': '$187'}, {'Room Name': 'Junior Suite Hagia Sophia View', 'Room Charges': '$224'}, {'Room Name': 'Deluxe Family Suite', 'Room Charges': '$262'}, {'Room Name': 'Queen Suite Hagia Sophia View', 'Room Charges': '$411'}, {'Room Name': 'Royal Suite With Hagia Sophia View', 'Room Charges': '$673'}, {'Room Name': 'Suite with Blue Mosque View', 'Room Charges': None}, {'Room Name': 'Economy Single Room', 'Room Charges': None}, {'Room Name': 'King Suite With Hagia Sophia View', 'Room Charges': None}"
"Instanbul, Türkiye",Carina Gold Hotel and Restaurant,4.0,9.8,Exceptional,"['Breakfast included', 'Bar', 'Parking available', '24/7 front desk', 'Laundry', 'Housekeeping']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$87'}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$105'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$127'}, {'Room Name': 'Superior Room, 2 Bedrooms (Superior Family room)', 'Room Charges': '$236'}, {'Room Name': 'Superior Quadruple Room', 'Room Charges': None}, {'Room Name': 'Family Room (Standard Family room)', 'Room Charges': None}, {'Room Name': 'Family Room, 2 Bedrooms, Connecting Rooms (Conection Family room)', 'Room Charges': None}, {'Room Name': 'Connection Family plus', 'Room Charges': None}"
"Instanbul, Türkiye",Legacy Ottoman Hotel,5.0,9.0,Good,"['Spa', 'Bar', 'Pool', 'Parking available', 'Pet friendly', 'Breakfast available']","{'Room Name': 'Guest Room, Super King / Twin', 'Room Charges': '$69'}, {'Room Name': 'Superior Room, Queen / Twin', 'Room Charges': '$85'}, {'Room Name': 'Deluxe Room, Super King / Twin, City View', 'Room Charges': '$108'}, {'Room Name': 'Deluxe Room, King / Twin, Bosphorus View', 'Room Charges': '$201'}, {'Room Name': 'Junior Suite, Super King, Jacuzzi, City view', 'Room Charges': '$236'}, {'Room Name': 'Family Suite, 2 Bedrooms, Jacuzzi', 'Room Charges': '$265'}, {'Room Name': 'Bosphorus Suite, Super King', 'Room Charges': '$396'}, {'Room Name': 'Legacy Ottoman King Suite', 'Room Charges': '$922'}"
"Instanbul, Türkiye",Sultanahmet Palace Hotel - Special Class,4.0,9.0,Wonderful,"['Breakfast included', 'Restaurant', 'Bar', 'Parking available', 'Room service', '24/7 front desk']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$96'}, {'Room Name': 'Double or Twin Room with Sea View', 'Room Charges': '$115'}, {'Room Name': 'Deluxe Room With Blue Mosque View', 'Room Charges': '$138'}, {'Room Name': 'Deluxe Room With Sea View', 'Room Charges': '$159'}, {'Room Name': 'Junior Suite Room', 'Room Charges': '$206'}"
"Instanbul, Türkiye",Fairmont Quasar Istanbul,5.0,9.2,Wonderful,"['Breakfast available', 'Hot Tub', 'Pool', 'Bar', 'Parking available', 'Pet friendly']","{'Room Name': 'Fairmont Room', 'Room Charges': '$182'}, {'Room Name': 'Room, City View (Skyline)', 'Room Charges': '$200'}, {'Room Name': 'Fairmont Bosphorus', 'Room Charges': '$274'}, {'Room Name': 'Fairmont Gold', 'Room Charges': '$279'}, {'Room Name': 'Suite, 1 Bedroom, Business Lounge Access', 'Room Charges': '$408'}, {'Room Name': 'Suite, 1 Bedroom, Business Lounge Access', 'Room Charges': '$408'}, {'Room Name': 'Suite, 1 King Bed, Business Lounge Access (Quasar)', 'Room Charges': '$619'}, {'Room Name': 'Signature Suite, 1 Double Bed, Terrace (Fairmont)', 'Room Charges': '$2,857'}"
"Instanbul, Türkiye",Comfort Point Three Hotel,,10,Exceptional,"['Breakfast included', 'Pet friendly', 'Parking included', 'Housekeeping', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Deluxe Room, 1 Queen Bed, City View', 'Room Charges': '$42'}, {'Room Name': 'Luxury Double Room', 'Room Charges': '$65'}, {'Room Name': 'Superior Twin Room, City View', 'Room Charges': None}"
