Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Jeddah, Saudi Arabia",Jeddah Marriott Hotel Madinah Road,4.0,9.4,Exceptional,"['Pool', 'Spa', 'Breakfast available', 'Gym', 'Housekeeping', 'Parking included']","{'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$170'}, {'Room Name': 'Grand Room, 2 Double Beds, City View', 'Room Charges': '$206'}, {'Room Name': 'Grand Room, 1 King Bed, City View', 'Room Charges': '$232'}, {'Room Name': 'Grand Room, 2 Double Beds, City View', 'Room Charges': '$232'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$285'}, {'Room Name': 'Junior Suite, 1 Bedroom', 'Room Charges': '$287'}, {'Room Name': 'Executive Suite, 2 Bedrooms', 'Room Charges': '$632'}"
"Jeddah, Saudi Arabia","Crowne Plaza Jeddah, an IHG Hotel",5.0,9.0,Wonderful,"['Bar', 'Pool', 'Breakfast available', 'Spa', 'Room service', 'Gym']","{'Room Name': 'Standard Room, 1 King Bed, Smoking', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$148'}, {'Room Name': 'Standard Room', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 2 Twin Beds, Smoking', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 1 King Bed (Club Floor)', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 2 Twin Beds (Club Floor)', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 1 King Bed, Club Lounge Access', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 2 Twin Beds, Club Lounge Access', 'Room Charges': '$202'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$401'}, {'Room Name': 'Junior Suite, 1 King Bed, Smoking', 'Room Charges': '$401'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed (Club Floor)', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Club Lounge Access', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed, Smoking', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Smoking', 'Room Charges': None}"
"Jeddah, Saudi Arabia","InterContinental Jeddah, an IHG Hotel",5.0,8.2,Very good,"['Hot Tub', 'Bar', 'Pool', 'Breakfast available', 'Spa', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$166'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$166'}, {'Room Name': 'Classic Room', 'Room Charges': '$166'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access', 'Room Charges': '$259'}, {'Room Name': 'Premium Room', 'Room Charges': '$296'}, {'Room Name': 'Classic Room, 1 King Bed, Balcony, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Classic Room, 1 King Bed, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Classic Room, 2 Twin Beds, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Junior Suite, 1 King Bed, Sea View', 'Room Charges': '$512'}, {'Room Name': 'Junior Suite, 1 King Bed, Smoking, Sea View', 'Room Charges': '$512'}, {'Room Name': 'Royal Suite', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom, Smoking, Sea View (Dining Areas)', 'Room Charges': None}"
"Jeddah, Saudi Arabia",ibis Jeddah City Center,,8.8,Excellent,"['Breakfast available', 'Pool', 'Parking included', 'Housekeeping', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Standard Double Room, 1 Double Bed', 'Room Charges': '$45'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$45'}, {'Room Name': 'Room, 1 King Bed, View (High Floor, Skyline)', 'Room Charges': '$57'}"
"Jeddah, Saudi Arabia",ibis Jeddah Malik Road,3.0,8.4,Very good,"['Spa', 'Pool', 'Bar', 'Gym', 'Breakfast available', 'Laundry']","{'Room Name': 'Standard Double Room, 1 Double Bed', 'Room Charges': '$85'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$85'}"
"Jeddah, Saudi Arabia",Clarion Hotel Jeddah Airport,,9.4,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Room service', 'Housekeeping', 'Laundry']","{'Room Name': 'Standard Room, 2 Queen Beds', 'Room Charges': '$93'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$106'}, {'Room Name': 'Executive Suite, 1 King Bed with Sofa bed (Efficiency)', 'Room Charges': '$173'}"
"Jeddah, Saudi Arabia","Crowne Plaza Jeddah, an IHG Hotel",5.0,9.0,Wonderful,"['Bar', 'Pool', 'Breakfast available', 'Spa', 'Room service', 'Gym']","{'Room Name': 'Standard Room, 1 King Bed, Smoking', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$148'}, {'Room Name': 'Standard Room', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 2 Twin Beds, Smoking', 'Room Charges': '$148'}, {'Room Name': 'Standard Room, 1 King Bed (Club Floor)', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 2 Twin Beds (Club Floor)', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 1 King Bed, Club Lounge Access', 'Room Charges': '$202'}, {'Room Name': 'Standard Room, 2 Twin Beds, Club Lounge Access', 'Room Charges': '$202'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$401'}, {'Room Name': 'Junior Suite, 1 King Bed, Smoking', 'Room Charges': '$401'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed (Club Floor)', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Club Lounge Access', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed, Smoking', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Smoking', 'Room Charges': None}"
"Jeddah, Saudi Arabia","InterContinental Jeddah, an IHG Hotel",5.0,8.2,Very good,"['Hot Tub', 'Bar', 'Pool', 'Breakfast available', 'Spa', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$166'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$166'}, {'Room Name': 'Classic Room', 'Room Charges': '$166'}, {'Room Name': 'Classic Room, 1 King Bed, Business Lounge Access', 'Room Charges': '$259'}, {'Room Name': 'Premium Room', 'Room Charges': '$296'}, {'Room Name': 'Classic Room, 1 King Bed, Balcony, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Classic Room, 1 King Bed, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Classic Room, 2 Twin Beds, Sea View', 'Room Charges': '$310'}, {'Room Name': 'Junior Suite, 1 King Bed, Sea View', 'Room Charges': '$512'}, {'Room Name': 'Junior Suite, 1 King Bed, Smoking, Sea View', 'Room Charges': '$512'}, {'Room Name': 'Royal Suite', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom, Smoking, Sea View (Dining Areas)', 'Room Charges': None}"
"Jeddah, Saudi Arabia","The Hotel Galleria Jeddah, Curio Collection by Hilton",5.0,8.4,Very good,"['Pool', 'Breakfast available', 'Spa', 'Room service', 'Gym', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$188'}, {'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': '$188'}, {'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$188'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$188'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$201'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, City View', 'Room Charges': '$201'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$220'}, {'Room Name': 'Executive Room, 2 Twin Beds', 'Room Charges': '$220'}, {'Room Name': 'Suite, 1 Bedroom, Accessible', 'Room Charges': '$252'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$252'}, {'Room Name': 'Deluxe Suite, 1 Bedroom', 'Room Charges': '$265'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$305'}, {'Room Name': 'Suite, 1 Bedroom, Corner', 'Room Charges': '$305'}, {'Room Name': 'Suite, 1 King Bed (Ambassador)', 'Room Charges': '$797'}, {'Room Name': 'Presidential Suite, 1 King Bed', 'Room Charges': '$5,375'}, {'Room Name': 'Royal Suite, 1 King Bed', 'Room Charges': '$12,028'}"
"Jeddah, Saudi Arabia",Pearl Of Vision Hotel,,9.0,,"['Parking included', 'Air conditioning', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Standard Double Room, 1 King Bed, City View', 'Room Charges': '$66'}, {'Room Name': 'Standard Single Room, 1 King Bed, City View', 'Room Charges': None}"
