Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Kuala Lumpur, Malaysia",Grand Millennium Hotel Kuala Lumpur,5.0,8.4,Very good,"['Breakfast available', 'Restaurant', 'Bar', 'Pool', 'Parking available', 'Spa']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$113'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$113'}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': '$113'}, {'Room Name': 'Deluxe Room, Multiple Beds', 'Room Charges': '$139'}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$162'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$162'}, {'Room Name': 'Classic Room, 1 Queen Bed', 'Room Charges': '$162'}, {'Room Name': 'Club Room, 1 King Bed', 'Room Charges': '$210'}, {'Room Name': 'Club Room, 2 Twin Beds', 'Room Charges': '$210'}, {'Room Name': 'Club Room, 1 Queen Bed', 'Room Charges': '$210'}, {'Room Name': 'Family Room, Multiple Beds', 'Room Charges': '$247'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$353'}"
"Kuala Lumpur, Malaysia","Mandarin Oriental, Kuala Lumpur",5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'Restaurant', 'Gym', 'Hot Tub', 'Bar']","{'Room Name': 'Deluxe City View Room Twin', 'Room Charges': '$228'}, {'Room Name': 'Deluxe Park View Room King', 'Room Charges': '$244'}, {'Room Name': 'Deluxe Park View Room Twin', 'Room Charges': '$244'}, {'Room Name': 'Deluxe City View Room Twin Bed', 'Room Charges': '$260'}, {'Room Name': 'Twin Towers View Room King', 'Room Charges': '$268'}, {'Room Name': 'Room, 2 Twin Beds (Twin Towers View)', 'Room Charges': '$268'}, {'Room Name': 'Deluxe Park View Room King Bed', 'Room Charges': '$279'}, {'Room Name': 'Deluxe Park View Room Twin Bed', 'Room Charges': '$279'}, {'Room Name': 'Executive Room, Park View', 'Room Charges': '$286'}, {'Room Name': 'Club Deluxe, Room, 1 King Bed, City View', 'Room Charges': '$364'}, {'Room Name': 'Club Deluxe, Room, 2 Twin Beds, City View', 'Room Charges': '$364'}, {'Room Name': 'Club Park View Room King', 'Room Charges': '$380'}, {'Room Name': 'Club Room, 1 King Bed (Twin Towers View)', 'Room Charges': '$396'}, {'Room Name': 'Club Room, 2 Twin Beds (Twin Towers View)', 'Room Charges': '$396'}, {'Room Name': 'Executive Room, 1 King Bed, Park View (Club Executive King)', 'Room Charges': '$415'}, {'Room Name': 'Executive Apartment, 2 Bedrooms (King Bed, Twin Beds)', 'Room Charges': '$481'}, {'Room Name': 'Executive Apartment, 2 Bedrooms (Premium, King Bed, Twin Beds)', 'Room Charges': '$532'}, {'Room Name': 'Mandarin, Room, 1 King Bed', 'Room Charges': '$643'}, {'Room Name': 'Room, Multiple Beds, Connecting Rooms, Park View (King Twin Bed)', 'Room Charges': '$704'}, {'Room Name': 'Room, Connecting Rooms, Park View (King Bed)', 'Room Charges': '$704'}, {'Room Name': 'Room, Connecting Rooms (Twin Towers View, King Bed)', 'Room Charges': '$720'}"
"Kuala Lumpur, Malaysia","InterContinental Kuala Lumpur, an IHG Hotel",5.0,9.0,Wonderful,"['Breakfast available', 'Gym', 'Bar', 'Pool', 'Parking available', 'Spa']","{'Room Name': 'Classic Room', 'Room Charges': '$120'}, {'Room Name': 'Classic Room, 2 Twin Beds (Super Singles)', 'Room Charges': '$120'}, {'Room Name': 'Classic Room, 1 King Bed, City View (Super King)', 'Room Charges': '$131'}, {'Room Name': 'Premium Room, 1 King Bed (Super King)', 'Room Charges': '$143'}, {'Room Name': 'Premium Room, 2 Twin Beds (Super Singles)', 'Room Charges': '$143'}, {'Room Name': 'Premium Room, 1 King Bed, Club Lounge Access (Super King)', 'Room Charges': '$183'}, {'Room Name': 'Premium Room, 2 Twin Beds, Club Lounge Access (Super Singles)', 'Room Charges': '$183'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$289'}, {'Room Name': 'Classic Room, 1 King Bed (Super King)', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, City View (Super Singles)', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Accessible Bathtub', 'Room Charges': None}"
"Kuala Lumpur, Malaysia",Hilton Kuala Lumpur,5.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Gym', 'Spa', 'Restaurant', 'Bar']","{'Room Name': 'King Deluxe', 'Room Charges': '$88'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$88'}, {'Room Name': 'Deluxe Twin Room, Lake View', 'Room Charges': '$94'}, {'Room Name': 'Deluxe Room, 1 King Bed, Lake View', 'Room Charges': '$96'}, {'Room Name': 'Deluxe Twin Room (Plus)', 'Room Charges': '$103'}, {'Room Name': 'Deluxe Room, 1 King Bed (Plus)', 'Room Charges': '$105'}, {'Room Name': 'King Executive', 'Room Charges': '$128'}, {'Room Name': 'Twin Executive', 'Room Charges': '$128'}, {'Room Name': 'King Executive Lake View', 'Room Charges': '$133'}, {'Room Name': 'Twin Executive Lake View', 'Room Charges': '$133'}, {'Room Name': 'King Executive Plus', 'Room Charges': '$139'}, {'Room Name': 'Twin Executive Plus', 'Room Charges': '$139'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$156'}, {'Room Name': 'Grand Executive Suite', 'Room Charges': '$195'}, {'Room Name': 'Family Room (Deluxe)', 'Room Charges': '$271'}, {'Room Name': 'Lifestyle Suite', 'Room Charges': '$482'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$1,246'}, {'Room Name': 'Penthouse, Club Lounge Access', 'Room Charges': '$1,628'}, {'Room Name': 'Deluxe Room, 1 King Bed, Lake View', 'Room Charges': None}"
"Kuala Lumpur, Malaysia","Mandarin Oriental, Kuala Lumpur",5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'Restaurant', 'Gym', 'Hot Tub', 'Bar']","{'Room Name': 'Deluxe City View Room Twin', 'Room Charges': '$228'}, {'Room Name': 'Deluxe Park View Room King', 'Room Charges': '$244'}, {'Room Name': 'Deluxe Park View Room Twin', 'Room Charges': '$244'}, {'Room Name': 'Deluxe City View Room Twin Bed', 'Room Charges': '$260'}, {'Room Name': 'Twin Towers View Room King', 'Room Charges': '$268'}, {'Room Name': 'Room, 2 Twin Beds (Twin Towers View)', 'Room Charges': '$268'}, {'Room Name': 'Deluxe Park View Room King Bed', 'Room Charges': '$279'}, {'Room Name': 'Deluxe Park View Room Twin Bed', 'Room Charges': '$279'}, {'Room Name': 'Executive Room, Park View', 'Room Charges': '$286'}, {'Room Name': 'Club Deluxe, Room, 1 King Bed, City View', 'Room Charges': '$364'}, {'Room Name': 'Club Deluxe, Room, 2 Twin Beds, City View', 'Room Charges': '$364'}, {'Room Name': 'Club Park View Room King', 'Room Charges': '$380'}, {'Room Name': 'Club Room, 1 King Bed (Twin Towers View)', 'Room Charges': '$396'}, {'Room Name': 'Club Room, 2 Twin Beds (Twin Towers View)', 'Room Charges': '$396'}, {'Room Name': 'Executive Room, 1 King Bed, Park View (Club Executive King)', 'Room Charges': '$415'}, {'Room Name': 'Executive Apartment, 2 Bedrooms (King Bed, Twin Beds)', 'Room Charges': '$481'}, {'Room Name': 'Executive Apartment, 2 Bedrooms (Premium, King Bed, Twin Beds)', 'Room Charges': '$532'}, {'Room Name': 'Mandarin, Room, 1 King Bed', 'Room Charges': '$643'}, {'Room Name': 'Room, Multiple Beds, Connecting Rooms, Park View (King Twin Bed)', 'Room Charges': '$704'}, {'Room Name': 'Room, Connecting Rooms, Park View (King Bed)', 'Room Charges': '$704'}, {'Room Name': 'Room, Connecting Rooms (Twin Towers View, King Bed)', 'Room Charges': '$720'}"
"Kuala Lumpur, Malaysia","Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",4.0,8.2,Very good,"['Breakfast included', 'Bar', '24/7 front desk', 'Laundry', 'Housekeeping', 'Parking included']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$53'}, {'Room Name': 'Standard Room', 'Room Charges': '$53'}, {'Room Name': 'Standard Room, Multiple Beds', 'Room Charges': '$66'}, {'Room Name': 'Standard Room, 1 Queen Bed with Sofa bed', 'Room Charges': '$66'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}"
"Kuala Lumpur, Malaysia",Aloft Kuala Lumpur Sentral,4.0,9.2,Wonderful,"['Breakfast available', 'Pool', 'Restaurant', 'Bar', 'Room service', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$71'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Non Smoking, Corner', 'Room Charges': '$82'}, {'Room Name': 'Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$87'}, {'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$89'}, {'Room Name': 'Breezy, Suite, 1 King Bed, Non Smoking', 'Room Charges': '$116'}"
"Kuala Lumpur, Malaysia",Traders Hotel Kuala Lumpur,5.0,9.0,Wonderful,"['Bar', 'Pool', 'Parking included', 'Spa', 'Breakfast available', 'Room service']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$115'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$115'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$126'}, {'Room Name': 'Deluxe Room, 1 King Bed, Garden View', 'Room Charges': '$128'}, {'Room Name': 'Deluxe Garden View 1 King', 'Room Charges': '$141'}, {'Room Name': 'Deluxe Room, 2 Twin Beds (Twin Towers View)', 'Room Charges': '$143'}, {'Room Name': 'Deluxe Room, 1 King Bed (Twin Towers View)', 'Room Charges': '$143'}, {'Room Name': 'Deluxe Twin Towers View 1 King', 'Room Charges': '$157'}, {'Room Name': 'Club Room, 1 King Bed (Traders)', 'Room Charges': '$172'}, {'Room Name': 'Club Room, 2 Twin Beds (Traders, Twin Towers View)', 'Room Charges': '$196'}, {'Room Name': 'Club Room, 1 King Bed (Traders, Twin Towers View)', 'Room Charges': '$196'}, {'Room Name': 'Suite, 1 King Bed, City View', 'Room Charges': '$222'}, {'Room Name': 'Suite, 1 King Bed (Twin Towers View)', 'Room Charges': '$247'}"
"Kuala Lumpur, Malaysia",DoubleTree by Hilton Hotel Kuala Lumpur,5.0,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Bar', 'Pool', 'Parking included', 'Room service']","{'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$76'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$78'}, {'Room Name': 'Deluxe Twin Room, Mountain View', 'Room Charges': '$81'}, {'Room Name': 'Executive King room - Mountain view', 'Room Charges': '$90'}, {'Room Name': 'Executive Twin Room, Mountain View', 'Room Charges': '$90'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$117'}, {'Room Name': 'Suite, 1 King Bed, Terrace', 'Room Charges': '$209'}, {'Room Name': 'Deluxe King room - Mountain View', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Suite, 1 King Bed', 'Room Charges': None}"
"Kuala Lumpur, Malaysia",Riveria City KL Sentral by Guestonic,3.0,9.4,Exceptional,"['Parking included', 'Pool', 'Air conditioning', 'Kitchen', 'Free WiFi']","{'Room Name': 'Comfort Studio', 'Room Charges': '$29'}, {'Room Name': 'Standard Studio', 'Room Charges': '$29'}, {'Room Name': 'Deluxe Studio, City View', 'Room Charges': '$32'}, {'Room Name': 'Superior Studio', 'Room Charges': '$32'}, {'Room Name': 'Family Studio', 'Room Charges': None}"
