Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Las Vegas, USA",Harrah's Hotel and Casino Las Vegas,4.0,8.2,Good,"['Restaurant', 'Room service', 'Bar', 'Breakfast available', 'Hot Tub', 'Pool']","{'Room Name': 'Mountain Tower Deluxe Room, 1 Queen Bed, Non-Smoking', 'Room Charges': '$52'}, {'Room Name': 'Mountain Tower Deluxe Room, 2 Double Beds, Non-Smoking', 'Room Charges': '$61'}, {'Room Name': 'Mountain Tower Deluxe Room, 1 King Bed, Non-Smoking', 'Room Charges': '$66'}, {'Room Name': 'Mountain Tower Deluxe Room, 2 Queen Beds, Non-Smoking', 'Room Charges': '$66'}, {'Room Name': 'Mountain Tower Deluxe Room, 1 King Bed, Pool View, Non-Smoking', 'Room Charges': '$72'}, {'Room Name': 'Mountain Tower Deluxe Room, 2 Double Beds, Pool View, Non-Smoking', 'Room Charges': '$80'}, {'Room Name': 'Valley Tower Deluxe Room, 2 Queen Beds, City View, Non-Smoking', 'Room Charges': '$81'}, {'Room Name': 'Valley Tower Deluxe Room, 1 King Bed, City View, Non-Smoking', 'Room Charges': '$88'}, {'Room Name': 'Valley Tower Deluxe Room, 1 King Bed, Pool View, Non-Smoking', 'Room Charges': '$90'}, {'Room Name': 'Hearing Impaired Valley Tower Deluxe Room, 1 King Bed, Non-Smoking', 'Room Charges': '$95'}, {'Room Name': 'Valley Tower Deluxe Room, 2 Queen Beds, Pool View, Non-Smoking', 'Room Charges': '$98'}, {'Room Name': 'Room, 1 King Bed, Non Smoking (Mountain)', 'Room Charges': '$153'}, {'Room Name': 'Accessible Valley Tower Deluxe Room, 1 King, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Accessible Valley Tower Deluxe Room, 2 Queen Beds, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Non Smoking (Valley)', 'Room Charges': None}, {'Room Name': 'Hearing Impaired Valley Tower Deluxe Room, 2 Queen Beds, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Valley Tower Deluxe Room, 2 Queen Beds, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Valley Tower Deluxe Room, 1 King Bed, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Executive Suite, 2 Queen Beds, Non Smoking (Valley)', 'Room Charges': None}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking (Valley)', 'Room Charges': None}, {'Room Name': 'Room, 2 Queen Beds, Non Smoking (Valley)', 'Room Charges': None}, {'Room Name': 'Mountain Tower Executive Suite, 2 Queen Beds, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Mountain Tower Executive Suite, 1 King Bed, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Valley Vice Presidential Suite , 1 King , Non-Smoking', 'Room Charges': None}, {'Room Name': 'Valley Tower Deluxe Room, 2 Queen Beds, Strip View, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Valley Tower Deluxe Room, 1 King Bed, Strip View, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Mountain Tower Deluxe Room, 1 King Bed, Strip View, Non-Smoking', 'Room Charges': None}, {'Room Name': 'Mountain Tower Deluxe Room, 2 Queen Beds, Strip View, Non-Smoking', 'Room Charges': None}"
"Las Vegas, USA",Residence Inn Las Vegas Convention Center by Marriott,3.0,8.8,Excellent,"['Breakfast included', 'Pool', 'Pet friendly', 'Laundry', 'Housekeeping', 'Parking available']","{'Room Name': 'Studio, 1 Queen Bed with Sofa bed', 'Room Charges': '$158'}, {'Room Name': 'Studio, 1 Queen Bed with Sofa bed (Mobility/Hearing Accessible, Tub)', 'Room Charges': '$185'}"
"Las Vegas, USA",Courtyard by Marriott Las Vegas Convention Center,3.0,9.0,Wonderful,"['Bar', 'Breakfast available', 'Pool', 'Laundry', 'Housekeeping', 'Parking available']","{'Room Name': 'Room, 1 King Bed with Sofa bed, Non Smoking', 'Room Charges': '$162'}, {'Room Name': 'Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$165'}, {'Room Name': 'Suite, Multiple Beds', 'Room Charges': '$189'}"
"Las Vegas, USA","Treasure Island - TI Las Vegas Hotel Casino, a Radisson Hotel",4.0,8.4,Very good,"['Parking included', 'Restaurant', 'Pool', 'Gym', 'Hot Tub', 'Bar']","{'Room Name': 'Run of the House', 'Room Charges': '$36'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$48'}"
"Las Vegas, USA",Luxor Hotel and Casino,4.0,8.0,Good,"['Spa', 'Restaurant', 'Pet friendly', 'Room service', 'Bar', 'Breakfast available']","{'Room Name': 'Pyramid Two Queen Room', 'Room Charges': '$69'}, {'Room Name': 'Pyramid Premier King Room', 'Room Charges': '$73'}, {'Room Name': 'Tower Premier Two Queen Room', 'Room Charges': '$75'}, {'Room Name': 'Tower Premier King', 'Room Charges': '$77'}, {'Room Name': 'Stay Well Pyramid Two Queen Room', 'Room Charges': None}, {'Room Name': 'Stay Well Pyramid King Room', 'Room Charges': None}, {'Room Name': 'Pyramid Premier Two Queen Room', 'Room Charges': None}, {'Room Name': 'Pyramid King Room', 'Room Charges': None}"
"Las Vegas, USA",Excalibur Hotel & Casino,4.0,8.0,Good,"['Pet friendly', 'Bar', 'Breakfast available', 'Hot Tub', 'Pool', 'Housekeeping']","{'Room Name': 'Royal Tower Two Queen Room', 'Room Charges': '$60'}, {'Room Name': 'Resort Tower Two Queen Room', 'Room Charges': '$63'}, {'Room Name': 'Resort Tower King Room', 'Room Charges': '$68'}, {'Room Name': 'Stay Well Resort Tower Two Queen', 'Room Charges': '$70'}, {'Room Name': 'Resort Luxury Suite', 'Room Charges': None}, {'Room Name': 'Royal Luxury Suite', 'Room Charges': None}, {'Room Name': 'Royal Tower King Room', 'Room Charges': None}"
"Las Vegas, USA",Fontainebleau Las Vegas,5.0,9.4,Exceptional,"['Pool', 'Restaurant', 'Spa', 'Gym', 'Breakfast available', 'Parking available']","{'Room Name': 'Bleau Queen Mountain Great View', 'Room Charges': '$231'}, {'Room Name': 'Bleau King Mountain Best View', 'Room Charges': '$245'}, {'Room Name': 'Bleau Queen', 'Room Charges': '$233'}, {'Room Name': 'Bleau Queen Mountain Best View', 'Room Charges': '$245'}, {'Room Name': 'Noble Suite Strip Great View', 'Room Charges': '$581'}, {'Room Name': 'Regal Suite', 'Room Charges': '$689'}, {'Room Name': 'Gold King Pool View', 'Room Charges': None}, {'Room Name': 'Bleau King', 'Room Charges': None}, {'Room Name': 'Bleau King Mountain Great View', 'Room Charges': None}, {'Room Name': 'Regal Suite Mountain Great View', 'Room Charges': None}"
"Las Vegas, USA",Flamingo Las Vegas Hotel & Casino,4.0,8.2,Good,"['Restaurant', 'Spa', 'Room service', 'Bar', 'Breakfast available', 'Pool']","{'Room Name': 'Fab Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$65'}, {'Room Name': 'Flamingo Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$69'}, {'Room Name': 'Flamingo Room, 1 King Bed, Non Smoking', 'Room Charges': '$74'}, {'Room Name': 'Go Room 2 Queens Attraction View Non-Smoking', 'Room Charges': '$84'}, {'Room Name': 'Flamingo Room, 1 King Bed, Non Smoking, High Roller View', 'Room Charges': '$85'}, {'Room Name': 'Flamingo Room, 1 King Bed, Garden View Non Smoking', 'Room Charges': '$85'}, {'Room Name': 'Flamingo Room, 2 Queen Beds, Non Smoking, High Roller View', 'Room Charges': '$85'}, {'Room Name': 'Flamingo Room, 2 Queen Beds, Garden View Non Smoking', 'Room Charges': '$85'}, {'Room Name': 'Flamingo Room 2 Queens Attraction View Non-Smoking', 'Room Charges': '$86'}, {'Room Name': 'Flamingo Room King Attraction View Non-Smoking', 'Room Charges': '$87'}, {'Room Name': 'Go Executive Room, 1 King Bed, Non Smoking', 'Room Charges': '$92'}, {'Room Name': 'Go Executive Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$93'}, {'Room Name': 'Go Room, 2 Queen Beds, Non Smoking, Strip View', 'Room Charges': '$93'}, {'Room Name': 'Flamingo Premium Room, 1 King Bed, Non Smoking', 'Room Charges': '$175'}, {'Room Name': 'Metropolitan Suite, 1 King & 2 Queens', 'Room Charges': '$686'}, {'Room Name': 'Cosmopolitan Suite, 1 King Bed, High Roller View', 'Room Charges': None}, {'Room Name': 'Fab Executive Suite King Non-smoking', 'Room Charges': None}, {'Room Name': 'Go Room King Attraction View Non-Smoking', 'Room Charges': None}, {'Room Name': 'Go Deluxe Room, 2 Queen Beds, City View Non Smoking', 'Room Charges': None}, {'Room Name': 'Flamingo Room, 2 Queen Beds, City View Non Smoking', 'Room Charges': None}, {'Room Name': 'Go Deluxe Room, 1 King Bed, City View Non Smoking', 'Room Charges': None}, {'Room Name': 'Flamingo Room, 1 King Bed, City View Non Smoking', 'Room Charges': None}, {'Room Name': 'Go Deluxe, 1 King, Non-Smoking, Roll-In Shower', 'Room Charges': None}, {'Room Name': 'Flamingo Room, 2 Queen, Non-Smoking, Roll-In Shower', 'Room Charges': None}, {'Room Name': 'Go Room, 1 King Bed, Non Smoking, Strip View', 'Room Charges': None}, {'Room Name': 'Flamingo Room, 1 King Bed, Non Smoking, Strip View', 'Room Charges': None}, {'Room Name': 'Fab Room, 1 King Bed, Non Smoking', 'Room Charges': None}, {'Room Name': 'Flamingo Room, 2 Queen Beds, Non Smoking, Strip View', 'Room Charges': None}, {'Room Name': 'Go Deluxe Room, 2 Queen Beds, Non Smoking', 'Room Charges': None}, {'Room Name': 'Flamingo Executive Room, 2 Queen Beds, Non Smoking', 'Room Charges': None}, {'Room Name': 'Go Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': None}, {'Room Name': 'Neapolitan Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Go Room, 1 King Bed, Non Smoking, High Roller View', 'Room Charges': None}, {'Room Name': 'Go Room, 2 Queen Beds, Non Smoking, High Roller View', 'Room Charges': None}"
"Las Vegas, USA",Luxor Hotel and Casino,4.0,8.0,Good,"['Pet friendly', 'Room service', 'Bar', 'Breakfast available', 'Hot Tub', 'Pool']","{'Room Name': 'Pyramid Two Queen Room', 'Room Charges': '$69'}, {'Room Name': 'Pyramid Premier King Room', 'Room Charges': '$73'}, {'Room Name': 'Tower Premier Two Queen Room', 'Room Charges': '$75'}, {'Room Name': 'Tower Premier King', 'Room Charges': '$77'}, {'Room Name': 'Stay Well Pyramid Two Queen Room', 'Room Charges': None}, {'Room Name': 'Stay Well Pyramid King Room', 'Room Charges': None}, {'Room Name': 'Pyramid Premier Two Queen Room', 'Room Charges': None}, {'Room Name': 'Pyramid King Room', 'Room Charges': None}"
"Las Vegas, USA",,,,,[],
