Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Lisbon, Portugal",,,,,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Gym', 'Bar', 'Room service']","{'Room Name': 'Standard Room', 'Room Charges': '$128'}, {'Room Name': 'Junior Suite', 'Room Charges': '$173'}, {'Room Name': 'Standard Room (Single Use)', 'Room Charges': None}"
"Lisbon, Portugal",Vincci Liberdade,4.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Bar', 'Room service', 'Parking available']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$111'}, {'Room Name': 'Room (Atic)', 'Room Charges': '$138'}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$143'}, {'Room Name': 'Premium Double or Twin Room (Corner)', 'Room Charges': '$143'}, {'Room Name': 'Triple Room', 'Room Charges': '$200'}, {'Room Name': 'Family Room, 2 Bedrooms', 'Room Charges': '$249'}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Premium Room for Single Use (Corner)', 'Room Charges': None}, {'Room Name': 'Suite', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Lisbon, Portugal",AlmaLusa Baixa & Chiado,4.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Room service', 'Bar', 'Housekeeping']","{'Room Name': 'Standard Room (Interior Patio View)', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite, City View (Square View)', 'Room Charges': None}, {'Room Name': 'Deluxe Suite (Square View)', 'Room Charges': None}, {'Room Name': 'Deluxe Triple Room (Interior Patio View)', 'Room Charges': None}, {'Room Name': 'Mini Deluxe (Square View)', 'Room Charges': None}, {'Room Name': 'Deluxe Room (Square View)', 'Room Charges': None}, {'Room Name': 'Family Apartment', 'Room Charges': None}"
"Lisbon, Portugal",EXE Liberdade,3.0,9.0,Wonderful,"['Breakfast available', '24/7 front desk', 'Parking available', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double Room', 'Room Charges': '$70'}, {'Room Name': 'Twin Room', 'Room Charges': '$70'}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Lisbon, Portugal",Corinthia Lisbon,5.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', 'Spa', 'Gym', 'Pool', 'Hot Tub']","{'Room Name': 'Deluxe Room (King)', 'Room Charges': '$173'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$188'}, {'Room Name': 'Deluxe Room, View (Panoramic)', 'Room Charges': '$173'}, {'Room Name': 'Junior Suite, Park View', 'Room Charges': '$255'}, {'Room Name': 'Junior Suite (Deluxe)', 'Room Charges': '$438'}, {'Room Name': 'Suite (Monsanto)', 'Room Charges': '$527'}, {'Room Name': 'Family Room (Deluxe)', 'Room Charges': '$635'}, {'Room Name': 'Family Room (Premium)', 'Room Charges': '$704'}, {'Room Name': 'Suite (Lisbon)', 'Room Charges': '$785'}, {'Room Name': 'Suite (Maritime)', 'Room Charges': '$2,033'}"
"Lisbon, Portugal",Hotel Ikonik Lisboa,3.0,9.2,Wonderful,"['Breakfast available', '24/7 front desk', 'Parking available', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$80'}, {'Room Name': 'Double or Twin Room (Children Sharing Bed)', 'Room Charges': '$80'}, {'Room Name': 'Double Room', 'Room Charges': '$83'}, {'Room Name': 'Doble With Kid Sharing Bed', 'Room Charges': '$83'}, {'Room Name': 'Double or Twin Room, City View', 'Room Charges': '$104'}, {'Room Name': 'Double Room City Views', 'Room Charges': '$108'}, {'Room Name': 'Double or Twin Room, River View', 'Room Charges': '$112'}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Lisbon, Portugal",VIP Executive Suites do Marques Hotel,4.0,9.6,Exceptional,"['Breakfast available', '24/7 front desk', 'Gym', 'Bar', 'Room service', 'Parking available']","{'Room Name': 'Standard Double or Twin Room, 1 Bedroom, Non Smoking', 'Room Charges': '$79'}, {'Room Name': 'Standard Triple Room, 1 Bedroom, Non Smoking', 'Room Charges': '$107'}, {'Room Name': 'Standard Quadruple Room, 1 Bedroom, Non Smoking', 'Room Charges': '$136'}, {'Room Name': 'Standard Single Room, 1 Bedroom, Non Smoking', 'Room Charges': None}"
"Lisbon, Portugal",Next Level Premium Hotels,3.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Bar', 'Laundry', 'Housekeeping']","{'Room Name': 'Standard Triple Room', 'Room Charges': '$93'}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'Romantic Double Room, Balcony', 'Room Charges': None}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': None}, {'Room Name': 'King Deluxe Room', 'Room Charges': None}, {'Room Name': 'Queen Deluxe Room', 'Room Charges': None}, {'Room Name': 'Standard Double Room', 'Room Charges': None}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Economy Room', 'Room Charges': None}"
"Lisbon, Portugal",Altis Grand Hotel,5.0,9.0,Wonderful,"['Pool', 'Bar', 'Spa', 'Breakfast available', 'Parking available', 'Gym']","{'Room Name': 'Deluxe Double Room', 'Room Charges': '$176'}, {'Room Name': 'Deluxe Double or Twin Room (with Extra Bed)', 'Room Charges': '$247'}, {'Room Name': 'Premier Double Room', 'Room Charges': '$279'}, {'Room Name': 'Suite', 'Room Charges': '$469'}, {'Room Name': 'Family Suite', 'Room Charges': '$675'}, {'Room Name': 'Deluxe Single Room', 'Room Charges': None}, {'Room Name': 'Premier Single Room', 'Room Charges': None}"
"Lisbon, Portugal",Carmo 43 by LovelyStay,2.0,9.4,,"['Kitchen', 'Free WiFi']","{'Room Name': 'Basic Studio', 'Room Charges': '$220'}, {'Room Name': 'Standard Apartment', 'Room Charges': None}, {'Room Name': 'Classic Apartment', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Classic Duplex', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Family Apartment', 'Room Charges': None}, {'Room Name': 'Standard Apartment', 'Room Charges': None}, {'Room Name': 'Family Duplex', 'Room Charges': None}, {'Room Name': 'Superior Apartment', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Family Apartment', 'Room Charges': None}, {'Room Name': 'Classic Apartment', 'Room Charges': None}, {'Room Name': 'Family Apartment', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Superior Duplex', 'Room Charges': None}, {'Room Name': 'Basic Studio', 'Room Charges': None}, {'Room Name': 'Classic Apartment', 'Room Charges': None}, {'Room Name': 'Family Apartment', 'Room Charges': None}"
"Lisbon, Portugal",Luzeiros Suites,3.0,8.6,Excellent,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Superior Room, Courtyard View', 'Room Charges': '$76'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$89'}, {'Room Name': 'Superior Suite, Balcony, City View', 'Room Charges': '$192'}, {'Room Name': 'Executive Suite, City View', 'Room Charges': '$192'}"
"Lisbon, Portugal",EXE Saldanha,3.0,9.2,Wonderful,"['Breakfast available', 'Room service', '24/7 front desk', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Double Room', 'Room Charges': '$81'}, {'Room Name': 'Double Room', 'Room Charges': '$83'}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Lisbon, Portugal",Corinthia Lisbon,5.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', 'Spa', 'Gym', 'Pool', 'Hot Tub']","{'Room Name': 'Deluxe Room (King)', 'Room Charges': '$173'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$188'}, {'Room Name': 'Deluxe Room, View (Panoramic)', 'Room Charges': '$173'}, {'Room Name': 'Junior Suite, Park View', 'Room Charges': '$255'}, {'Room Name': 'Junior Suite (Deluxe)', 'Room Charges': '$438'}, {'Room Name': 'Suite (Monsanto)', 'Room Charges': '$527'}, {'Room Name': 'Family Room (Deluxe)', 'Room Charges': '$635'}, {'Room Name': 'Family Room (Premium)', 'Room Charges': '$704'}, {'Room Name': 'Suite (Lisbon)', 'Room Charges': '$785'}, {'Room Name': 'Suite (Maritime)', 'Room Charges': '$2,033'}"
"Lisbon, Portugal",Radisson Blu Hotel,4.0,8.2,Very good,"['Bar', 'Room service', 'Gym', 'Breakfast available', '24/7 front desk', 'Parking available']","{'Room Name': 'Standard Room', 'Room Charges': '$108'}, {'Room Name': 'Superior Room', 'Room Charges': '$128'}, {'Room Name': 'Junior Suite', 'Room Charges': '$148'}"
"Lisbon, Portugal",Ramada by Wyndham Lisbon,4.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Room service', 'Gym', 'Pet friendly', '24/7 front desk']","{'Room Name': 'Room, 1 Double Bed, Non Smoking, City View', 'Room Charges': '$82'}, {'Room Name': 'Superior Room, 1 Double Bed, Non Smoking, River View', 'Room Charges': '$89'}, {'Room Name': 'Room, 2 Twin Beds, Non Smoking, City View', 'Room Charges': '$82'}, {'Room Name': 'Room, 1 Queen Bed, Accessible, City View', 'Room Charges': '$82'}, {'Room Name': 'Superior Room, 2 Twin Beds, Non Smoking, River View', 'Room Charges': '$89'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking, River View', 'Room Charges': '$204'}"
"Lisbon, Portugal",Tivoli Oriente Lisboa Hotel,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Pool', 'Bar', 'Room service', 'Pet friendly']","{'Room Name': 'Superior Room, River View (Extra Bed 2 adults + 1 child)', 'Room Charges': '$136'}, {'Room Name': 'Family Triple Room', 'Room Charges': '$151'}, {'Room Name': 'Superior Room, River View', 'Room Charges': '$136'}, {'Room Name': 'Superior Room, River View (Extra Bed 3 adults)', 'Room Charges': '$168'}, {'Room Name': 'Superior Room With View', 'Room Charges': '$171'}, {'Room Name': 'Superior Room With View (2Ad + 1Ch)', 'Room Charges': '$171'}, {'Room Name': 'Family Room Triple', 'Room Charges': '$189'}, {'Room Name': 'Family Room, Connecting Rooms (2AD+2CH)', 'Room Charges': '$231'}, {'Room Name': 'Family Room, Connecting Rooms (3AD+1CH)', 'Room Charges': '$231'}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Superior Room (Extra Bed 2 adults + 1 child)', 'Room Charges': None}, {'Room Name': 'Superior Single Room', 'Room Charges': None}, {'Room Name': 'Junior Suite, River View', 'Room Charges': None}, {'Room Name': 'Junior Suite, River View (Extra Bed 4 adults)', 'Room Charges': None}, {'Room Name': 'Junior Suite, River View (Extra Bed 3 adults + 1 child)', 'Room Charges': None}, {'Room Name': 'Junior Suite (Extra Bed 4 adults)', 'Room Charges': None}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': None}, {'Room Name': 'Junior Suite (Extra Bed 3 adults + 1 child)', 'Room Charges': None}, {'Room Name': 'Superior Single Room, River View', 'Room Charges': None}, {'Room Name': 'Superior Room (Extra Bed 3 adults)', 'Room Charges': None}"
