Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"London, UK",The BoTree,5.0,9.4,Exceptional,"['Bar', 'Pet friendly', 'Air conditioning', 'Gym', 'Breakfast available', 'Housekeeping']","{'Room Name': 'Superior Double', 'Room Charges': '$432'}, {'Room Name': 'Deluxe Double', 'Room Charges': '$457'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$559'}, {'Room Name': 'Junior Studio Suite, 1 King Bed (Twin or King)', 'Room Charges': '$644'}, {'Room Name': 'Henrietta Suite', 'Room Charges': '$687'}, {'Room Name': 'Wigmore Suite', 'Room Charges': '$730'}, {'Room Name': 'Lane Suite', 'Room Charges': '$857'}, {'Room Name': 'Welbeck Suite', 'Room Charges': '$943'}, {'Room Name': 'Mayfair Suite', 'Room Charges': '$985'}, {'Room Name': 'Soho Suite', 'Room Charges': '$1,368'}, {'Room Name': 'Marylebone Suite', 'Room Charges': '$1,539'}, {'Room Name': 'Two Bedroom - Soho Suite', 'Room Charges': None}, {'Room Name': 'Two Bedroom Executive Room', 'Room Charges': None}, {'Room Name': 'Two Bedroom Suite - Marylebone Lane Suite', 'Room Charges': None}, {'Room Name': 'Two Bedroom Deluxe King & Twin', 'Room Charges': None}, {'Room Name': 'Two Bedroom Deluxe', 'Room Charges': None}, {'Room Name': 'Deluxe Room', 'Room Charges': None}"
"London, UK",Apex Temple Court Hotel,4.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Gym', 'Room service', 'Bar', 'Housekeeping']","{'Room Name': 'City King', 'Room Charges': '$271'}, {'Room Name': 'City Twin Room', 'Room Charges': '$271'}, {'Room Name': 'Superior King', 'Room Charges': '$313'}, {'Room Name': 'City King with Balcony', 'Room Charges': '$313'}, {'Room Name': 'Deluxe King', 'Room Charges': '$365'}, {'Room Name': 'Deluxe King with Balcony', 'Room Charges': '$397'}, {'Room Name': 'Junior Suite with Club Lounge Access', 'Room Charges': '$407'}, {'Room Name': 'Master Suite with Club Lounge Access', 'Room Charges': '$439'}, {'Room Name': 'Junior Suite, 1 King Bed, Balcony with Club Lounge Access', 'Room Charges': '$439'}, {'Room Name': 'Signature Suite, 1 King Bed, Fireplace with Club Lounge Access', 'Room Charges': '$902'}, {'Room Name': 'Signature Suite, 2 Bedrooms, Kitchenette with Club Lounge Access', 'Room Charges': '$1,217'}"
"London, UK","The Tower Hotel, London",4.0,8.2,Very good,"['Breakfast available', 'Restaurant', 'Parking available', 'Room service', 'Bar', 'Housekeeping']","{'Room Name': 'Standard Double Room', 'Room Charges': '$190'}, {'Room Name': 'Family Room', 'Room Charges': '$194'}, {'Room Name': 'Double Standard', 'Room Charges': '$196'}, {'Room Name': 'Standard Sleeper', 'Room Charges': '$196'}, {'Room Name': 'Standard Double Room, with Bridge View', 'Room Charges': '$203'}, {'Room Name': 'Standard Twin Room, with Bridge View', 'Room Charges': '$203'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$210'}, {'Room Name': 'Double River View', 'Room Charges': '$211'}, {'Room Name': 'Executive Twin Room', 'Room Charges': '$211'}, {'Room Name': 'Executive Double, with Bridge View', 'Room Charges': '$223'}, {'Room Name': 'Suite, 1 Double Bed', 'Room Charges': '$255'}"
"London, UK","The Cumberland, London",5.0,8.6,Excellent,"['Breakfast available', '24/7 front desk', 'Bar', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Classic Twin Room', 'Room Charges': '$193'}, {'Room Name': 'Gold King Room', 'Room Charges': '$215'}, {'Room Name': 'Double Room - Classic', 'Room Charges': '$208'}, {'Room Name': 'Classic Double', 'Room Charges': '$211'}, {'Room Name': 'Classic Double Room', 'Room Charges': '$215'}, {'Room Name': 'Gold Twin', 'Room Charges': '$239'}, {'Room Name': 'Gold King Park View', 'Room Charges': '$243'}, {'Room Name': 'Classic Accessible Double', 'Room Charges': '$269'}, {'Room Name': 'Executive Double Room (With Executive Club Lounge Access)', 'Room Charges': '$275'}, {'Room Name': 'Executive Twin Room (With Executive Club Lounge Access)', 'Room Charges': '$275'}, {'Room Name': 'Gold Family Room', 'Room Charges': '$294'}, {'Room Name': 'Executive King Room (With Executive Club Lounge Access)', 'Room Charges': '$296'}, {'Room Name': 'Studio Suite (With Executive Club Lounge Access)', 'Room Charges': '$333'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}"
"London, UK",Thistle London Marble Arch,4.0,8.0,Very good,"['Bar', 'Breakfast available', 'Gym', '24/7 front desk', 'Room service', 'Housekeeping']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$184'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$184'}, {'Room Name': 'Twin Room', 'Room Charges': '$198'}, {'Room Name': 'Double Room', 'Room Charges': '$198'}, {'Room Name': 'Standard Twin', 'Room Charges': '$199'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$205'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$205'}, {'Room Name': 'Family Room', 'Room Charges': '$212'}, {'Room Name': 'Executive Twin Room', 'Room Charges': '$226'}, {'Room Name': 'Executive Room, 1 King Bed with Sofa bed', 'Room Charges': '$226'}, {'Room Name': 'Studio, 1 Bedroom (Apartment)', 'Room Charges': '$269'}, {'Room Name': 'Superior Studio, 1 King Bed with Sofa bed (Apartment)', 'Room Charges': '$340'}"
"London, UK",Marlin Waterloo,4.0,8.8,Excellent,"['Breakfast available', 'Gym', '24/7 front desk', 'Laundry', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$202'}, {'Room Name': 'Deluxe Studio, Accessible', 'Room Charges': '$224'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$233'}, {'Room Name': 'Premium Studio, 1 King Bed, Accessible', 'Room Charges': '$233'}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$234'}, {'Room Name': 'Premium Studio, 1 King Bed', 'Room Charges': '$241'}, {'Room Name': 'Premium Room, 1 King Bed, City View', 'Room Charges': '$241'}, {'Room Name': 'Premium Studio, 2 Twin Beds', 'Room Charges': '$241'}, {'Room Name': 'Premium Studio, 1 King Bed, City View', 'Room Charges': '$250'}, {'Room Name': 'Deluxe Studio Accessible', 'Room Charges': '$259'}, {'Room Name': 'Deluxe Studio', 'Room Charges': '$260'}, {'Room Name': 'Deluxe Studio, 1 Queen Bed with Sofa bed', 'Room Charges': '$268'}, {'Room Name': 'Deluxe Studio, 1 Queen Bed with Sofa Bed, Accessible', 'Room Charges': '$268'}, {'Room Name': 'Premium Studio Accessible', 'Room Charges': '$268'}, {'Room Name': 'Deluxe Suite, 1 Queen Bed with Sofa bed', 'Room Charges': '$340'}, {'Room Name': 'Deluxe Suite, 1 Queen Bed', 'Room Charges': '$373'}"
"London, UK",Park Plaza London Westminster Bridge,4.0,8.8,Excellent,"['Restaurant', 'Pool', 'Gym', 'Spa', 'Breakfast available', 'Air conditioning']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$281'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$281'}, {'Room Name': 'Superior Room, Accessible (Wheelchair)', 'Room Charges': '$281'}, {'Room Name': 'Superior Room, 1 King Bed (Atrium Facing)', 'Room Charges': '$318'}, {'Room Name': 'Studio, 1 King Bed', 'Room Charges': '$334'}, {'Room Name': 'Studio, 2 Twin Beds', 'Room Charges': '$385'}, {'Room Name': 'Studio, 1 King Bed (London Eye View)', 'Room Charges': '$437'}, {'Room Name': 'Studio, 1 King Bed (Big Ben View)', 'Room Charges': '$447'}, {'Room Name': 'Suite, 1 King Bed (1 Bedroom)', 'Room Charges': '$513'}, {'Room Name': 'Suite, 1 King Bed (Big Ben View - 1 Bedroom)', 'Room Charges': '$557'}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': '$785'}, {'Room Name': 'Suite, 2 Bedrooms, Terrace', 'Room Charges': '$872'}"
"London, UK",Hotel Riu Plaza London Victoria,4.0,8.8,Excellent,"['Gym', 'Breakfast included', 'Bar', '24/7 front desk', 'Housekeeping', 'Laundry']","{'Room Name': 'Deluxe Room, 1 Double or 2 Twin Beds, No Windows', 'Room Charges': '$337'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$358'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$358'}, {'Room Name': 'Standard Room, 1 Double Bed, Accessible', 'Room Charges': '$358'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$385'}, {'Room Name': 'Standard Double Room Single Use, 1 Double Bed', 'Room Charges': None}"
"London, UK",The Marker Hotel,3.0,8.6,Excellent,"['Breakfast included', 'Housekeeping', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Double Room', 'Room Charges': '$172'}, {'Room Name': 'Triple Room', 'Room Charges': '$248'}, {'Room Name': 'Single Room', 'Room Charges': None}"
"London, UK",Strand Palace Hotel,4.0,8.8,Excellent,"['Breakfast available', 'Gym', 'Room service', 'Bar', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Classic Double', 'Room Charges': '$237'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$271'}, {'Room Name': 'Classic Double', 'Room Charges': '$242'}, {'Room Name': 'Superior Double', 'Room Charges': '$277'}, {'Room Name': 'Superior Twin', 'Room Charges': '$311'}, {'Room Name': 'Superior King', 'Room Charges': '$311'}, {'Room Name': 'Superior King', 'Room Charges': '$317'}, {'Room Name': 'Deluxe Studio Double', 'Room Charges': '$369'}, {'Room Name': 'Deluxe Studio King', 'Room Charges': '$405'}, {'Room Name': 'Superior Single', 'Room Charges': None}, {'Room Name': 'Classic Single', 'Room Charges': None}"
