Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Madrid, Spain",,5,9.4,Exceptional,"['Bar', 'Pool', 'Room service', 'Gym', 'Free WiFi', 'Housekeeping']","{'Room Name': 'Deluxe Room (Deluxe)', 'Room Charges': '$266'}, {'Room Name': 'Deluxe Room, City View', 'Room Charges': '$306'}, {'Room Name': 'Premium Room', 'Room Charges': '$346'}, {'Room Name': 'Premium Room, City View', 'Room Charges': '$439'}, {'Room Name': 'Junior Suite', 'Room Charges': '$532'}, {'Room Name': 'Suite', 'Room Charges': '$638'}, {'Room Name': 'Suite, City View', 'Room Charges': '$798'}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': '$1,011'}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': None}"
"Madrid, Spain",Barceló Emperatriz,5,9.6,Exceptional,"['Breakfast available', 'Bar', 'Parking available', 'Room service', 'Gym', 'Housekeeping']","{'Room Name': 'Deluxe Room (Tranquility)', 'Room Charges': '$246'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$258'}, {'Room Name': 'Premium Room', 'Room Charges': '$307'}, {'Room Name': 'Premium Room, Balcony', 'Room Charges': '$369'}, {'Room Name': 'Premium Room (Emperor)', 'Room Charges': '$443'}, {'Room Name': 'Premium Room (Emperatriz)', 'Room Charges': '$467'}, {'Room Name': 'Family Room (Deluxe)', 'Room Charges': '$541'}, {'Room Name': 'Family Room (Premium)', 'Room Charges': '$615'}, {'Room Name': 'Family Suite', 'Room Charges': '$689'}, {'Room Name': 'Family Room (Grand Deluxe)', 'Room Charges': '$713'}"
"Madrid, Spain",UMusic Hotel Madrid,5,9.4,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Housekeeping', 'Air conditioning', 'Gym']","{'Room Name': 'Deluxe guestroom', 'Room Charges': '$287'}, {'Room Name': 'Premium Guestroom', 'Room Charges': '$318'}, {'Room Name': 'Ultimate Room', 'Room Charges': '$363'}, {'Room Name': 'Ultimate Terrace Room', 'Room Charges': '$425'}, {'Room Name': ""Artist's Suite"", 'Room Charges': '$703'}, {'Room Name': 'Classic guestroom', 'Room Charges': None}"
"Madrid, Spain","Thompson Madrid, by Hyatt",5,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Pet friendly', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$522'}, {'Room Name': 'Room, 1 King Bed (City View)', 'Room Charges': '$545'}, {'Room Name': 'Room, 2 Twin Beds (City View)', 'Room Charges': '$545'}, {'Room Name': 'Room, 1 King Bed, Balcony', 'Room Charges': '$573'}, {'Room Name': 'Room, 1 King Bed, Terrace', 'Room Charges': '$611'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$667'}, {'Room Name': 'Junior Studio Suite, Terrace', 'Room Charges': '$727'}, {'Room Name': 'Suite, 1 King Bed, City View', 'Room Charges': '$819'}, {'Room Name': 'Suite, Terrace, Corner', 'Room Charges': '$1,052'}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': '$1,683'}"
"Madrid, Spain","InterContinental Madrid, an IHG Hotel",5,9.0,Wonderful,"['Breakfast available', 'Bar', 'Spa', 'Parking available', 'Pet friendly', 'Room service']","{'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$286'}, {'Room Name': 'Classic Room', 'Room Charges': '$286'}, {'Room Name': 'Premium Room', 'Room Charges': '$315'}, {'Room Name': 'Premium Room, Business Lounge Access', 'Room Charges': '$392'}, {'Room Name': 'Premium Room, 2 Twin Beds, View (Club Lounge Access, Castellana View)', 'Room Charges': '$428'}, {'Room Name': 'Premium Room, 1 King Bed, View (Club Lounge Access, Castellana View)', 'Room Charges': '$457'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, View (Club Lounge Access)', 'Room Charges': '$620'}, {'Room Name': 'Suite, 1 King Bed, Terrace (Ambassador, Club Lounge Access)', 'Room Charges': '$758'}, {'Room Name': 'Presidential Suite, Multiple Beds, View (Club Lounge Access)', 'Room Charges': '$1,716'}, {'Room Name': 'Presidential Suite, 1 King Bed, Terrace, View (Ava Suite, Club Lounge Access)', 'Room Charges': '$2,180'}, {'Room Name': 'Premium Room, 1 King Bed, (Club Lounge Access, extra bed option)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Classic Room, 2 Twin Beds, Accessible', 'Room Charges': None}"
"Madrid, Spain","Hotel Urban, a member of Design Hotels",5,9.4,Exceptional,"['Pool', 'Bar', 'Parking available', 'Room service', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Superior Double Room', 'Room Charges': '$348'}, {'Room Name': 'Double Superior', 'Room Charges': '$349'}, {'Room Name': 'Duplex', 'Room Charges': '$395'}, {'Room Name': 'Jr Suite Duplex', 'Room Charges': '$396'}, {'Room Name': 'Junior Suite', 'Room Charges': '$490'}, {'Room Name': 'Jr Suite', 'Room Charges': '$491'}, {'Room Name': 'Suite', 'Room Charges': '$537'}, {'Room Name': 'Business Suite', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Business Duplex', 'Room Charges': None}, {'Room Name': 'Loft', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Madrid, Spain",The Madrid EDITION,5,9.2,Wonderful,"['Bar', 'Pool', 'Spa', 'Parking available', 'Pet friendly', 'Gym']","{'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$639'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$686'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, Balcony', 'Room Charges': '$695'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$708'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, Terrace', 'Room Charges': '$708'}, {'Room Name': 'Superior Room, 2 Queen Beds, Non Smoking, Balcony', 'Room Charges': '$742'}, {'Room Name': 'Superior Room, 2 Queen Beds, Non Smoking, Terrace', 'Room Charges': '$755'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$779'}, {'Room Name': 'Loft, 1 King Bed, Courtyard View', 'Room Charges': '$802'}, {'Room Name': 'Loft, 1 King Bed', 'Room Charges': '$873'}, {'Room Name': 'Loft, 2 Queen Beds', 'Room Charges': '$920'}, {'Room Name': 'Suite, 1 Bedroom, Courtyard View', 'Room Charges': '$920'}, {'Room Name': 'Suite, 1 King Bed, Corner', 'Room Charges': '$1,206'}, {'Room Name': 'Suite, 1 Bedroom, City View, Corner', 'Room Charges': '$1,416'}, {'Room Name': 'Superior Suite, 1 Bedroom', 'Room Charges': '$1,521'}, {'Room Name': 'Premier Suite, 1 Bedroom', 'Room Charges': '$1,626'}, {'Room Name': 'Studio, 1 Bedroom, Terrace, City View', 'Room Charges': '$2,396'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$10,501'}, {'Room Name': 'Suite, 1 Bedroom, City View', 'Room Charges': '$15,751'}"
"Madrid, Spain",JW Marriott Hotel Madrid,5,9.2,Wonderful,"['Bar', 'Spa', 'Pet friendly', 'Free WiFi', 'Housekeeping', 'Laundry']","{'Room Name': 'Deluxe Room, 1 King Bed, Courtyard View', 'Room Charges': '$625'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Courtyard View', 'Room Charges': '$678'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony, City View (Balcony)', 'Room Charges': '$696'}, {'Room Name': 'Premium Room, 1 King Bed, Non Smoking, City View (Balcony)', 'Room Charges': '$732'}, {'Room Name': 'Premium Room, 1 King Bed, Non Smoking, City View (Corner)', 'Room Charges': '$759'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking, View (Terrace)', 'Room Charges': '$964'}"
"Madrid, Spain",Hotel Fenix Gran Meliá - The Leading Hotels of the World,5,9.4,Exceptional,"['Breakfast available', 'Bar', 'Spa', 'Parking available', 'Room service', 'Gym']","{'Room Name': 'Classic Room', 'Room Charges': '$504'}, {'Room Name': 'Classic', 'Room Charges': '$515'}, {'Room Name': 'Premium', 'Room Charges': '$533'}, {'Room Name': 'Premium', 'Room Charges': '$544'}, {'Room Name': 'Premium Room (2 Adults + 1 Child)', 'Room Charges': '$590'}, {'Room Name': 'Supreme', 'Room Charges': '$619'}, {'Room Name': 'Supreme', 'Room Charges': '$632'}, {'Room Name': 'Premium Room (3 Adults)', 'Room Charges': '$648'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$694'}, {'Room Name': 'Deluxe Red Level Room (2+1)', 'Room Charges': '$751'}, {'Room Name': 'Deluxe Room (Level 3 Adults)', 'Room Charges': '$808'}, {'Room Name': 'Family Grand Supreme', 'Room Charges': '$810'}, {'Room Name': 'Junior Suite Red Level Lounge Access', 'Room Charges': '$886'}, {'Room Name': 'Deluxe Junior Suite Red Level Lounge Access', 'Room Charges': '$915'}, {'Room Name': 'One Bedroom Suite Red Level Lounge Access', 'Room Charges': '$955'}, {'Room Name': 'One Bedroom Suite Red Level (3+1)', 'Room Charges': '$1,012'}, {'Room Name': 'One Bedroom Suite Red Level (2+2)', 'Room Charges': '$1,069'}, {'Room Name': 'Suite, 1 Bedroom (Red Level Lounge Access 3Adults & 1Child)', 'Room Charges': '$1,126'}, {'Room Name': 'Penthouse Suite Red Level', 'Room Charges': '$1,271'}, {'Room Name': 'Penthouse Suite Red Level (2+1)', 'Room Charges': '$1,329'}, {'Room Name': 'Penthouse Suite Red Level (2+2)', 'Room Charges': '$1,386'}, {'Room Name': 'Two Bedrooms Suite Red Level', 'Room Charges': '$1,440'}, {'Room Name': 'Penthouse Suite Red Level (3+1)', 'Room Charges': '$1,443'}, {'Room Name': 'Two Bedroom Suite Red Level (4+1)', 'Room Charges': '$1,497'}, {'Room Name': 'One Bedroom Master Suite Red Level', 'Room Charges': '$2,032'}, {'Room Name': 'Redlevel One Bedroom Master Suite with Terrace', 'Room Charges': '$2,079'}, {'Room Name': 'One Bedroom Master Suite Red Level (2+1)', 'Room Charges': '$2,089'}, {'Room Name': 'Redlevel One Bedroom Master Suite with Terrace (2+2)', 'Room Charges': '$2,194'}, {'Room Name': 'Presidential Penthouse Suite Red Level', 'Room Charges': '$3,655'}, {'Room Name': 'Presidential Penthouse Suite Red Level (2+1)', 'Room Charges': '$3,712'}, {'Room Name': 'Presidential Penthouse Suite Red Level (2+2)', 'Room Charges': '$3,769'}, {'Room Name': 'Presidential Penthouse Suite Red Level (3+1)', 'Room Charges': '$3,826'}"
"Madrid, Spain",Rosewood Villa Magna,5,10,Exceptional,"['Bar', 'Spa', 'Parking available', 'Pet friendly', 'Room service', 'Gym']","{'Room Name': 'Deluxe Room', 'Room Charges': '$1,245'}, {'Room Name': 'Premier Room', 'Room Charges': '$1,290'}, {'Room Name': 'Grand Room (Premier)', 'Room Charges': '$1,526'}, {'Room Name': 'Grand Premier Room', 'Room Charges': '$1,556'}, {'Room Name': 'Grand Suite (Premier Castellana)', 'Room Charges': '$1,571'}, {'Room Name': 'Junior Suite', 'Room Charges': '$1,851'}, {'Room Name': 'Junior Suite (Castellana)', 'Room Charges': '$1,896'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': '$2,142'}, {'Room Name': 'Junior Suite', 'Room Charges': '$2,219'}, {'Room Name': 'Villa (Suite Magna)', 'Room Charges': '$2,678'}, {'Room Name': 'Junior Anglada Suite', 'Room Charges': '$3,570'}, {'Room Name': 'Suite', 'Room Charges': '$4,017'}"
"Madrid, Spain",Four Seasons Hotel Madrid,5,9.8,Exceptional,"['Bar', 'Pool', 'Spa', 'Pet friendly', 'Gym', 'Free WiFi']","{'Room Name': 'Deluxe Room (King)', 'Room Charges': '$1,547'}, {'Room Name': 'Deluxe Room, Balcony', 'Room Charges': '$1,733'}, {'Room Name': 'Premier Room, 2 Double Beds (Grand)', 'Room Charges': '$1,892'}, {'Room Name': 'Grand Room, 1 King Bed (Grand King)', 'Room Charges': '$1,892'}, {'Room Name': 'Grand Room, 1 King Bed, Terrace (Grand King)', 'Room Charges': '$1,981'}, {'Room Name': 'Suite, 1 King Bed (Courtyard King)', 'Room Charges': '$2,521'}, {'Room Name': 'Executive Suite, 1 King Bed (King)', 'Room Charges': '$2,610'}, {'Room Name': 'Four Seasons, Suite, 1 King Bed', 'Room Charges': '$3,165'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': '$3,790'}, {'Room Name': 'Four Seasons, Suite, 1 King Bed, Terrace', 'Room Charges': '$4,683'}"
