Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Malé, Maldives",Kurumba Maldives,5.0,9.4,Exceptional,"['Restaurant', 'All inclusive', 'Bar', 'Pool', 'Room service', 'Gym']","{'Room Name': 'Superior Room', 'Room Charges': '$275'}, {'Room Name': 'Deluxe Bungalow', 'Room Charges': '$379'}, {'Room Name': 'Deluxe Bungalow, Beachfront', 'Room Charges': '$488'}, {'Room Name': 'Garden Pool Villa', 'Room Charges': '$568'}, {'Room Name': 'Beach Villa', 'Room Charges': '$620'}, {'Room Name': 'Deluxe Pool Villa', 'Room Charges': '$849'}, {'Room Name': 'Family Villa', 'Room Charges': '$1,056'}"
"Malé, Maldives",Hard Rock Hotel Maldives,5.0,9.4,Exceptional,"['Bar', 'All inclusive', 'On private beach', 'Pool', 'Room service', 'Spa']","{'Room Name': 'Silver Sky Studio', 'Room Charges': '$314'}, {'Room Name': 'Silver Beach Studio - Twin Bed', 'Room Charges': '$353'}, {'Room Name': 'Silver Beach Studio', 'Room Charges': '$393'}, {'Room Name': 'Gold Beach Villa - Twin Bed', 'Room Charges': '$485'}, {'Room Name': 'Platinum Overwater Villa', 'Room Charges': '$542'}, {'Room Name': 'Platinum Overwater Villa - Twin Bed', 'Room Charges': '$542'}, {'Room Name': 'Silver Family Suite 2-Bedroom, Duplex', 'Room Charges': '$713'}, {'Room Name': 'Gold Beach Private Pool Villa', 'Room Charges': '$741'}, {'Room Name': 'Platinum Overwater Private Pool Villa', 'Room Charges': '$798'}, {'Room Name': 'Silver Family Pool Suite (Two-Bedroom Duplex)', 'Room Charges': '$855'}, {'Room Name': 'Diamond Overwater Private Pool Villa - Twin Bed', 'Room Charges': '$884'}, {'Room Name': 'Diamond Overwater Private Pool Villa', 'Room Charges': '$884'}, {'Room Name': 'Rock Royalty Overwater 2-Bedroom Private Pool Villa', 'Room Charges': '$1,597'}, {'Room Name': 'Rock Star Overwater Private Pool Villa', 'Room Charges': '$4,146'}"
"Malé, Maldives",SO/ Maldives,5.0,8.4,Very good,"['All inclusive', 'Breakfast available', 'Bar', 'On private beach', 'Pool', 'Room service']","{'Room Name': 'Lagoon Water Pool Villa Collection 1 King Bed', 'Room Charges': '$845'}, {'Room Name': 'Ocean Water Pool Villa Collection, 1 King Bed', 'Room Charges': '$921'}, {'Room Name': 'Lagoon Beach Pool Villa Collection 1 King Bed', 'Room Charges': '$1,073'}, {'Room Name': 'Villa, 1 Double Bed (Pool, Beach, Ocean)', 'Room Charges': '$1,149'}, {'Room Name': 'Family Villa, 2 Double Beds (Pool, Beach)', 'Room Charges': '$2,518'}, {'Room Name': 'Loft, 2 Bedrooms (Pool, Beach, Lagoon)', 'Room Charges': '$2,518'}"
"Malé, Maldives","SAii Lagoon Maldives, Curio Collection by Hilton",5.0,9.4,Exceptional,"['All inclusive', 'Bar', 'Breakfast included', 'Pool', 'Room service', 'Spa']","{'Room Name': 'Sky Room', 'Room Charges': '$331'}, {'Room Name': 'Beach Room', 'Room Charges': '$371'}, {'Room Name': 'Sky Room - Twin Bed', 'Room Charges': '$331'}, {'Room Name': 'Beach Room - Twin Bed', 'Room Charges': '$371'}, {'Room Name': 'Beach Room with Pool', 'Room Charges': '$525'}, {'Room Name': 'Beach Villa', 'Room Charges': '$606'}, {'Room Name': 'Beach Villa - Twin Bed', 'Room Charges': '$606'}, {'Room Name': 'Overwater Villa', 'Room Charges': '$727'}, {'Room Name': 'Beach Villa with Pool', 'Room Charges': '$848'}, {'Room Name': 'Family Room, 1 King Bed (Beach)', 'Room Charges': '$888'}, {'Room Name': '2-Bedroom Family Beach Villa with Pool', 'Room Charges': '$1,454'}, {'Room Name': '2-Bedroom Overwater Pool Villa', 'Room Charges': '$2,261'}"
"Malé, Maldives",Taj Exotica Resort And Spa,5.0,9.6,Exceptional,"['Bar', 'Hot Tub', 'On private beach', 'Pool', 'Room service', 'Spa']","{'Room Name': 'Villa, 1 King Bed, Ocean View (Lagoon)', 'Room Charges': '$1,042'}, {'Room Name': 'Deluxe Villa, Ocean View (Lagoon)', 'Room Charges': '$1,242'}, {'Room Name': 'Premium Villa, Ocean View', 'Room Charges': '$1,442'}, {'Room Name': 'Deluxe Villa, 1 King Bed, Ocean View (Beach)', 'Room Charges': '$1,642'}, {'Room Name': 'Suite, 1 Bedroom (Ocean)', 'Room Charges': '$2,131'}, {'Room Name': 'Suite, 1 Bedroom (Beach Villa)', 'Room Charges': '$2,781'}, {'Room Name': 'Suite, 2 Bedrooms (Beach Villa)', 'Room Charges': '$3,813'}, {'Room Name': 'Presidential Suite, 2 Bedrooms (Rehendi)', 'Room Charges': '$5,538'}"
"Malé, Maldives",Sheraton Maldives Full Moon Resort & Spa,5.0,8.8,Excellent,"['All inclusive', 'Breakfast available', 'Bar', 'Hot Tub', 'On private beach', 'Pool']","{'Room Name': 'Island, Deluxe Room, 1 King Bed, View', 'Room Charges': '$230'}, {'Room Name': 'Deluxe Room, 1 King Bed, Beach View', 'Room Charges': '$268'}, {'Room Name': 'Deluxe Room, 2 Double Beds, View (island)', 'Room Charges': '$230'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking, Beach View', 'Room Charges': '$268'}, {'Room Name': 'Cottage, 1 King Bed, View (island)', 'Room Charges': '$325'}, {'Room Name': 'Cottage, 1 King Bed, Beach View', 'Room Charges': '$362'}, {'Room Name': 'Cottage, 1 King Bed, View (island)', 'Room Charges': '$476'}, {'Room Name': 'Bungalow, 1 King Bed, Ocean View, Overwater (Overwater)', 'Room Charges': '$525'}, {'Room Name': 'Villa, 1 King Bed, Private Pool, Ocean View', 'Room Charges': '$601'}, {'Room Name': 'Bungalow, 1 King Bed, Ocean View, Overwater', 'Room Charges': '$790'}, {'Room Name': 'Villa, 1 King Bed, Ocean View', 'Room Charges': '$1,017'}, {'Room Name': 'Suite, 2 Bedrooms, Private Pool, Ocean View', 'Room Charges': '$1,680'}"
"Malé, Maldives",Adaaran Prestige Vadoo - Adults Only - All Inclusive with Free Transfers,5.0,8.8,Excellent,"['Free airport shuttle', 'All inclusive', 'Bar', 'Breakfast included', 'Pool', 'Room service']","{'Room Name': 'Sunset Water Villa with Private Pool & Jacuzzi - - Premium All Inclusive with Free Transfers', 'Room Charges': '$1,114'}, {'Room Name': 'Honeymoon Villa with Private Pool & Jacuzzi - Premium All Inclusive with Free Transfers', 'Room Charges': '$1,176'}"
"Malé, Maldives",Velassaru Maldives,5.0,9.6,Exceptional,"['Pool', 'Restaurant', 'Bar', 'All inclusive', 'Room service', 'Spa']","{'Room Name': 'Deluxe Villa', 'Room Charges': '$314'}, {'Room Name': 'Water Villa', 'Room Charges': '$450'}, {'Room Name': 'Water Bungalow with Pool', 'Room Charges': '$542'}, {'Room Name': 'Beach Villa with Pool', 'Room Charges': '$568'}, {'Room Name': 'Water Villa with Pool', 'Room Charges': '$843'}, {'Room Name': 'Deluxe Villa with Pool', 'Room Charges': '$898'}, {'Room Name': 'Pool Villa', 'Room Charges': '$942'}, {'Room Name': 'Water Suite', 'Room Charges': '$1,465'}"
"Malé, Maldives",Bandos Maldives,5.0,9.0,Wonderful,"['Pool', 'Spa', 'Restaurant', 'All inclusive', 'Bar', 'Room service']","{'Room Name': 'Standard beachfront Room', 'Room Charges': '$196'}, {'Room Name': 'Deluxe Beachfront Room', 'Room Charges': '$247'}, {'Room Name': 'Superior Double Room, 1 Double Bed, Beach View, Beachfront', 'Room Charges': '$278'}, {'Room Name': 'Garden Villa', 'Room Charges': '$219'}, {'Room Name': 'Beach Villa', 'Room Charges': '$313'}, {'Room Name': 'Premium Beach Villa', 'Room Charges': '$400'}, {'Room Name': 'Beach Pool Villa', 'Room Charges': '$658'}, {'Room Name': 'Sunset Water Villa', 'Room Charges': '$756'}"
"Malé, Maldives",Villa Nautica Paradise Island Resort,5.0,9.2,Wonderful,"['Pool', 'Restaurant', 'All inclusive', 'Breakfast available', 'Bar', 'Hot Tub']","{'Room Name': 'Superior Room, 1 Double Bed with Sofa bed (Beach Villa)', 'Room Charges': '$249'}, {'Room Name': 'Deluxe Room, 1 Double Bed with Sofa bed (Water Villa)', 'Room Charges': '$488'}, {'Room Name': 'Superior Suite, 1 Double Bed with Sofa bed (Water Villa with Whirlpool)', 'Room Charges': '$576'}, {'Room Name': 'Deluxe Room, 1 Double Bed with Sofa bed (Deluxe Beach Pool Villa)', 'Room Charges': '$465'}, {'Room Name': 'Deluxe Room, 1 Double Bed with Sofa bed (Sunset Beach Pool Villa)', 'Room Charges': '$490'}, {'Room Name': 'Deluxe Room, 1 Double Bed with Sofa bed (Ocean Beach Pool Villa)', 'Room Charges': '$550'}, {'Room Name': 'Executive Suite, 1 Double Bed with Sofa bed (One Bedroom Ocean Suite with Pool)', 'Room Charges': '$1,141'}, {'Room Name': 'Executive Suite, Multiple Beds (Two Bedroom Ocean Suite with Pool)', 'Room Charges': '$1,596'}"
