Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Manchester, UK",,,,,[],
"Manchester, UK",The Lowry Hotel,5.0,9.2,Wonderful,"['Spa', 'Bar', 'Pet friendly', 'Breakfast available', 'Housekeeping', 'Parking available']","{'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$384'}"
"Manchester, UK",Ensana Buxton Crescent,5.0,9.0,Wonderful,"['Spa', 'Pool', 'Breakfast included', 'Restaurant', 'Pet friendly', 'Gym']","{'Room Name': 'Crescent Room- includes spa access', 'Room Charges': '$282'}, {'Room Name': 'Attic Superior Room - includes spa access', 'Room Charges': '$285'}, {'Room Name': 'Junior Room- includes spa access', 'Room Charges': '$529'}, {'Room Name': 'Superior Suite- includes spa access', 'Room Charges': '$632'}, {'Room Name': 'Classic Room- includes spa access', 'Room Charges': None}, {'Room Name': 'Crescent Superior Room- includes spa access', 'Room Charges': None}, {'Room Name': 'Attic Room', 'Room Charges': None}"
"Manchester, UK",Crow Wood Hotel & Spa Resort,5.0,9.6,Exceptional,"['Spa', 'Breakfast included', 'Restaurant', 'Gym', 'Pool', '24/7 front desk']","{'Room Name': 'Luxury Twin Room', 'Room Charges': '$200'}"
"Manchester, UK",,,,,[],
"Manchester, UK","Holiday Inn Manchester - City Centre, an IHG Hotel",4.0,9.2,Wonderful,"['Breakfast available', 'Air conditioning', 'Restaurant', 'Bar', 'Gym', 'Room service']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$141'}, {'Room Name': 'Standard Room', 'Room Charges': '$141'}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': '$171'}, {'Room Name': 'Premium Room', 'Room Charges': '$171'}, {'Room Name': 'Suite, 1 King Bed with Sofa bed', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom (Canal View)', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed with Sofa bed, City View', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed with Sofa bed, Accessible', 'Room Charges': None}"
"Manchester, UK",Malmaison Manchester Deansgate,4.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Air conditioning', 'Laundry', '24/7 front desk']","{'Room Name': 'Standard Double Room', 'Room Charges': '$173'}, {'Room Name': 'Standard Double with View', 'Room Charges': '$187'}, {'Room Name': 'Suite', 'Room Charges': None}, {'Room Name': 'Club Double Room', 'Room Charges': None}, {'Room Name': 'Deluxe Club Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Manchester, UK",Maldron Hotel Manchester Cathedral Quarter,4.0,9.2,Wonderful,"['Bar', 'Room service', 'Housekeeping', 'Air conditioning', 'Laundry', '24/7 front desk']","{'Room Name': 'Deluxe Double Room', 'Room Charges': '$150'}, {'Room Name': 'Executive King Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double & Single Room', 'Room Charges': None}"
"Manchester, UK",INNSiDE by Meliá Manchester,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Spa', 'Gym', 'Bar', 'Pet friendly']","{'Room Name': 'The Innside Room - City View', 'Room Charges': '$181'}, {'Room Name': 'The Studio', 'Room Charges': '$227'}, {'Room Name': 'The Studio (2+1)', 'Room Charges': '$227'}, {'Room Name': 'The Studio (2+2)', 'Room Charges': '$227'}, {'Room Name': 'The Townhouse', 'Room Charges': '$314'}, {'Room Name': 'The Townhouse (2+1)', 'Room Charges': '$314'}"
"Manchester, UK","voco Manchester City Centre, an IHG Hotel",4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Room service', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$172'}, {'Room Name': 'Standard Room', 'Room Charges': '$172'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$214'}, {'Room Name': 'Grand Room, 1 King Bed with Sofa bed', 'Room Charges': '$235'}, {'Room Name': 'Suite, 1 King Bed (Free Standing Bath)', 'Room Charges': '$277'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, Balcony', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed, Balcony', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': None}, {'Room Name': 'Suite (The Cheever)', 'Room Charges': None}"
