Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Mexico City, Mexico",Camino Real Santa Fe,5.0,8.8,Excellent,"['Restaurant', 'Breakfast available', 'Bar', 'Spa', 'Parking available', 'Housekeeping']","{'Room Name': 'Deluxe Room, 1 King Bed (Wifi included)', 'Room Charges': '$81'}, {'Room Name': 'Deluxe Room, 2 Double Beds (Wifi included)', 'Room Charges': '$89'}, {'Room Name': 'Camino Real Club King', 'Room Charges': '$113'}, {'Room Name': 'Camino Real Club Doble', 'Room Charges': '$125'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$137'}"
"Mexico City, Mexico",Hyatt Regency Mexico City,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Parking available', 'Spa', 'Parking included', 'Pet friendly']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$250'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$250'}, {'Room Name': 'Room, 2 Twin Beds, Park View', 'Room Charges': '$281'}, {'Room Name': 'Club Room, 1 King Bed', 'Room Charges': '$337'}, {'Room Name': 'Club Room, 2 Twin Beds', 'Room Charges': '$337'}, {'Room Name': 'Club Room, 2 Twin Beds (High Floor)', 'Room Charges': '$350'}, {'Room Name': 'Club Room, 1 King Bed (High Floor)', 'Room Charges': '$350'}, {'Room Name': 'Room, 1 King Bed, Park View', 'Room Charges': '$351'}, {'Room Name': 'Regency, Suite, 1 King Bed', 'Room Charges': '$448'}, {'Room Name': 'Executive Suite', 'Room Charges': '$504'}"
"Mexico City, Mexico",Mondrian Mexico City Condesa,5.0,9.4,Exceptional,"['Restaurant', 'Breakfast available', 'Gym', 'Bar', 'Parking available', 'Pet friendly']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$215'}, {'Room Name': 'Standard Room, 2 Double Beds', 'Room Charges': '$215'}, {'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$231'}, {'Room Name': 'Superior Room, 1 King Bed, Accessible', 'Room Charges': '$231'}, {'Room Name': 'Superior Room, 1 King Bed (Skyline)', 'Room Charges': '$247'}, {'Room Name': 'Superior Room, 2 Double Beds (Skyline)', 'Room Charges': '$247'}, {'Room Name': 'Suite, 1 King Bed, Corner (Corner)', 'Room Charges': '$327'}, {'Room Name': 'Suite, 1 King Bed, Terrace', 'Room Charges': '$343'}, {'Room Name': 'Superior Suite, 1 King Bed, Terrace', 'Room Charges': '$351'}"
"Mexico City, Mexico",Sofitel Mexico City Reforma,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Gym', 'Restaurant', 'Spa', 'Bar']","{'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$380'}, {'Room Name': 'Superior Room, 1 King Bed, View (Angel of Independence View)', 'Room Charges': '$401'}, {'Room Name': 'SUPERIOR ROOM, 2 double beds, Angel of Independence view', 'Room Charges': '$416'}, {'Room Name': 'SUPERIOR ROOM, 1 king bed, Angel of Independence skyline view', 'Room Charges': '$418'}, {'Room Name': 'SUPERIOR ROOM, 2 double beds, Angel of Independence skyline view', 'Room Charges': '$433'}, {'Room Name': 'Luxury Room, 1 King Bed, City View', 'Room Charges': '$435'}, {'Room Name': 'Luxury Room, 1 King Bed, View (Skyline View)', 'Room Charges': '$452'}, {'Room Name': 'LUXURY ROOM EXECUTIVE FLOOR, Club Millésime access, 1 king bed, skyline view', 'Room Charges': '$590'}, {'Room Name': 'SUPERIOR ROOM EXECUTIVE FLOOR, Club Millésime access, 1 king bed, skyline view', 'Room Charges': '$605'}, {'Room Name': 'JUNIOR SUITE EXECUTIVE FLOOR, Club Millésime access, 1 king bed, Reforma view', 'Room Charges': '$682'}, {'Room Name': 'JUNIOR SUITE EXECUTIVE FLOOR, Club Millésime access, 1 king bed, Angel of Independence view', 'Room Charges': '$708'}, {'Room Name': 'Club Room, 1 King Bed, Business Lounge Access (Prestige, Angel of Independence View)', 'Room Charges': '$786'}"
"Mexico City, Mexico","The Ritz-Carlton, Mexico City",5.0,9.2,Wonderful,"['Pool', 'Bar', 'Pet friendly', 'Parking available', 'Breakfast available', '24/7 front desk']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$513'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Non Smoking, City View', 'Room Charges': '$513'}, {'Room Name': 'Deluxe Room, 1 King Bed, Terrace, Park View', 'Room Charges': '$548'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Terrace, Park View', 'Room Charges': '$548'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View, Corner', 'Room Charges': '$618'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, City View, Corner', 'Room Charges': '$618'}, {'Room Name': 'Junior Suite, 2 Queen Beds, Park View (Corner, Terrace)', 'Room Charges': '$653'}, {'Room Name': 'Junior Suite, 1 King Bed, Park View, Corner', 'Room Charges': '$653'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, Park View', 'Room Charges': '$688'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Non Smoking, Park View', 'Room Charges': '$688'}, {'Room Name': 'Junior Suite, 1 King Bed, Terrace, Park View', 'Room Charges': '$793'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking, City View', 'Room Charges': '$1,049'}, {'Room Name': 'Luxury Suite, 1 King Bed, Non Smoking, Park View', 'Room Charges': '$2,999'}, {'Room Name': 'Royal Suite, 1 King Bed, Park View', 'Room Charges': '$4,999'}, {'Room Name': 'Club Suite, 1 King Bed', 'Room Charges': '$5,999'}"
"Mexico City, Mexico",JW Marriott Hotel Mexico City Polanco,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Parking available', 'Pet friendly', 'Room service', 'Breakfast available']","{'Room Name': 'Executive Suite, 1 King Bed with Sofa bed, Non Smoking, Terrace', 'Room Charges': '$407'}, {'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$407'}, {'Room Name': 'Room, 1 King Bed, Non Smoking', 'Room Charges': '$423'}, {'Room Name': 'Executive Room, 1 Double Bed, Non Smoking, Executive Level', 'Room Charges': '$487'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking, City View (Corner)', 'Room Charges': '$527'}, {'Room Name': 'Executive Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$607'}, {'Room Name': 'Executive Suite, 1 Double Bed, Non Smoking, Executive Level', 'Room Charges': '$647'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$683'}"
"Mexico City, Mexico",Live Aqua Ciudad de México Bosques de las Lomas,5.0,9.6,Exceptional,"['Bar', 'Spa', 'Pet friendly', 'Parking available', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$290'}, {'Room Name': 'Deluxe Double Room, 2 Double Beds', 'Room Charges': '$295'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$544'}, {'Room Name': 'Master Suite, One King Bed', 'Room Charges': '$631'}"
"Mexico City, Mexico",The St. Regis Mexico City,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Hot Tub', 'Bar', 'Pet friendly', 'Parking available']","{'Room Name': 'Deluxe Room, 2 Queen Beds', 'Room Charges': '$727'}, {'Room Name': 'Grand Room, 1 King Bed', 'Room Charges': '$767'}, {'Room Name': 'Signature Room, 1 King Bed', 'Room Charges': '$757'}, {'Room Name': 'Grand Room, 2 Queen Beds', 'Room Charges': '$777'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$901'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$1,034'}, {'Room Name': 'Luxury Suite, 1 King Bed', 'Room Charges': '$1,154'}"
"Mexico City, Mexico",Sofitel Mexico City Reforma,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Gym', 'Restaurant', 'Spa', 'Bar']","{'Room Name': 'Superior Room, 1 King Bed, City View', 'Room Charges': '$380'}, {'Room Name': 'Superior Room, 1 King Bed, View (Angel of Independence View)', 'Room Charges': '$401'}, {'Room Name': 'SUPERIOR ROOM, 2 double beds, Angel of Independence view', 'Room Charges': '$416'}, {'Room Name': 'SUPERIOR ROOM, 1 king bed, Angel of Independence skyline view', 'Room Charges': '$418'}, {'Room Name': 'SUPERIOR ROOM, 2 double beds, Angel of Independence skyline view', 'Room Charges': '$433'}, {'Room Name': 'Luxury Room, 1 King Bed, City View', 'Room Charges': '$435'}, {'Room Name': 'Luxury Room, 1 King Bed, View (Skyline View)', 'Room Charges': '$452'}, {'Room Name': 'LUXURY ROOM EXECUTIVE FLOOR, Club Millésime access, 1 king bed, skyline view', 'Room Charges': '$590'}, {'Room Name': 'SUPERIOR ROOM EXECUTIVE FLOOR, Club Millésime access, 1 king bed, skyline view', 'Room Charges': '$605'}, {'Room Name': 'JUNIOR SUITE EXECUTIVE FLOOR, Club Millésime access, 1 king bed, Reforma view', 'Room Charges': '$682'}, {'Room Name': 'JUNIOR SUITE EXECUTIVE FLOOR, Club Millésime access, 1 king bed, Angel of Independence view', 'Room Charges': '$708'}, {'Room Name': 'Club Room, 1 King Bed, Business Lounge Access (Prestige, Angel of Independence View)', 'Room Charges': '$786'}"
"Mexico City, Mexico","ANDAZ CONDESA MEXICO CITY, BY HYATT",5.0,9.0,Wonderful,"['Restaurant', 'Pool', 'Bar', 'Parking available', 'Pet friendly', 'Spa']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$354'}, {'Room Name': 'Room, 1 King Bed, City View', 'Room Charges': '$382'}, {'Room Name': 'Room, 2 Double Beds, City View', 'Room Charges': '$382'}, {'Room Name': 'Room, 2 Double Beds', 'Room Charges': '$384'}, {'Room Name': 'Room, 1 King Bed (High Floor)', 'Room Charges': '$407'}, {'Room Name': 'Room, 2 Double Beds (High Floor)', 'Room Charges': '$407'}, {'Room Name': 'Suite (Andaz)', 'Room Charges': '$473'}, {'Room Name': 'Suite, City View', 'Room Charges': '$524'}"
