Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Milan, Italy","Palazzo Cordusio, a Gran Melia Hotel",5.0,9.0,Wonderful,"['Spa', 'Bar', 'Parking available', 'Breakfast available', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Premier Room', 'Room Charges': '$817'}, {'Room Name': 'Premier Room, Balcony', 'Room Charges': '$841'}, {'Room Name': 'Room (Supreme)', 'Room Charges': '$922'}, {'Room Name': 'Junior Room (Suite)', 'Room Charges': '$1,141'}, {'Room Name': 'Junior Room (Suite 2+1)', 'Room Charges': '$1,162'}, {'Room Name': 'Premium Room, 2 Bedrooms (Connecting)', 'Room Charges': '$1,492'}, {'Room Name': 'Suite, 1 Bedroom (Master)', 'Room Charges': '$1,505'}, {'Room Name': 'Suite, 1 Bedroom (Master, 2+1)', 'Room Charges': '$1,526'}, {'Room Name': 'Suite, 1 Bedroom, Balcony (Master)', 'Room Charges': '$1,586'}, {'Room Name': 'Suite, 1 Bedroom, Balcony (Master, 2+1)', 'Room Charges': '$1,607'}, {'Room Name': 'Suite (Visconti)', 'Room Charges': '$1,857'}, {'Room Name': 'Suite (Sforza)', 'Room Charges': '$1,857'}, {'Room Name': 'Suite (Savoia)', 'Room Charges': '$1,857'}, {'Room Name': 'Suite (Aragona)', 'Room Charges': '$1,857'}, {'Room Name': 'Suite (Visconti, 2+1)', 'Room Charges': '$1,878'}, {'Room Name': 'Suite (Sforza, 2+1)', 'Room Charges': '$1,878'}, {'Room Name': 'Suite (Savoia, 2+1)', 'Room Charges': '$1,878'}, {'Room Name': 'Suite (Aragona, 2+1)', 'Room Charges': '$1,878'}, {'Room Name': 'Suite, 2 Bedrooms (Supreme)', 'Room Charges': '$1,978'}, {'Room Name': 'Suite, 2 Bedrooms (Aragona)', 'Room Charges': '$2,787'}, {'Room Name': 'Suite (Duomo)', 'Room Charges': '$3,273'}, {'Room Name': 'Suite (Duomo, 2+1)', 'Room Charges': '$3,294'}, {'Room Name': 'Suite (Cordusio)', 'Room Charges': '$5,054'}, {'Room Name': 'Suite (Cordusio, 2+1)', 'Room Charges': '$5,074'}, {'Room Name': 'Suite, 3 Bedrooms (Cordusio)', 'Room Charges': '$8,857'}"
"Milan, Italy","The Westin Palace, Milan",5.0,8.6,Excellent,"['Spa', 'Bar', 'Parking available', 'Breakfast available', 'Gym', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking', 'Room Charges': '$282'}, {'Room Name': 'Classic Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$282'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking (Contemporary)', 'Room Charges': '$325'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking (Contemporary)', 'Room Charges': '$325'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking (Deluxe Contemporary)', 'Room Charges': '$359'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking (Deluxe Imperial)', 'Room Charges': '$359'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': '$398'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking', 'Room Charges': '$630'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$1,272'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking (Diplomatic, steam bath)', 'Room Charges': '$1,916'}"
"Milan, Italy",NYX Hotel Milan by Leonardo Hotels,4.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Parking available', 'Pet friendly', 'Room service']","{'Room Name': 'Comfort Room', 'Room Charges': '$129'}, {'Room Name': 'Down To Earth', 'Room Charges': '$134'}, {'Room Name': 'Junior Suite', 'Room Charges': '$222'}, {'Room Name': 'Room (Little Star)', 'Room Charges': None}"
"Milan, Italy",Hotel Glam Milano,4.0,8.2,Very good,"['Restaurant', 'Breakfast available', 'Bar', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Standard Double Room, 1 King Bed', 'Room Charges': '$123'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds', 'Room Charges': '$136'}, {'Room Name': 'Standard Room', 'Room Charges': '$136'}, {'Room Name': 'Double Room', 'Room Charges': '$145'}, {'Room Name': 'Twin Room, 2 Twin Beds, View', 'Room Charges': '$145'}, {'Room Name': 'Twin Standard', 'Room Charges': '$149'}, {'Room Name': 'Twin/Double Room', 'Room Charges': '$157'}, {'Room Name': 'Standard Triple Room, 1 Bedroom', 'Room Charges': '$177'}, {'Room Name': 'Superior Double Room, 1 King Bed', 'Room Charges': '$185'}, {'Room Name': 'Superior Twin Room, 2 Twin Beds', 'Room Charges': '$199'}, {'Room Name': 'Superior Room, Balcony', 'Room Charges': '$199'}, {'Room Name': 'Standard Quadruple Room', 'Room Charges': '$218'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$226'}, {'Room Name': 'Junior Suite (Double)', 'Room Charges': '$232'}, {'Room Name': 'Superior Triple Room, Balcony', 'Room Charges': '$240'}, {'Room Name': 'Junior Suite (Triple)', 'Room Charges': '$247'}, {'Room Name': 'Junior Suite (Family)', 'Room Charges': '$261'}, {'Room Name': 'Double Room, Balcony, View', 'Room Charges': None}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Double Room Single Use, Balcony, View', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use, Balcony', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Suite (Quadruple)', 'Room Charges': None}, {'Room Name': 'Suite (Single)', 'Room Charges': None}, {'Room Name': 'Suite (Double)', 'Room Charges': None}, {'Room Name': 'Suite (Triple)', 'Room Charges': None}, {'Room Name': 'Junior Suite (Double Single Use)', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Milan, Italy",Smart Hotel Milano,4.0,8.6,Excellent,"['Breakfast available', 'Pet friendly', 'Room service', '24/7 front desk', 'Housekeeping', 'Laundry']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$116'}, {'Room Name': 'Double Standard', 'Room Charges': '$127'}, {'Room Name': 'Double Room', 'Room Charges': '$133'}, {'Room Name': 'Triple Room', 'Room Charges': '$169'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$173'}, {'Room Name': 'Triple', 'Room Charges': '$185'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$213'}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}"
"Milan, Italy",Hotel Da Vinci,4.0,8.0,Good,"['Bar', 'Parking available', 'Breakfast available', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double Room, 1 Double Bed', 'Room Charges': '$47'}, {'Room Name': 'Double Standard', 'Room Charges': '$48'}, {'Room Name': 'Superior Double Room, 1 Double Bed', 'Room Charges': '$61'}, {'Room Name': 'Double Room, 1 Queen Bed, Balcony', 'Room Charges': '$61'}, {'Room Name': 'Twin Room, 2 Twin Beds, Balcony', 'Room Charges': '$61'}, {'Room Name': 'Double With Balcony', 'Room Charges': '$62'}, {'Room Name': 'Double Superior', 'Room Charges': '$62'}, {'Room Name': 'Superior Double Room, Balcony', 'Room Charges': '$69'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$73'}, {'Room Name': 'Superior Double Room, 2 Twin Beds', 'Room Charges': '$73'}, {'Room Name': 'Superior Triple Room, Balcony', 'Room Charges': '$73'}, {'Room Name': 'Superior Quadruple Room, 2 Double Beds', 'Room Charges': '$81'}, {'Room Name': 'Junior Suite (Double)', 'Room Charges': '$89'}, {'Room Name': 'Junior Suite (Triple)', 'Room Charges': '$105'}, {'Room Name': 'Junior Suite (Quadruple)', 'Room Charges': '$120'}, {'Room Name': 'Superior Suite', 'Room Charges': '$128'}, {'Room Name': 'Superior Suite (Triple)', 'Room Charges': '$143'}, {'Room Name': 'Superior Suite', 'Room Charges': '$158'}, {'Room Name': 'Standard Double Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Superior Suite (Single Use)', 'Room Charges': None}, {'Room Name': 'Junior Suite (Single Use)', 'Room Charges': None}, {'Room Name': 'Double Room Single Use, Balcony', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use, Balcony', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}"
"Milan, Italy",Uptown Palace,4.0,8.6,Excellent,"['Breakfast available', 'Restaurant', 'Bar', 'Room service', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$205'}, {'Room Name': 'Superior Room', 'Room Charges': '$227'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$374'}, {'Room Name': 'Junior Suite', 'Room Charges': '$416'}, {'Room Name': 'Suite (Duomo view)', 'Room Charges': '$578'}, {'Room Name': 'Presidential Suite (Duomo view)', 'Room Charges': '$732'}, {'Room Name': 'Deluxe Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Single Room, Accessible', 'Room Charges': None}"
"Milan, Italy",Sina De la Ville,4.0,8.4,Very good,"['Restaurant', 'Hot Tub', 'Bar', 'Pool', 'Gym', 'Parking available']","{'Room Name': 'Superior Room', 'Room Charges': '$352'}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Deluxe Suite', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': None}, {'Room Name': 'Superior Suite', 'Room Charges': None}"
"Milan, Italy",Italianway - Bandello 4 1,,,,['Free WiFi'],
"Milan, Italy",Spice Hotel Milano,3.0,8.0,Very good,"['Breakfast available', 'Laundry', 'Room service', '24/7 front desk', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Standard Double Room', 'Room Charges': '$116'}, {'Room Name': 'Double Room, Balcony', 'Room Charges': '$137'}, {'Room Name': 'Double Standard', 'Room Charges': '$129'}, {'Room Name': 'Double With Balcony', 'Room Charges': '$152'}, {'Room Name': 'Triple Room', 'Room Charges': '$169'}, {'Room Name': 'Superior Double Room, Balcony', 'Room Charges': '$173'}, {'Room Name': 'Double Room - Balcony', 'Room Charges': '$178'}, {'Room Name': 'Triple Room, Balcony', 'Room Charges': '$205'}, {'Room Name': 'Superior Quadruple Room, Balcony', 'Room Charges': None}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Quadruple Room', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use, Balcony', 'Room Charges': None}, {'Room Name': 'Superior Triple Room, Balcony', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Double Room Single Use, Balcony', 'Room Charges': None}, {'Room Name': 'Single Room, Balcony', 'Room Charges': None}"
