Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Munich, Germany",Hotel Vier Jahreszeiten Kempinski München,5.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pool', 'Spa', 'Gym', 'Parking available']","{'Room Name': 'Deluxe Room', 'Room Charges': '$601'}, {'Room Name': 'Deluxe Room (Executive)', 'Room Charges': '$835'}, {'Room Name': 'Executive Suite', 'Room Charges': '$1,911'}, {'Room Name': 'Executive Suite, 2 Bedrooms', 'Room Charges': '$2,498'}"
"Munich, Germany",Gambino Hotel Werksviertel,,8.8,Excellent,"['Parking available', '24/7 front desk', 'Pet friendly', 'Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'CLASSSICO', 'Room Charges': '$94'}, {'Room Name': 'CLASSICO plus', 'Room Charges': '$104'}, {'Room Name': 'Classic Room (Ferris Wheel)', 'Room Charges': '$105'}, {'Room Name': 'SPECIALE GRANDE', 'Room Charges': '$116'}"
"Munich, Germany",Living Hotel am Deutschen Museum,,8.4,Very good,"['Breakfast available', 'Gym', '24/7 front desk', 'Parking available', 'Laundry', 'Free WiFi']","{'Room Name': 'Deluxe Twin Room', 'Room Charges': '$107'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$117'}, {'Room Name': 'Business Room', 'Room Charges': '$129'}, {'Room Name': 'Superior Duplex', 'Room Charges': '$193'}, {'Room Name': 'Business Room, Balcony', 'Room Charges': None}"
"Munich, Germany","Holiday Inn Munich - City Centre, an IHG Hotel",,8.8,Excellent,"['Breakfast available', 'Restaurant', 'Bar', 'Parking available', 'Gym', 'Housekeeping']","{'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$164'}, {'Room Name': 'Standard Room, 1 King Bed, City View', 'Room Charges': '$183'}, {'Room Name': 'Premium Room, 1 Queen Bed, City View', 'Room Charges': '$188'}, {'Room Name': 'Standard Room', 'Room Charges': '$169'}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$174'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$179'}, {'Room Name': 'Premium Room, 1 Queen Bed', 'Room Charges': '$183'}, {'Room Name': 'Standard Room, 1 Queen Bed, City View', 'Room Charges': '$183'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': None}"
"Munich, Germany",Hotel am Sendlinger Tor,,8.4,,"['Pet friendly', 'Free WiFi']","{'Room Name': 'Standard Double Room', 'Room Charges': '$78'}, {'Room Name': 'Standard Twin Room', 'Room Charges': '$82'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$127'}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
"Munich, Germany",Buddy Hotel,,8.2,Very good,"['Parking available', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Comfort Double Room (15 m²)', 'Room Charges': '$115'}"
"Munich, Germany",Bayers Boardinghouse & Hotel,,8.8,Excellent,"['Outdoor Space', 'Laundry', 'Breakfast available', 'Parking available', 'Kitchen', 'Housekeeping']","{'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$192'}, {'Room Name': 'Standard Apartment, 1 Queen Bed with Sofa bed', 'Room Charges': '$199'}"
"Munich, Germany",Mikes Apartments Munich,,8.6,,"['Outdoor Space', 'Parking available', 'Kitchen', 'Laundry', 'Free WiFi', 'Pet friendly']","{'Room Name': 'Family Apartment', 'Room Charges': '$67'}"
"Munich, Germany",Maritim Hotel München,,8.4,Very good,"['Bar', 'Pool', 'Room service', 'Parking available', 'Gym', '24/7 front desk']","{'Room Name': 'Comfort Double Room', 'Room Charges': '$163'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite', 'Room Charges': '$242'}, {'Room Name': 'Senior Suite', 'Room Charges': '$340'}, {'Room Name': 'Superior Single Room', 'Room Charges': None}"
"Munich, Germany","Holiday Inn Munich- Westpark, an IHG Hotel",,9.0,Wonderful,"['Breakfast available', 'Bar', 'Gym', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Standard Room', 'Room Charges': '$92'}, {'Room Name': 'Standard Room, 2 Twin Beds, Garden View', 'Room Charges': '$105'}, {'Room Name': 'Standard Room, 2 Twin Beds, Garden View (Up to 3 Guests)', 'Room Charges': '$111'}, {'Room Name': 'Premium Room', 'Room Charges': '$116'}, {'Room Name': 'Suite, 1 King Bed, Garden View', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed with Sofa bed, Garden View', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Twin Bed, Accessible', 'Room Charges': None}"
