Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"New York,USA",The Belvedere Hotel,4,8.4,Very good,"['Bar', 'Parking available', 'Housekeeping', 'Gym', 'Laundry', '24/7 front desk']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$270'}, {'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$297'}"
"New York,USA",Pod Times Square,3,8.8,Excellent,"['Restaurant', 'Bar', 'Housekeeping', 'Pet friendly', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Room (Bunk Pod)', 'Room Charges': '$227'}, {'Room Name': 'Room (Full Pod)', 'Room Charges': '$237'}, {'Room Name': 'Room, 1 Queen Bed (Queen Pod)', 'Room Charges': '$275'}"
"New York,USA",Night Hotel Broadway,3,8.4,,"['Laundry', '24/7 front desk', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Bronze One King Bed', 'Room Charges': '$200'}, {'Room Name': 'Bronze, 1 King Bed', 'Room Charges': '$233'}, {'Room Name': 'Bronze, 2 Full beds', 'Room Charges': '$271'}, {'Room Name': 'Silver One Queen Bed', 'Room Charges': '$214'}, {'Room Name': 'Gold, 1 Full Bed', 'Room Charges': '$248'}, {'Room Name': 'Silver, 1 Full Bed', 'Room Charges': '$248'}, {'Room Name': 'Silver, 1 Queen Bed', 'Room Charges': '$248'}, {'Room Name': 'Silver, 1 King Bed', 'Room Charges': '$261'}, {'Room Name': 'Gold, 1 Queen Bed', 'Room Charges': '$267'}, {'Room Name': 'Gold, 1 King Bed', 'Room Charges': '$280'}, {'Room Name': 'Gold, 2 Full Beds', 'Room Charges': '$317'}, {'Room Name': 'Silver, 1 Bedroom Suite', 'Room Charges': '$367'}"
"New York,USA",The New Yorker A Wyndham Hotel,4,8.2,Very good,"['Restaurant', 'Breakfast available', 'Gym', 'Bar', 'Parking available', 'Pet friendly']","{'Room Name': 'Metro View Room, 1 Queen Bed', 'Room Charges': '$298'}, {'Room Name': 'Metro Room, 2 Double Beds', 'Room Charges': None}, {'Room Name': 'Metro View Room, 2 Double Beds', 'Room Charges': None}, {'Room Name': 'Metro Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Family Suite', 'Room Charges': None}, {'Room Name': 'Queen Suite', 'Room Charges': None}"
"New York,USA",OYO Times Square,4,8.2,Good,"['Room service', 'Parking available', 'Pet friendly', 'Housekeeping', 'Laundry', 'Air conditioning']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$237'}, {'Room Name': 'Superior Room, 1 Queen Bed', 'Room Charges': '$251'}"
"New York,USA",citizenM New York Bowery,4,9.2,Wonderful,"['Restaurant', 'Breakfast available', 'Bar', 'Gym', '24/7 front desk', 'Air conditioning']","{'Room Name': 'King Room', 'Room Charges': '$320'}, {'Room Name': 'King Room - Panoramic View', 'Room Charges': '$389'}"
"New York,USA",Hilton New York Times Square,4,8.2,Very good,"['Bar', 'Room service', 'Parking available', 'Breakfast available', 'Pet friendly', 'Housekeeping']","{'Room Name': 'Basic Room, 1 King Bed, Accessible, Bathtub', 'Room Charges': '$393'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$414'}, {'Room Name': 'Room, 1 King Bed, Corner (Times Square View, High Floor)', 'Room Charges': '$423'}, {'Room Name': 'Premium Room, 1 King Bed, Corner', 'Room Charges': '$414'}, {'Room Name': 'Room, 1 King Bed, Accessible, Bathtub (Times Square View)', 'Room Charges': '$423'}, {'Room Name': 'Deluxe Room, 1 King Bed (Times Square View, High Floor)', 'Room Charges': '$423'}, {'Room Name': 'Deluxe Room, 1 King Bed (Empire State View)', 'Room Charges': '$427'}, {'Room Name': 'Basic Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, View', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 Bedroom, Accessible (Mobility & Hearing, Roll-in Shower)', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 2 Queen Beds (Times Square View)', 'Room Charges': None}, {'Room Name': 'Room, 2 Queen Beds, Accessible, Bathtub (Times Square View)', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 2 Queen Beds (Empire State View)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Corner (Empire State View, High Floor)', 'Room Charges': None}, {'Room Name': 'Studio, 1 King Bed, Corner', 'Room Charges': None}, {'Room Name': 'Studio Suite, 1 King Bed, Corner', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed, Accessible, City View (Roll-In Shower)', 'Room Charges': None}, {'Room Name': 'Basic Room, 1 King Bed, Accessible, Bathtub (Mobility & Hearing)', 'Room Charges': None}, {'Room Name': 'Studio, 1 King Bed (Aladdin Themed)', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 2 Queen Beds', 'Room Charges': None}, {'Room Name': 'Basic Room, 2 Queen Beds', 'Room Charges': None}, {'Room Name': 'Premium Room, 2 Queen Beds, Accessible, City View (Roll-In Shower)', 'Room Charges': None}, {'Room Name': 'Premier Room, 2 Queen Beds, Accessible, Bay View (Mobility & Hearing, Roll-in Shower)', 'Room Charges': None}"
"New York,USA",Four Points By Sheraton New York Downtown,4,8.2,Very good,"['Breakfast available', 'Bar', '24/7 front desk', 'Parking available', 'Laundry', 'Gym']","{'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$293'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$298'}"
"New York,USA",Fairfield Inn New York Manhattan/Financial District,3,8.2,Very good,"['Room service', 'Bar', 'Breakfast included', 'Housekeeping', 'Gym', 'Laundry']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$236'}"
"New York,USA",YOTEL New York Times Square,4,8.0,Good,"['Bar', 'Breakfast available', 'Housekeeping', 'Gym', 'Laundry', 'Air conditioning']","{'Room Name': 'Premium Room, 1 Queen Bed', 'Room Charges': '$293'}, {'Room Name': 'Premium Room, 1 Queen Bed, City View', 'Room Charges': '$341'}, {'Room Name': 'Skyline View', 'Room Charges': '$351'}, {'Room Name': 'Junior Suite, 1 King Bed (First Class)', 'Room Charges': '$500'}, {'Room Name': 'Room (Solo)', 'Room Charges': None}, {'Room Name': 'Premium Triple', 'Room Charges': None}, {'Room Name': 'Junior Suite Quad', 'Room Charges': None}, {'Room Name': 'Penthouse, 1 King Bed (VIP)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed, Terrace (First Class)', 'Room Charges': None}, {'Room Name': 'First Class Corner Queen Room', 'Room Charges': None}, {'Room Name': 'Penthouse, 1 King Bed, Terrace (VIP)', 'Room Charges': None}"
