Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Paris, France",SO/ Paris Hotel,5.0,9.4,Exceptional,"['Breakfast available', 'Bar', 'Spa', 'Parking available', 'Gym', 'Pet friendly']","{'Room Name': 'Collection King room, 1 King, Courtyard view', 'Room Charges': '$491'}, {'Room Name': 'Collection Rooftop view room , 1 King, Paris rooftops view', 'Room Charges': '$529'}, {'Room Name': 'Iconic Paris Skyline view room, 1 King, River Seine and Eiffel Tower view', 'Room Charges': '$621'}, {'Room Name': 'Studio, Junior Suite, 1 king, Courtyard view', 'Room Charges': '$716'}, {'Room Name': 'Studio Balcony, Corner Junior Suite, Balcony, 1 king, High floor, Paris view', 'Room Charges': '$1,200'}, {'Room Name': 'Studio Panorama view, Corner Junior Suite, 1 King, High floor, River Seine and Eiffel Tower view', 'Room Charges': '$1,295'}"
"Paris, France",citizenM Paris Champs-Élysées,4.0,9.4,Exceptional,"['Breakfast available', 'Restaurant', 'Bar', 'Air conditioning', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$217'}"
"Paris, France",Hôtel Rendez-vous Batignolles,3.0,9.2,Wonderful,"['Breakfast available', 'Room service', 'Housekeeping', 'Air conditioning', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Comfort Double or Twin Room', 'Room Charges': '$126'}, {'Room Name': 'Double room under roof - Essential oil Shower', 'Room Charges': None}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': None}"
"Paris, France",Louisa Hotel,2.0,9.0,Good,"['Bar', 'Room service', '24/7 front desk', 'Housekeeping', 'Breakfast available', 'Free WiFi']","{'Room Name': 'Double Room', 'Room Charges': '$106'}, {'Room Name': 'Double Standard', 'Room Charges': '$109'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Family Triple Room', 'Room Charges': None}"
"Paris, France",Hôtel Louvre Bons Enfants,3.0,8.0,Very good,"['Bar', '24/7 front desk', 'Breakfast available', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Double Room', 'Room Charges': '$155'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Twin Room', 'Room Charges': None}"
"Paris, France",Hotel Floride Etoile,3.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Room service', 'Laundry', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Club Twin Room', 'Room Charges': '$156'}, {'Room Name': 'Twin Club', 'Room Charges': '$157'}, {'Room Name': 'Executive Room', 'Room Charges': '$189'}, {'Room Name': 'Double/ Twin Executive', 'Room Charges': '$190'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}"
"Paris, France",Hôtel de la Tour Eiffel,2.0,10.0,Good,"['Housekeeping', 'Air conditioning', 'Breakfast available', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Double Room', 'Room Charges': '$139'}, {'Room Name': 'Triple Room', 'Room Charges': '$198'}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Paris, France",Hôtel Lorette - Astotel,3.0,8.6,Excellent,"['Breakfast available', 'Laundry', 'Room service', 'Air conditioning', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Standard Double Room - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': '$123'}, {'Room Name': 'Superior Room with twin beds - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': '$134'}, {'Room Name': 'Apartment - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': '$237'}, {'Room Name': 'Standard Room with twin beds - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': None}, {'Room Name': 'Standard Family Room - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': None}, {'Room Name': 'Superior Double Room - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': None}, {'Room Name': 'Superior Family Room - Free soft minibar, courtesy tray, Chromecast - Digital press', 'Room Charges': None}"
"Paris, France",Hôtel Da Vinci & Spa,4.0,9.4,Exceptional,"['Spa', 'Breakfast available', 'Bar', 'Pool', 'Room service', 'Housekeeping']","{'Room Name': 'Superior Room, balcony with spa access', 'Room Charges': '$327'}, {'Room Name': ""L'adorateur Privilege Room with spa access"", 'Room Charges': '$430'}, {'Room Name': 'Deluxe Room with spa access', 'Room Charges': None}, {'Room Name': 'Two Communicating Rooms', 'Room Charges': None}, {'Room Name': 'Standard Room', 'Room Charges': None}"
"Paris, France",Cosy Apartment - 1br/2p - Ternes/arc de Triomphe,,,,"['Washer', 'Parking included', 'Dryer', 'Free WiFi']",
