Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Phuket, Thailand",The Shore at Katathani,5.0,9.6,Exceptional,"['Bar', 'Pool', 'Breakfast included', 'Spa', 'Air conditioning', 'Housekeeping']","{'Room Name': 'One Bedroom Pool Villa (adults only hotel)', 'Room Charges': '$375'}, {'Room Name': 'Seaview Pool Villa - One Bedroom (adults only hotel)', 'Room Charges': '$401'}, {'Room Name': 'Seaview Pool Villa Romance', 'Room Charges': '$434'}, {'Room Name': 'Seaview Pool Villa Inlove', 'Room Charges': '$513'}, {'Room Name': 'Two-Bedroom Pool Villa', 'Room Charges': '$774'}"
"Phuket, Thailand","Diamond Cliff Resort & Spa, Patong Beach",5.0,8.8,Excellent,"['Bar', 'All inclusive', '24/7 front desk', 'Spa', 'Pool', 'Breakfast available']","{'Room Name': 'Super Deluxe', 'Room Charges': '$103'}, {'Room Name': 'Super Deluxe, Seaview', 'Room Charges': '$122'}, {'Room Name': 'Grand Suite, Jetted Tub (Grand Jacuzzi Suite)', 'Room Charges': '$143'}, {'Room Name': 'Suite, Ocean View (Ocean Jacuzzi Suite)', 'Room Charges': '$151'}, {'Room Name': 'Luxury Suite, Jetted Tub, Ocean View (Diamond Jacuzzi Suite)', 'Room Charges': '$159'}, {'Room Name': 'Romantic Suite', 'Room Charges': '$166'}, {'Room Name': 'Luxury Villa, 1 Bedroom, Private Pool, Sea Facing', 'Room Charges': '$423'}, {'Room Name': 'Luxury Villa, 2 Bedrooms, Private Pool, Sea Facing', 'Room Charges': '$634'}"
"Phuket, Thailand",Mandarava Resort and Spa Karon Beach,5.0,9.4,Exceptional,"['Pool', 'Breakfast available', 'Spa', 'Bar', 'Gym', '24/7 front desk']","{'Room Name': 'Tropicana Superior Room', 'Room Charges': '$67'}, {'Room Name': 'Panoramic Deluxe Room', 'Room Charges': '$74'}, {'Room Name': 'Sea Fan Deluxe Room', 'Room Charges': '$79'}, {'Room Name': 'Horizon Deluxe Room', 'Room Charges': '$88'}, {'Room Name': 'Aqua Deluxe Pool Access', 'Room Charges': '$135'}, {'Room Name': 'Sea Pearl Private Pool Access', 'Room Charges': None}, {'Room Name': 'Andaman Private Pool Villa', 'Room Charges': None}"
"Phuket, Thailand",Santhiya Koh Yao Yai Resort & Spa - Compulsory Join Santhiya Speedboat from / to Ao Po Grand Marina at Phuket,5.0,9.0,Wonderful,"['On private beach', 'Pool', 'Breakfast available', 'Restaurant', 'Bar', 'Parking included']","{'Room Name': 'Supreme Deluxe Garden View with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$81'}, {'Room Name': 'Supreme Deluxe Sea View with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$95'}, {'Room Name': 'Grand Deluxe Ocean View with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$113'}, {'Room Name': 'Supreme Deluxe Bay View with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$95'}, {'Room Name': 'Supreme Deluxe Garden View', 'Room Charges': '$101'}, {'Room Name': 'Grand Deluxe Bay View with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$101'}, {'Room Name': 'Supreme Deluxe Bay View', 'Room Charges': '$118'}, {'Room Name': 'Supreme Deluxe Sea View', 'Room Charges': '$118'}, {'Room Name': 'Ocean View Pool Suite with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$208'}, {'Room Name': 'Ocean View Pool Villa with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$244'}, {'Room Name': 'Seawater Pool Villa with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$270'}, {'Room Name': 'Seawater Pool Villa Plus FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$294'}, {'Room Name': 'Royal Grand Pool Villa with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$386'}, {'Room Name': 'Two Bedroom Seawater Pool Villa with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$429'}, {'Room Name': 'Four Bedroom Pool Villa with FREE THB 1,000 Net Hotel Credit per night', 'Room Charges': '$704'}"
"Phuket, Thailand",My Beach Resort Phuket,5.0,9.4,Exceptional,"['Pool', 'Breakfast included', 'Bar', 'Room service', 'Air conditioning', 'Parking included']","{'Room Name': 'Deluxe Room', 'Room Charges': '$101'}, {'Room Name': 'Deluxe Room, Pool View', 'Room Charges': '$117'}, {'Room Name': 'Premier Room, Pool Access', 'Room Charges': '$134'}, {'Room Name': 'Premier Room, Sea View', 'Room Charges': '$151'}, {'Room Name': 'Premier Twin Room, Sea View', 'Room Charges': '$151'}, {'Room Name': 'Premier Seaview Studio', 'Room Charges': '$176'}, {'Room Name': 'Family Room, Sea View', 'Room Charges': '$181'}, {'Room Name': 'Premier Room, Beachfront', 'Room Charges': '$210'}, {'Room Name': 'Private Pool Beach Front', 'Room Charges': '$285'}"
"Phuket, Thailand","Phuket Marriott Resort & Spa, Merlin Beach",5.0,9.2,Wonderful,"['Pool', 'Breakfast available', 'Bar', 'Hot Tub', 'All inclusive', 'Room service']","{'Room Name': 'Guest room, 1 King, Pool view', 'Room Charges': '$146'}, {'Room Name': 'Larger Guest room, 1 King, Pool view', 'Room Charges': '$161'}, {'Room Name': 'Guest room, 2 Twins, Pool view', 'Room Charges': '$146'}, {'Room Name': 'Larger Guest room, 2 Doubles, Pool view', 'Room Charges': '$161'}, {'Room Name': 'Larger Guest room, 1 King, Pool view, Terrace', 'Room Charges': '$176'}, {'Room Name': 'Larger Guest room, 2 Doubles, Pool view, Terrace', 'Room Charges': '$176'}, {'Room Name': 'Guest room, 1 King, Pool access', 'Room Charges': '$220'}, {'Room Name': 'Larger Guest room, 1 King, Ocean view', 'Room Charges': '$220'}, {'Room Name': 'Larger Guest room, 2 Doubles, Ocean view', 'Room Charges': '$220'}, {'Room Name': 'Larger Guest room, 1 King, Ocean view, Beach front access, Terrace', 'Room Charges': '$293'}, {'Room Name': 'Room, 2 Double Beds, Non Smoking, Ocean View', 'Room Charges': '$293'}"
"Phuket, Thailand",Wyndham Grand Phuket Kalim Bay,5.0,8.8,Excellent,"['Bar', '24/7 front desk', 'Room service', 'Breakfast available', 'Spa', 'Pool']","{'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$86'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$99'}, {'Room Name': 'Deluxe Room Twin', 'Room Charges': '$114'}, {'Room Name': 'Deluxe Room King', 'Room Charges': '$128'}, {'Room Name': 'Pool Suite', 'Room Charges': '$160'}, {'Room Name': 'Pool Suite', 'Room Charges': '$200'}, {'Room Name': 'Pool Suite Ocean View', 'Room Charges': '$247'}, {'Room Name': 'Pool Villa Ocean View', 'Room Charges': '$345'}, {'Room Name': 'Villa, 1 King Bed, Ocean View (Top Floor Pool)', 'Room Charges': '$382'}"
"Phuket, Thailand",Anantara Layan Phuket Resort,5.0,9.6,Exceptional,"['Bar', 'Pool', 'Breakfast included', 'Air conditioning', 'Parking included', 'Housekeeping']","{'Room Name': 'Deluxe Layan Suite', 'Room Charges': '$340'}, {'Room Name': 'Deluxe Pool Villa', 'Room Charges': '$486'}, {'Room Name': 'Sala Pool Villa', 'Room Charges': '$623'}, {'Room Name': 'Beach Access Pool Villa', 'Room Charges': '$740'}, {'Room Name': 'Beachfront Layan Pool Villa', 'Room Charges': '$1,068'}, {'Room Name': 'Two Bedroom Pool Suite', 'Room Charges': '$1,172'}, {'Room Name': 'Two Bedroom Pool Villa', 'Room Charges': '$1,425'}, {'Room Name': 'Two Bedroom Layan Pool Villa', 'Room Charges': '$1,660'}, {'Room Name': 'Two Bedroom Sea View Residence', 'Room Charges': '$5,282'}, {'Room Name': 'Three Bedroom Sea View Residence', 'Room Charges': '$6,161'}, {'Room Name': 'Four Bedroom Sea View Residence', 'Room Charges': '$7,040'}, {'Room Name': 'Two Bedroom Anantara Pool Villa', 'Room Charges': None}, {'Room Name': 'Two bedroom Grand Sea View Pool Suite', 'Room Charges': None}, {'Room Name': 'Five Bedroom Sea View Residence', 'Room Charges': None}"
"Phuket, Thailand","Sugar Marina Resort - LAGOON - Villas, Naiyang Beach",4.0,10,Exceptional,"['Bar', '24/7 front desk', 'Pool', 'Breakfast available', 'Air conditioning', 'Parking included']","{'Room Name': 'Superior Room', 'Room Charges': '$46'}, {'Room Name': 'Superior Room, Pool View', 'Room Charges': '$49'}, {'Room Name': 'Superior Room, Pool Access', 'Room Charges': '$62'}, {'Room Name': 'Superior Plunge Pool with Jacuzzi', 'Room Charges': '$70'}, {'Room Name': 'Standard Lagoon Villa', 'Room Charges': '$91'}, {'Room Name': 'Family Lagoon Villa', 'Room Charges': '$128'}, {'Room Name': 'One-bedroom Lagoon Suite Villa', 'Room Charges': '$132'}, {'Room Name': 'Two-bedroom Lagoon Villa (Up to 8 Guests)', 'Room Charges': '$210'}, {'Room Name': 'Two-bedroom Lagoon Suite Villa (Up to 4 Guests)', 'Room Charges': '$211'}, {'Room Name': 'Sol Two-bedroom Lagoon Suite Villa (Up to 8 Guests)', 'Room Charges': '$248'}"
"Phuket, Thailand",Amari Phuket,5.0,9.0,Wonderful,"['Breakfast included', 'Spa', 'Pool', 'Restaurant', 'Bar', 'All inclusive']","{'Room Name': 'Superior Balcony King', 'Room Charges': '$138'}, {'Room Name': 'Deluxe Ocean Front Balcony King', 'Room Charges': '$164'}, {'Room Name': 'Superior Ocean Front Balcony King', 'Room Charges': '$150'}, {'Room Name': 'One Bedroom Suite Ocean Coral Lounge', 'Room Charges': '$188'}, {'Room Name': 'One Bedroom Suite Ocean View Coral Lounge', 'Room Charges': '$199'}, {'Room Name': 'Club One Bedroom Suite Ocean View Balcony', 'Room Charges': '$258'}, {'Room Name': 'Suite, 2 Bedrooms (Ocean Coral Lounge)', 'Room Charges': '$295'}, {'Room Name': 'Club Two Bedroom Suite Ocean Balcony', 'Room Charges': '$382'}"
