Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Riyadh, Saudi Arabia",Ahlin Suites 3,,,,"['Laundry', 'Air conditioning', '24/7 front desk', 'Parking included', 'Free WiFi', 'City view']",
"Riyadh, Saudi Arabia",Riyadh Marriott Hotel,5,8,Good,"['Hot Tub', 'Pool', 'Room service', 'Spa', 'Breakfast available', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$192'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$192'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$266'}"
"Riyadh, Saudi Arabia","Marriott Executive Apartments Riyadh, Convention Center",4,8.6,Excellent,"['Pool', 'Breakfast available', 'Gym', 'Room service', 'Kitchen', 'Air conditioning']","{'Room Name': 'Apartment, 1 Bedroom', 'Room Charges': '$311'}, {'Room Name': 'Apartment, 2 Bedrooms', 'Room Charges': '$391'}, {'Room Name': 'Apartment, 2 Bedrooms, City View, Corner', 'Room Charges': '$418'}"
"Riyadh, Saudi Arabia",Four Points by Sheraton Riyadh Khaldia,4,8.2,Very good,"['Hot Tub', 'Bar', 'Spa', 'Breakfast available', 'Gym', 'Room service']","{'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$146'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$146'}, {'Room Name': 'Junior Suite, 1 Bedroom', 'Room Charges': '$206'}"
"Riyadh, Saudi Arabia",Braira Al Wezarat,4,9.2,Wonderful,"['Pool', 'Breakfast available', 'Gym', 'Room service', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Superior King bed', 'Room Charges': '$123'}, {'Room Name': 'Superior Twin Bed', 'Room Charges': '$123'}, {'Room Name': 'Premium Room, 1 King Bed, City View', 'Room Charges': '$150'}, {'Room Name': 'Junior Suite', 'Room Charges': '$215'}"
"Riyadh, Saudi Arabia",Braira Hotel Olaya,4,8.8,Excellent,"['Pool', 'Gym', 'Air conditioning', 'Parking included', 'Room service', '24/7 front desk']","{'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$164'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$164'}, {'Room Name': 'Premium Double Room, 1 King Bed, Garden View', 'Room Charges': '$198'}, {'Room Name': 'Superior Suite', 'Room Charges': '$260'}"
"Riyadh, Saudi Arabia",Gloria Inn Hotel,3,10,Good,"['Pool', 'Breakfast available', 'Gym', 'Spa', 'Laundry', 'Air conditioning']","{'Room Name': 'Standard Room, 1 King Bed (Standard Room)', 'Room Charges': '$96'}, {'Room Name': 'Junior Suite', 'Room Charges': '$107'}, {'Room Name': 'Executive Room', 'Room Charges': '$127'}, {'Room Name': 'Standard Twin Room', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Aber Al Takhasussi,,8,Good,"['Pool', 'Spa', 'Laundry', 'Housekeeping', 'Air conditioning', 'Parking included']","{'Room Name': 'Deluxe Room', 'Room Charges': '$148'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$148'}, {'Room Name': 'Standard Double Room', 'Room Charges': None}, {'Room Name': 'Junior Studio Suite', 'Room Charges': None}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Le Méridien Riyadh,,8.2,Very good,"['Pool', 'Parking available', 'Spa', 'Breakfast available', 'Gym', 'Air conditioning']","{'Room Name': 'Premium Room, 1 King Bed, City View', 'Room Charges': '$365'}, {'Room Name': 'Premium Room, 2 Twin Beds, City View', 'Room Charges': '$365'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$655'}"
"Riyadh, Saudi Arabia",Innyar Hotel,,8.4,Very good,"['Breakfast available', 'Housekeeping', 'Laundry', 'Air conditioning', 'Parking included', '24/7 front desk']","{'Room Name': 'Deluxe Room', 'Room Charges': '$122'}, {'Room Name': 'Junior Twin Room', 'Room Charges': '$141'}, {'Room Name': 'Junior Suite', 'Room Charges': '$166'}, {'Room Name': 'Family Suite', 'Room Charges': '$237'}, {'Room Name': 'Executive Suite', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Voyage Apartments,,9.6,Exceptional,"['Laundry', 'Kitchen', 'Air conditioning', 'Parking included', '24/7 front desk', 'Free WiFi']",
"Riyadh, Saudi Arabia",Best Western PLUS Fursan Hotel,,8.2,Very good,"['Room service', 'Bar', 'Pool', 'Breakfast available', 'Gym', '24/7 front desk']","{'Room Name': 'Superior Room, 1 King Bed, Smoking', 'Room Charges': '$133'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$141'}, {'Room Name': 'Junior Suite, 1 Queen Bed, Smoking', 'Room Charges': '$184'}, {'Room Name': 'Executive Suite, 1 Queen Bed, Non Smoking', 'Room Charges': '$272'}"
"Riyadh, Saudi Arabia",Towlan Alfalah,,10,Exceptional,"['Housekeeping', '24/7 front desk', 'Parking included', 'Free WiFi']","{'Room Name': 'Deluxe Studio, City View', 'Room Charges': '$96'}, {'Room Name': 'Room', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Granada Palace Inn,,8,Very good,"['Laundry', 'Kitchen', 'Air conditioning', 'Fireplace', 'Parking included', '24/7 front desk']","{'Room Name': 'Basic Double Room', 'Room Charges': '$122'}, {'Room Name': 'Deluxe Room, 1 Bedroom', 'Room Charges': '$224'}"
"Riyadh, Saudi Arabia",Nma'a Residences,,9.6,Exceptional,"['Housekeeping', 'Free WiFi']","{'Room Name': 'Design Room', 'Room Charges': '$103'}"
"Riyadh, Saudi Arabia",Ewaa Express Hotel - Gaber,,8,Very good,"['Breakfast included', 'Room service', 'Laundry', 'Air conditioning', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Suite', 'Room Charges': '$128'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$136'}"
"Riyadh, Saudi Arabia",Holiday Al Khaleej Al Najah,,10,Exceptional,"['Air conditioning', 'Parking included', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Standard Room', 'Room Charges': '$76'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$79'}, {'Room Name': 'Deluxe Suite', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Carawan Alkhaleej Hotel,,8.4,Very good,"['Breakfast included', 'Laundry', 'Housekeeping', 'Kitchen', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Basic Single Room', 'Room Charges': '$95'}, {'Room Name': 'Economy Double Room', 'Room Charges': '$102'}, {'Room Name': 'Basic Twin Room', 'Room Charges': '$118'}, {'Room Name': 'Superior Studio', 'Room Charges': '$121'}, {'Room Name': 'Junior Suite', 'Room Charges': '$150'}, {'Room Name': 'Executive Suite', 'Room Charges': '$157'}, {'Room Name': 'Family Apartment, City View', 'Room Charges': '$215'}, {'Room Name': 'Deluxe Apartment, City View', 'Room Charges': '$226'}"
"Riyadh, Saudi Arabia",Towlan Qurtuba2,,8.8,Excellent,"['Housekeeping', '24/7 front desk', 'Parking included', 'Free WiFi']","{'Room Name': 'Deluxe Studio', 'Room Charges': '$356'}, {'Room Name': 'Deluxe Suite', 'Room Charges': None}, {'Room Name': 'Basic Room', 'Room Charges': None}"
"Riyadh, Saudi Arabia",Riyadh Marriott Hotel,5,8,Good,"['Hot Tub', 'Pool', 'Room service', 'Spa', 'Breakfast available', 'Housekeeping']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$192'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$192'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$266'}"
