Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Rome, Italy",citizenM Rome Isola Tiberina,4.0,9.6,Exceptional,"['Bar', 'Breakfast available', '24/7 front desk', 'Air conditioning', 'Free WiFi', 'Restaurant']","{'Room Name': 'Room', 'Room Charges': '$153'}"
"Rome, Italy",Martis Palace Hotel,4.0,9.6,Exceptional,"['Parking available', 'Bar', 'Spa', 'Breakfast available', 'Room service', 'Laundry']","{'Room Name': 'Double Room (French Room)', 'Room Charges': '$180'}, {'Room Name': 'Classic Double Room', 'Room Charges': '$200'}, {'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$246'}, {'Room Name': 'Family Suite, 2 Bedrooms, Connecting Rooms', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Luxury Suite, 2 Bedrooms, Connecting Rooms', 'Room Charges': None}"
"Rome, Italy",Il Campo Marzio,4.0,9.2,Wonderful,"['Breakfast available', '24/7 front desk', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Classic Double Room', 'Room Charges': '$152'}, {'Room Name': 'Superior Room', 'Room Charges': None}, {'Room Name': 'Deluxe Room', 'Room Charges': None}, {'Room Name': 'Junior Suite, Balcony', 'Room Charges': None}, {'Room Name': 'Suite, Balcony', 'Room Charges': None}, {'Room Name': 'Basic Room', 'Room Charges': None}"
"Rome, Italy",Augusta Lucilla Palace,4.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Parking available', 'Room service', 'Laundry', 'Air conditioning']","{'Room Name': 'Economy Double Room', 'Room Charges': '$70'}, {'Room Name': 'Double or Twin Room', 'Room Charges': '$74'}, {'Room Name': 'Comfort Double or Twin Room', 'Room Charges': '$82'}, {'Room Name': 'Double or Twin Room, Balcony', 'Room Charges': '$91'}, {'Room Name': 'Triple Room', 'Room Charges': '$99'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': None}, {'Room Name': 'Quadruple Room', 'Room Charges': None}"
"Rome, Italy",Hotel Fellini,3.0,9.0,Wonderful,"['24/7 front desk', 'Bar', 'Room service', 'Breakfast available', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$69'}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Small double room', 'Room Charges': None}, {'Room Name': 'Junior Suite (4 pax)', 'Room Charges': None}, {'Room Name': 'Studio in attic with terrace', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Junior Suite (3 pax)', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Sonya,3.0,8.0,Very good,"['Bar', 'Breakfast available', 'Room service', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$61'}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Camera Matrimoniale piccola', 'Room Charges': None}, {'Room Name': 'Single Room (Small)', 'Room Charges': None}"
"Rome, Italy",Hotel Artemide,4.0,9.8,Exceptional,"['Hot Tub', 'Spa', 'Bar', 'Gym', 'Breakfast available', 'Room service']","{'Room Name': 'Basic Double Room', 'Room Charges': '$168'}, {'Room Name': 'Comfort Twin Room', 'Room Charges': '$197'}, {'Room Name': 'Comfort Double Room', 'Room Charges': '$197'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$227'}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Honeymoon Suite', 'Room Charges': None}"
"Rome, Italy",Casa Santa Sofia Hotel,,8.8,Excellent,"['Bar', 'Breakfast available', '24/7 front desk', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double Superior', 'Room Charges': '$78'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$79'}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Economy Single Room', 'Room Charges': None}, {'Room Name': 'Suite', 'Room Charges': None}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': None}, {'Room Name': 'Standard Double Room', 'Room Charges': None}"
"Rome, Italy",Your Suite Rome,,9.8,Exceptional,"['Parking available', 'Pet friendly', 'Laundry', 'Housekeeping', 'Air conditioning', 'Kitchen']","{'Room Name': 'Grand Apartment (Banchi Vecchi)', 'Room Charges': '$160'}, {'Room Name': 'Family Apartment, 1 Bedroom (Monserrato)', 'Room Charges': '$160'}, {'Room Name': 'Family Apartment, 1 Bedroom, Courtyard Area', 'Room Charges': '$160'}, {'Room Name': 'Luxury Apartment, 2 Bedrooms, Ensuite, City View (Giulia)', 'Room Charges': '$200'}, {'Room Name': 'Superior Apartment, 2 Bedrooms, City View', 'Room Charges': '$227'}, {'Room Name': 'Traditional Apartment', 'Room Charges': '$231'}, {'Room Name': 'Deluxe Apartment', 'Room Charges': '$345'}, {'Room Name': 'Exclusive House, 3 Bedrooms, Hot Tub, City View (Indipendent Historical Building)', 'Room Charges': None}, {'Room Name': 'Family Apartment, 4 Bedrooms, Terrace, City View', 'Room Charges': None}, {'Room Name': 'Premium Apartment, 5 Bedrooms (Sforza Cesarini)', 'Room Charges': None}, {'Room Name': 'Premium Apartment, 2 Bedrooms (Casa Olimpia Monserrato)', 'Room Charges': None}, {'Room Name': 'Standard Apartment, 2 Bedrooms, City View', 'Room Charges': None}, {'Room Name': 'Romantic Apartment, 1 Bedroom (Monserrato)', 'Room Charges': None}"
"Rome, Italy",AGH - Capranica,,10,Exceptional,"['Breakfast included', 'Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Luxury Suite, Private Bathroom, City View', 'Room Charges': '$210'}, {'Room Name': 'Family Room, City View', 'Room Charges': None}, {'Room Name': 'Comfort Double or Twin Room, Courtyard View', 'Room Charges': None}"
"Rome, Italy",Hotel Quirinale,4.0,8.6,Excellent,"['Bar', 'Gym', 'Room service', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Small Double or Twin Room', 'Room Charges': '$142'}, {'Room Name': 'Doppia Standar Disabile', 'Room Charges': '$150'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$169'}, {'Room Name': 'Triple Room', 'Room Charges': '$183'}, {'Room Name': 'Executive Double or Twin Room', 'Room Charges': '$184'}, {'Room Name': 'Junior Suite', 'Room Charges': '$249'}"
"Rome, Italy",The Hive Hotel,4.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Air conditioning', 'Bar', 'Spa', 'Parking available']","{'Room Name': 'Executive Double or Twin Room', 'Room Charges': '$109'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$126'}, {'Room Name': 'Junior Suite', 'Room Charges': '$185'}, {'Room Name': 'Suite', 'Room Charges': None}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': None}"
"Rome, Italy",DoubleTree by Hilton Rome Monti,4.0,9.4,Exceptional,"['Bar', 'Gym', 'Parking available', 'Pet friendly', 'Breakfast available', 'Room service']","{'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': '$203'}, {'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$215'}, {'Room Name': 'Superior Room, 1 Queen Bed', 'Room Charges': '$231'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed', 'Room Charges': '$271'}, {'Room Name': 'Junior Suite, 1 King Bed, Terrace', 'Room Charges': '$336'}, {'Room Name': 'Suite, 1 Bedroom, Terrace', 'Room Charges': '$393'}, {'Room Name': 'Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': None}"
"Rome, Italy",iQ Hotel Roma,4.0,9.8,Exceptional,"['Bar', 'Gym', 'Breakfast available', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Double Room (Small)', 'Room Charges': '$156'}, {'Room Name': 'Double Room', 'Room Charges': None}, {'Room Name': 'Comfort Triple Room', 'Room Charges': None}, {'Room Name': 'Twin Room, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Double Room, Ground Floor', 'Room Charges': None}, {'Room Name': 'Quadruple Room', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}"
"Rome, Italy",Hotel Fontana,3.0,8.0,Very good,"['Breakfast included', 'Restaurant', '24/7 front desk', 'Bar', 'Room service', 'Laundry']","{'Room Name': 'Classic Double Room', 'Room Charges': '$106'}, {'Room Name': 'Classic Twin Room', 'Room Charges': '$106'}, {'Room Name': 'Double Room (Trevi Fountain View)', 'Room Charges': '$133'}, {'Room Name': 'Triple Room', 'Room Charges': '$134'}, {'Room Name': 'Twin Room (Trevi Fountain View)', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Virgilio,3.0,8.4,Very good,"['Breakfast available', 'Bar', 'Pet friendly', 'Room service', '24/7 front desk', 'Laundry']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$69'}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Apartment, 2 Bedrooms, 2 Bathrooms', 'Room Charges': None}, {'Room Name': 'Economy Double Room', 'Room Charges': None}, {'Room Name': 'Superior Quadruple Room', 'Room Charges': None}, {'Room Name': 'Basic Room, Annex Building', 'Room Charges': None}"
"Rome, Italy",Impero Hotel Rome,3.0,8.4,Very good,"['Parking available', 'Breakfast available', 'Room service', '24/7 front desk', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Economy Room', 'Room Charges': '$62'}, {'Room Name': 'Standard Double or Twin Room, 1 Double or 2 Twin Beds', 'Room Charges': '$66'}, {'Room Name': 'Comfort Double or Twin Room', 'Room Charges': '$79'}, {'Room Name': 'Standard Double or Twin Room, Balcony', 'Room Charges': '$82'}, {'Room Name': 'Triple Room', 'Room Charges': '$91'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$115'}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Diocleziano,4.0,9.4,Exceptional,"['Breakfast available', 'Bar', 'Gym', 'Room service', 'Laundry', 'Air conditioning']","{'Room Name': 'Economy Double Room', 'Room Charges': '$81'}, {'Room Name': 'Classic Double or Twin Room', 'Room Charges': '$97'}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$122'}, {'Room Name': 'Triple Room', 'Room Charges': '$154'}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Rome, Italy",Charme Spagna Boutique Hotel,3.0,9.2,Wonderful,"['Breakfast available', 'Pet friendly', 'Room service', 'Laundry', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Standard Room, Annex Building', 'Room Charges': '$96'}, {'Room Name': 'Classic Room', 'Room Charges': '$107'}, {'Room Name': 'Superior Room', 'Room Charges': '$125'}"
"Rome, Italy",Argentina Residenza Style Hotel,4.0,9.4,Exceptional,"['Bar', 'Breakfast available', 'Room service', '24/7 front desk', 'Laundry', 'Housekeeping']","{'Room Name': 'Standard Double or Twin Room (Annex Separate Building)', 'Room Charges': '$132'}, {'Room Name': 'Superior Double or Twin Room (Annex Separate Building)', 'Room Charges': '$149'}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$150'}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$178'}, {'Room Name': 'Junior Suite', 'Room Charges': '$203'}, {'Room Name': 'Suite', 'Room Charges': '$251'}, {'Room Name': 'Family Room', 'Room Charges': None}, {'Room Name': 'Deluxe Suite', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Studio Suite, City View', 'Room Charges': None}, {'Room Name': 'Standard Room (2 livelli)', 'Room Charges': None}, {'Room Name': 'Executive Suite', 'Room Charges': None}"
"Rome, Italy",Hotel Smeraldo,3.0,9.4,Exceptional,"['Bar', 'Room service', 'Breakfast included', 'Housekeeping', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Room, Annex Building (Small)', 'Room Charges': '$121'}, {'Room Name': 'Room (Small)', 'Room Charges': '$155'}, {'Room Name': 'Superior Double or Twin Room, Annex Building', 'Room Charges': '$212'}, {'Room Name': 'Superior Room', 'Room Charges': '$212'}, {'Room Name': 'Comfort Room', 'Room Charges': '$214'}, {'Room Name': 'Superior Room, Balcony', 'Room Charges': '$225'}, {'Room Name': 'Premium Room, Annex Building', 'Room Charges': '$265'}, {'Room Name': 'Deluxe Room, Annex Building', 'Room Charges': '$283'}, {'Room Name': 'Single Room, Annex Building', 'Room Charges': None}, {'Room Name': 'Premium Room', 'Room Charges': None}, {'Room Name': 'Single Room, Balcony, View', 'Room Charges': None}"
"Rome, Italy",9Hotel Cesari,4.0,9.2,Wonderful,"['Pet friendly', 'Bar', 'Breakfast available', 'Room service', 'Laundry', 'Housekeeping']","{'Room Name': 'Classic Room', 'Room Charges': '$145'}, {'Room Name': 'Superior Room', 'Room Charges': '$174'}, {'Room Name': 'Family Triple Room', 'Room Charges': '$246'}, {'Room Name': 'Family Quadruple Room', 'Room Charges': '$317'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}, {'Room Name': 'Family Room, 2 Bedrooms', 'Room Charges': None}"
"Rome, Italy",Condotti Boutique Hotel,4.0,8.4,Very good,"['Breakfast available', 'Room service', '24/7 front desk', 'Laundry', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Standard Double Room (Main Building)', 'Room Charges': '$108'}, {'Room Name': 'Junior Suite', 'Room Charges': '$182'}, {'Room Name': 'Camera Familiare (Via Della Croce 15)', 'Room Charges': '$197'}, {'Room Name': 'Camera King Superior (Via Del Babuino 107)', 'Room Charges': '$206'}, {'Room Name': 'Apartment, 2 Bedrooms (Via Belsiana 29)(no lift-no breakfast)', 'Room Charges': '$214'}, {'Room Name': 'Suite Presidenziale (Via Del Babuino 107)', 'Room Charges': '$287'}, {'Room Name': ""Ambassador Apartament (Via Mario De' Fiori 59/A)"", 'Room Charges': None}, {'Room Name': 'Standard Double Room (Via del Corso 81) (no breakfast)', 'Room Charges': None}, {'Room Name': 'Junior Suite, Terrace', 'Room Charges': None}, {'Room Name': 'Superior Double Room (Via Della Croce 15)', 'Room Charges': None}, {'Room Name': 'Superior Double Room (Via del Corso 81) (no breakfast)', 'Room Charges': None}, {'Room Name': '2 Camere Comunicanti (Via Della Croce 15)', 'Room Charges': None}, {'Room Name': 'Apartment, Kitchen (Via del Babuino 160) (no breakfast)', 'Room Charges': None}, {'Room Name': 'Standard Double Room (Via delle Carrozze 42)', 'Room Charges': None}, {'Room Name': 'Superior Double Room (Main Building)', 'Room Charges': None}, {'Room Name': 'Superior Double Room (Via delle Carrozze 42)', 'Room Charges': None}, {'Room Name': 'Standard Double Room (Via della Croce 15)', 'Room Charges': None}, {'Room Name': 'Room, Connecting Rooms (Via del Corso 81) (no breakfast)', 'Room Charges': None}, {'Room Name': 'Victoria Apartament (Via Vittoria 50)', 'Room Charges': None}"
"Rome, Italy",Yes Hotel,3.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Room service', '24/7 front desk', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Double or Twin Room', 'Room Charges': '$78'}, {'Room Name': 'Double Room', 'Room Charges': '$84'}, {'Room Name': 'Triple Room', 'Room Charges': '$118'}, {'Room Name': 'Triple Room', 'Room Charges': '$151'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$152'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$162'}, {'Room Name': 'Comfort Single Room', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Scalinata di Spagna,3.0,9.2,Wonderful,"['Breakfast included', 'Restaurant', 'Bar', 'Spa', 'Pet friendly', 'Room service']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$149'}, {'Room Name': 'Superior Double Room, City View', 'Room Charges': '$187'}, {'Room Name': 'Family Apartment', 'Room Charges': None}, {'Room Name': 'Two Connecting Rooms with Terrace', 'Room Charges': None}, {'Room Name': 'Classic Apartment', 'Room Charges': None}, {'Room Name': 'Family Suite, 3 Bedrooms', 'Room Charges': None}, {'Room Name': 'Panoramic Suite, Balcony, City View', 'Room Charges': None}, {'Room Name': 'Panoramic Apartment', 'Room Charges': None}, {'Room Name': 'Standard Quadruple Room', 'Room Charges': None}, {'Room Name': 'Standard Triple Room', 'Room Charges': None}, {'Room Name': 'Panoramic Suite, Terrace, City View', 'Room Charges': None}, {'Room Name': 'Superior Double or Twin Room, Balcony', 'Room Charges': None}, {'Room Name': 'Economy Double or Twin Room', 'Room Charges': None}, {'Room Name': 'Two Connecting Rooms with Balcony and City View', 'Room Charges': None}, {'Room Name': 'Junior Suite, Balcony, Annex Building', 'Room Charges': None}, {'Room Name': 'Deluxe Triple Room, Balcony, Annex Building', 'Room Charges': None}, {'Room Name': 'Deluxe Double Room, Terrace', 'Room Charges': None}, {'Room Name': 'Deluxe Double or Twin Room, City View, Annex Building', 'Room Charges': None}"
"Rome, Italy",Domus Liberius,,8.8,Excellent,"['Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Economy Double Room', 'Room Charges': '$149'}, {'Room Name': 'Double Room', 'Room Charges': '$170'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$177'}, {'Room Name': 'Triple Room', 'Room Charges': None}, {'Room Name': 'Superior Triple Room', 'Room Charges': None}"
"Rome, Italy",Antica Residenza del Corso,,8.8,Excellent,"['Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Superior Double Room', 'Room Charges': '$77'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$79'}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': '$82'}, {'Room Name': 'Junior Studio Suite', 'Room Charges': '$86'}, {'Room Name': 'Superior Studio Suite', 'Room Charges': '$90'}, {'Room Name': 'Classic Double Room', 'Room Charges': None}"
"Rome, Italy",Gioberti Hotel,4.0,8.4,Very good,"['Breakfast included', 'Pet friendly', 'Room service', 'Laundry', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Classic Double or Twin Room', 'Room Charges': '$124'}, {'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$136'}, {'Room Name': 'Double Room - Classic', 'Room Charges': '$145'}, {'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$149'}, {'Room Name': 'Double Room - Superior', 'Room Charges': '$160'}, {'Room Name': 'Triple Room - De Luxe', 'Room Charges': '$203'}, {'Room Name': 'Classic Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Madison,3.0,8.8,Good,"['Bar', 'Pet friendly', 'Breakfast available', '24/7 front desk', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Small Double Room', 'Room Charges': '$59'}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$73'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$87'}, {'Room Name': 'Standard Single Room', 'Room Charges': None}"
"Rome, Italy",Hotel Delle Nazioni,4.0,8.8,Excellent,"['Breakfast available', 'Bar', 'Parking available', 'Room service', '24/7 front desk', 'Laundry']","{'Room Name': 'Junior Suite', 'Room Charges': '$197'}, {'Room Name': 'Exclusive Suite', 'Room Charges': '$524'}, {'Room Name': 'Classic Double Room', 'Room Charges': None}, {'Room Name': 'Executive Double Room', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'Standard Double Room', 'Room Charges': None}, {'Room Name': 'Family Room, 2 Bedrooms, 2 Bathrooms', 'Room Charges': None}, {'Room Name': 'Panoramic Suite', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}"
"Rome, Italy",47 Boutique Hotel,4.0,9.2,Wonderful,"['Bar', 'Spa', 'Gym', 'Breakfast included', 'Room service', 'Laundry']","{'Room Name': 'Classic Double Room', 'Room Charges': '$245'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$277'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$336'}, {'Room Name': 'Deluxe Plus', 'Room Charges': '$361'}, {'Room Name': 'Suite, Balcony', 'Room Charges': '$732'}"
"Rome, Italy",The Republic Hotel,4.0,9.2,Wonderful,"['Breakfast included', 'Air conditioning', 'Bar', 'Housekeeping', '24/7 front desk', 'Free WiFi']","{'Room Name': 'Basic Room, 1 Double Bed', 'Room Charges': '$134'}, {'Room Name': 'Classic Double Room', 'Room Charges': '$144'}, {'Room Name': 'Superior Room', 'Room Charges': '$171'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$198'}, {'Room Name': 'Family Room', 'Room Charges': '$225'}, {'Room Name': 'Suite', 'Room Charges': '$320'}, {'Room Name': 'Family Room (Large)', 'Room Charges': None}"
"Rome, Italy",Porta Castello Suites,,9.8,Exceptional,"['Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Deluxe Room', 'Room Charges': '$74'}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Rome, Italy",Relais Vittoria Colonna,,9.4,Exceptional,"['Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Superior Room', 'Room Charges': '$80'}, {'Room Name': 'Junior Suite', 'Room Charges': '$95'}, {'Room Name': 'Suite', 'Room Charges': '$102'}, {'Room Name': 'Design Suite, 1 King Bed', 'Room Charges': '$110'}, {'Room Name': 'Double Room, Balcony', 'Room Charges': None}, {'Room Name': 'Basic Room, 1 Double Bed', 'Room Charges': None}"
