Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Salzburg, Austria",Hotel Sacher Salzburg,5.0,9.6,Exceptional,"['Bar', 'Pet friendly', 'Breakfast available', 'Gym', 'Parking available', 'Spa']","{'Room Name': 'Deluxe Room', 'Room Charges': '$751'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$774'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$1,032'}, {'Room Name': 'Junior Suite', 'Room Charges': '$1,061'}, {'Room Name': 'Deluxe Room View', 'Room Charges': '$1,063'}, {'Room Name': 'Junior Suite', 'Room Charges': '$1,092'}, {'Room Name': 'Signature Suite', 'Room Charges': '$1,586'}, {'Room Name': 'Signature Suite, View', 'Room Charges': '$1,638'}, {'Room Name': 'Signature Suite, Balcony', 'Room Charges': '$2,273'}, {'Room Name': 'Suite (Sacher Sky)', 'Room Charges': '$6,106'}"
"Salzburg, Austria",HYPERION Hotel Salzburg,5.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', 'Bar', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Superior Double Room', 'Room Charges': '$387'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$487'}, {'Room Name': 'Suite', 'Room Charges': '$577'}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Salzburg, Austria",Bristol Hotel Salzburg,5.0,9.2,Wonderful,"['Breakfast included', 'Bar', 'Pet friendly', 'Parking available', 'Room service', '24/7 front desk']","{'Room Name': 'Standard Double Room', 'Room Charges': '$415'}, {'Room Name': 'Junior Room', 'Room Charges': '$685'}, {'Room Name': 'Senior Suite', 'Room Charges': '$864'}, {'Room Name': 'Deluxe Suite, 2 Twin Beds, Non Smoking', 'Room Charges': '$1,036'}, {'Room Name': 'Panoramic Suite, 2 Twin Beds, Non Smoking', 'Room Charges': None}, {'Room Name': 'Single Room', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}"
"Salzburg, Austria","Hotel Goldener Hirsch, a Luxury Collection Hotel, Salzburg",5.0,9.6,Exceptional,"['Bar', 'Pet friendly', 'Breakfast available', 'Parking available', 'Room service', '24/7 front desk']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking', 'Room Charges': '$530'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$558'}, {'Room Name': 'Junior Suite, 2 Twin Beds, Non Smoking', 'Room Charges': '$673'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': None}"
"Salzburg, Austria",HYPERION Hotel Salzburg,5.0,9.6,Exceptional,"['Breakfast available', 'Restaurant', 'Bar', 'Pet friendly', 'Room service', '24/7 front desk']","{'Room Name': 'Superior Double Room', 'Room Charges': '$387'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$487'}, {'Room Name': 'Suite', 'Room Charges': '$577'}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Salzburg, Austria",Sheraton Grand Salzburg,5.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', 'Parking available', 'Spa']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking', 'Room Charges': '$448'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$467'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$467'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking', 'Room Charges': '$524'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, Park View (Terrace)', 'Room Charges': '$567'}, {'Room Name': 'Junior Room, 1 King Bed, Non Smoking', 'Room Charges': '$591'}, {'Room Name': 'Grand Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$729'}, {'Room Name': 'Studio Suite, 1 Bedroom, Park View', 'Room Charges': '$925'}, {'Room Name': 'Presidential Suite, 1 Bedroom', 'Room Charges': '$1,302'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$1,598'}"
"Salzburg, Austria",Rosewood Schloss Fuschl,5.0,9.8,Exceptional,"['On private beach', 'Bar', 'Pool', 'Breakfast included', 'Pet friendly', 'Parking included']","{'Room Name': 'Deluxe Room', 'Room Charges': '$816'}, {'Room Name': 'Premier Room, Lakeside', 'Room Charges': '$945'}, {'Room Name': 'Premier Room, Lake View (Grand)', 'Room Charges': '$1,193'}, {'Room Name': 'Junior Suite, Lakeside', 'Room Charges': '$1,203'}, {'Room Name': 'Deluxe Suite, Lake View (Junior)', 'Room Charges': '$1,332'}, {'Room Name': 'Deluxe Suite, Lakeside', 'Room Charges': '$1,482'}, {'Room Name': 'Premier Suite, Lake View', 'Room Charges': '$1,697'}, {'Room Name': 'Room (Chalet)', 'Room Charges': '$6,014'}, {'Room Name': 'Room (Chalet, 2 Bedrooms)', 'Room Charges': '$8,592'}, {'Room Name': 'Room (Chalet, 3 Bedrooms)', 'Room Charges': '$15,035'}"
"Salzburg, Austria",Sheraton Grand Salzburg,5.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Gym', 'Parking available', 'Spa']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking', 'Room Charges': '$448'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$467'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$467'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking', 'Room Charges': '$524'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, Park View (Terrace)', 'Room Charges': '$567'}, {'Room Name': 'Junior Room, 1 King Bed, Non Smoking', 'Room Charges': '$591'}, {'Room Name': 'Grand Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$729'}, {'Room Name': 'Studio Suite, 1 Bedroom, Park View', 'Room Charges': '$925'}, {'Room Name': 'Presidential Suite, 1 Bedroom', 'Room Charges': '$1,302'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$1,598'}"
"Salzburg, Austria","Hotel Goldener Hirsch, a Luxury Collection Hotel, Salzburg",5.0,9.6,Exceptional,"['Bar', 'Pet friendly', 'Breakfast available', 'Parking available', 'Room service', '24/7 front desk']","{'Room Name': 'Classic Room, 1 King Bed, Non Smoking', 'Room Charges': '$530'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$558'}, {'Room Name': 'Junior Suite, 2 Twin Beds, Non Smoking', 'Room Charges': '$673'}, {'Room Name': 'Junior Suite, 1 King Bed, Non Smoking', 'Room Charges': None}"
"Salzburg, Austria",Schloss Mönchstein Hotel,5.0,9.8,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Breakfast included', 'Gym', 'Parking available']","{'Room Name': 'Superior Double Room, 1 Queen Bed', 'Room Charges': '$572'}, {'Room Name': 'Deluxe Double Room, 1 King Bed, City View, Executive Level', 'Room Charges': '$751'}, {'Room Name': 'Junior Suite, 1 Queen Bed', 'Room Charges': '$1,034'}, {'Room Name': 'Suite, City View', 'Room Charges': '$1,097'}"
