Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"San Francisco, USA",Fairmont San Francisco,5.0,8.8,Excellent,"['Air conditioning', 'Bar', 'Spa', 'Pet friendly', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Fairmont, Classic Room, 1 Queen Bed', 'Room Charges': '$2,361 total'}, {'Room Name': 'Fairmont, Room, 1 King Bed, City View', 'Room Charges': '$2,498 total'}, {'Room Name': 'Signature Room, 1 King Bed, View, Tower', 'Room Charges': '$2,979 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View, Tower (Floors 2-23)', 'Room Charges': '$2,679 total'}, {'Room Name': 'Fairmont, Double Room, 2 Double Beds, City View', 'Room Charges': '$2,736 total'}, {'Room Name': 'Fairmont, Classic Room, 1 King Bed with Sofa bed', 'Room Charges': '$2,860 total'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, City View, Tower', 'Room Charges': '$2,908 total'}, {'Room Name': 'Signature Room, 2 Queen Beds, Tower', 'Room Charges': '$3,173 total'}, {'Room Name': 'Main Building Suite, 1 King Bed with Sofabed, City View', 'Room Charges': '$4,127 total'}, {'Room Name': 'Signature Suite, 1 King Bed with Sofa bed, View, Corner', 'Room Charges': '$5,561 total'}, {'Room Name': 'Fairmont, Suite, 1 King Bed, View', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed, City View (Cambridge Suite)', 'Room Charges': None}, {'Room Name': 'Napoleon Suite, 2 Bedrooms, City View', 'Room Charges': None}, {'Room Name': 'Junior Family Suite, 2 Queen Beds with Sofabed', 'Room Charges': None}, {'Room Name': 'Main Building Corner Suite, 1 King Bed with Sofabed', 'Room Charges': None}, {'Room Name': 'Fairmont, Junior Suite, 1 Queen Bed with Sofa bed', 'Room Charges': None}, {'Room Name': 'Fairmont, Classic Double Room, Multiple Beds', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom, Balcony (Buckingham Suite)', 'Room Charges': None}, {'Room Name': 'Main Building Balcony Suite, 1 Queen Bed with Sofabed', 'Room Charges': None}, {'Room Name': 'Classic Twin Room, 1 Twin Bed (Main Building)', 'Room Charges': None}"
"San Francisco, USA",Four Seasons Hotel San Francisco at Embarcadero,5.0,9.4,Exceptional,"['Air conditioning', 'Pet friendly', 'Bar', 'Housekeeping', 'Room service', 'Laundry']","{'Room Name': 'Superior Room, 1 King Bed (Skyline View Mobility Accessible)', 'Room Charges': '$3,516 total'}, {'Room Name': 'Superior Room, 1 King Bed (Skyline-View)', 'Room Charges': '$3,576 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Bay View (Hearing Accessible)', 'Room Charges': '$4,112 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Non Smoking, City View (Skyline- View)', 'Room Charges': '$3,516 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Non Smoking, View', 'Room Charges': '$3,697 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Bay View (Accessible Mobility)', 'Room Charges': '$3,697 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, City View (Skyline -View)', 'Room Charges': '$3,752 total'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, View', 'Room Charges': '$3,757 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, View', 'Room Charges': '$4,112 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds (Skyline View)', 'Room Charges': '$4,202 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Accessible (Skyline-View, Hearing Access ,Tub)', 'Room Charges': '$4,202 total'}, {'Room Name': 'Premier Room, 1 King Bed (Bridge View)', 'Room Charges': '$4,972 total'}, {'Room Name': 'Premier Room, 1 King Bed (View, Accessible Mobility&Hearing)', 'Room Charges': '$4,972 total'}, {'Room Name': 'Suite, 1 King Bed, Bay View, Corner', 'Room Charges': '$5,637 total'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking, Corner (Golden Gate View)', 'Room Charges': '$6,988 total'}, {'Room Name': 'Suite, 1 King Bed, Accessible, Corner (Golden Gate View)', 'Room Charges': '$6,988 total'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking (Bridge View)', 'Room Charges': '$9,574 total'}, {'Room Name': 'Suite, 1 Bedroom (Accessible Mobility - Bridge View)', 'Room Charges': '$9,574 total'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking (Golden Gate View)', 'Room Charges': '$12,575 total'}, {'Room Name': 'Suite, Terrace (Embarcadero)', 'Room Charges': '$45,307 total'}, {'Room Name': 'Suite, Terrace (Golden Gate)', 'Room Charges': '$52,368 total'}"
"San Francisco, USA",Taj Campton Place,5.0,9.2,Wonderful,"['Restaurant', 'Air conditioning', 'Bar', 'Pet friendly', 'Housekeeping', '24/7 front desk']","{'Room Name': 'California Room, 1 King Bed', 'Room Charges': '$2,902 total'}, {'Room Name': 'Union Square Deluxe King Bed', 'Room Charges': '$3,866 total'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$3,203 total'}, {'Room Name': 'Deluxe Room, Accessible', 'Room Charges': '$3,203 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds', 'Room Charges': '$3,384 total'}, {'Room Name': 'Stockton Room King Bed', 'Room Charges': '$3,565 total'}, {'Room Name': 'Suite, 1 Bedroom (Campton)', 'Room Charges': '$4,770 total'}, {'Room Name': 'Executive Suite, 1 Bedroom', 'Room Charges': '$8,688 total'}"
"San Francisco, USA","The Ritz-Carlton, San Francisco",5.0,9.4,Exceptional,"['Restaurant', 'Air conditioning', 'Bar', 'Pet friendly', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Deluxe Room, 2 Queen Beds', 'Room Charges': '$3,613 total'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$4,166 total'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking', 'Room Charges': '$4,288 total'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Non Smoking (Mobility Accessible, Tub)', 'Room Charges': '$3,613 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View (Mobility Accessible, Tub)', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, Corner', 'Room Charges': '$3,853 total'}, {'Room Name': 'Double Room, 1 King Bed, Non Smoking (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$4,288 total'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking', 'Room Charges': '$4,437 total'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking (Mobility Accessible, Tub)', 'Room Charges': '$4,437 total'}, {'Room Name': 'Club Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$4,725 total'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$6,732 total'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking', 'Room Charges': '$6,732 total'}, {'Room Name': 'Club Double Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$6,777 total'}, {'Room Name': 'Executive Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$7,173 total'}, {'Room Name': 'Executive Suite, 2 Bedrooms', 'Room Charges': '$11,122 total'}, {'Room Name': 'Club Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$11,972 total'}, {'Room Name': 'Club Suite, 2 Bedrooms', 'Room Charges': '$12,391 total'}, {'Room Name': 'Signature Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$27,253 total'}, {'Room Name': 'Presidential Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$60,212 total'}, {'Room Name': 'Presidential Suite, 2 Bedrooms, Balcony', 'Room Charges': '$74,653 total'}"
"San Francisco, USA",1 Hotel San Francisco,5.0,9.2,Wonderful,"['Air conditioning', 'Pet friendly', 'Bar', 'Spa', 'Housekeeping', 'Room service']","{'Room Name': 'Alcove King', 'Room Charges': '$4,046 total'}, {'Room Name': 'Waterfront King', 'Room Charges': '$4,577 total'}, {'Room Name': 'Alcove Studio Suite', 'Room Charges': '$4,902 total'}, {'Room Name': 'Alcove Two Queen', 'Room Charges': '$4,174 total'}, {'Room Name': 'City King', 'Room Charges': '$4,207 total'}, {'Room Name': 'City King with Sofa Bed', 'Room Charges': '$4,207 total'}, {'Room Name': 'Studio King with Soaking Tub', 'Room Charges': '$4,354 total'}, {'Room Name': 'Bay Bridge King', 'Room Charges': '$4,368 total'}, {'Room Name': 'City Two Queen', 'Room Charges': '$4,556 total'}, {'Room Name': 'Waterfront Two Queen', 'Room Charges': '$5,408 total'}, {'Room Name': 'Panoramic Waterfront Suite', 'Room Charges': '$8,894 total'}, {'Room Name': 'Terrace Studio Suite', 'Room Charges': '$9,659 total'}"
"San Francisco, USA",The St. Regis San Francisco,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Air conditioning', 'Pet friendly', 'Parking available', 'Breakfast available']","{'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$4,357 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds, City View', 'Room Charges': '$4,357 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds, City View (Mobility/Hearing Accessible, Tub)', 'Room Charges': '$4,357 total'}, {'Room Name': 'Grand Room, 1 King Bed, City View', 'Room Charges': '$5,312 total'}, {'Room Name': 'Grand Room, 2 Double Beds, City View', 'Room Charges': '$5,312 total'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$6,488 total'}, {'Room Name': 'Suite, 1 Bedroom, Corner', 'Room Charges': '$13,356 total'}, {'Room Name': 'Suite, 1 Bedroom (Overlook Suite)', 'Room Charges': '$16,600 total'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$17,740 total'}, {'Room Name': 'Suite, 1 Bedroom (Mobility/Hearing Access, Roll-In Shwr)', 'Room Charges': '$17,740 total'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$20,144 total'}, {'Room Name': 'Signature Suite, 2 Bedrooms', 'Room Charges': '$21,068 total'}"
"San Francisco, USA",Four Seasons Hotel San Francisco at Embarcadero,5.0,9.4,Exceptional,"['Air conditioning', 'Pet friendly', 'Bar', 'Housekeeping', 'Room service', 'Laundry']","{'Room Name': 'Superior Room, 1 King Bed (Skyline View Mobility Accessible)', 'Room Charges': '$3,516 total'}, {'Room Name': 'Superior Room, 1 King Bed (Skyline-View)', 'Room Charges': '$3,576 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Bay View (Hearing Accessible)', 'Room Charges': '$4,112 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Non Smoking, City View (Skyline- View)', 'Room Charges': '$3,516 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Non Smoking, View', 'Room Charges': '$3,697 total'}, {'Room Name': 'Superior Room, 1 Queen Bed, Bay View (Accessible Mobility)', 'Room Charges': '$3,697 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, City View (Skyline -View)', 'Room Charges': '$3,752 total'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, View', 'Room Charges': '$3,757 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking, View', 'Room Charges': '$4,112 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds (Skyline View)', 'Room Charges': '$4,202 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Accessible (Skyline-View, Hearing Access ,Tub)', 'Room Charges': '$4,202 total'}, {'Room Name': 'Premier Room, 1 King Bed (Bridge View)', 'Room Charges': '$4,972 total'}, {'Room Name': 'Premier Room, 1 King Bed (View, Accessible Mobility&Hearing)', 'Room Charges': '$4,972 total'}, {'Room Name': 'Suite, 1 King Bed, Bay View, Corner', 'Room Charges': '$5,637 total'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking, Corner (Golden Gate View)', 'Room Charges': '$6,988 total'}, {'Room Name': 'Suite, 1 King Bed, Accessible, Corner (Golden Gate View)', 'Room Charges': '$6,988 total'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking (Bridge View)', 'Room Charges': '$9,574 total'}, {'Room Name': 'Suite, 1 Bedroom (Accessible Mobility - Bridge View)', 'Room Charges': '$9,574 total'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking (Golden Gate View)', 'Room Charges': '$12,575 total'}, {'Room Name': 'Suite, Terrace (Embarcadero)', 'Room Charges': '$45,307 total'}, {'Room Name': 'Suite, Terrace (Golden Gate)', 'Room Charges': '$52,368 total'}"
"San Francisco, USA",1 Hotel San Francisco,5.0,9.2,Wonderful,"['Air conditioning', 'Pet friendly', 'Bar', 'Spa', 'Housekeeping', 'Room service']","{'Room Name': 'Alcove King', 'Room Charges': '$4,046 total'}, {'Room Name': 'Waterfront King', 'Room Charges': '$4,577 total'}, {'Room Name': 'Alcove Studio Suite', 'Room Charges': '$4,902 total'}, {'Room Name': 'Alcove Two Queen', 'Room Charges': '$4,174 total'}, {'Room Name': 'City King', 'Room Charges': '$4,207 total'}, {'Room Name': 'City King with Sofa Bed', 'Room Charges': '$4,207 total'}, {'Room Name': 'Studio King with Soaking Tub', 'Room Charges': '$4,354 total'}, {'Room Name': 'Bay Bridge King', 'Room Charges': '$4,368 total'}, {'Room Name': 'City Two Queen', 'Room Charges': '$4,556 total'}, {'Room Name': 'Waterfront Two Queen', 'Room Charges': '$5,408 total'}, {'Room Name': 'Panoramic Waterfront Suite', 'Room Charges': '$8,894 total'}, {'Room Name': 'Terrace Studio Suite', 'Room Charges': '$9,659 total'}"
"San Francisco, USA","The Ritz-Carlton, San Francisco",5.0,9.4,Exceptional,"['Restaurant', 'Air conditioning', 'Bar', 'Pet friendly', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Deluxe Room, 2 Queen Beds', 'Room Charges': '$3,613 total'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$4,166 total'}, {'Room Name': 'Suite, 1 King Bed, Non Smoking', 'Room Charges': '$4,288 total'}, {'Room Name': 'Deluxe Room, 2 Queen Beds, Non Smoking (Mobility Accessible, Tub)', 'Room Charges': '$3,613 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, City View (Mobility Accessible, Tub)', 'Room Charges': '$3,733 total'}, {'Room Name': 'Room, 1 King Bed, Non Smoking, Corner', 'Room Charges': '$3,853 total'}, {'Room Name': 'Double Room, 1 King Bed, Non Smoking (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$4,288 total'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking', 'Room Charges': '$4,437 total'}, {'Room Name': 'Club Room, 1 King Bed, Non Smoking (Mobility Accessible, Tub)', 'Room Charges': '$4,437 total'}, {'Room Name': 'Club Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$4,725 total'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking (Mobility Accessible, Roll-in Shower)', 'Room Charges': '$6,732 total'}, {'Room Name': 'Executive Suite, 1 King Bed, Non Smoking', 'Room Charges': '$6,732 total'}, {'Room Name': 'Club Double Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$6,777 total'}, {'Room Name': 'Executive Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$7,173 total'}, {'Room Name': 'Executive Suite, 2 Bedrooms', 'Room Charges': '$11,122 total'}, {'Room Name': 'Club Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$11,972 total'}, {'Room Name': 'Club Suite, 2 Bedrooms', 'Room Charges': '$12,391 total'}, {'Room Name': 'Signature Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$27,253 total'}, {'Room Name': 'Presidential Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$60,212 total'}, {'Room Name': 'Presidential Suite, 2 Bedrooms, Balcony', 'Room Charges': '$74,653 total'}"
"San Francisco, USA","Palace Hotel, a Luxury Collection Hotel, San Francisco",5.0,9.0,Wonderful,"['Pool', 'Breakfast available', 'Parking available', 'Air conditioning', 'Bar', 'Pet friendly']","{'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$2,816 total'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$3,008 total'}, {'Room Name': 'Grand Room, 1 King Bed, Non Smoking', 'Room Charges': '$3,136 total'}, {'Room Name': 'Superior Room, 1 King Bed (Mobility/Hearing Accessible, Tub)', 'Room Charges': '$2,816 total'}, {'Room Name': 'Superior Room, 1 King Bed (Mobility/Hearing Access, Roll-in Shwr)', 'Room Charges': '$2,816 total'}, {'Room Name': 'Superior Room, 2 Double Beds, Non Smoking', 'Room Charges': '$2,869 total'}, {'Room Name': 'Superior Room, 2 Double Beds (Mobility/Hearing Accessible, Tub)', 'Room Charges': '$2,869 total'}, {'Room Name': 'Superior Room, 2 Double Beds (Mobility/Hearing Access, Roll-In Shwr)', 'Room Charges': '$2,869 total'}, {'Room Name': 'Superior Room, 2 Double Beds (Hearing Accessible)', 'Room Charges': '$2,869 total'}, {'Room Name': 'Deluxe Room, 1 King Bed (Hearing Accessible)', 'Room Charges': '$3,008 total'}, {'Room Name': 'Deluxe Room, 1 King Bed (Mobility/Hearing Access, Roll-In Shwr)', 'Room Charges': '$3,008 total'}, {'Room Name': 'Deluxe Room, 1 King Bed (Mobility/Hearing Accessible, Tub)', 'Room Charges': '$3,008 total'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking', 'Room Charges': '$3,040 total'}, {'Room Name': 'Junior Studio Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$3,660 total'}, {'Room Name': 'Junior Studio Suite, 1 Bedroom (Mobility/Hearing Access, Roll-In Shwr)', 'Room Charges': '$4,030 total'}, {'Room Name': 'Superior Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$4,046 total'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$4,743 total'}, {'Room Name': 'Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$7,673 total'}, {'Room Name': 'Presidential Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$52,970 total'}"
