Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Santorini, Greece",VOCA HOTEL & SUITES,4.0,9.2,Wonderful,"['Bar', 'Breakfast included', 'Pool', 'Parking included', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Junior Suite with Jacuzzi and sea view', 'Room Charges': '$163'}, {'Room Name': 'Superior Quadruple Room, Pool View', 'Room Charges': None}, {'Room Name': 'Family Suite', 'Room Charges': None}, {'Room Name': 'Superior Room with Jacuzzi & sea view', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Room code: Standard Double Room Jacuzzi & sea view', 'Room Charges': None}, {'Room Name': 'Standard Double Room, Balcony', 'Room Charges': None}"
"Santorini, Greece",Sandblu,5.0,10,Exceptional,"['Bar', 'Pet friendly', 'Free airport shuttle', 'Pool', 'Parking included', 'Spa']","{'Room Name': 'Superior Room, Resort View', 'Room Charges': '$449'}, {'Room Name': 'Deluxe Room, Sea View', 'Room Charges': '$479'}, {'Room Name': 'Premium Room, Sea View', 'Room Charges': '$520'}, {'Room Name': 'Deluxe Room, Private Pool', 'Room Charges': '$553'}, {'Room Name': 'Deluxe Suite (Resort)', 'Room Charges': '$809'}, {'Room Name': 'Premium Suite, Sea View', 'Room Charges': '$875'}, {'Room Name': 'Suite, Private Pool, Sea View (Maisonette)', 'Room Charges': '$959'}, {'Room Name': 'Premium Suite, Private Pool, Sea View', 'Room Charges': '$1,059'}, {'Room Name': 'Etherio Villa', 'Room Charges': '$1,311'}, {'Room Name': 'Orama Villa', 'Room Charges': '$1,614'}, {'Room Name': 'Oniro Villa', 'Room Charges': '$1,614'}"
"Santorini, Greece",Memories Beach Hotel,2.0,9.4,Exceptional,"['Bar', 'Breakfast available', '24/7 front desk', 'Pool', 'Laundry', 'Housekeeping']","{'Room Name': 'Standard Room', 'Room Charges': '$62'}, {'Room Name': 'Standard Room, Sea View', 'Room Charges': '$72'}, {'Room Name': 'Room, Sea View (Maisonette)', 'Room Charges': '$79'}, {'Room Name': 'Standard Triple Room', 'Room Charges': '$83'}, {'Room Name': 'Suite Sea View', 'Room Charges': '$96'}"
"Santorini, Greece",Nautilus Dome,,9.6,Exceptional,"['Pool', 'Breakfast included', 'Bar', '24/7 front desk', 'Room service', 'Pet friendly']","{'Room Name': 'Budget Double Room East Sea View terrace', 'Room Charges': '$80'}, {'Room Name': 'Double Room, Sea View', 'Room Charges': '$110'}, {'Room Name': 'Budget Triple Room', 'Room Charges': '$80'}, {'Room Name': 'Standard Double Room, Garden View', 'Room Charges': '$90'}, {'Room Name': 'Standard Family Room terrace', 'Room Charges': '$97'}, {'Room Name': 'Family Room, Sea View', 'Room Charges': '$136'}, {'Room Name': 'Junior Suite, Sea View', 'Room Charges': '$136'}, {'Room Name': 'Double Volcano View Room', 'Room Charges': '$146'}, {'Room Name': 'Superior Volcano View Room', 'Room Charges': '$156'}, {'Room Name': 'Family Volcano View Room', 'Room Charges': '$156'}"
"Santorini, Greece",Dana Villas & Infinity Suites,2.0,9.2,Wonderful,"['Breakfast included', 'Bar', 'Spa', 'Room service', '24/7 front desk', 'Laundry']","{'Room Name': 'Deluxe Room', 'Room Charges': '$323'}, {'Room Name': 'Junior Suite, Private Pool', 'Room Charges': '$436'}, {'Room Name': 'Superior Suite, Private Pool (Superior Pool Suite)', 'Room Charges': '$521'}, {'Room Name': 'Honeymoon Suite', 'Room Charges': '$714'}, {'Room Name': 'Exclusive Suite, Private Pool ( Infinity Suite )', 'Room Charges': '$1,178'}"
"Santorini, Greece",Costa Grand Resort & Spa,5.0,9.0,Wonderful,"['Breakfast included', 'Pool', 'On private beach', 'Restaurant', 'Bar', 'Parking included']","{'Room Name': 'Standard Double Room', 'Room Charges': '$141'}, {'Room Name': 'Double Room, Beachfront', 'Room Charges': '$179'}, {'Room Name': 'Standard Studio', 'Room Charges': '$162'}, {'Room Name': 'Double Room, Sea View', 'Room Charges': '$166'}, {'Room Name': 'Standard Suite', 'Room Charges': '$200'}, {'Room Name': 'Studio, Beachfront', 'Room Charges': '$205'}, {'Room Name': 'Suite, Beachfront', 'Room Charges': '$221'}"
"Santorini, Greece",Hotel Sunny Villas,,9.6,Exceptional,"['Breakfast included', 'Pool', 'Hot Tub', 'Pet friendly', 'Laundry', 'Bar']","{'Room Name': 'Standard Studio, 1 Double Bed, Sea View', 'Room Charges': '$225'}, {'Room Name': 'Superior Studio, 1 Queen Bed with Sofa bed, Sea View', 'Room Charges': '$270'}, {'Room Name': 'Honeymoon Studio Suite, 1 Bedroom, Hot Tub, Sea View', 'Room Charges': '$374'}, {'Room Name': 'Family Suite, 1 Bedroom, Sea View', 'Room Charges': '$412'}, {'Room Name': 'Premium Suite, 2 Bedrooms, Hot Tub, Ocean View', 'Room Charges': '$599'}, {'Room Name': 'Deluxe Suite, 2 Bedrooms, Sea View', 'Room Charges': None}, {'Room Name': 'Executive honeymoon Suite, Hot Tub, Sew View', 'Room Charges': None}, {'Room Name': 'Signature Studio Suite, Hot Tub', 'Room Charges': None}"
"Santorini, Greece",Alaso Design Suites - Adults Only,,10,Exceptional,"['Breakfast included', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Executive Room with Outdoor Hot Tub', 'Room Charges': '$277'}, {'Room Name': 'Premium room with Outdoor Hot Tub', 'Room Charges': '$325'}"
"Santorini, Greece",Remvi Suites,,9.4,Exceptional,"['Breakfast included', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Superior Suite', 'Room Charges': '$199'}, {'Room Name': 'Junior Suite, Sea View', 'Room Charges': None}"
"Santorini, Greece",Symphony Suites,,10,Exceptional,"['Spa', 'Room service', 'Laundry', 'Parking included', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Standard Suite, Hot Tub (Danae)', 'Room Charges': '$154'}, {'Room Name': 'Junior Suite, 1 Bedroom, Hot Tub, Sea View (Genesis)', 'Room Charges': '$212'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Hot Tub, Partial Sea View (Iphigenia)', 'Room Charges': '$200'}, {'Room Name': 'Superior Suite, 2 Bedrooms, Sea View (Phaedra)', 'Room Charges': '$207'}, {'Room Name': 'Deluxe Suite, Hot Tub (Penelope)', 'Room Charges': '$211'}, {'Room Name': 'Junior Suite, 1 Bedroom, Hot Tub, Sea View (Nefeli)', 'Room Charges': '$212'}, {'Room Name': 'Honeymoon Studio Suite, Hot Tub, Sea View (Venus Caldera)', 'Room Charges': '$295'}, {'Room Name': 'Honeymoon Studio Suite, Hot Tub, Sea View', 'Room Charges': None}, {'Room Name': 'Studio Suite, Sea View (Leto)', 'Room Charges': None}, {'Room Name': 'Standard Suite, Hot Tub (Thalia)', 'Room Charges': None}"
