Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Sao Paulo, Brazil",Hampton by Hilton Guarulhos Airport,3,8.8,Excellent,"['Breakfast included', 'Free airport shuttle', 'Restaurant', 'Bar', 'Parking available', 'Room service']","{'Room Name': 'Twin Room, 2 Twin Beds, Refrigerator', 'Room Charges': '$109'}, {'Room Name': 'Room, 1 Queen Bed, Refrigerator', 'Room Charges': '$116'}, {'Room Name': 'Room, 1 Queen Bed, Accessible', 'Room Charges': None}, {'Room Name': 'Room, 2 Twin Beds, Accessible, Non Smoking (Roll In Shower)', 'Room Charges': None}"
"Sao Paulo, Brazil",Melia Paulista,5,8.2,Very good,"['Pool', 'Breakfast available', 'Restaurant', 'Hot Tub', 'Bar', 'Spa']","{'Room Name': 'Premium Twin Room', 'Room Charges': '$157'}, {'Room Name': 'Premium Room (Queen)', 'Room Charges': '$161'}, {'Room Name': 'Supreme Queen', 'Room Charges': '$185'}, {'Room Name': 'Junior Suite', 'Room Charges': '$233'}, {'Room Name': 'Junior Suite (3 AD)', 'Room Charges': '$272'}, {'Room Name': 'Deluxe Room, Connecting Rooms', 'Room Charges': '$317'}, {'Room Name': 'Suite, 2 Bedrooms', 'Room Charges': '$356'}, {'Room Name': 'Deluxe Room, Connecting Rooms (2+2)', 'Room Charges': '$396'}, {'Room Name': 'Suite, 2 Bedrooms (2+4)', 'Room Charges': '$515'}"
"Sao Paulo, Brazil",Wyndham Ibirapuera Convention Plaza Hotel,4,8.8,Excellent,"['Breakfast available', 'Bar', 'Pool', 'Parking available', 'Room service', 'Gym']","{'Room Name': 'Twin Room Superior', 'Room Charges': '$92'}, {'Room Name': 'Superior Casal', 'Room Charges': '$105'}, {'Room Name': 'Double Room Superior', 'Room Charges': '$97'}, {'Room Name': 'Prime Superior Twin', 'Room Charges': '$99'}, {'Room Name': 'Suite Executive', 'Room Charges': '$108'}, {'Room Name': 'Executive Room', 'Room Charges': '$117'}, {'Room Name': 'Suite Deluxe', 'Room Charges': '$130'}, {'Room Name': 'Suite Executive Premium', 'Room Charges': '$151'}, {'Room Name': 'Traditional Studio Suite', 'Room Charges': None}"
"Sao Paulo, Brazil",Hotel Cadoro Sao Paulo,5,9.4,Exceptional,"['Restaurant', 'Pool', 'Bar', 'Parking available', 'Breakfast available', 'Housekeeping']","{'Room Name': 'Superior Room', 'Room Charges': '$139'}, {'Room Name': 'Superior Vêneto', 'Room Charges': '$162'}, {'Room Name': 'Suite Junior', 'Room Charges': '$247'}, {'Room Name': 'Standard Room', 'Room Charges': None}"
"Sao Paulo, Brazil",Gran Estanplaza Berrini,5,9.2,Wonderful,"['Breakfast included', 'Bar', 'Pool', 'Pet friendly', 'Housekeeping', 'Spa']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$147'}, {'Room Name': 'Premium Suite', 'Room Charges': '$177'}, {'Room Name': 'Twin Room Standard', 'Room Charges': '$158'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$162'}, {'Room Name': 'Room Superior', 'Room Charges': '$174'}, {'Room Name': 'Suite Premium', 'Room Charges': '$190'}, {'Room Name': 'Suite (Master)', 'Room Charges': '$245'}, {'Room Name': 'Executive Suite (Corporate)', 'Room Charges': '$245'}"
"Sao Paulo, Brazil",Radisson Hotel Paulista Sao Paulo,4,8.4,Very good,"['Pool', 'Bar', 'Pet friendly', 'Parking available', 'Room service', 'Housekeeping']","{'Room Name': 'Twin Room Deluxe', 'Room Charges': '$147'}, {'Room Name': 'Luxury Room, 1 King Bed', 'Room Charges': '$161'}, {'Room Name': 'Quarto Superluxo, 2 camas de solteiro - NEW', 'Room Charges': '$152'}, {'Room Name': 'Double Room Deluxe', 'Room Charges': '$156'}, {'Room Name': 'Suite Premium', 'Room Charges': '$221'}, {'Room Name': 'Suite Premium King', 'Room Charges': '$287'}, {'Room Name': 'Quarto Superluxo, Handicapped - NEW', 'Room Charges': None}, {'Room Name': 'Suite Business Class Family', 'Room Charges': None}"
"Sao Paulo, Brazil",Melia Jardim Europa,4,8.4,Very good,"['Hot Tub', 'Pool', 'Breakfast available', 'Bar', 'Room service', 'Laundry']","{'Room Name': 'Premium Room, 1 King Bed, Balcony', 'Room Charges': '$219'}, {'Room Name': 'Grand Premium King Bed', 'Room Charges': '$264'}, {'Room Name': 'Grand Premium King Bed with Balcony', 'Room Charges': '$291'}, {'Room Name': 'The Level Grand Premium', 'Room Charges': '$417'}, {'Room Name': 'The Level Grand Premium Balcony', 'Room Charges': '$449'}, {'Room Name': 'Junior Suite (EXECUTIVE THE LEVEL)', 'Room Charges': '$481'}"
"Sao Paulo, Brazil",NYC Residence Flat condominio,3,8.8,,"['Pool', 'Pet friendly', 'Laundry', '24/7 front desk', 'Air conditioning', 'Kitchen']","{'Room Name': 'Comfort Apartment, Balcony', 'Room Charges': '$143'}, {'Room Name': 'Comfort Apartment', 'Room Charges': '$318'}"
"Sao Paulo, Brazil",Hotel Nacional Inn Jaragua São Paulo,4,8.6,Excellent,"['Breakfast available', 'Bar', 'Parking available', 'Gym', 'Room service', 'Pet friendly']","{'Room Name': 'Superior Double Room', 'Room Charges': '$70'}, {'Room Name': 'Family Room', 'Room Charges': '$101'}, {'Room Name': 'Superior Triple Room', 'Room Charges': None}, {'Room Name': 'Suite Junior', 'Room Charges': None}"
"Sao Paulo, Brazil",São Paulo Higienópolis Affiliated by Meliá,4,8.6,Excellent,"['Pool', 'Bar', 'Breakfast available', 'Pet friendly', 'Parking available', 'Room service']","{'Room Name': 'Premium Twin Room, Balcony', 'Room Charges': '$135'}"
