Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Scotland, UK",Moxy Edinburgh Airport,3.0,8.6,Excellent,"['Gym', 'Bar', 'Parking available', '24/7 front desk', 'Breakfast available', 'Air conditioning']","{'Room Name': 'Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$149'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$149'}"
"Scotland, UK",DoubleTree by Hilton Edinburgh Airport,4.0,8.8,Excellent,"['Spa', 'Free airport shuttle', 'Parking available', 'Pool', 'Bar', 'Gym']","{'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$169'}, {'Room Name': 'Room, 1 Queen Bed, Accessible', 'Room Charges': '$169'}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': '$204'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$214'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Room, 2 Queen Beds', 'Room Charges': None}, {'Room Name': 'Room, 2 Queen Beds', 'Room Charges': None}"
"Scotland, UK",Rusacks St Andrews,5.0,9.4,Exceptional,"['Restaurant', 'Bar', 'Pet friendly', 'Room service', 'Breakfast included', 'Parking available']","{'Room Name': 'Double Room (Rusacks)', 'Room Charges': '$308'}, {'Room Name': 'Room, Multiple Beds (Rusacks King or Twin)', 'Room Charges': '$324'}, {'Room Name': 'Room (Links King or Twin)', 'Room Charges': '$400'}, {'Room Name': 'Room, Balcony (Swilcan King or Twin)', 'Room Charges': '$498'}, {'Room Name': 'Double Room (Rusacks Junior)', 'Room Charges': None}"
"Scotland, UK",Old Course Hotel,5.0,9.6,Exceptional,"['Breakfast available', 'Spa', 'Hot Tub', 'Pool', 'Bar', 'Room service']","{'Room Name': 'Eden King Room', 'Room Charges': '$330'}, {'Room Name': 'Old Course King/Twin Room', 'Room Charges': '$383'}, {'Room Name': 'Eden King/Twin Room', 'Room Charges': '$330'}, {'Room Name': 'Old Course King Room', 'Room Charges': '$420'}, {'Room Name': 'Old Course Double Double', 'Room Charges': '$436'}, {'Room Name': 'Old Course King Suite', 'Room Charges': '$705'}"
"Scotland, UK",Apex City Quay Hotel & Spa,4.0,9.2,Wonderful,"['Spa', 'Breakfast available', 'Pool', 'Gym', 'Hot Tub', 'Restaurant']","{'Room Name': 'City Double Room', 'Room Charges': '$94'}, {'Room Name': 'City Twin Room, 2 Twin Beds', 'Room Charges': '$94'}, {'Room Name': 'Family Room', 'Room Charges': '$139'}, {'Room Name': 'Master Suite', 'Room Charges': None}, {'Room Name': 'Quay View Superior Room', 'Room Charges': None}, {'Room Name': 'Quay View Double Room', 'Room Charges': None}, {'Room Name': 'Quay View Twin Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}"
"Scotland, UK",Ben Mhor Hotel,3.0,8.2,Very good,"['Breakfast available', 'Restaurant', 'Bar', 'Pet friendly', 'Parking included', 'Free WiFi']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$46'}, {'Room Name': 'Double Room', 'Room Charges': '$53'}, {'Room Name': 'Standard Single Room', 'Room Charges': None}"
"Scotland, UK",Courtyard by Marriott Inverness Airport,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', '24/7 front desk', 'Bar', 'Gym', 'Housekeeping']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$73'}, {'Room Name': 'Standard Room, 1 King Bed with Sofa bed', 'Room Charges': '$73'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$73'}"
"Scotland, UK",Hampton by Hilton Edinburgh Airport,4.0,8.8,Excellent,"['Parking available', 'Gym', 'Bar', '24/7 front desk', 'Laundry', 'Housekeeping']","{'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$176'}, {'Room Name': 'Family Room, 1 Queen Bed, Non Smoking', 'Room Charges': '$208'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$176'}, {'Room Name': 'Room, 1 Queen Bed, Accessible', 'Room Charges': None}"
"Scotland, UK",AC Hotel by Marriott Inverness,4.0,9.2,Wonderful,"['Bar', '24/7 front desk', 'Parking available', 'Breakfast available', 'Pet friendly', 'Housekeeping']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$101'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$101'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$134'}, {'Room Name': 'Superior Room, 1 King Bed, River View', 'Room Charges': '$144'}"
"Scotland, UK",Britannia Inn Glasgow,4.0,8.4,Good,"['24/7 front desk', 'Breakfast available', 'Bar', 'Free WiFi', 'Restaurant']","{'Room Name': 'Standard Double Room', 'Room Charges': '$73'}, {'Room Name': 'Standard Twin Room', 'Room Charges': '$73'}, {'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$73'}, {'Room Name': 'Standard Quadruple Room', 'Room Charges': '$105'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$126'}"
