Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Seoul, South Korea",ENA Suite Hotel Namdaemun,4.0,9.2,Wonderful,"['Restaurant', 'Gym', 'Parking available', 'Pool', 'Laundry', 'Breakfast available']","{'Room Name': 'Standard Twin Room (Bigger than most in Seoul)', 'Room Charges': '$136'}, {'Room Name': 'Deluxe King Room (Bigger than most in Seoul)', 'Room Charges': '$144'}, {'Room Name': 'Deluxe Twin Room (Bigger than most in Seoul)', 'Room Charges': '$144'}, {'Room Name': 'Deluxe Triple Room', 'Room Charges': '$173'}, {'Room Name': 'Family Twin Room', 'Room Charges': '$173'}, {'Room Name': 'Family Studio', 'Room Charges': '$242'}, {'Room Name': 'ENA Junior Suite, 1 Bedroom', 'Room Charges': '$302'}, {'Room Name': 'ENA Suite, 1 Bedroom', 'Room Charges': '$324'}, {'Room Name': 'Honor Suite, 2 Bedroom', 'Room Charges': '$491'}, {'Room Name': 'Presidential Suite, 2 Bedrooms', 'Room Charges': None}, {'Room Name': '[BIZ PKG] Standard King Room (Bigger than most in Seoul) + Breakfast for 1', 'Room Charges': None}, {'Room Name': 'Standard King Room (Bigger than most in Seoul)', 'Room Charges': None}"
"Seoul, South Korea",Hamilton Hotel,3.0,8.2,Very good,"['Restaurant', 'Bar', 'Pool', 'Breakfast available', '24/7 front desk', 'Laundry']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$77'}, {'Room Name': 'Twin Standard', 'Room Charges': '$87'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$84'}, {'Room Name': 'Double Standard', 'Room Charges': '$96'}, {'Room Name': 'Deluxe Twin Room (Free stay - 1 Child under 6years old )', 'Room Charges': '$93'}, {'Room Name': 'Twin Room', 'Room Charges': '$101'}, {'Room Name': 'Triple Room (Free stay - 1 Child under 6years old )', 'Room Charges': '$104'}, {'Room Name': 'Suite (Free stay - 1 Child under 6years old )', 'Room Charges': '$159'}, {'Room Name': 'Business Double Room', 'Room Charges': None}"
"Seoul, South Korea",ibis Styles Ambassador Seoul Gangnam,4.0,8.2,Very good,"['Breakfast available', 'Restaurant', 'Bar', 'Parking available', 'Gym', 'Room service']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$73'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$78'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$89'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$94'}, {'Room Name': 'Deluxe Room, 1 Double Bed', 'Room Charges': '$94'}, {'Room Name': 'Traditional Room (Korean Style)', 'Room Charges': '$94'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$99'}"
"Seoul, South Korea",Lotte Hotel Seoul,5.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Gym', 'Hot Tub', 'Pool', 'Parking included']","{'Room Name': 'Superior Twin Room (Main Tower)', 'Room Charges': '$282'}, {'Room Name': 'Superior Double Room (Main Tower)', 'Room Charges': '$282'}, {'Room Name': 'Deluxe Twin Room (Main Tower)', 'Room Charges': '$313'}, {'Room Name': 'Deluxe Double Room (Main Tower)', 'Room Charges': '$313'}, {'Room Name': 'Superior Twin with 1 trundle bed (2 Single Beds + 1 Single Sofa Bed)', 'Room Charges': '$313'}, {'Room Name': 'Deluxe Twin & 1 Extra Bed', 'Room Charges': '$345'}, {'Room Name': 'Grand Deluxe Double Room (Executive Tower)', 'Room Charges': '$400'}, {'Room Name': 'Grand Deluxe Twin Room (Executive Tower)', 'Room Charges': '$400'}, {'Room Name': 'Club Deluxe Double Room (Main Tower) - Club lounge Access Included', 'Room Charges': '$426'}, {'Room Name': 'Club Deluxe Twin Room (Main Tower) - Club lounge Access Included', 'Room Charges': '$426'}, {'Room Name': 'Grand Deluxe Family Twin Room (Executive Tower)', 'Room Charges': '$444'}, {'Room Name': 'Premier Twin Room (Executive Tower)', 'Room Charges': '$462'}, {'Room Name': 'Premier Double Room (Executive Tower)', 'Room Charges': '$462'}, {'Room Name': 'Club Junior Suite (Main Tower) - Club lounge Access Included', 'Room Charges': '$520'}, {'Room Name': 'Executive Grand Deluxe Twin Room (Executive Tower) - Le Salon Lounge Access, 1 Free Valet Included', 'Room Charges': '$550'}, {'Room Name': 'Executive Grand Deluxe Double Room (Executive Tower)-Le Salon Lounge Access, 1 Free Valet Included', 'Room Charges': '$550'}, {'Room Name': 'Executive Premier Double Room (Executive Tower) - La Cime Lounge Access, 1 Free Valet Included', 'Room Charges': '$575'}, {'Room Name': 'Executive Premier Twin Room (Executive Tower) - La Cime Lounge Access, 1 Free Valet Service Included', 'Room Charges': '$575'}, {'Room Name': 'Executive Junior Suite Double (Executive Tower) - La Cime Lounge Access, 1 Free Valet Included', 'Room Charges': '$701'}, {'Room Name': 'Executive Junior Suite Twin (Executive Tower) - La Cime Lounge Access, 1 Free Valet Service Included', 'Room Charges': '$701'}, {'Room Name': 'Executive Deluxe Suite Double Room - La Cime Lounge Access, 1 Free Valet Service Included', 'Room Charges': '$1,254'}, {'Room Name': 'Connecting Room - 2 Superior Twin Rooms (4 Single Beds)', 'Room Charges': None}"
"Seoul, South Korea",Shilla Stay Guro Digital Complex Station,4.0,8.6,Excellent,"['Parking included', 'Bar', 'Air conditioning', 'Gym', 'Free WiFi', 'Laundry']","{'Room Name': 'Standard Double Room', 'Room Charges': '$103'}, {'Room Name': 'Deluxe Double Room (High Floor)', 'Room Charges': '$109'}, {'Room Name': 'Standard Family Twin Room', 'Room Charges': '$115'}, {'Room Name': 'Standard Twin Room', 'Room Charges': '$103'}, {'Room Name': 'Deluxe Twin Room (High Floor)', 'Room Charges': '$109'}, {'Room Name': 'Premier Standard Double Room - Free minibar', 'Room Charges': '$116'}"
"Seoul, South Korea",LOTTE City Hotel Myeongdong,4.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Parking available', 'Housekeeping', 'Air conditioning', 'Gym']","{'Room Name': 'Standard Double Room, 1 Double Bed', 'Room Charges': '$203'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$211'}, {'Room Name': 'Superior Double Room (Netflix available with own account)', 'Room Charges': '$211'}, {'Room Name': 'Superior Family Twin Room', 'Room Charges': '$232'}, {'Room Name': 'Deluxe Family Twin Room', 'Room Charges': '$239'}, {'Room Name': 'Business Package (Standard Double Room, Breakfast for 1 Included)', 'Room Charges': None}, {'Room Name': 'Business Package (Superior Double Room, Breakfast for 1 Included)', 'Room Charges': None}"
"Seoul, South Korea","Grand InterContinental Seoul Parnas, an IHG Hotel",5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Bar', 'Parking available', 'Parking included', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$376'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$447'}, {'Room Name': 'Classic Room', 'Room Charges': '$376'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$376'}, {'Room Name': 'Classic Room, 1 King Bed, Accessible Bathtub', 'Room Charges': '$376'}, {'Room Name': 'Premium Room, 2 Double Beds', 'Room Charges': '$434'}, {'Room Name': 'Classic Room, 1 King Bed (High Floor)', 'Room Charges': '$513'}, {'Room Name': 'Junior Suite, 1 King Bed, Club Lounge Access', 'Room Charges': '$529'}, {'Room Name': 'Studio Suite, 1 Bedroom, Club Lounge Access (High Floor)', 'Room Charges': '$548'}, {'Room Name': 'Junior Suite, 2 Twin Beds', 'Room Charges': '$561'}, {'Room Name': 'Junior Suite, 1 King Bed (High Floor)', 'Room Charges': '$582'}, {'Room Name': 'Junior Suite, 2 Double Beds', 'Room Charges': '$596'}, {'Room Name': 'Junior Suite, 2 Twin Beds, Club Lounge Access', 'Room Charges': None}, {'Room Name': 'Studio Suite, 1 King Bed (Ambassador)', 'Room Charges': None}, {'Room Name': 'Presidential Studio Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Grand Studio Suite, 1 King Bed', 'Room Charges': None}"
"Seoul, South Korea",Shilla Stay Mapo Hongdae,4.0,8.4,Very good,"['Restaurant', 'Breakfast available', 'Parking available', 'Laundry', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Standard Twin Room', 'Room Charges': '$139'}, {'Room Name': 'Standard Hollywood Double', 'Room Charges': '$151'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$139'}, {'Room Name': '[THE SHILLA DUTY FREE] Standard Double Room + 2 Shilla Duty Free coupons (per booking)', 'Room Charges': '$142'}, {'Room Name': '[THE SHILLA DUTY FREE] Standard Twin Room + 2 Shilla Duty Free coupons (per booking)', 'Room Charges': '$142'}, {'Room Name': 'Deluxe Double Room, City View (High Floor)', 'Room Charges': '$145'}, {'Room Name': '[THE SHILLA DUTY FREE] Deluxe Double City View (High Floor)+2 Shilla Duty Free coupons (per booking)', 'Room Charges': '$148'}, {'Room Name': 'Premier Deluxe Double Room - Free minibar (4 items)', 'Room Charges': '$158'}, {'Room Name': 'Standard Family Twin Room', 'Room Charges': '$158'}, {'Room Name': '[THE SHILLA DUTY FREE] Family Twin Room (Standard) + 2 Shilla Duty Free coupons (per booking)', 'Room Charges': '$161'}, {'Room Name': '[Breakfast SUPER SALE] Standard Double Room (Breakfast KRW 5,000 per person included)', 'Room Charges': '$308'}, {'Room Name': '[Breakfast SUPER SALE] Standard Twin Room (Breakfast KRW 5,000 per person included)', 'Room Charges': '$314'}, {'Room Name': '[Breakfast SUPER SALE] Deluxe Double Room (Breakfast KRW 5,000 per person included)', 'Room Charges': '$322'}, {'Room Name': '[Breakfast SUPER SALE] Standard Family Twin Room (Breakfast KRW 5,000 per person included)', 'Room Charges': '$362'}"
"Seoul, South Korea",Fairfield by Marriott Seoul,4.0,8.2,Very good,"['Restaurant', 'Parking available', 'Gym', 'Air conditioning', 'Housekeeping', '24/7 front desk']","{'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$100'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$107'}, {'Room Name': 'Premier Room, 2 Twin Beds', 'Room Charges': '$100'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$107'}, {'Room Name': 'Premier Room, 1 King Bed (Premier Deluxe)', 'Room Charges': '$125'}, {'Room Name': 'Premier Room, 2 Twin Beds (Premier Deluxe)', 'Room Charges': '$125'}, {'Room Name': 'Family Room (1King+1Single)', 'Room Charges': '$221'}, {'Room Name': 'Superior Single Room, 1 Twin Bed', 'Room Charges': None}"
"Seoul, South Korea",Hotel Newv,4.0,8.8,Excellent,"['Gym', 'Parking available', '24/7 front desk', 'Laundry', 'Housekeeping', 'Parking included']","{'Room Name': 'Superior Double Room', 'Room Charges': '$90'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$90'}, {'Room Name': 'Deluxe Double Room, 1 Double Bed', 'Room Charges': '$117'}, {'Room Name': 'Deluxe Family Room', 'Room Charges': '$124'}"
