Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Sofia, Bulgaria",Sofia Balkan Palace,5.0,8.4,Very good,"['Bar', 'Pet friendly', 'Air conditioning', 'Room service', 'Housekeeping', 'Laundry']","{'Room Name': 'Executive King Room', 'Room Charges': '$147'}, {'Room Name': 'Executive Twin Room', 'Room Charges': '$147'}, {'Room Name': 'Deluxe King Room', 'Room Charges': '$173'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$173'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$191'}, {'Room Name': 'Junior Suite with King Bed', 'Room Charges': '$217'}, {'Room Name': 'Executive Suite with King Bed', 'Room Charges': '$279'}"
"Sofia, Bulgaria",Grand Hotel Sofia,5.0,9.2,Wonderful,"['Bar', 'Pet friendly', 'Air conditioning', 'Room service', 'Housekeeping', 'Laundry']","{'Room Name': 'Superior room, extremely spacious and comfortable', 'Room Charges': '$153'}, {'Room Name': 'Executive room with great view', 'Room Charges': '$167'}, {'Room Name': 'Panorama room on the top floor with a terrace', 'Room Charges': '$197'}, {'Room Name': 'Corner Suite bright and cozy', 'Room Charges': '$205'}, {'Room Name': 'Panorama Suite on the top floor with a huge terrace', 'Room Charges': '$370'}, {'Room Name': 'Grand Suite, lavish classical design with dazzling views', 'Room Charges': '$459'}, {'Room Name': 'Superior twin room, extremely spacious and comfortable', 'Room Charges': None}, {'Room Name': 'Executive twin room with great view', 'Room Charges': None}, {'Room Name': 'Superior Single Room with Garden View', 'Room Charges': None}"
"Sofia, Bulgaria","InterContinental Sofia, an IHG Hotel",5.0,9.4,Exceptional,"['Breakfast available', 'Bar', 'Air conditioning', 'Spa', 'Room service', 'Housekeeping']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$179'}, {'Room Name': 'Classic Room', 'Room Charges': '$179'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$179'}, {'Room Name': 'Classic Room, 1 King Bed (Cathedral View)', 'Room Charges': '$211'}, {'Room Name': 'Classic Room, 1 King Bed, Club Lounge Access, Mountain View', 'Room Charges': '$265'}, {'Room Name': 'Classic Room, 2 Twin Beds, Club Lounge Access, Mountain View', 'Room Charges': '$265'}, {'Room Name': 'Family Suite, 1 King Bed with Sofa bed', 'Room Charges': '$300'}, {'Room Name': 'Suite, 1 King Bed, Terrace (Cathedral View)', 'Room Charges': '$355'}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': '$367'}, {'Room Name': 'Suite, 1 Bedroom (Cathedral View)', 'Room Charges': '$398'}, {'Room Name': 'Classic Room, 1 King Bed, Accessible Bathtub', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed, Terrace (Top Floor)', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom, Terrace (Cathedral View)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed (Cosy Top Floor)', 'Room Charges': None}, {'Room Name': 'Junior Suite, 1 King Bed, Balcony (Top Floor)', 'Room Charges': None}, {'Room Name': 'Classic Room, Multiple Beds', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom, Terrace (Vitosha View)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed, Mountain View (Cosy Top Floor)', 'Room Charges': None}"
"Sofia, Bulgaria",Grand Hotel Millennium Sofia,5.0,9.2,Wonderful,"['Breakfast available', 'Gym', 'Bar', 'Pool', 'Pet friendly', 'Air conditioning']","{'Room Name': 'Exclusive Room with King Bed', 'Room Charges': '$204'}, {'Room Name': 'Exclusive Mobility Accessible Room', 'Room Charges': '$204'}, {'Room Name': 'Exclusive Room with Twin Bed', 'Room Charges': '$204'}, {'Room Name': 'Premium Room with King Bed', 'Room Charges': '$217'}, {'Room Name': 'Premium Room with Twin Beds', 'Room Charges': '$217'}, {'Room Name': 'Premium Plus Room', 'Room Charges': '$238'}, {'Room Name': 'Signature Suite', 'Room Charges': '$264'}, {'Room Name': 'Premium Connecting Rooms', 'Room Charges': '$282'}, {'Room Name': 'Executive Suite', 'Room Charges': '$334'}, {'Room Name': 'Millennium Suite', 'Room Charges': '$551'}, {'Room Name': 'Millennium Master Suite', 'Room Charges': '$637'}, {'Room Name': 'Grand Millennium Suite', 'Room Charges': '$811'}"
"Sofia, Bulgaria","Sense Hotel Sofia, a Member of Design Hotels",5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Pool', 'Pet friendly', 'Air conditioning', 'Spa']","{'Room Name': 'Superior Double Room', 'Room Charges': '$166'}, {'Room Name': 'Superior Twin Room', 'Room Charges': '$166'}, {'Room Name': 'Superior Room, Accessible', 'Room Charges': '$166'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$204'}, {'Room Name': 'Executive Double Room', 'Room Charges': '$243'}, {'Room Name': 'Suite (Sense)', 'Room Charges': '$358'}"
"Sofia, Bulgaria",Hyatt Regency Sofia,5.0,9.0,Wonderful,"['Gym', 'Spa', 'Breakfast available', 'Pet friendly', 'Air conditioning', 'Room service']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$205'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$237'}, {'Room Name': 'Room, 2 Twin Beds, Garden View', 'Room Charges': '$237'}, {'Room Name': 'Club Room, 1 King Bed', 'Room Charges': '$279'}, {'Room Name': 'Club Room, 2 Twin Beds', 'Room Charges': '$279'}, {'Room Name': 'Suite (Regency)', 'Room Charges': '$384'}, {'Room Name': 'Suite, View (Regency)', 'Room Charges': '$478'}, {'Room Name': 'Suite (Ambassador)', 'Room Charges': '$1,119'}"
"Sofia, Bulgaria",Hilton Sofia,5.0,9.0,Wonderful,"['Bar', 'Pet friendly', 'Air conditioning', 'Room service', 'Housekeeping', 'Laundry']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$162'}, {'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': '$162'}, {'Room Name': 'Twin Hilton Guestroom', 'Room Charges': '$162'}, {'Room Name': 'Twin Hilton Deluxe', 'Room Charges': '$177'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$177'}, {'Room Name': 'Executive Room, 2 Twin Beds', 'Room Charges': '$208'}, {'Room Name': 'Executive Room, 1 King Bed', 'Room Charges': '$208'}, {'Room Name': 'Penthouse, 1 King Bed', 'Room Charges': '$268'}, {'Room Name': 'Penthouse, 2 Twin Beds', 'Room Charges': '$268'}, {'Room Name': 'Executive Suite, 1 King Bed with Sofa bed (Park)', 'Room Charges': '$276'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$318'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$436'}, {'Room Name': 'Presidential Penthouse, 1 King Bed', 'Room Charges': '$1,100'}"
"Sofia, Bulgaria","Juno Hotel Sofia, a Member of Design Hotels",5.0,9.6,Exceptional,"['Bar', 'Air conditioning', 'Housekeeping', 'Laundry', '24/7 front desk', 'Breakfast available']","{'Room Name': 'Room, 1 King Bed (Cosy)', 'Room Charges': '$182'}, {'Room Name': 'Room (Cosy)', 'Room Charges': '$182'}, {'Room Name': 'Room, 1 King Bed (Cosy Sunkissed)', 'Room Charges': '$211'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$216'}, {'Room Name': 'Room, 1 King Bed (Sunkissed)', 'Room Charges': '$226'}, {'Room Name': 'Room, 1 King Bed, Corner', 'Room Charges': '$230'}, {'Room Name': 'Loft', 'Room Charges': '$452'}, {'Room Name': 'Penthouse', 'Room Charges': '$664'}"
"Sofia, Bulgaria",Hotel Marinela Sofia,5.0,8.0,Good,"['Restaurant', 'Bar', 'Pool', 'Pet friendly', 'Air conditioning', 'Spa']","{'Room Name': 'Standard King Room', 'Room Charges': '$138'}, {'Room Name': 'Standard Twin Room', 'Room Charges': '$138'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$171'}, {'Room Name': 'Double Room King Bed', 'Room Charges': '$201'}, {'Room Name': 'Twin Room', 'Room Charges': '$201'}, {'Room Name': 'Premium King Room', 'Room Charges': '$203'}, {'Room Name': 'Junior Suite', 'Room Charges': '$236'}, {'Room Name': 'Vice-Presidential Suite', 'Room Charges': '$637'}, {'Room Name': 'Presidential Suite', 'Room Charges': '$1,392'}"
"Sofia, Bulgaria",Maison Sofia - MGallery,5.0,8.6,Excellent,"['Spa', 'Breakfast available', 'Pool', 'Bar', 'Pet friendly', 'Room service']","{'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$110'}, {'Room Name': 'Deluxe Room, 1 Double Bed', 'Room Charges': '$121'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$121'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Balcony', 'Room Charges': '$129'}, {'Room Name': 'Deluxe Room, 1 Double Bed, Balcony', 'Room Charges': '$129'}, {'Room Name': 'Deluxe Suite, 1 Double Bed', 'Room Charges': '$148'}"
"Sofia, Bulgaria","Crowne Plaza Sofia, an IHG Hotel",5.0,9.0,Wonderful,"['Hot Tub', 'Pool', 'Bar', 'Breakfast available', 'Parking included', 'Room service']","{'Room Name': 'Standard Room', 'Room Charges': '$126'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$138'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$126'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$138'}, {'Room Name': 'Standard Room, 1 King Bed with Sofa bed', 'Room Charges': '$143'}, {'Room Name': 'Standard Room, 1 King Bed with Sofa bed, Lake View', 'Room Charges': '$151'}, {'Room Name': 'Premium Room', 'Room Charges': '$168'}, {'Room Name': 'Premium Room, 1 King Bed, Lake View (Business Lounge Access)', 'Room Charges': '$168'}, {'Room Name': 'Premium Room, 1 King Bed, Corner (Lounge Access, Lake View)', 'Room Charges': '$177'}, {'Room Name': 'Suite, 1 Bedroom, Lake View (Business Lounge Access)', 'Room Charges': '$211'}, {'Room Name': 'Standard Room, 1 King Bed, Accessible, Lake View', 'Room Charges': None}"
"Sofia, Bulgaria",Ramada by Wyndham Sofia City Center,4.0,8.8,Good,"['Breakfast available', 'Spa', 'Bar', 'Pet friendly', 'Pool', 'Parking available']","{'Room Name': '2 Twin Beds Room Non-Smoking', 'Room Charges': '$62'}, {'Room Name': 'Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$82'}, {'Room Name': '1 King Bed Superior Room Non-Smoking', 'Room Charges': '$77'}, {'Room Name': '2 Twin Beds Superior Room Non-Smoking', 'Room Charges': '$77'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$101'}, {'Room Name': 'Superior Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$101'}, {'Room Name': 'Business Room, 1 King Bed, Non Smoking (Newly Refurnished)', 'Room Charges': '$120'}, {'Room Name': 'Business Room, 2 Twin Beds, Non Smoking (Newly Refurnished)', 'Room Charges': '$120'}"
"Sofia, Bulgaria",Les Fleurs Boutique Hotel,4.0,9.0,Wonderful,"['Restaurant', 'Breakfast available', 'Bar', 'Room service', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Classic Room', 'Room Charges': '$102'}, {'Room Name': 'Luxury Room', 'Room Charges': '$114'}, {'Room Name': 'Executive Room, 1 Queen Bed', 'Room Charges': '$155'}"
"Sofia, Bulgaria",Rosslyn Thracia Hotel,4.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Pet friendly', 'Parking available', 'Room service', 'Housekeeping']","{'Room Name': 'Standard Double or Twin with free Wi-Fi, coffee and tea making facilities', 'Room Charges': '$84'}, {'Room Name': 'Double Room - Disability Access', 'Room Charges': '$84'}, {'Room Name': 'Suite', 'Room Charges': '$141'}, {'Room Name': 'Apartment', 'Room Charges': '$141'}, {'Room Name': 'Panoramic Suite, 1 Bedroom, City View', 'Room Charges': '$143'}"
"Sofia, Bulgaria",Eurostars Sofia City,4.0,8.6,Excellent,"['Breakfast available', 'Parking available', 'Room service', 'Housekeeping', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Standard Double Room', 'Room Charges': '$95'}, {'Room Name': 'Standard Double Room', 'Room Charges': '$96'}, {'Room Name': 'Superior Double Room', 'Room Charges': '$104'}, {'Room Name': 'Superior Double/Twin Room', 'Room Charges': '$105'}, {'Room Name': 'Superior Suite (Triple)', 'Room Charges': '$134'}, {'Room Name': 'Suite', 'Room Charges': '$136'}, {'Room Name': 'Standard Double Room Single Use', 'Room Charges': None}, {'Room Name': 'Superior Double Room Single Use', 'Room Charges': None}"
"Sofia, Bulgaria",Central Hotel Sofia,4.0,8.8,Excellent,"['Hot Tub', 'Bar', 'Spa', 'Room service', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Comfort Room', 'Room Charges': '$89'}, {'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$94'}, {'Room Name': 'Classic Studio, Kitchenette', 'Room Charges': '$106'}, {'Room Name': 'Deluxe Room (with Sofa Bed)', 'Room Charges': '$108'}, {'Room Name': 'Superior Apartment', 'Room Charges': '$137'}, {'Room Name': 'Deluxe Connecting Rooms', 'Room Charges': '$165'}"
"Sofia, Bulgaria",Best Western Terminus Hotel,4.0,9.0,Wonderful,"['Breakfast included', 'Pet friendly', 'Parking available', 'Housekeeping', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Comfort Room, 1 King Bed, Non Smoking', 'Room Charges': '$68'}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking', 'Room Charges': '$71'}, {'Room Name': 'Superior Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$72'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking (with Sofabed)', 'Room Charges': '$75'}"
"Sofia, Bulgaria",Best Western Premier Sofia Airport Hotel,4.0,9.2,Wonderful,"['Free airport shuttle', 'Breakfast available', 'Restaurant', 'Bar', 'Pet friendly', 'Spa']","{'Room Name': 'Standard Room, 1 Queen Bed, Non Smoking (with Sofabed)', 'Room Charges': '$127'}, {'Room Name': 'Economy Room, 1 King Bed, Non Smoking', 'Room Charges': '$140'}, {'Room Name': 'Standard Room, 1 King Bed, Non Smoking', 'Room Charges': '$152'}, {'Room Name': 'Standard Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$152'}, {'Room Name': 'Business Suite, 1 King Bed, Non Smoking (with Sofabed)', 'Room Charges': '$178'}, {'Room Name': 'Executive Apartment, Multiple Beds, Non Smoking, Kitchenette (Living Room)', 'Room Charges': '$260'}"
"Sofia, Bulgaria",COOP Hotel,4.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Spa', 'Parking available', 'Room service', 'Housekeeping']","{'Room Name': 'Deluxe Double Room', 'Room Charges': '$133'}, {'Room Name': 'Junior Suite', 'Room Charges': '$157'}, {'Room Name': 'Family Suite (2 bathrooms)', 'Room Charges': '$187'}, {'Room Name': 'Deluxe Single Room', 'Room Charges': None}"
"Sofia, Bulgaria",Crystal Palace Boutique Hotel,4.0,9.2,Wonderful,"['Bar', 'Spa', 'Breakfast available', 'Parking available', 'Room service', 'Housekeeping']","{'Room Name': 'Executive Room', 'Room Charges': '$164'}, {'Room Name': 'Junior Suite', 'Room Charges': '$177'}, {'Room Name': 'Executive Room, 1 King Bed Or 2 Single Beds', 'Room Charges': '$186'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$192'}, {'Room Name': 'Twin/Double Room - Executive', 'Room Charges': '$237'}, {'Room Name': 'Junior Suite', 'Room Charges': '$256'}"
"Sofia, Bulgaria",Best Western Plus Bristol Hotel,4.0,8.2,Very good,"['Breakfast included', 'Bar', 'Spa', 'Parking available', 'Room service', 'Housekeeping']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$110'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$110'}, {'Room Name': 'Superior Room, Multiple Beds (with Sofabed)', 'Room Charges': '$114'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$126'}, {'Room Name': 'Superior Suite, 1 Queen Bed with Sofa bed (with Sofabed)', 'Room Charges': '$134'}"
"Sofia, Bulgaria",Oborishte 63 Boutique Hotel,4.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Spa', 'Parking available', 'Room service', 'Air conditioning']","{'Room Name': 'Premier Suite', 'Room Charges': '$144'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$149'}, {'Room Name': 'Luxury Penthouse', 'Room Charges': '$162'}, {'Room Name': 'Design Suite', 'Room Charges': '$181'}, {'Room Name': 'Executive Suite', 'Room Charges': '$200'}"
"Sofia, Bulgaria",Novotel Sofia,4.0,9.2,Wonderful,"['Bar', 'Pet friendly', 'Parking included', 'Breakfast available', 'Room service', 'Housekeeping']","{'Room Name': 'Superior Double Room, 1 Double Bed with Sofa bed', 'Room Charges': '$117'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$117'}, {'Room Name': 'Family Room, 1 Double Bed with Sofa bed (Superior)', 'Room Charges': '$117'}, {'Room Name': 'Superior Room, 1 Double Bed, Mountain View', 'Room Charges': '$135'}, {'Room Name': 'Room (Library)', 'Room Charges': '$135'}, {'Room Name': 'Room, 1 King Bed with Sofa bed, Mountain View', 'Room Charges': '$135'}, {'Room Name': 'Executive Room, 1 Double Bed with Sofa bed', 'Room Charges': '$152'}, {'Room Name': 'Suite, 1 Double Bed with Sofa bed', 'Room Charges': '$183'}"
"Sofia, Bulgaria",WN LAB Hotel,4.0,8.8,Excellent,"['Breakfast included', 'Bar', 'Pet friendly', 'Parking included', 'Housekeeping', 'Gym']","{'Room Name': 'Basic Room, 1 Double Bed', 'Room Charges': '$69'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$95'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$95'}, {'Room Name': 'Premium Room', 'Room Charges': '$108'}, {'Room Name': 'Panoramic Room', 'Room Charges': '$121'}, {'Room Name': 'Family Room', 'Room Charges': '$121'}, {'Room Name': 'Deluxe Room', 'Room Charges': '$126'}"
