Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Sydney, Australia",Ovolo Woolloomooloo,5.0,9.4,Exceptional,"['Restaurant', 'Breakfast available', 'Pool', 'Hot Tub', 'Bar', 'Pet friendly']","{'Room Name': 'Superoo', 'Room Charges': '$177'}, {'Room Name': 'Deluxaroo Loft', 'Room Charges': '$198'}, {'Room Name': 'Deluxaroo King', 'Room Charges': '$198'}, {'Room Name': 'Deluxaroo Double Double', 'Room Charges': '$198'}, {'Room Name': 'Cityvoo Double Double', 'Room Charges': None}, {'Room Name': 'Ultraroo', 'Room Charges': None}, {'Room Name': 'Cityvoo King', 'Room Charges': None}, {'Room Name': 'Cityvoo Loft', 'Room Charges': None}"
"Sydney, Australia",Capella Sydney,5.0,9.8,Exceptional,"['Breakfast available', 'Spa', 'Hot Tub', 'Pool', 'Bar', 'Room service']","{'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$480'}, {'Room Name': 'Premier Room, 1 King Bed, Mobility Accessible', 'Room Charges': '$561'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$561'}, {'Room Name': 'Room, Tower', 'Room Charges': '$663'}, {'Room Name': 'Room, 1 King Bed (Skyline)', 'Room Charges': '$883'}, {'Room Name': 'Deluxe Suite, 1 King Bed, Mobility Accessible', 'Room Charges': '$1,047'}, {'Room Name': 'Deluxe Suite, 1 King Bed', 'Room Charges': '$1,047'}, {'Room Name': 'Suite, 1 King Bed (Skyline)', 'Room Charges': '$1,178'}, {'Room Name': 'Suite (Liberty)', 'Room Charges': '$2,175'}, {'Room Name': 'Suite (Capella)', 'Room Charges': '$3,910'}"
"Sydney, Australia",Veriu Broadway,5.0,9.2,Wonderful,"['Washer', 'Parking available', 'Pet friendly', 'Kitchen', 'Air conditioning', 'Dryer']","{'Room Name': 'Junior Suite', 'Room Charges': '$124'}"
"Sydney, Australia",Rydges Sydney Central,5.0,8.6,Excellent,"['Hot Tub', 'Bar', 'Parking available', 'Pool', 'Room service', 'Housekeeping']","{'Room Name': 'Superior Double or Twin Room', 'Room Charges': '$89'}, {'Room Name': 'Deluxe City King or Twin', 'Room Charges': '$96'}, {'Room Name': 'Executive Double or Twin Room', 'Room Charges': '$101'}, {'Room Name': 'Studio Suite', 'Room Charges': '$112'}, {'Room Name': 'Balcony Room', 'Room Charges': '$114'}, {'Room Name': 'Family Room', 'Room Charges': None}"
"Sydney, Australia",Furama Darling Harbour,4.0,8.4,Very good,"['Breakfast available', 'Restaurant', 'Gym', '24/7 front desk', 'Air conditioning', 'Laundry']","{'Room Name': 'Superior King or Twin', 'Room Charges': '$107'}, {'Room Name': 'Deluxe Accessible Queen', 'Room Charges': '$116'}, {'Room Name': 'Deluxe King or Twin', 'Room Charges': '$116'}, {'Room Name': 'Premier Plus King', 'Room Charges': '$140'}, {'Room Name': 'Superior Family Room', 'Room Charges': '$150'}, {'Room Name': 'Deluxe Family Room', 'Room Charges': '$160'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$162'}, {'Room Name': 'Executive Suite', 'Room Charges': '$196'}, {'Room Name': 'Family Suite', 'Room Charges': '$232'}, {'Room Name': 'Premier Family Room', 'Room Charges': None}, {'Room Name': 'Premier King', 'Room Charges': None}, {'Room Name': 'Premier Suite', 'Room Charges': None}"
"Sydney, Australia",Four Seasons Hotel Sydney,5.0,9.6,Exceptional,"['Breakfast available', 'Pool', 'Gym', 'Restaurant', 'Spa', 'Hot Tub']","{'Room Name': 'Deluxe City Room King', 'Room Charges': '$254'}, {'Room Name': 'Deluxe Partial Harbour Room King', 'Room Charges': '$292'}"
"Sydney, Australia",The Tank Stream Hotel Sydney,4.0,9.2,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Room service', 'Gym', 'Housekeeping']","{'Room Name': 'Room, 1 Queen Bed (Atrium)', 'Room Charges': '$146'}, {'Room Name': 'Superior Room, 1 Queen Bed', 'Room Charges': '$151'}, {'Room Name': 'Room, 1 Queen Bed, Accessible', 'Room Charges': '$151'}, {'Room Name': 'Deluxe Room, 2 Twin Beds', 'Room Charges': '$156'}, {'Room Name': 'Premium Room, 1 Queen Bed', 'Room Charges': '$161'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$166'}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': None}"
"Sydney, Australia",Shangri-La Sydney,5.0,8.8,Excellent,"['Pool', 'Spa', 'Free WiFi', 'Restaurant', 'Air conditioning', 'Gym']","{'Room Name': 'Horizon Darling Harbour 1 King', 'Room Charges': '$221'}, {'Room Name': 'Horizon Opera House City View 1 King', 'Room Charges': '$254'}, {'Room Name': 'Horizon Darling Harbour 1 King', 'Room Charges': '$243'}, {'Room Name': 'Horizon Opera House City 1 King', 'Room Charges': '$279'}, {'Room Name': 'Horizon Sydney Harbour View 1 King', 'Room Charges': '$327'}, {'Room Name': 'Horizon Sydney Harbour 1 King', 'Room Charges': '$360'}"
"Sydney, Australia","West Hotel Sydney, Curio Collection by Hilton",5.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Room service', 'Housekeeping', 'Gym', 'Air conditioning']","{'Room Name': 'Deluxe Room, 1 King Bed (Banksia)', 'Room Charges': '$180'}, {'Room Name': 'Deluxe Room, 1 King Bed (Banksia Plus)', 'Room Charges': '$206'}, {'Room Name': 'Room, 1 Queen Bed, Accessible (Banksia)', 'Room Charges': '$180'}, {'Room Name': 'Premium Room, 1 King Bed (Waratah)', 'Room Charges': '$239'}, {'Room Name': 'Twin Room (Acacia)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed (Acacia)', 'Room Charges': None}, {'Room Name': 'Suite (The West Suite)', 'Room Charges': None}"
"Sydney, Australia",Native Rose Hotel,2.0,9.2,Good,"['Bar', 'Laundry', 'Air conditioning', 'Free WiFi', 'Restaurant']","{'Room Name': 'Family room, shared Bathroom', 'Room Charges': '$182'}, {'Room Name': 'Queen Deluxe Park View, Shared Bathroom', 'Room Charges': None}, {'Room Name': 'Double Room, Shared Bathroom', 'Room Charges': None}, {'Room Name': 'Family Room, Private Bathroom', 'Room Charges': None}, {'Room Name': 'Queen Room, Shared Bathroom', 'Room Charges': None}, {'Room Name': 'Queen Deluxe City View, Shared Bathroom', 'Room Charges': None}"
