Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Tbilisi, Georgia",Tbilisi Saburtalo Hotel by Mercure,4.0,9.0,Wonderful,"['Bar', 'Breakfast available', 'Room service', 'Housekeeping', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$59'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$59'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$85'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$85'}, {'Room Name': 'Superior Room, 1 Double Bed, Accessible', 'Room Charges': '$85'}"
"Tbilisi, Georgia",Swissôtel Tbilisi,5.0,10,Exceptional,"['Pool', 'Bar', 'Spa', 'Breakfast available', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Swiss, Business Room, 1 Double Bed', 'Room Charges': '$153'}, {'Room Name': 'Swiss, Business Twin Room, 2 Twin Beds', 'Room Charges': '$153'}, {'Room Name': 'Swiss, Superior Room, 1 Queen Bed', 'Room Charges': '$197'}, {'Room Name': 'Swiss Vitality Room', 'Room Charges': '$244'}"
"Tbilisi, Georgia",Sheraton Grand Tbilisi Metechi Palace,5.0,9.2,Wonderful,"['Bar', 'Pool', 'Pet friendly', 'Room service', 'Gym', 'Parking included']","{'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$136'}, {'Room Name': 'Executive Room, 1 Double Bed, Non Smoking', 'Room Charges': '$144'}, {'Room Name': 'Executive Room, 1 Double Bed, Non Smoking', 'Room Charges': '$144'}, {'Room Name': 'Premium Room, 1 Double Bed', 'Room Charges': '$236'}, {'Room Name': 'Executive Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$431'}"
"Tbilisi, Georgia",Ibis Budget Tbilisi Center,3.0,8.8,Excellent,"['Pet friendly', 'Breakfast available', 'Housekeeping', 'Laundry', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$27'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$27'}"
"Tbilisi, Georgia",Citadines City Centre Tbilisi Apart` Hotel,4.0,9.4,Exceptional,"['Gym', 'Pet friendly', 'Breakfast available', 'Parking included', 'Kitchen', 'Air conditioning']","{'Room Name': 'Classic Studio', 'Room Charges': '$58'}, {'Room Name': 'Executive Studio', 'Room Charges': '$67'}, {'Room Name': 'Apartment, 1 Bedroom', 'Room Charges': '$85'}, {'Room Name': 'Executive Apartment, 1 Bedroom', 'Room Charges': '$98'}"
"Tbilisi, Georgia",Tbilisi Saburtalo Hotel by Mercure,4.0,9.0,Wonderful,"['Bar', 'Breakfast available', 'Room service', 'Housekeeping', 'Air conditioning', '24/7 front desk']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$59'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$59'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$85'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$85'}, {'Room Name': 'Superior Room, 1 Double Bed, Accessible', 'Room Charges': '$85'}"
"Tbilisi, Georgia",Rooms Hotel Tbilisi,4.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Gym', 'Pet friendly', 'Room service', 'Parking included']","{'Room Name': 'Room, 1 Queen Bed (Urban Queen)', 'Room Charges': '$84'}, {'Room Name': 'Twin Room, Garden View', 'Room Charges': '$89'}, {'Room Name': 'Room, 1 Queen Bed, Garden View', 'Room Charges': '$106'}, {'Room Name': 'Room, 1 King Bed, Garden View', 'Room Charges': '$119'}, {'Room Name': 'Signature Room, 1 King Bed', 'Room Charges': '$137'}"
"Tbilisi, Georgia",Shota@Rustaveli Boutique hotel,4.0,9.6,Exceptional,"['Bar', 'Gym', 'Pool', 'Breakfast available', 'Room service', 'Housekeeping']","{'Room Name': ""Double Room (Traveler's)"", 'Room Charges': '$72'}, {'Room Name': ""Twin Room (Traveler's)"", 'Room Charges': '$72'}, {'Room Name': 'Double Room (Relaxation Room)', 'Room Charges': '$98'}"
"Tbilisi, Georgia",Mercure Tbilisi Old Town,4.0,9.4,Exceptional,"['Bar', 'Gym', 'Spa', 'Breakfast available', 'Room service', 'Parking included']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$94'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$102'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds', 'Room Charges': '$94'}, {'Room Name': 'Privilege, Deluxe Room, 1 Double Bed', 'Room Charges': '$109'}, {'Room Name': 'Standard Single Room, Non Smoking', 'Room Charges': None}"
"Tbilisi, Georgia",ARTISHA TRAVEL HOTEL,2.0,9.0,,"['Housekeeping', 'Free WiFi']","{'Room Name': 'Basic Double or Twin Room, City View', 'Room Charges': '$24'}"
"Tbilisi, Georgia",Urban Boutique Hotel,4.0,8.4,Very good,"['Bar', 'Breakfast included', 'Room service', 'Parking included', 'Housekeeping', 'Air conditioning']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$28'}, {'Room Name': 'Economy Double Room, 1 Queen Bed, City View', 'Room Charges': '$33'}, {'Room Name': 'Economy Family Room', 'Room Charges': '$41'}, {'Room Name': 'Economy Triple Room', 'Room Charges': '$42'}, {'Room Name': 'Deluxe Double or Twin Room', 'Room Charges': '$46'}, {'Room Name': 'Deluxe double or Twin room with Terrace', 'Room Charges': '$48'}, {'Room Name': 'Economy double room with Terrace', 'Room Charges': None}"
"Tbilisi, Georgia",Sandali Metekhi Boutique Hotel,4.0,9.2,Wonderful,"['Breakfast available', 'Laundry', '24/7 front desk', 'Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Standard Double or Twin Room, City View', 'Room Charges': '$51'}, {'Room Name': 'Business Room, River View', 'Room Charges': '$55'}, {'Room Name': 'Economy Double Room, City View', 'Room Charges': '$63'}, {'Room Name': 'Romantic Room, Bathtub, River View', 'Room Charges': '$83'}, {'Room Name': 'Panoramic Room, Bathtub, River View', 'Room Charges': '$85'}, {'Room Name': 'Exclusive Room, Bathtub, River View', 'Room Charges': '$92'}, {'Room Name': 'Family Room, Balcony, River View', 'Room Charges': None}, {'Room Name': 'Standard Double Room, Balcony, River View', 'Room Charges': None}, {'Room Name': 'Presidential Suite, Terrace, River View', 'Room Charges': None}, {'Room Name': 'Standard Double or Twin Room, Balcony, River View', 'Room Charges': None}"
"Tbilisi, Georgia",Ibis Styles Tbilisi Center,4.0,9.4,Exceptional,"['Breakfast available', 'Bar', 'Housekeeping', 'Air conditioning', '24/7 front desk', 'Laundry']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$68'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds', 'Room Charges': '$68'}, {'Room Name': 'Premium Room, 1 Double Bed', 'Room Charges': '$76'}, {'Room Name': 'Suite, Multiple Beds, Balcony', 'Room Charges': '$102'}"
"Tbilisi, Georgia",Episode Tbilisi,4.0,9.4,Exceptional,"['Bar', 'Gym', 'Pet friendly', 'Breakfast available', 'Housekeeping', 'Laundry']","{'Room Name': 'DOUBLE', 'Room Charges': '$44'}, {'Room Name': 'TWIN', 'Room Charges': '$44'}, {'Room Name': 'Twin Room', 'Room Charges': '$64'}, {'Room Name': 'Double Room', 'Room Charges': '$65'}, {'Room Name': 'SPINNER DOUBLE', 'Room Charges': None}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'SOLO', 'Room Charges': None}, {'Room Name': 'TRIPLE', 'Room Charges': None}, {'Room Name': 'SPINNER TRIPLE', 'Room Charges': None}, {'Room Name': 'TWIN - Disability Access', 'Room Charges': None}, {'Room Name': 'EPISODE SPECIAL', 'Room Charges': None}"
"Tbilisi, Georgia",Mercure Tbilisi Old Town,4.0,9.4,Exceptional,"['Bar', 'Gym', 'Spa', 'Breakfast available', 'Room service', 'Parking included']","{'Room Name': 'Standard Room, 1 Double Bed', 'Room Charges': '$94'}, {'Room Name': 'Superior Room, 1 Double Bed', 'Room Charges': '$102'}, {'Room Name': 'Standard Twin Room, 2 Twin Beds', 'Room Charges': '$94'}, {'Room Name': 'Privilege, Deluxe Room, 1 Double Bed', 'Room Charges': '$109'}, {'Room Name': 'Standard Single Room, Non Smoking', 'Room Charges': None}"
"Tbilisi, Georgia",Ameri Plaza Hotel,4.0,8.8,Excellent,"['Bar', 'Breakfast included', 'Room service', 'Parking included', 'Laundry', '24/7 front desk']","{'Room Name': 'Economy Double Room', 'Room Charges': '$57'}, {'Room Name': 'Standard Double Room Floor 17, Non Smoking (access with stairs from 16th floor)', 'Room Charges': '$60'}, {'Room Name': 'Standard Double or Twin Room, Non Smoking', 'Room Charges': '$73'}, {'Room Name': 'Deluxe Double or Twin Room, Non Smoking', 'Room Charges': '$83'}, {'Room Name': 'Family Room, 1 Bedroom, Non Smoking', 'Room Charges': '$96'}"
"Tbilisi, Georgia","Holiday Inn Tbilisi, an IHG Hotel",4.0,9.0,Wonderful,"['Breakfast available', 'Pool', 'Bar', 'Gym', 'Spa', 'Pet friendly']","{'Room Name': 'Standard Room', 'Room Charges': '$100'}, {'Room Name': 'Standard Room, 2 Twin Beds', 'Room Charges': '$100'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$140'}, {'Room Name': 'Premium Room', 'Room Charges': '$140'}, {'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Pool View', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed, Accessible', 'Room Charges': None}"
