Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Tokyo, Japan",Grand Prince Hotel Takanawa,5.0,9.0,Wonderful,"['Breakfast available', 'Restaurant', 'Bar', 'Pool', 'Housekeeping', 'Gym']","{'Room Name': 'Deluxe King Room, Non-smoking - Garden View', 'Room Charges': '$153'}, {'Room Name': 'Club Superior Double Room with Lounge Access, Non-smoking', 'Room Charges': '$194'}, {'Room Name': 'Club Deluxe King Room with Lounge Access, Non-smoking - Garden View', 'Room Charges': '$243'}, {'Room Name': 'Superior Twin Room, High Floor, Non Smoking', 'Room Charges': None}, {'Room Name': 'Club Suite Twin with Lounge Access, Non smoking', 'Room Charges': None}, {'Room Name': 'Superior Double Room, High Floor, Non Smoking', 'Room Charges': None}, {'Room Name': 'Club Suite King with Lounge Access, Non smoking', 'Room Charges': None}, {'Room Name': 'Superior Twin Room, Non-smoking', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room, High Floor, Non-smoking - Garden View', 'Room Charges': None}, {'Room Name': 'Club Corner King Room with Lounge Access, Non smoking', 'Room Charges': None}, {'Room Name': 'Superior Double Room, Non-smoking', 'Room Charges': None}, {'Room Name': 'Superior King Room, High Floor, Non-smoking', 'Room Charges': None}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, Corner (Upper Floor )', 'Room Charges': None}, {'Room Name': 'Superior Room, 1 King Bed, Non Smoking, Corner', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room, Non Smoking, Garden View', 'Room Charges': None}, {'Room Name': 'Deluxe Twin Room with Extra Bed, Non-smoking - Garden View', 'Room Charges': None}, {'Room Name': 'Superior King Room, Non-smoking', 'Room Charges': None}, {'Room Name': 'Club Superior Twin Room with Lounge Access, Non-smoking', 'Room Charges': None}, {'Room Name': 'Club Deluxe Twin Room with Lounge Access, Non-smoking - Garden View', 'Room Charges': None}, {'Room Name': 'Club Superior King Room with Lounge Access, Non-smoking', 'Room Charges': None}, {'Room Name': 'Deluxe King Room, High Floor, Non-smoking - Garden View', 'Room Charges': None}, {'Room Name': 'Club Junior Suite Deluxe King Room with Lounge Access, Non-smoking', 'Room Charges': None}, {'Room Name': 'Club Grand Suite Twin with Lounge Access, Non smoking', 'Room Charges': None}, {'Room Name': 'Club Junior Suite King Room with Lounge Access, Non-smoking', 'Room Charges': None}, {'Room Name': 'Club Junior Suite Corner Twin Room with Lounge Access, Non-smoking', 'Room Charges': None}, {'Room Name': 'Club Princess Suite Twin Room with Lounge Access, Non smoking', 'Room Charges': None}, {'Room Name': 'Club Prince Suite King Room with Lounge Access, Non smoking', 'Room Charges': None}"
"Tokyo, Japan",Grand Prince Hotel Shin Takanawa,5.0,8.6,Excellent,"['Bar', 'Pool', 'Housekeeping', 'Gym', 'Spa', 'Air conditioning']","{'Room Name': 'Superior Twin Room, Non Smoking', 'Room Charges': '$143'}, {'Room Name': '[Tokyo Tower View] Superior Twin Room, Non Smoking', 'Room Charges': '$161'}, {'Room Name': 'Superior Modern Non Smoking', 'Room Charges': '$172'}, {'Room Name': 'Club King Room with Lounge Access (Non-Smoking)', 'Room Charges': '$244'}, {'Room Name': 'Club King Bed, Lounge Access, Non Smoking', 'Room Charges': '$293'}, {'Room Name': 'Club King Junior Suite with Lounge Access (Non-Smoking)', 'Room Charges': '$375'}, {'Room Name': 'Executive Club Suite King Connecting Room with Lounge Access, Non-Smoking', 'Room Charges': '$1,858'}, {'Room Name': '[Club Floor] Club Corner King, Tokyo Tower View with Lounge Access, Non Smoking', 'Room Charges': None}, {'Room Name': 'Standard Twin Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Standard Corner Twin Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Precious Twin Room, Non Smoking', 'Room Charges': None}, {'Room Name': '[Club Floor] Club Suite Twin with Lounge Access, Non Smoking', 'Room Charges': None}, {'Room Name': '[Club Floor] Club Junior Suite Twin, Tokyo Tower View with Lounge Access, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Precious Triple Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Standard Triple Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Precious Corner Twin Room, Non Smoking', 'Room Charges': None}, {'Room Name': '[Club Floor] Club Corner King Room with Lounge Access, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Corner Twin Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Corner King Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Executive Club Suite King Room with Lounge Access, Non-Smoking', 'Room Charges': None}, {'Room Name': '[Tokyo Tower View] Superior King Room, Non Smoking', 'Room Charges': None}, {'Room Name': '[Tokyo Tower View] Superior Corner King Room, Non Smoking', 'Room Charges': None}, {'Room Name': '[Club Floor] Club King, Tokyo Tower View with Lounge Access, Non Smoking', 'Room Charges': None}, {'Room Name': 'Standard Fourth Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Club Twin Room with Lounge Access (Non-Smoking)', 'Room Charges': None}, {'Room Name': 'Superior King Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Superior Triple Room, Non Smoking', 'Room Charges': None}, {'Room Name': 'Club Twin Junior Suite with Lounge Access (Non-Smoking)', 'Room Charges': None}"
"Tokyo, Japan","Imperial Hotel, Tokyo",5.0,9.6,Exceptional,"['Bar', 'Hot Tub', 'Pool', 'Room service', 'Parking available', 'Gym']","{'Room Name': 'Tower Building High Floor Standard Twin, Non Smoking', 'Room Charges': '$388'}, {'Room Name': 'Main Building Superior Twin', 'Room Charges': '$452'}, {'Room Name': 'Main Building Superior King', 'Room Charges': '$452'}, {'Room Name': 'Main Building Deluxe Twin', 'Room Charges': '$595'}, {'Room Name': 'Tower Building High Floor Premier Twin, Non Smoking', 'Room Charges': '$653'}, {'Room Name': 'Main Building Deluxe Park View Double', 'Room Charges': '$668'}, {'Room Name': 'Main Building Deluxe Park View Twin', 'Room Charges': '$668'}, {'Room Name': 'Twin Room - De Luxe - Main Building', 'Room Charges': '$721'}, {'Room Name': 'Main Building Junior Suite King', 'Room Charges': '$768'}, {'Room Name': 'Main Building Junior Suite Twin', 'Room Charges': '$768'}, {'Room Name': 'Tower Building High Floor Pent House Suite Twin, Non Smoking', 'Room Charges': '$1,662'}, {'Room Name': 'Main Building Park View Corner Suite Twin', 'Room Charges': '$2,610'}, {'Room Name': 'Main Building Park View Corner Suite King', 'Room Charges': None}, {'Room Name': 'Main Building Junior Suite Park View Twin', 'Room Charges': None}, {'Room Name': 'Tower Building High Floor Pent House Suite Double, Non Smoking', 'Room Charges': None}, {'Room Name': 'Main Building Deluxe King', 'Room Charges': None}"
"Tokyo, Japan",The Peninsula Tokyo,5.0,9.4,Exceptional,"['Bar', 'Pool', 'Housekeeping', 'Breakfast available', 'Spa', 'Air conditioning']","{'Room Name': 'Deluxe Room (2 Twin Beds)', 'Room Charges': '$677'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$781'}, {'Room Name': 'Premier Room King', 'Room Charges': '$1,155'}, {'Room Name': 'Grand Premier Garden Room, 1 King Bed', 'Room Charges': '$1,406'}, {'Room Name': 'Grand Premier Park Room, 2 Twin Beds', 'Room Charges': '$1,562'}, {'Room Name': 'Grand Premier Garden Room King', 'Room Charges': '$2,077'}, {'Room Name': 'Premier Suite, 1 King Bed (Grand)', 'Room Charges': '$3,046'}, {'Room Name': 'Grand Premier Suite 1 King', 'Room Charges': '$4,496'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Suite, 1 King Bed', 'Room Charges': None}"
"Tokyo, Japan","Mandarin Oriental, Tokyo",5.0,9.6,Exceptional,"['Restaurant', 'Bar', 'Parking available', 'Spa', 'Room service', 'Pet friendly']","{'Room Name': 'Deluxe Twin Room', 'Room Charges': '$677'}, {'Room Name': 'Mandarin Grand King', 'Room Charges': '$755'}, {'Room Name': 'Deluxe Premier King Room', 'Room Charges': '$703'}, {'Room Name': 'Deluxe Premier Twin Room', 'Room Charges': '$703'}, {'Room Name': 'Deluxe Twin Room', 'Room Charges': '$801'}, {'Room Name': 'Deluxe Premier King Room', 'Room Charges': '$832'}, {'Room Name': 'Deluxe Premier Twin Room', 'Room Charges': '$832'}, {'Room Name': 'Mandarin Corner Suite King', 'Room Charges': '$1,458'}, {'Room Name': 'Oriental Suite King', 'Room Charges': '$1,770'}"
"Tokyo, Japan","Kimpton Shinjuku Tokyo, an IHG Hotel",5.0,9.6,Exceptional,"['Bar', 'Pet friendly', 'Gym', 'Housekeeping', 'Breakfast available', 'Air conditioning']","{'Room Name': 'Room, 2 Twin Beds (Essential)', 'Room Charges': '$447'}, {'Room Name': 'Room, 1 King Bed (Essential Walk-In Shower)', 'Room Charges': '$470'}, {'Room Name': 'Room (Essential)', 'Room Charges': '$447'}, {'Room Name': 'Premium Room', 'Room Charges': '$546'}, {'Room Name': 'Premium Room, 1 King Bed (Additional Living Area)', 'Room Charges': '$572'}, {'Room Name': 'Premium Room, 1 King Bed (High Floor)', 'Room Charges': '$579'}, {'Room Name': 'Studio Suite, 2 Twin Beds (Additional Living Area)', 'Room Charges': '$745'}, {'Room Name': 'Studio Suite, 1 King Bed (Additional Living Area)', 'Room Charges': '$745'}, {'Room Name': 'Suite, 1 Bedroom (Top Floor)', 'Room Charges': '$1,162'}, {'Room Name': 'Room, 1 King Bed (Essential High Floor Walk-In Shower)', 'Room Charges': None}, {'Room Name': 'Room, 2 Twin Beds (Essential High Floor)', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed (Essential High Floor)', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed (High Floor)', 'Room Charges': None}, {'Room Name': 'Room, 2 Twin Beds (Essential Walk-In Shower)', 'Room Charges': None}, {'Room Name': 'Studio Suite, 2 Twin Beds', 'Room Charges': None}, {'Room Name': 'Studio Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 King Bed (Essential)', 'Room Charges': None}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': None}"
"Tokyo, Japan","The Strings by InterContinental Tokyo, an IHG Hotel",5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Housekeeping', 'Room service', 'Gym', 'Air conditioning']","{'Room Name': 'Classic Room, 1 Double Bed', 'Room Charges': '$393'}, {'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$404'}, {'Room Name': 'Classic Room', 'Room Charges': '$404'}, {'Room Name': 'Premium Room, 2 Twin Beds', 'Room Charges': '$465'}, {'Room Name': 'Premium Room, 2 Twin Beds, Club Lounge Access', 'Room Charges': '$599'}, {'Room Name': 'Premium Room, 1 King Bed, Club Lounge Access (Luxury Bath View)', 'Room Charges': '$609'}, {'Room Name': 'Premium Room', 'Room Charges': '$609'}, {'Room Name': 'Premium Room, 1 King Bed, Club Lounge Access', 'Room Charges': '$625'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom', 'Room Charges': None}, {'Room Name': 'Suite, 1 Bedroom (Dining Area Top Floor)', 'Room Charges': None}, {'Room Name': 'Premium Room, 2 Twin Beds (Bath Shower Combination)', 'Room Charges': None}, {'Room Name': 'Classic Room, 1 King Bed, City View', 'Room Charges': None}"
"Tokyo, Japan",The Capitol Hotel Tokyu,5.0,9.8,Exceptional,"['Breakfast available', 'Spa', 'Restaurant', 'Gym', 'Bar', None]","{'Room Name': 'Deluxe King, Non Smoking', 'Room Charges': '$567'}, {'Room Name': 'Deluxe Hollywood Twin, Non Smoking', 'Room Charges': '$576'}, {'Room Name': 'Premier Corner Twin, Non Smoking', 'Room Charges': '$671'}, {'Room Name': 'Premier Corner Twin with Extra Bed, Non Smoking', 'Room Charges': '$671'}, {'Room Name': 'Premier Corner King, Non Smoking', 'Room Charges': '$671'}, {'Room Name': 'Premier Corner King with Extra Bed, Non Smoking', 'Room Charges': '$671'}, {'Room Name': 'Premier King, Non Smoking', 'Room Charges': '$739'}, {'Room Name': 'Club Deluxe King, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': '$739'}, {'Room Name': 'Club Deluxe Hollywood Twin, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': '$739'}, {'Room Name': 'Junior Suite King, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': '$1,121'}, {'Room Name': 'Executive Suite King with Extra Bed, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': '$1,687'}, {'Room Name': 'Garden Suite Twin, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': '$2,358'}, {'Room Name': 'Accessible Premier Corner Twin, Non Smoking', 'Room Charges': None}, {'Room Name': 'Executive Suite King, Non Smoking (Breakfast & Club Lounge Access Included)', 'Room Charges': None}"
"Tokyo, Japan",The Westin Tokyo,5.0,9.0,Wonderful,"['Bar', 'Parking available', 'Gym', 'Housekeeping', 'Air conditioning', 'Breakfast available']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$458'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking', 'Room Charges': '$458'}, {'Room Name': 'Premium Room, 1 King Bed', 'Room Charges': '$478'}, {'Room Name': 'Premium Room, 2 Double Beds', 'Room Charges': '$478'}, {'Room Name': 'Executive Room, 1 King Bed, Non Smoking', 'Room Charges': '$543'}, {'Room Name': 'Executive Room, 2 Double Beds, Non Smoking', 'Room Charges': '$543'}"
"Tokyo, Japan","The Ritz-Carlton, Tokyo",5.0,9.4,Exceptional,"['Bar', 'Pool', 'Parking available', 'Spa', 'Gym', 'Breakfast available']","{'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking (Tokyo Deluxe King)', 'Room Charges': '$838'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Non Smoking (Tokyo Deluxe Twin)', 'Room Charges': '$838'}, {'Room Name': 'Deluxe Room (Deluxe King, Club Access)', 'Room Charges': '$1,019'}, {'Room Name': 'Premier Suite, 1 Bedroom (Premier Executive Suite, Club Access)', 'Room Charges': '$1,458'}, {'Room Name': 'Luxury Suite, 1 Bedroom (Luxury Suite, Club Access)', 'Room Charges': '$1,555'}, {'Room Name': 'Club Suite, 1 Bedroom (Carlton Suite, Club Access)', 'Room Charges': '$1,718'}"
