Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Venice, Italy",Salute Palace powered by Sonder,3.0,8.6,Excellent,"['Breakfast available', 'Bar', 'Laundry', 'Outdoor Space', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$89'}, {'Room Name': 'Room, Multiple Beds', 'Room Charges': None}, {'Room Name': 'Single Room, 1 Twin Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 Queen Bed with Sofa bed, Balcony', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 Queen Bed, Canal View', 'Room Charges': None}, {'Room Name': 'Double Room, 2 Queen Beds', 'Room Charges': None}"
"Venice, Italy",Baglioni Hotel Luna - The Leading Hotels of the World,5.0,9.2,Wonderful,"['Bar', 'Spa', 'Room service', 'Pet friendly', 'Breakfast available', 'Laundry']","{'Room Name': 'Superior Room', 'Room Charges': '$436'}, {'Room Name': 'Junior Suite, Lagoon View', 'Room Charges': '$1,308'}, {'Room Name': 'Junior Suite, 2 Bedrooms (Family)', 'Room Charges': '$1,352'}"
"Venice, Italy",Unahotels Ala Venezia - Adults Only,4.0,9.0,Wonderful,"['Breakfast available', 'Bar', 'Laundry', 'Room service', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Classic Double or Twin Room', 'Room Charges': '$119'}, {'Room Name': 'Superior Room View, with double bed or 2 single beds', 'Room Charges': '$127'}, {'Room Name': 'Economy Double Room', 'Room Charges': '$126'}, {'Room Name': 'Deluxe Room View, with double bed or 2 single beds', 'Room Charges': None}, {'Room Name': 'Classic Single Room, 1 Twin Bed', 'Room Charges': None}"
"Venice, Italy",Hotel Guerrato,,9.0,Wonderful,"['24/7 front desk', 'Housekeeping', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Basic Double Room, Shared Bathroom', 'Room Charges': '$73'}, {'Room Name': 'Superior Triple Room', 'Room Charges': '$98'}, {'Room Name': 'Premier Double Room, Shared Bathroom', 'Room Charges': '$100'}"
"Venice, Italy",Unahotels Ala Venezia - Adults Only,4.0,9.0,Wonderful,"['Bar', 'Laundry', 'Room service', 'Breakfast available', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Classic Double or Twin Room', 'Room Charges': '$119'}, {'Room Name': 'Superior Room View, with double bed or 2 single beds', 'Room Charges': '$127'}, {'Room Name': 'Economy Double Room', 'Room Charges': '$126'}, {'Room Name': 'Deluxe Room View, with double bed or 2 single beds', 'Room Charges': None}, {'Room Name': 'Classic Single Room, 1 Twin Bed', 'Room Charges': None}"
"Venice, Italy",Hotel Bisanzio,4.0,9.0,Wonderful,"['Bar', 'Pet friendly', 'Room service', '24/7 front desk', 'Laundry', 'Housekeeping']","{'Room Name': 'Standard Double or Twin Room', 'Room Charges': '$106'}, {'Room Name': 'Triple Room', 'Room Charges': '$153'}, {'Room Name': 'Family Loft, 1 Bedroom', 'Room Charges': '$177'}, {'Room Name': 'Suite', 'Room Charges': '$194'}"
"Venice, Italy",Hotel Castello,3.0,8.0,Very good,"['24/7 front desk', 'Air conditioning', 'Housekeeping', 'Free WiFi']","{'Room Name': 'Double Room', 'Room Charges': '$66'}, {'Room Name': 'Double Room', 'Room Charges': '$67'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$148'}, {'Room Name': 'Quadruple Room', 'Room Charges': '$151'}, {'Room Name': 'Twin Room', 'Room Charges': None}, {'Room Name': 'Triple Room', 'Room Charges': None}"
"Venice, Italy",Salute Palace powered by Sonder,3.0,8.6,Excellent,"['Breakfast available', 'Bar', 'Laundry', 'Outdoor Space', '24/7 front desk', 'Air conditioning']","{'Room Name': 'Room, 1 Queen Bed', 'Room Charges': '$89'}, {'Room Name': 'Room, Multiple Beds', 'Room Charges': None}, {'Room Name': 'Single Room, 1 Twin Bed', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': None}, {'Room Name': 'Room, 1 Queen Bed with Sofa bed, Balcony', 'Room Charges': None}, {'Room Name': 'Deluxe Room, 1 Queen Bed, Canal View', 'Room Charges': None}, {'Room Name': 'Double Room, 2 Queen Beds', 'Room Charges': None}"
"Venice, Italy",San Teodoro Palace Luxury Apartments,,9.0,Wonderful,"['Pet friendly', 'Kitchen', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Deluxe Apartment, 1 Bedroom', 'Room Charges': '$207'}, {'Room Name': 'Executive Apartment, 2 Bedrooms', 'Room Charges': '$281'}, {'Room Name': 'Superior Duplex, 3 Bedrooms, Terrace', 'Room Charges': None}, {'Room Name': 'Luxury Apartment, 1 Bedroom', 'Room Charges': None}"
"Venice, Italy",Porta da Mar,,9.4,Exceptional,"['Pet friendly', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Junior Suite, Sea View', 'Room Charges': '$104'}, {'Room Name': 'Classic Double or Twin Room', 'Room Charges': None}, {'Room Name': 'Junior Suite', 'Room Charges': None}, {'Room Name': 'Double Room Single Use', 'Room Charges': None}"
