Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Warsaw, Poland",Warsaw Presidential Hotel,5.0,9.0,Wonderful,"['Pool', 'Bar', 'Room service', 'Parking available', 'Air conditioning', 'Laundry']","{'Room Name': 'Deluxe Double Room, 1 King Bed', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Twin Room, 2 Double Beds', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Twin Room, 2 Double Beds, City View', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Twin Room, 2 Double Beds, High Floor', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Twin Room, 2 Double Beds, City View, High Floor', 'Room Charges': '$168'}, {'Room Name': 'Deluxe Double Room, 1 King Bed, City View', 'Room Charges': '$174'}, {'Room Name': 'Deluxe Double Room, 1 King Bed, High Floor', 'Room Charges': '$174'}, {'Room Name': 'Deluxe Double Room, 1 King Bed, City View, High Floor', 'Room Charges': '$177'}, {'Room Name': 'Executive Double Room, 1 King Bed, Club Lounge Access', 'Room Charges': '$241'}, {'Room Name': 'Executive Twin Room, 2 Double Beds, Club Lounge Access', 'Room Charges': '$241'}, {'Room Name': 'Corner Junior Suite, 1 King Bed', 'Room Charges': '$253'}, {'Room Name': 'Bi-Level Suite, 1 King Bed with Sofa bed', 'Room Charges': '$289'}, {'Room Name': 'Business Suite, 1 King Bed with Sofa bed, Club Lounge Access', 'Room Charges': '$380'}"
"Warsaw, Poland",Sofitel Warsaw Victoria,5.0,9.4,Exceptional,"['Breakfast available', 'Pool', 'Spa', 'Restaurant', 'Bar', 'Room service']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$151'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$151'}, {'Room Name': 'Superior Room, 2 Twin Beds (High Floor)', 'Room Charges': '$166'}, {'Room Name': 'Superior Room, 1 King Bed (High Floor)', 'Room Charges': '$166'}, {'Room Name': 'Luxury Room, 1 King Bed (Pilsudski Square View)', 'Room Charges': '$187'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed (Separate Living room)', 'Room Charges': '$222'}, {'Room Name': 'Family Room, 2 Double Beds', 'Room Charges': '$238'}, {'Room Name': 'Suite, 1 King Bed (Pilsudski Square View)', 'Room Charges': '$254'}, {'Room Name': 'Suite, 1 King Bed, Kitchenette (Opera)', 'Room Charges': '$559'}"
"Warsaw, Poland","Radisson Collection Hotel, Warsaw",5.0,9.4,Exceptional,"['Hot Tub', 'Pool', 'Bar', 'Spa', 'Room service', 'Parking available']","{'Room Name': 'Room (Collection)', 'Room Charges': '$194'}, {'Room Name': 'Premium Room (Collection)', 'Room Charges': '$209'}, {'Room Name': 'Premium Room, View (Collection)', 'Room Charges': '$222'}, {'Room Name': 'Family Room', 'Room Charges': '$252'}, {'Room Name': 'Executive Room (Lounge Access)', 'Room Charges': '$256'}, {'Room Name': 'Executive Room, City View (Lounge Access)', 'Room Charges': '$269'}, {'Room Name': 'Junior Suite (Lounge Access)', 'Room Charges': '$294'}, {'Room Name': 'Family Suite', 'Room Charges': '$325'}, {'Room Name': 'Suite (Lounge Access)', 'Room Charges': '$346'}"
"Warsaw, Poland","Hotel Verte, Warsaw, Autograph Collection",5.0,9.8,Exceptional,"['Bar', 'Pet friendly', '24/7 front desk', 'Breakfast available', 'Housekeeping', 'Parking available']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$231'}, {'Room Name': 'Deluxe Room, 1 King Bed', 'Room Charges': '$270'}, {'Room Name': 'Room, 1 King Bed', 'Room Charges': '$289'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$289'}, {'Room Name': 'Junior Suite, 1 King Bed', 'Room Charges': '$386'}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': '$522'}, {'Room Name': 'Classic Room, 1 Double Bed', 'Room Charges': None}"
"Warsaw, Poland",Nobu Hotel Warsaw,5.0,9.2,Wonderful,"['Bar', 'Spa', 'Room service', 'Air conditioning', 'Housekeeping', 'Laundry']","{'Room Name': 'Classic Room (Classic Room)', 'Room Charges': '$197'}, {'Room Name': 'Executive Room, 1 King Bed (Executive Room)', 'Room Charges': '$197'}, {'Room Name': 'Executive Room, 2 Twin Beds (Executive Twin Room)', 'Room Charges': '$197'}, {'Room Name': 'Premium Room, 1 King Bed (Premium Room)', 'Room Charges': '$255'}, {'Room Name': 'Premium Room, 2 Twin Beds (Premium Twin Room)', 'Room Charges': '$255'}, {'Room Name': 'Classic Suite (Art Deco Suite)', 'Room Charges': '$289'}, {'Room Name': 'Superior Suite, 1 King Bed (Zen Suite)', 'Room Charges': '$309'}, {'Room Name': 'Superior Suite, 1 King Bed (Miyabi Suite)', 'Room Charges': '$401'}, {'Room Name': 'Signature Suite, 1 King Bed (Nobu Suite)', 'Room Charges': '$1,715'}"
"Warsaw, Poland",The Westin Warsaw,5.0,9.2,Wonderful,"['Breakfast available', 'Bar', 'Spa', 'Room service', 'Parking available', 'Air conditioning']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$230'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$230'}, {'Room Name': 'Superior Room, 1 King Bed', 'Room Charges': '$249'}, {'Room Name': 'Superior Room, 2 Twin Beds', 'Room Charges': '$249'}, {'Room Name': 'Executive Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$270'}, {'Room Name': 'Executive Room, 2 Twin Beds, Non Smoking, City View', 'Room Charges': '$270'}, {'Room Name': 'Premium Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$279'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$407'}, {'Room Name': 'Executive Suite, 1 Bedroom, City View (Lounge access)', 'Room Charges': '$697'}, {'Room Name': 'Presidential Suite, 1 Bedroom, City View (Lounge access)', 'Room Charges': '$1,091'}"
"Warsaw, Poland",Sheraton Grand Warsaw,5.0,9.0,Wonderful,"['Bar', 'Spa', 'Room service', 'Parking available', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Classic Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$218'}, {'Room Name': 'Classic Room, 1 King Bed, Non Smoking, City View', 'Room Charges': '$220'}, {'Room Name': 'Deluxe Room, 1 King Bed, Non Smoking', 'Room Charges': '$244'}, {'Room Name': 'Deluxe Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$275'}, {'Room Name': 'Premium Room, 2 Twin Beds, Non Smoking', 'Room Charges': '$316'}, {'Room Name': 'Premium Room, 1 King Bed, Non Smoking', 'Room Charges': '$317'}, {'Room Name': 'Family Room, Multiple Beds', 'Room Charges': '$371'}, {'Room Name': 'Junior Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$393'}, {'Room Name': 'Deluxe Suite, 1 Bedroom, Non Smoking', 'Room Charges': '$848'}, {'Room Name': 'Executive Suite, 1 King Bed', 'Room Charges': '$1,112'}, {'Room Name': 'Presidential Suite, 2 Bedrooms', 'Room Charges': '$1,627'}"
"Warsaw, Poland",,,,,[],
"Warsaw, Poland","H15 Boutique Hotel, Warsaw, a Member of Design Hotels",5.0,9.6,Exceptional,"['Breakfast available', 'Bar', 'Room service', 'Parking available', 'Air conditioning', 'Housekeeping']","{'Room Name': 'Classic Room (MI - DOUB)', 'Room Charges': '$183'}, {'Room Name': 'Junior Suite (Signature - MI - RYST)', 'Room Charges': '$224'}, {'Room Name': 'Junior Suite (MI - JSTE)', 'Room Charges': '$194'}, {'Room Name': 'Superior Suite (Junior (MI - SUPW))', 'Room Charges': '$202'}, {'Room Name': 'Suite (MI - SUIT)', 'Room Charges': '$212'}, {'Room Name': 'Luxury Suite (MI - LUXS)', 'Room Charges': '$218'}, {'Room Name': 'Suite (Prestige (MI - PRES))', 'Room Charges': '$227'}, {'Room Name': 'Penthouse (MI - PENT)', 'Room Charges': '$598'}"
"Warsaw, Poland",Sofitel Warsaw Victoria,5.0,9.4,Exceptional,"['Pool', 'Bar', 'Spa', 'Room service', 'Parking available', 'Air conditioning']","{'Room Name': 'Classic Room, 1 King Bed', 'Room Charges': '$151'}, {'Room Name': 'Classic Room, 2 Twin Beds', 'Room Charges': '$151'}, {'Room Name': 'Superior Room, 2 Twin Beds (High Floor)', 'Room Charges': '$166'}, {'Room Name': 'Superior Room, 1 King Bed (High Floor)', 'Room Charges': '$166'}, {'Room Name': 'Luxury Room, 1 King Bed (Pilsudski Square View)', 'Room Charges': '$187'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed (Separate Living room)', 'Room Charges': '$222'}, {'Room Name': 'Family Room, 2 Double Beds', 'Room Charges': '$238'}, {'Room Name': 'Suite, 1 King Bed (Pilsudski Square View)', 'Room Charges': '$254'}, {'Room Name': 'Suite, 1 King Bed, Kitchenette (Opera)', 'Room Charges': '$559'}"
