Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Washington, USA",Global Luxury Suites at Capitol Hill,4.0,8.0,Very good,"['Parking available', 'Washer', 'Pool', 'Pet friendly', 'Outdoor Space', 'Kitchen']","{'Room Name': 'Deluxe Apartment, 1 Bedroom (Room décor/layout/colors vary by unit)', 'Room Charges': '$150'}, {'Room Name': 'Classic Apartment, 2 Bedrooms', 'Room Charges': '$209'}, {'Room Name': 'Luxury Apartment, 2 Bedrooms (Room décor/layout/colors vary by unit)', 'Room Charges': '$229'}, {'Room Name': 'Deluxe Apartment, 1 Bedroom, Balcony (Room décor/layout/colors vary by unit)', 'Room Charges': None}, {'Room Name': 'Luxury Apartment, 1 Bedroom (Room décor/layout/colors vary by unit)', 'Room Charges': None}, {'Room Name': 'Luxury Apartment, 2 Bedrooms, Balcony (Room décor/layout/colors vary by unit)', 'Room Charges': None}, {'Room Name': 'Luxury Apartment, 1 Bedroom, Balcony (Room décor/layout/colors vary by unit)', 'Room Charges': None}"
"Washington, USA","Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",3.0,8.4,Very good,"['Bar', 'Pool', 'Housekeeping', 'Breakfast available', 'Parking available', 'Air conditioning']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$163'}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$163'}, {'Room Name': 'Standard Room, 2 Queen Beds', 'Room Charges': '$167'}, {'Room Name': 'Standard Room, 2 Queen Beds (Communications)', 'Room Charges': '$167'}, {'Room Name': 'Standard Room', 'Room Charges': '$171'}, {'Room Name': 'Standard Room, 2 Queen Beds (High Floor)', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed with Sofa bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed (High Floor)', 'Room Charges': None}"
"Washington, USA",Arlo Washington DC,4.0,9.2,Wonderful,"['Housekeeping', 'Bar', 'Pool', 'Breakfast available', 'Laundry', '24/7 front desk']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$114'}, {'Room Name': 'Room, 1 King Bed, Accessible', 'Room Charges': '$114'}, {'Room Name': 'Room, 2 Queen Beds, City View', 'Room Charges': '$121'}, {'Room Name': 'Room, 1 King Bed, City View', 'Room Charges': '$121'}, {'Room Name': 'Deluxe Room, 1 King Bed, City View', 'Room Charges': '$127'}, {'Room Name': 'Room, 1 King Bed, Balcony', 'Room Charges': '$140'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$153'}, {'Room Name': 'Studio, 1 King Bed', 'Room Charges': '$192'}, {'Room Name': 'Room, 1 Bedroom, Accessible, Terrace', 'Room Charges': '$506'}"
"Washington, USA",citizenM Washington DC Capitol,4.0,9.0,Wonderful,"['Breakfast available', 'Gym', '24/7 front desk', 'Air conditioning', 'Free WiFi', 'Restaurant']","{'Room Name': 'King Room', 'Room Charges': '$114'}"
"Washington, USA",Washington Plaza Hotel,4.0,8.8,Excellent,"['Bar', 'Pool', 'Room service', 'Housekeeping', 'Breakfast available', 'Parking available']","{'Room Name': 'Superior Room, 1 Queen Bed', 'Room Charges': '$108'}, {'Room Name': 'Superior Room, 2 Double Beds', 'Room Charges': '$137'}, {'Room Name': 'Superior Room, 1 Queen Bed, Balcony', 'Room Charges': '$138'}, {'Room Name': 'Superior Room, 1 King Bed, Balcony', 'Room Charges': '$155'}, {'Room Name': 'Deluxe Room, 1 King Bed, Balcony', 'Room Charges': '$173'}, {'Room Name': 'Junior Suite, 1 Queen Bed', 'Room Charges': '$178'}, {'Room Name': 'Premier Room, 1 King Bed', 'Room Charges': '$193'}, {'Room Name': 'Premier Room, 1 King Bed, Balcony', 'Room Charges': '$223'}, {'Room Name': 'Deluxe Room, 2 Double Beds, Balcony', 'Room Charges': '$237'}"
"Washington, USA",Comfort Inn Pentagon City,3.0,8.6,Good,"['Bar', 'Parking available', 'Gym', 'Air conditioning', 'Parking included', 'Breakfast included']","{'Room Name': 'Standard Room, 2 Double Beds, Non Smoking', 'Room Charges': '$89'}, {'Room Name': 'Standard Room, 2 Queen Beds, Non Smoking', 'Room Charges': '$93'}, {'Room Name': 'Standard Room, 1 King Bed, Non Smoking', 'Room Charges': '$97'}, {'Room Name': 'Room, 1 King Bed, Accessible, Non Smoking', 'Room Charges': '$97'}"
"Washington, USA",citizenM Washington DC NoMa,4.0,9.2,Wonderful,"['Bar', 'Gym', 'Breakfast available', '24/7 front desk', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$102'}"
"Washington, USA","Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",3.0,8.4,Very good,"['Bar', 'Pool', 'Housekeeping', 'Breakfast available', 'Parking available', 'Air conditioning']","{'Room Name': 'Standard Room, 1 King Bed', 'Room Charges': '$163'}, {'Room Name': 'Standard Room, 1 Queen Bed', 'Room Charges': '$163'}, {'Room Name': 'Standard Room, 2 Queen Beds', 'Room Charges': '$167'}, {'Room Name': 'Standard Room, 2 Queen Beds (Communications)', 'Room Charges': '$167'}, {'Room Name': 'Standard Room', 'Room Charges': '$171'}, {'Room Name': 'Standard Room, 2 Queen Beds (High Floor)', 'Room Charges': None}, {'Room Name': 'Suite, 1 King Bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed with Sofa bed', 'Room Charges': None}, {'Room Name': 'Standard Room, 1 King Bed (High Floor)', 'Room Charges': None}"
"Washington, USA",citizenM Washington DC NoMa,4.0,9.2,Wonderful,"['Bar', 'Gym', 'Breakfast available', '24/7 front desk', 'Air conditioning', 'Free WiFi']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$102'}"
"Washington, USA",National at Rosslyn Towers,4.0,9.0,,"['24/7 front desk', 'Washer', 'Parking included', 'Kitchen', 'Air conditioning', 'Dryer']","{'Room Name': 'Apartment, 1 Queen Bed, Non Smoking, Kitchen', 'Room Charges': '$188'}, {'Room Name': 'Apartment, 2 Bedrooms, Non Smoking, Kitchen', 'Room Charges': None}"
