Location,Hotel Name,Stars,Rating,Review Keyword,Services,Property Offers
"Zürich, Switzerland",Storchen Zurich,5.0,9.6,Exceptional,"['Breakfast available', 'Bar', 'Parking available', 'Gym', 'Room service', 'Pet friendly']","{'Room Name': 'Riverside Queen Room', 'Room Charges': '$908'}, {'Room Name': 'City Double Room', 'Room Charges': '$973'}, {'Room Name': 'City Deluxe Room', 'Room Charges': '$1,081'}, {'Room Name': 'Riverside Double Room', 'Room Charges': '$1,146'}, {'Room Name': 'City Family Two Bedroom', 'Room Charges': '$1,469'}, {'Room Name': 'Riverside Junior Suite', 'Room Charges': '$1,556'}, {'Room Name': 'City Family Two Bedroom Suite', 'Room Charges': '$1,880'}, {'Room Name': 'Riverside Signature Suite', 'Room Charges': '$2,432'}, {'Room Name': 'City Queen Room', 'Room Charges': None}"
"Zürich, Switzerland",Baur au Lac,5.0,9.6,Exceptional,"['Bar', 'Spa', 'Parking available', 'Gym', 'Room service', 'Breakfast available']","{'Room Name': 'Double Room', 'Room Charges': '$1,166'}, {'Room Name': 'Junior Suite', 'Room Charges': '$1,472'}, {'Room Name': 'Junior Suite, Lakeside', 'Room Charges': '$2,998'}, {'Room Name': 'Suite (River)', 'Room Charges': '$3,666'}, {'Room Name': 'Suite, Lakeside', 'Room Charges': '$4,665'}, {'Room Name': 'Suite, Lakeside (Corner)', 'Room Charges': '$6,330'}, {'Room Name': 'Room (Single)', 'Room Charges': None}"
"Zürich, Switzerland",Park Hyatt Zurich,5.0,9.4,Exceptional,"['Bar', 'Spa', 'Parking available', 'Gym', 'Room service', 'Breakfast available']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$861'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$904'}, {'Room Name': 'Room, 1 King Bed (High Floor)', 'Room Charges': '$904'}, {'Room Name': 'Junior Suite (Park)', 'Room Charges': '$1,933'}, {'Room Name': 'Family Room', 'Room Charges': '$2,129'}, {'Room Name': 'Suite, 1 King Bed (Park)', 'Room Charges': '$2,365'}, {'Room Name': 'Suite, Corner (Park)', 'Room Charges': '$4,217'}, {'Room Name': 'Suite, 2 Bedrooms, Corner (Park)', 'Room Charges': '$4,540'}, {'Room Name': 'Suite (Ambassador)', 'Room Charges': '$5,429'}, {'Room Name': 'Suite, 3 Bedrooms (Residential)', 'Room Charges': '$5,429'}, {'Room Name': 'Suite, 2 Bedrooms (Ambassador Suite)', 'Room Charges': '$5,968'}"
"Zürich, Switzerland",Hotel Schweizerhof Zürich,5.0,9.4,Exceptional,"['Bar', 'Parking available', 'Gym', 'Room service', 'Breakfast available', 'Pet friendly']","{'Room Name': 'Standard Double Room, 1 Queen Bed', 'Room Charges': '$702'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$987'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed', 'Room Charges': '$1,169'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$1,460'}, {'Room Name': 'Signature Suite', 'Room Charges': '$2,345'}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'Standard Single Room, 1 Large Twin Bed', 'Room Charges': None}"
"Zürich, Switzerland",Park Hyatt Zurich,5.0,9.4,Exceptional,"['Bar', 'Spa', 'Parking available', 'Gym', 'Room service', 'Breakfast available']","{'Room Name': 'Room, 1 King Bed', 'Room Charges': '$861'}, {'Room Name': 'Room, 2 Twin Beds', 'Room Charges': '$904'}, {'Room Name': 'Room, 1 King Bed (High Floor)', 'Room Charges': '$904'}, {'Room Name': 'Junior Suite (Park)', 'Room Charges': '$1,933'}, {'Room Name': 'Family Room', 'Room Charges': '$2,129'}, {'Room Name': 'Suite, 1 King Bed (Park)', 'Room Charges': '$2,365'}, {'Room Name': 'Suite, Corner (Park)', 'Room Charges': '$4,217'}, {'Room Name': 'Suite, 2 Bedrooms, Corner (Park)', 'Room Charges': '$4,540'}, {'Room Name': 'Suite (Ambassador)', 'Room Charges': '$5,429'}, {'Room Name': 'Suite, 3 Bedrooms (Residential)', 'Room Charges': '$5,429'}, {'Room Name': 'Suite, 2 Bedrooms (Ambassador Suite)', 'Room Charges': '$5,968'}"
"Zürich, Switzerland",Alex Lake Zürich - Lifestyle hotel & suites,5.0,9.4,Exceptional,"['Bar', 'Breakfast available', 'Spa', 'Parking available', 'Pet friendly', 'Room service']","{'Room Name': 'Design Double Room', 'Room Charges': '$717'}, {'Room Name': 'Garden Deluxe Studio with Patio', 'Room Charges': '$802'}, {'Room Name': 'Lakeview Deluxe Studio with Balcony', 'Room Charges': '$823'}, {'Room Name': 'Panorama Junior Suite with balcony', 'Room Charges': '$1,088'}, {'Room Name': 'Penthouse One Bedroom Suite', 'Room Charges': '$1,405'}, {'Room Name': 'Lake Level Deluxe Studio', 'Room Charges': None}"
"Zürich, Switzerland",Widder Hotel,5.0,9.4,Exceptional,"['Bar', 'Parking available', 'Gym', 'Room service', 'Breakfast available', 'Pet friendly']","{'Room Name': 'Design Queen Room', 'Room Charges': '$869'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$1,149'}, {'Room Name': 'Courtyard Queen Room', 'Room Charges': '$923'}, {'Room Name': 'Historic Junior Suite', 'Room Charges': '$1,430'}, {'Room Name': 'Duplex Junior Suite', 'Room Charges': '$1,538'}, {'Room Name': 'Courtyard Suite with Spa Shower', 'Room Charges': '$1,840'}, {'Room Name': 'Family Suite', 'Room Charges': '$1,948'}, {'Room Name': 'Historic Suite', 'Room Charges': '$2,077'}, {'Room Name': 'Penthouse Suite', 'Room Charges': None}, {'Room Name': 'Design Single Room', 'Room Charges': None}"
"Zürich, Switzerland",Widder Hotel,5.0,9.4,Exceptional,"['Bar', 'Parking available', 'Gym', 'Room service', 'Breakfast available', 'Pet friendly']","{'Room Name': 'Design Queen Room', 'Room Charges': '$869'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$1,149'}, {'Room Name': 'Courtyard Queen Room', 'Room Charges': '$923'}, {'Room Name': 'Historic Junior Suite', 'Room Charges': '$1,430'}, {'Room Name': 'Duplex Junior Suite', 'Room Charges': '$1,538'}, {'Room Name': 'Courtyard Suite with Spa Shower', 'Room Charges': '$1,840'}, {'Room Name': 'Family Suite', 'Room Charges': '$1,948'}, {'Room Name': 'Historic Suite', 'Room Charges': '$2,077'}, {'Room Name': 'Penthouse Suite', 'Room Charges': None}, {'Room Name': 'Design Single Room', 'Room Charges': None}"
"Zürich, Switzerland","Mandarin Oriental Savoy, Zurich",5.0,9.2,Wonderful,"['Bar', 'Parking available', 'Room service', 'Breakfast available', '24/7 front desk', 'Housekeeping']","{'Room Name': 'Junior Suite, Terrace', 'Room Charges': '$2,095'}, {'Room Name': 'Suite (Zurich)', 'Room Charges': '$2,635'}, {'Room Name': 'Suite, 1 King Bed, Balcony, Corner', 'Room Charges': '$2,914'}"
"Zürich, Switzerland",Hotel Schweizerhof Zürich,5.0,9.4,Exceptional,"['Bar', 'Parking available', 'Gym', 'Room service', 'Breakfast available', 'Pet friendly']","{'Room Name': 'Standard Double Room, 1 Queen Bed', 'Room Charges': '$702'}, {'Room Name': 'Deluxe Double Room', 'Room Charges': '$987'}, {'Room Name': 'Junior Suite, 1 King Bed with Sofa bed', 'Room Charges': '$1,169'}, {'Room Name': 'Deluxe Suite', 'Room Charges': '$1,460'}, {'Room Name': 'Signature Suite', 'Room Charges': '$2,345'}, {'Room Name': 'Superior Double Room', 'Room Charges': None}, {'Room Name': 'Standard Single Room, 1 Large Twin Bed', 'Room Charges': None}"
